POW_GCCSA_CODE_2021,TPW_Oth_tspt_P,TPW_PstCour_PU_D_Svc_M,TPW_PstCour_PU_D_Svc_F,TPW_PstCour_PU_D_Svc_P,TPW_Tspt_supt_Svs_M,TPW_Tspt_supt_Svs_F,TPW_Tspt_supt_Svs_P,TPW_Wh_storage_Svs_M,TPW_Wh_storage_Svs_F,TPW_Wh_storage_Svs_P,TPW_Tot_M,TPW_Tot_F,TPW_Tot_P,IMT_IMT_nfd_M,IMT_IMT_nfd_F,IMT_IMT_nfd_P,IMT_PubExc_InetMusP_M,IMT_PubExc_InetMusP_F,IMT_PubExc_InetMusP_P,IMT_MotionP_SR_Act_M,IMT_MotionP_SR_Act_F,IMT_MotionP_SR_Act_P,IMT_Brdcast_ex_Inet_M,IMT_Brdcast_ex_Inet_F,IMT_Brdcast_ex_Inet_P,IMT_InetPub_brdcast_M,IMT_InetPub_brdcast_F,IMT_InetPub_brdcast_P,IMT_Tel_Svs_M,IMT_Tel_Svs_F,IMT_Tel_Svs_P,IMT_ISP_WSP_DP_svce_M,IMT_ISP_WSP_DP_svce_F,IMT_ISP_WSP_DP_svce_P,IMT_Lib_and_oth_IS_M,IMT_Lib_and_oth_IS_F,IMT_Lib_and_oth_IS_P,IMT_Tot_M,IMT_Tot_F,IMT_Tot_P,FinIns_FinIns_nfd_M,FinIns_FinIns_nfd_F,FinIns_FinIns_nfd_P,FinIns_Finance_M,FinIns_Finance_F,FinIns_Finance_P,FinIns_Ins_and_super_funds_M,FinIns_Ins_and_super_funds_F,FinIns_Ins_and_super_funds_P,FinIns_Aux_FinIns_Svs_M,FinIns_Aux_FinIns_Svs_F,FinIns_Aux_FinIns_Svs_P,FinIns_Tot_M,FinIns_Tot_F,FinIns_Tot_P,RHRE_RHRE_nfd_M,RHRE_RHRE_nfd_F,RHRE_RHRE_nfd_P,RHRE_RHSvc_ex_RealE_M,RHRE_RHSvc_ex_RealE_F,RHRE_RHSvc_ex_RealE_P,RHRE_POps_and_RE_svs_M,RHRE_POps_and_RE_svs_F,RHRE_POps_and_RE_svs_P,RHRE_Tot_M,RHRE_Tot_F,RHRE_Tot_P,ProSTS_ProSTS_nfd_M,ProSTS_ProSTS_nfd_F,ProSTS_ProSTS_nfd_P,ProSTS_ProSTS_ex_CSD_RS_M,ProSTS_ProSTS_ex_CSD_RS_F,ProSTS_ProSTS_ex_CSD_RS_P,ProSTS_CSD_RS_M,ProSTS_CSD_RS_F,ProSTS_CSD_RS_P,ProSTS_Tot_M,ProSTS_Tot_F,ProSTS_Tot_P,AdSup_AdSup_nfd_M,AdSup_AdSup_nfd_F,AdSup_AdSup_nfd_P,AdSup_Admin_Svs_M,AdSup_Admin_Svs_F,AdSup_Admin_Svs_P,AdSup_BldCln_PC_oth_Svc_M,AdSup_BldCln_PC_oth_Svc_F,AdSup_BldCln_PC_oth_Svc_P,AdSup_Tot_M,AdSup_Tot_F,AdSup_Tot_P,PubAS_PubAS_nfd_M,PubAS_PubAS_nfd_F,PubAS_PubAS_nfd_P,PubAS_PubAdm_M,PubAS_PubAdm_F,PubAS_PubAdm_P,PubAS_Defen_M,PubAS_Defen_F,PubAS_Defen_P,PubAS_PO_S_and_R_Svs_M,PubAS_PO_S_and_R_Svs_F,PubAS_PO_S_and_R_Svs_P,PubAS_Tot_M,PubAS_Tot_F,PubAS_Tot_P,EdTrn_EdTrn_nfd_M,EdTrn_EdTrn_nfd_F,EdTrn_EdTrn_nfd_P,EdTrn_PreSch_and_Sch_ed_M,EdTrn_PreSch_and_Sch_ed_F,EdTrn_PreSch_and_Sch_ed_P,EdTrn_Tertiary_ed_M,EdTrn_Tertiary_ed_F,EdTrn_Tertiary_ed_P,EdTrn_AdultCom_andOthEd_M,EdTrn_AdultCom_andOthEd_F,EdTrn_AdultCom_andOthEd_P,EdTrn_Tot_M,EdTrn_Tot_F,EdTrn_Tot_P,HC_SA_HC_SA_nfd_M,HC_SA_HC_SA_nfd_F,HC_SA_HC_SA_nfd_P,HC_SA_Hospitals_M,HC_SA_Hospitals_F,HC_SA_Hospitals_P,HC_SA_Med_oth_HCS_M,HC_SA_Med_oth_HCS_F,HC_SA_Med_oth_HCS_P,HC_SA_Resident_CS_M,HC_SA_Resident_CS_F,HC_SA_Resident_CS_P,HC_SA_Soc_assis_Svs_M,HC_SA_Soc_assis_Svs_F,HC_SA_Soc_assis_Svs_P,HC_SA_Tot_M,HC_SA_Tot_F,HC_SA_Tot_P,ArtsR_ArtsR_nfd_M,ArtsR_ArtsR_nfd_F,ArtsR_ArtsR_nfd_P,ArtsR_Heritage_ac_M,ArtsR_Heritage_ac_F,ArtsR_Heritage_ac_P,ArtsR_Creative_PAA_M,ArtsR_Creative_PAA_F,ArtsR_Creative_PAA_P,ArtsR_Sports_rec_ac_M,ArtsR_Sports_rec_ac_F,ArtsR_Sports_rec_ac_P,ArtsR_Gambling_ac_M,ArtsR_Gambling_ac_F,ArtsR_Gambling_ac_P,ArtsR_Tot_M,ArtsR_Tot_F,ArtsR_Tot_P,OthSvs_OthSvs_nfd_M,OthSvs_OthSvs_nfd_F,OthSvs_OthSvs_nfd_P,OthSvs_Repair_maintenanc_M,OthSvs_Repair_maintenanc_F,OthSvs_Repair_maintenanc_P,OthSvs_Personal_OthSvs_M,OthSvs_Personal_OthSvs_F,OthSvs_Personal_OthSvs_P,OthSvs_PriHES_UG_SPA_HOU_M,OthSvs_PriHES_UG_SPA_HOU_F,OthSvs_PriHES_UG_SPA_HOU_P,OthSvs_Tot_M,OthSvs_Tot_F,OthSvs_Tot_P,Inad_des_M,Inad_des_F,Inad_des_P,Industry_of_em_NS_M,Industry_of_em_NS_F,Industry_of_em_NS_P,Tot_M,Tot_F,Tot_P
2GMEL,896,16096,6244,22349,10435,4676,15111,10087,3892,13976,88900,27982,116887,439,312,748,3130,3217,6350,3921,2834,6757,2109,1623,3728,337,336,673,12289,5548,17836,3645,1573,5216,463,1180,1648,26335,16618,42953,1324,955,2276,30312,26765,57077,11574,12963,24533,18179,13652,31834,61391,54335,115725,69,85,154,3638,1775,5407,15893,17263,33151,19590,19123,38715,807,542,1353,83657,85922,169583,44743,16797,61542,129213,103261,232476,26,85,115,16933,20486,37414,18477,14812,33290,35443,35379,70820,161,216,378,32911,49255,82169,5420,1992,7410,28804,15152,43960,67290,66625,133922,2091,3855,5950,29293,103324,132615,22252,30899,53149,7638,13918,21558,61279,151994,213266,1144,3409,4552,23984,82034,106017,24131,68445,92572,9455,38661,48114,13902,55409,69313,72616,247946,320562,565,563,1124,2054,2557,4607,3705,4199,7902,11591,11066,22656,4399,2698,7100,22321,21073,43390,27,19,45,26758,5173,31935,15579,33711,49291,9,653,664,42366,39560,81925,50549,30945,81491,18655,13613,32273,1219824,1156803,2376630
2RVIC,693,2466,1627,4088,1169,555,1721,1114,427,1542,17425,5283,22702,33,34,70,426,588,1010,386,253,641,267,249,513,13,15,25,867,466,1332,452,200,650,105,378,490,2550,2178,4729,77,85,166,1859,3330,5191,1014,1775,2782,1318,1456,2774,4269,6642,10909,15,17,34,829,372,1199,2121,3253,5376,2965,3647,6610,112,60,163,10123,12848,22966,2454,786,3240,12683,13695,26376,5,18,25,2063,3481,5545,4804,4842,9640,6864,8343,15207,42,47,85,9948,14910,24860,2818,982,3805,7756,3994,11742,20557,19928,40489,359,779,1133,10480,34846,45331,3528,5328,8856,1327,2726,4059,15698,43677,59375,254,1199,1456,7130,33987,41117,6222,19477,25695,2545,14876,17428,5132,20785,25917,21284,90327,111614,66,74,141,967,786,1759,532,727,1254,2813,3074,5890,102,158,258,4490,4815,9298,4,3,9,9582,1849,11434,3072,9242,12316,5,82,86,12666,11176,23842,9600,5242,14840,5418,4247,9663,320149,329298,649447
29499,43,1870,396,2264,396,63,464,175,53,232,6871,1010,7884,35,15,50,110,121,232,321,128,450,101,33,132,24,22,57,666,99,766,200,46,245,3,23,29,1462,487,1949,38,21,59,497,460,954,235,239,473,324,217,535,1094,934,2027,8,0,8,112,41,152,471,390,860,593,432,1024,40,26,64,2899,2652,5549,1933,553,2483,4870,3231,8098,0,11,11,1131,1264,2397,6386,4812,11195,7518,6086,13600,10,11,22,604,1081,1689,138,45,186,1326,476,1806,2074,1619,3695,151,221,369,576,1389,1965,276,369,649,778,1077,1855,1784,3050,4840,107,365,466,236,533,772,876,2157,3036,315,1649,1964,1589,5590,7180,3123,10298,13424,35,37,70,69,38,104,396,397,793,532,247,775,75,43,117,1110,758,1863,0,0,0,1866,115,1977,824,1377,2203,4,141,143,2690,1628,4323,2859,1487,4342,1582,1026,2602,98277,39201,137478
29799,0,0,0,0,3,0,5,0,0,0,70,10,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,8,0,9,0,0,4,181,16,194
