POW_GCCSA_CODE_2021,NG_NNI_Mng,NG_NNI_Pro,NG_NNI_TecTW,NG_NNI_CoPSW,NG_NNI_ClAW,NG_NNI_SWks,NG_NNI_MaOpDv,NG_NNI_Lab,NG_NNI_IDNS,NG_NNI_Tot,NG_1_149_Mng,NG_1_149_Pro,NG_1_149_TecTW,NG_1_149_CoPSW,NG_1_149_ClAW,NG_1_149_SWks,NG_1_149_MaOpDv,NG_1_149_Lab,NG_1_149_IDNS,NG_1_149_Tot,NG_150_299_Mng,NG_150_299_Pro,NG_150_299_TecTW,NG_150_299_CoPSW,NG_150_299_ClAW,NG_150_299_SWks,NG_150_299_MaOpDv,NG_150_299_Lab,NG_150_299_IDNS,NG_150_299_Tot,NG_300_399_Mng,NG_300_399_Pro,NG_300_399_TecTW,NG_300_399_CoPSW,NG_300_399_ClAW,NG_300_399_SWks,NG_300_399_MaOpDv,NG_300_399_Lab,NG_300_399_IDNS,NG_300_399_Tot,NG_400_499_Mng,NG_400_499_Pro,NG_400_499_TecTW,NG_400_499_CoPSW,NG_400_499_ClAW,NG_400_499_SWks,NG_400_499_MaOpDv,NG_400_499_Lab,NG_400_499_IDNS,NG_400_499_Tot,NG_500_649_Mng,NG_500_649_Pro,NG_500_649_TecTW,NG_500_649_CoPSW,NG_500_649_ClAW,NG_500_649_SWks,NG_500_649_MaOpDv,NG_500_649_Lab,NG_500_649_IDNS,NG_500_649_Tot,NG_650_799_Mng,NG_650_799_Pro,NG_650_799_TecTW,NG_650_799_CoPSW,NG_650_799_ClAW,NG_650_799_SWks,NG_650_799_MaOpDv,NG_650_799_Lab,NG_650_799_IDNS,NG_650_799_Tot,NG_800_999_Mng,NG_800_999_Pro,NG_800_999_TecTW,NG_800_999_CoPSW,NG_800_999_ClAW,NG_800_999_SWks,NG_800_999_MaOpDv,NG_800_999_Lab,NG_800_999_IDNS,NG_800_999_Tot,NG_1000_1249_Mng,NG_1000_1249_Pro,NG_1000_1249_TecTW,NG_1000_1249_CoPSW,NG_1000_1249_ClAW,NG_1000_1249_SWks,NG_1000_1249_MaOpDv,NG_1000_1249_Lab,NG_1000_1249_IDNS,NG_1000_1249_Tot,NG_1250_1499_Mng,NG_1250_1499_Pro,NG_1250_1499_TecTW,NG_1250_1499_CoPSW,NG_1250_1499_ClAW,NG_1250_1499_SWks,NG_1250_1499_MaOpDv,NG_1250_1499_Lab,NG_1250_1499_IDNS,NG_1250_1499_Tot,NG_1500_1749_Mng,NG_1500_1749_Pro,NG_1500_1749_TecTW,NG_1500_1749_CoPSW,NG_1500_1749_ClAW,NG_1500_1749_SWks,NG_1500_1749_MaOpDv,NG_1500_1749_Lab,NG_1500_1749_IDNS,NG_1500_1749_Tot,NG_1750_1999_Mng,NG_1750_1999_Pro,NG_1750_1999_TecTW,NG_1750_1999_CoPSW,NG_1750_1999_ClAW,NG_1750_1999_SWks,NG_1750_1999_MaOpDv,NG_1750_1999_Lab,NG_1750_1999_IDNS,NG_1750_1999_Tot,NG_2000_2999_Mng,NG_2000_2999_Pro,NG_2000_2999_TecTW,NG_2000_2999_CoPSW,NG_2000_2999_ClAW,NG_2000_2999_SWks,NG_2000_2999_MaOpDv,NG_2000_2999_Lab,NG_2000_2999_IDNS,NG_2000_2999_Tot,NG_3000_3499_Mng,NG_3000_3499_Pro,NG_3000_3499_TecTW,NG_3000_3499_CoPSW,NG_3000_3499_ClAW,NG_3000_3499_SWks,NG_3000_3499_MaOpDv,NG_3000_3499_Lab,NG_3000_3499_IDNS,NG_3000_3499_Tot,NG_3500mo_Mng,NG_3500mo_Pro,NG_3500mo_TecTW,NG_3500mo_CoPSW,NG_3500mo_ClAW,NG_3500mo_SWks,NG_3500mo_MaOpDv,NG_3500mo_Lab,NG_3500mo_IDNS,NG_3500mo_Tot,NG_PINS_Mng,NG_PINS_Pro,NG_PINS_TecTW,NG_PINS_CoPSW,NG_PINS_ClAW,NG_PINS_SWks,NG_PINS_MaOpDv,NG_PINS_Lab,NG_PINS_IDNS,NG_PINS_Tot,NG_Tot_Mng,NG_Tot_Pro,NG_Tot_TecTW,NG_Tot_CoPSW,NG_Tot_ClAW,NG_Tot_SWks,NG_Tot_MaOpDv,NG_Tot_Lab,NG_Tot_IDNS,NG_Tot_Tot,SG_NNI_Mng,SG_NNI_Pro,SG_NNI_TecTW,SG_NNI_CoPSW,SG_NNI_ClAW,SG_NNI_SWks,SG_NNI_MaOpDv,SG_NNI_Lab,SG_NNI_IDNS,SG_NNI_Tot,SG_1_149_Mng,SG_1_149_Pro,SG_1_149_TecTW,SG_1_149_CoPSW,SG_1_149_ClAW,SG_1_149_SWks,SG_1_149_MaOpDv,SG_1_149_Lab,SG_1_149_IDNS,SG_1_149_Tot,SG_150_299_Mng,SG_150_299_Pro,SG_150_299_TecTW,SG_150_299_CoPSW,SG_150_299_ClAW,SG_150_299_SWks,SG_150_299_MaOpDv,SG_150_299_Lab,SG_150_299_IDNS,SG_150_299_Tot
2GMEL,29,77,6,17,64,3,3,3,3,207,16,246,20,72,123,11,10,10,13,523,27,480,34,121,206,21,15,11,16,929,28,522,41,124,274,45,25,28,19,1096,28,545,50,161,323,52,38,22,18,1224,51,1355,95,242,625,147,69,43,27,2644,88,1396,146,285,973,197,134,39,36,3298,170,1709,329,418,1993,174,289,47,69,5199,323,2569,612,490,3597,242,326,59,126,8339,599,3517,660,405,4589,103,197,33,187,10298,1152,5563,724,422,4171,75,112,21,214,12456,1657,6315,474,288,2304,54,52,7,159,11313,5273,12177,576,450,2058,87,31,12,205,20885,1324,2374,61,47,247,27,0,4,36,4114,2220,3228,23,27,240,20,0,6,30,5802,29,123,11,24,95,7,9,0,39,341,13011,42192,3868,3587,21885,1251,1307,346,1202,88657,20,159,9,70,53,5,5,15,8,339,14,291,38,190,73,10,5,31,6,657,28,482,73,428,186,13,10,58,19,1289
2RVIC,0,10,0,4,31,0,0,5,0,50,4,15,0,8,34,3,3,5,0,78,5,54,9,19,63,7,4,0,3,160,8,56,9,32,86,14,4,7,3,218,5,54,10,38,135,18,0,10,3,278,20,169,19,66,240,44,12,21,7,602,24,134,35,116,383,58,47,34,8,844,44,225,109,219,599,44,71,20,14,1352,88,405,206,282,1004,75,100,18,35,2209,148,580,127,250,1166,18,69,16,40,2418,320,861,179,200,762,16,51,12,57,2449,382,873,103,126,371,8,18,0,29,1903,900,1351,74,110,271,0,12,6,33,2745,123,215,6,3,17,0,0,0,0,369,164,212,3,5,22,4,0,0,3,408,5,28,3,3,19,0,4,0,3,75,2249,5235,884,1482,5199,312,382,154,248,16147,7,43,3,30,22,0,0,5,0,112,3,68,16,81,45,5,0,44,4,273,14,171,28,226,91,4,4,58,7,602
29499,0,4,0,0,38,0,0,0,0,42,4,18,0,9,36,0,0,0,0,78,0,15,3,10,49,0,4,5,0,86,4,15,0,17,65,0,3,4,6,105,3,20,3,13,49,0,0,4,0,89,3,34,0,19,55,0,3,0,0,120,5,30,3,13,52,0,4,0,0,119,9,31,9,19,33,6,7,3,0,117,8,36,11,23,57,11,9,4,0,158,7,49,16,17,55,0,8,0,3,153,10,54,14,8,35,0,5,0,4,134,21,44,8,12,21,0,0,0,4,112,44,74,17,6,18,0,0,0,3,168,3,20,0,0,3,0,0,0,0,25,20,23,0,0,0,0,0,0,0,46,0,0,0,0,7,0,0,0,0,10,136,465,85,190,582,22,39,22,23,1560,0,0,0,0,5,0,0,0,3,7,0,22,0,6,7,0,0,0,0,31,0,29,0,12,7,0,0,3,0,55
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
