POW_GCCSA_CODE_2021,M_EW_FT_ATSI,M_EW_FT_NI,M_EW_FT_Isns,M_EW_FT_Total,M_EW_PT_ATSI,M_EW_PT_NI,M_EW_PT_Isns,M_EW_PT_Total,M_EW_Em_afw_ATSI,M_EW_Em_afw_NI,M_EW_Em_afw_Isns,M_EW_Em_afw_Total,M_Tot_ATSI,M_Tot_NI,M_Tot_Isns,M_Tot_Total,F_EW_FT_ATSI,F_EW_FT_NI,F_EW_FT_Isns,F_EW_FT_Total,F_EW_PT_ATSI,F_EW_PT_NI,F_EW_PT_Isns,F_EW_PT_Total,F_EW_Em_afw_ATSI,F_EW_Em_afw_NI,F_EW_Em_afw_Isns,F_EW_Em_afw_Total,F_Tot_ATSI,F_Tot_NI,F_Tot_Isns,F_Tot_Total,P_EW_FT_ATSI,P_EW_FT_NI,P_EW_FT_Isns,P_EW_FT_Total,P_EW_PT_ATSI,P_EW_PT_NI,P_EW_PT_Isns,P_EW_PT_Total,P_EW_Em_afw_ATSI,P_EW_Em_afw_NI,P_EW_Em_afw_Isns,P_EW_Em_afw_Total,P_Tot_ATSI,P_Tot_NI,P_Tot_Isns,P_Tot_Total
2GMEL,4726,873427,1435,879588,1475,272705,691,274876,521,64437,403,65359,6727,1210574,2525,1219824,3160,558044,865,562066,2596,503133,900,506629,685,87101,322,88107,6441,1148279,2085,1156803,7892,1431470,2298,1441655,4070,775839,1590,781503,1208,151536,722,153465,13168,2358848,4606,2376630
2RVIC,3083,221512,914,225509,1065,72878,362,74301,419,19675,243,20339,4569,314068,1513,320149,2055,129617,470,132142,2318,165986,634,168942,471,27519,225,28216,4847,323124,1331,329298,5139,351135,1379,357650,3381,238862,1000,243245,889,47199,468,48556,9411,637195,2844,649447
29499,607,60585,222,61412,248,28778,111,29131,86,7581,66,7736,942,96942,396,98277,116,10596,36,10738,198,23075,71,23349,47,5014,44,5108,362,38681,154,39201,723,71176,255,72156,444,51855,182,52479,133,12595,111,12840,1297,135628,552,137478
29799,4,139,0,147,0,10,0,10,0,23,0,23,4,174,0,181,0,12,0,13,0,0,0,0,0,0,0,0,0,10,0,16,4,153,0,160,0,17,0,17,0,23,0,23,4,187,0,194
