POW_GCCSA_CODE_2021,M_15_19_EWFT,M_15_19_EWPT,M_15_19_EAFW,M_15_19_EHW_NS,M_15_19_Tot,M_20_24_EWFT,M_20_24_EWPT,M_20_24_EAFW,M_20_24_EHW_NS,M_20_24_Tot,M_25_29_EWFT,M_25_29_EWPT,M_25_29_EAFW,M_25_29_EHW_NS,M_25_29_Tot,M_30_34_EWFT,M_30_34_EWPT,M_30_34_EAFW,M_30_34_EHW_NS,M_30_34_Tot,M_35_39_EWFT,M_35_39_EWPT,M_35_39_EAFW,M_35_39_EHW_NS,M_35_39_Tot,M_40_44_EWFT,M_40_44_EWPT,M_40_44_EAFW,M_40_44_EHW_NS,M_40_44_Tot,M_45_49_EWFT,M_45_49_EWPT,M_45_49_EAFW,M_45_49_EHW_NS,M_45_49_Tot,M_50_54_EWFT,M_50_54_EWPT,M_50_54_EAFW,M_50_54_EHW_NS,M_50_54_Tot,M_55_59_EWFT,M_55_59_EWPT,M_55_59_EAFW,M_55_59_EHW_NS,M_55_59_Tot,M_60_64_EWFT,M_60_64_EWPT,M_60_64_EAFW,M_60_64_EHW_NS,M_60_64_Tot,M_65_69_EWFT,M_65_69_EWPT,M_65_69_EAFW,M_65_69_EHW_NS,M_65_69_Tot,M_70_74_EWFT,M_70_74_EWPT,M_70_74_EAFW,M_70_74_EHW_NS,M_70_74_Tot,M_75ov_EWFT,M_75ov_EWPT,M_75ov_EAFW,M_75ov_EHW_NS,M_75ov_Tot,M_Tot_EWFT,M_Tot_EWPT,M_Tot_EAFW,M_Tot_EHW_NS,M_Tot_Tot,F_15_19_EWFT,F_15_19_EWPT,F_15_19_EAFW,F_15_19_EHW_NS,F_15_19_Tot,F_20_24_EWFT,F_20_24_EWPT,F_20_24_EAFW,F_20_24_EHW_NS,F_20_24_Tot,F_25_29_EWFT,F_25_29_EWPT,F_25_29_EAFW,F_25_29_EHW_NS,F_25_29_Tot,F_30_34_EWFT,F_30_34_EWPT,F_30_34_EAFW,F_30_34_EHW_NS,F_30_34_Tot,F_35_39_EWFT,F_35_39_EWPT,F_35_39_EAFW,F_35_39_EHW_NS,F_35_39_Tot,F_40_44_EWFT,F_40_44_EWPT,F_40_44_EAFW,F_40_44_EHW_NS,F_40_44_Tot,F_45_49_EWFT,F_45_49_EWPT,F_45_49_EAFW,F_45_49_EHW_NS,F_45_49_Tot,F_50_54_EWFT,F_50_54_EWPT,F_50_54_EAFW,F_50_54_EHW_NS,F_50_54_Tot,F_55_59_EWFT,F_55_59_EWPT,F_55_59_EAFW,F_55_59_EHW_NS,F_55_59_Tot,F_60_64_EWFT,F_60_64_EWPT,F_60_64_EAFW,F_60_64_EHW_NS,F_60_64_Tot,F_65_69_EWFT,F_65_69_EWPT,F_65_69_EAFW,F_65_69_EHW_NS,F_65_69_Tot,F_70_74_EWFT,F_70_74_EWPT,F_70_74_EAFW,F_70_74_EHW_NS,F_70_74_Tot,F_75ov_EWFT,F_75ov_EWPT,F_75ov_EAFW,F_75ov_EHW_NS,F_75ov_Tot,F_Tot_EWFT,F_Tot_EWPT,F_Tot_EAFW,F_Tot_EHW_NS,F_Tot_Tot,P_15_19_EWFT,P_15_19_EWPT,P_15_19_EAFW,P_15_19_EHW_NS,P_15_19_Tot,P_20_24_EWFT,P_20_24_EWPT,P_20_24_EAFW,P_20_24_EHW_NS,P_20_24_Tot,P_25_29_EWFT,P_25_29_EWPT,P_25_29_EAFW,P_25_29_EHW_NS,P_25_29_Tot,P_30_34_EWFT,P_30_34_EWPT,P_30_34_EAFW,P_30_34_EHW_NS,P_30_34_Tot,P_35_39_EWFT,P_35_39_EWPT,P_35_39_EAFW,P_35_39_EHW_NS,P_35_39_Tot,P_40_44_EWFT,P_40_44_EWPT,P_40_44_EAFW,P_40_44_EHW_NS,P_40_44_Tot,P_45_49_EWFT,P_45_49_EWPT,P_45_49_EAFW,P_45_49_EHW_NS,P_45_49_Tot,P_50_54_EWFT,P_50_54_EWPT,P_50_54_EAFW,P_50_54_EHW_NS,P_50_54_Tot,P_55_59_EWFT,P_55_59_EWPT,P_55_59_EAFW,P_55_59_EHW_NS,P_55_59_Tot,P_60_64_EWFT,P_60_64_EWPT,P_60_64_EAFW,P_60_64_EHW_NS,P_60_64_Tot,P_65_69_EWFT,P_65_69_EWPT,P_65_69_EAFW,P_65_69_EHW_NS,P_65_69_Tot,P_70_74_EWFT,P_70_74_EWPT,P_70_74_EAFW,P_70_74_EHW_NS,P_70_74_Tot
2GMEL,8634,32559,4670,799,46666,50146,49545,6014,2705,108412,101246,34778,4483,3753,144257,122693,25605,4682,3412,156393,129027,22165,4116,2968,158276,113123,18010,3164,2143,136437,103228,16846,2951,1677,124695,94156,16438,3246,1606,115451,77649,16452,3362,1236,98697,51039,17317,3275,859,72487,20337,12886,1925,465,35608,6080,7653,814,241,14789,2231,4618,502,298,7654,879588,274876,43196,22163,1219824,2850,43732,6424,751,53747,37501,62221,8474,2183,110372,85850,45055,8137,2482,141525,83855,51426,13572,2435,151291,73536,59076,10829,1956,145399,65920,52496,5060,1409,124884,66221,49206,3930,1278,120641,61739,46243,4288,1202,113474,46172,39917,4299,960,91341,26762,32124,3838,640,63362,9043,16145,2047,338,27568,2091,6499,725,214,9537,531,2490,367,282,3665,562066,506629,71977,16129,1156803,11477,76289,11093,1551,100417,87648,111767,14486,4884,218779,187093,79831,12620,6239,285784,206551,77032,18257,5851,307684,202561,81244,14948,4924,303680,179039,70514,8225,3552,261327,169455,66050,6880,2955,245336,155894,62688,7534,2807,228924,123819,56368,7660,2200,190040,77796,49444,7104,1502,135845,29378,29030,3966,801,63174,8170,14155,1539,456,24325
2RVIC,6037,12231,1626,518,20403,17394,8664,1251,680,27993,23995,6362,1018,845,32228,25527,4937,996,720,32176,25117,4699,901,642,31355,23642,4151,924,524,29238,25019,4453,892,547,30909,25316,4751,1149,636,31854,23396,5586,1431,535,30956,17696,7121,1670,431,26917,7714,5700,975,310,14704,2846,3409,350,204,6824,1802,2246,251,296,4599,225509,74301,13425,6910,320149,2333,16545,2363,557,21795,11219,14263,1961,602,28043,16475,12436,2642,592,32149,13374,15388,3426,552,32743,12618,17628,2322,506,33073,14088,16421,1355,438,32307,16897,16405,1309,492,35100,16904,16571,1656,486,35618,14274,17049,2088,396,33807,9218,14950,1977,362,26504,3262,7248,989,235,11736,1004,2820,314,170,4304,471,1212,178,262,2121,132142,168942,22576,5639,329298,8374,28778,3987,1073,42203,28612,22927,3213,1280,56029,40469,18801,3655,1443,64370,38902,20323,4416,1278,64915,37733,22319,3217,1150,64429,37734,20573,2280,960,61547,41921,20857,2197,1042,66013,42220,21319,2812,1121,67467,37670,22634,3520,934,64756,26909,22073,3653,792,53421,10980,12952,1959,544,26438,3853,6232,669,375,11129
29499,2302,1430,285,107,4121,6459,2868,455,275,10056,7997,2792,432,307,11532,8732,2737,491,330,12284,7820,2503,467,299,11092,6501,2365,428,218,9511,6220,2424,511,189,9338,5751,2801,518,197,9267,4666,2792,552,133,8143,3164,2886,618,122,6790,1259,1984,367,58,3663,368,967,162,38,1531,168,578,152,50,941,61412,29131,5416,2321,98277,114,815,179,51,1155,802,2350,351,117,3625,1549,1981,370,135,4026,1561,2235,521,140,4447,1369,2441,486,102,4398,1253,2253,349,101,3957,1243,2481,349,109,4179,1196,2604,348,92,4252,873,2537,354,69,3824,524,1998,359,71,2949,165,1027,190,24,1410,51,426,109,29,617,45,210,64,36,351,10738,23349,4039,1066,39201,2415,2243,464,155,5273,7261,5219,804,392,13672,9549,4775,804,437,15558,10291,4969,1009,464,16737,9189,4945,952,399,15491,7749,4618,776,322,13467,7461,4906,856,299,13522,6952,5406,867,293,13516,5538,5326,902,208,11974,3689,4886,977,192,9740,1426,3015,554,79,5077,427,1393,270,62,2149
29799,0,0,0,0,3,3,0,0,0,5,5,0,0,0,5,15,3,0,0,19,10,4,3,0,18,17,0,4,0,26,22,0,3,0,31,32,3,0,0,30,21,0,3,0,30,11,5,6,0,18,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,147,10,19,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,16,0,0,0,0,3,3,0,0,0,5,5,0,0,0,5,18,3,0,0,20,11,4,3,0,14,19,0,4,0,24,24,3,3,0,36,29,3,0,0,35,33,0,3,0,35,11,5,6,0,18,5,0,0,0,5,0,0,0,0,0
