POW_GCCSA_CODE_2021,TYP_lthc_arth_A_15_24,TYP_ltch_arth_A_25_34,TYP_lthc_arth_A_35_34,TYP_lthc_arth_A_45_54,TYP_lthc_arth_A_55_64,TYP_lthc_arth_A_65_74,TYP_lthc_arth_A_75ov,TYP_lthc_arth_A_tot,TYP_lthc_asth_A_15_24,TYP_lthc_asth_A_25_34,TYP_lthc_asth_A_35_34,TYP_lthc_asth_A_45_54,TYP_lthc_asth_A_55_64,TYP_lthc_asth_A_65_74,TYP_lthc_asth_A_75ov,TYP_lthc_asth_A_tot,TYP_lthc_canc_A_15_24,TYP_lthc_canc_A_25_34,TYP_lthc_canc_A_35_34,TYP_lthc_canc_A_45_54,TYP_lthc_canc_A_55_64,TYP_lthc_canc_A_65_74,TYP_lthc_canc_A_75ov,TYP_lthc_canc_A_tot,TYP_lthc_demen_A_15_24,TYP_lthc_demen_A_25_34,TYP_lthc_demen_A_35_34,TYP_lthc_demen_A_45_54,TYP_lthc_demen_A_55_64,TYP_lthc_demen_A_65_74,TYP_lthc_demen_A_75ov,TYP_lthc_demen_A_tot,TYP_lthc_diab_A_15_24,TYP_lthc_diab_A_25_34,TYP_lthc_diab_A_35_34,TYP_lthc_diab_A_45_54,TYP_lthc_diab_A_55_64,TYP_lthc_diab_A_65_74,TYP_lthc_diab_A_75ov,TYP_lthc_diab_A_tot,TYP_lthc_hear_A_15_24,TYP_lthc_hear_A_25_34,TYP_lthc_hear_A_35_34,TYP_lthc_hear_A_45_54,TYP_lthc_hear_A_55_64,TYP_lthc_hear_A_65_74,TYP_lthc_hear_A_75ov,TYP_lthc_hear_A_tot,TYP_lthc_kidn_A_15_24,TYP_lthc_kidn_A_25_34,TYP_lthc_kidn_A_35_34,TYP_lthc_kidn_A_45_54,TYP_lthc_kidn_A_55_64,TYP_lthc_kidn_A_65_74,TYP_lthc_kidn_A_75ov,TYP_lthc_kidn_A_tot,TYP_lthc_lung_A_15_24,TYP_lthc_lung_A_25_34,TYP_lthc_lung_A_35_34,TYP_lthc_lung_A_45_54,TYP_lthc_lung_A_55_64,TYP_lthc_lung_A_65_74,TYP_lthc_lung_A_75ov,TYP_lthc_lung_A_tot,TYP_lthc_ment_A_15_24,TYP_lthc_ment_A_25_34,TYP_lthc_ment_A_35_34,TYP_lthc_ment_A_45_54,TYP_lthc_ment_A_55_64,TYP_lthc_ment_A_65_74,TYP_lthc_ment_A_75ov,TYP_lthc_ment_A_tot,TYP_lthc_stro_A_15_24,TYP_lthc_stro_A_25_34,TYP_lthc_stro_A_35_34,TYP_lthc_stro_A_45_54,TYP_lthc_stro_A_55_64,TYP_lthc_stro_A_65_74,TYP_lthc_stro_A_75ov,TYP_lthc_stro_A_tot,TYP_lthc_AO_lthc_A_15_24,TYP_lthc_AO_lthc_A_25_34,TYP_lthc_AO_lthc_A_35_34,TYP_lthc_AO_lthc_A_45_54,TYP_lthc_AO_lthc_A_55_64,TYP_lthc_AO_lthc_A_65_74,TYP_lthc_AO_lthc_A_75ov,TYP_lthc_AO_lthc_A_tot,TYP_lthc_NO_lthc_A_15_24,TYP_lthc_NO_lthc_A_25_34,TYP_lthc_NO_lthc_A_35_34,TYP_lthc_NO_lthc_A_45_54,TYP_lthc_NO_lthc_A_55_64,TYP_lthc_NO_lthc_A_65_74,TYP_lthc_NO_lthc_A_75ov,TYP_lthc_NO_lthc_A_tot,TYP_lthc_NS_A_15_24,TYP_lthc_NS_A_25_34,TYP_lthc_NS_A_35_34,TYP_lthc_NS_A_45_54,TYP_lthc_NS_A_55_64,TYP_lthc_NS_A_65_74,TYP_lthc_NS_A_75ov,TYP_lthc_NS_A_tot,TYP_lthc_Tot_A_15_24,TYP_lthc_Tot_A_25_34,TYP_lthc_Tot_A_35_34,TYP_lthc_Tot_A_45_54,TYP_lthc_Tot_A_55_64,TYP_lthc_Tot_A_65_74,TYP_lthc_Tot_A_75ov,TYP_lthc_Tot_A_tot,CNT_lthc_NONE_A_15_24,CNT_lthc_NONE_A_25_34,CNT_lthc_NONE_A_35_34,CNT_lthc_NONE_A_45_54,CNT_lthc_NONE_A_55_64,CNT_lthc_NONE_A_65_74,CNT_lthc_NONE_A_75ov,CNT_lthc_NONE_A_tot,CNT_lthc_ONE_A_15_24,CNT_lthc_ONE_A_25_34,CNT_lthc_ONE_A_35_34,CNT_lthc_ONE_A_45_54,CNT_lthc_ONE_A_55_64,CNT_lthc_ONE_A_65_74,CNT_lthc_ONE_A_75ov,CNT_lthc_ONE_A_tot,CNT_lthc_TWO_A_15_24,CNT_lthc_TWO_A_25_34,CNT_lthc_TWO_A_35_34,CNT_lthc_TWO_A_45_54,CNT_lthc_TWO_A_55_64,CNT_lthc_TWO_A_65_74,CNT_lthc_TWO_A_75ov,CNT_lthc_TWO_A_tot,CNT_lthc_THREEmo_A_15_24,CNT_lthc_THREEmo_A_25_34,CNT_lthc_THREEmo_A_35_34,CNT_lthc_THREEmo_A_45_54,CNT_lthc_THREEmo_A_55_64,CNT_lthc_THREEmo_A_65_74,CNT_lthc_THREEmo_A_75ov,CNT_lthc_THREEmo_A_tot,CNT_lthc_ONEmo_Tot_A_15_24,CNT_lthc_ONEmo_Tot_A_25_34,CNT_lthc_ONEmo_Tot_A_35_34,CNT_lthc_ONEmo_Tot_A_45_54,CNT_lthc_ONEmo_Tot_A_55_64,CNT_lthc_ONEmo_Tot_A_65_74,CNT_lthc_ONEmo_Tot_A_75ov,CNT_lthc_ONEmo_Tot_A_tot,CNT_lthc_NS_A_15_24,CNT_lthc_NS_Tot_A_25_34,CNT_lthc_NS_Tot_A_35_34,CNT_lthc_NS_Tot_A_45_54,CNT_lthc_NS_Tot_A_55_64,CNT_lthc_NS_Tot_A_65_74,CNT_lthc_NS_Tot_A_75ov,CNT_lthc_NS_Tot_A_tot,CNT_lthc_Tot_A_15_24,CNT_lthc_Tot_A_25_34,CNT_lthc_Tot_A_35_34,CNT_lthc_Tot_A_45_54,CNT_lthc_Tot_A_55_64,CNT_lthc_Tot_A_65_74,CNT_lthc_Tot_A_75ov,CNT_lthc_Tot_A_tot
2GMEL,1363,5995,12224,25783,36991,15316,2776,100445,28328,54842,50154,38950,24684,6850,824,204628,573,2204,4659,9922,13927,6762,1378,39412,29,58,48,96,133,94,103,556,1505,4809,12156,20300,25469,9795,1494,75535,592,1510,3075,8015,15406,8534,2096,39219,389,1060,1661,2270,2485,1144,318,9343,275,690,1073,2355,4017,2155,500,11072,32097,59755,45843,35791,19836,3609,324,197255,100,336,728,1635,2202,1140,337,6482,14471,31730,34683,36464,30323,8699,1068,157446,242796,448859,417754,319820,188704,41740,4139,1663807,10114,13458,14014,15485,11177,2650,381,67280,319199,593469,565006,474252,325887,87496,11322,2376630,251525,467670,440136,343028,206541,46256,4581,1759735,50326,95039,92768,91938,79718,26172,3783,439742,6868,15955,15810,19255,21792,9090,1727,90494,357,1345,2276,4548,6662,3328,848,19370,57554,112345,110858,115741,108174,38586,6354,549611,10114,13458,14014,15485,11177,2650,381,67280,319199,593469,565006,474252,325887,87496,11322,2376630
2RVIC,583,2177,4652,10682,18020,8096,1743,45951,10614,14880,14417,12734,10212,3061,488,66408,197,558,1355,3081,5427,2956,781,14363,18,17,22,44,62,48,73,285,602,1445,2641,5429,8048,3672,749,22589,249,515,892,2633,5945,3843,1224,15309,147,290,430,714,996,479,141,3193,119,237,465,1048,2333,1232,314,5741,11912,17465,15734,14542,9634,1966,172,71433,48,125,272,567,915,555,191,2682,4898,7837,8837,10400,10164,3230,535,45894,70316,90088,84074,83733,64864,17375,2493,412939,3896,3521,3853,4834,4141,1148,292,21688,98234,129291,125977,133479,118181,37564,6723,649447,73170,94436,89150,89566,70299,18880,2723,438224,18080,25646,26333,29307,30560,11460,2241,143631,2917,5108,5580,7670,9678,4362,950,36272,174,577,1057,2095,3502,1717,514,9631,21169,31327,32973,39080,43744,17539,3705,189532,3896,3521,3853,4834,4141,1148,292,21688,98234,129291,125977,133479,118181,37564,6723,649447
29499,91,441,772,1723,2707,1366,330,7425,1658,2909,2611,2139,1540,484,81,11411,33,118,245,507,837,539,155,2433,0,10,5,7,9,8,12,48,103,264,553,1104,1563,725,167,4477,42,92,176,580,1235,741,206,3070,25,73,89,122,180,78,25,595,13,53,100,221,396,215,55,1056,1663,3357,2848,2465,1575,384,41,12332,6,23,48,97,165,118,34,487,763,1521,1592,1886,1865,688,99,8416,14588,24358,21125,18109,12541,3432,494,94651,678,866,788,921,769,204,61,4283,18954,32300,28956,27033,21711,7223,1298,137478,15039,25185,22091,19205,13554,3793,535,99402,2839,5291,4982,5342,5296,2173,436,26349,376,858,905,1200,1560,776,186,5861,14,99,198,366,534,287,82,1574,3232,6242,6083,6907,7390,3231,704,33790,678,866,788,921,769,204,61,4283,18954,32300,28956,27033,21711,7223,1298,137478
29799,0,0,0,0,7,0,0,10,0,0,0,4,3,0,0,10,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,9,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,6,7,5,0,0,13,7,19,33,48,36,6,0,148,0,0,0,0,0,0,0,5,7,27,42,68,50,12,0,194,7,19,37,48,33,6,0,152,0,0,0,10,11,4,0,31,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,17,15,6,0,36,0,0,0,0,0,0,0,5,7,27,42,68,50,12,0,194
