POW_GCCSA_CODE_2021,AgFF_AgFF_nfd_M,AgFF_AgFF_nfd_F,AgFF_AgFF_nfd_P,AgFF_Agriculture_M,AgFF_Agriculture_F,AgFF_Agriculture_P,AgFF_Aquaculture_M,AgFF_Aquaculture_F,AgFF_Aquaculture_P,AgFF_Forestry_logging_M,AgFF_Forestry_logging_F,AgFF_Forestry_logging_P,AgFF_Fishing_hunt_trap_M,AgFF_Fishing_hunt_trap_F,AgFF_Fishing_hunt_trap_P,AgFF_AgFF_support_Svs_M,AgFF_AgFF_support_Svs_F,AgFF_AgFF_support_Svs_P,AgFF_Tot_M,AgFF_Tot_F,AgFF_Tot_P,Min_Min_nfd_M,Min_Min_nfd_F,Min_Min_nfd_P,Min_Coal_min_M,Min_Coal_min_F,Min_Coal_min_P,Min_Oil_gas_extrac_M,Min_Oil_gas_extrac_F,Min_Oil_gas_extrac_P,Min_Metal_ore_min_M,Min_Metal_ore_min_F,Min_Metal_ore_min_P,Min_NonMet_minral_min_quar_M,Min_NonMet_minral_min_quar_F,Min_NonMet_minral_min_quar_P,Min_Expl_oth_min_supt_Svs_M,Min_Expl_oth_min_supt_Svs_F,Min_Expl_oth_min_supt_Svs_P,Min_Tot_M,Min_Tot_F,Min_Tot_P,Mnf_Mnf_nfd_M,Mnf_Mnf_nfd_F,Mnf_Mnf_nfd_P,Mnf_Food_pdt_mnf_M,Mnf_Food_pdt_mnf_F,Mnf_Food_pdt_mnf_P,Mnf_Beverag_tobac_pdt_mnf_M,Mnf_Beverag_tobac_pdt_mnf_F,Mnf_Beverag_tobac_pdt_mnf_P,Mnf_Tex_leath_clo_footw_mnf_M,Mnf_Tex_leath_clo_footw_mnf_F,Mnf_Tex_leath_clo_footw_mnf_P,Mnf_Wood_pdt_mnf_M,Mnf_Wood_pdt_mnf_F,Mnf_Wood_pdt_mnf_P,Mnf_Pul_pap_cvertd_pap_mnf_M,Mnf_Pul_pap_cvertd_pap_mnf_F,Mnf_Pul_pap_cvertd_pap_mnf_P,Mnf_Print_inc_repdtn_RM_mnf_M,Mnf_Print_inc_repdtn_RM_mnf_F,Mnf_Print_inc_repdtn_RM_mnf_P,Mnf_Petroleum_coal_pdt_mnf_M,Mnf_Petroleum_coal_pdt_mnf_F,Mnf_Petroleum_coal_pdt_mnf_P,Mnf_Bas_che_and_chem_pr_mnf_M,Mnf_Bas_che_and_chem_pr_mnf_F,Mnf_Bas_che_and_chem_pr_mnf_P,Mnf_Polym_pd_rubber_pd_mnf_M,Mnf_Polym_pd_rubber_pd_mnf_F,Mnf_Polym_pd_rubber_pd_mnf_P,Mnf_NonMet_mineral_pdt_mnf_M,Mnf_NonMet_mineral_pdt_mnf_F,Mnf_NonMet_mineral_pdt_mnf_P,Mnf_Pri_met_and_met_pr_mnf_M,Mnf_Pri_met_and_met_pr_mnf_F,Mnf_Pri_met_and_met_pr_mnf_P,Mnf_Fab_metal_pdt_mnf_M,Mnf_Fab_metal_pdt_mnf_F,Mnf_Fab_metal_pdt_mnf_P,Mnf_Transpt_equip_mnf_M,Mnf_Transpt_equip_mnf_F,Mnf_Transpt_equip_mnf_P,Mnf_Machin_and_equip_mnf_M,Mnf_Machin_and_equip_mnf_F,Mnf_Machin_and_equip_mnf_P,Mnf_Furnitur_and_oth_mnf_M,Mnf_Furnitur_and_oth_mnf_F,Mnf_Furnitur_and_oth_mnf_P,Mnf_Tot_M,Mnf_Tot_F,Mnf_Tot_P,EGWWS_EGWWS_nfd_M,EGWWS_EGWWS_nfd_F,EGWWS_EGWWS_nfd_P,EGWWS_ElecSup_M,EGWWS_ElecSup_F,EGWWS_ElecSup_P,EGWWS_GasSup_M,EGWWS_GasSup_F,EGWWS_GasSup_P,EGWWS_WatSup_SDS_M,EGWWS_WatSup_SDS_F,EGWWS_WatSup_SDS_P,EGWWS_WasteCTDS_M,EGWWS_WasteCTDS_F,EGWWS_WasteCTDS_P,EGWWS_Tot_M,EGWWS_Tot_F,EGWWS_Tot_P,Const_Const_nfd_M,Const_Const_nfd_F,Const_Const_nfd_P,Const_Blding_Const_M,Const_Blding_Const_F,Const_Blding_Const_P,Const_HeavyCivl_eng_Const_M,Const_HeavyCivl_eng_Const_F,Const_HeavyCivl_eng_Const_P,Const_Const_Svs_M,Const_Const_Svs_F,Const_Const_Svs_P,Const_Tot_M,Const_Tot_F,Const_Tot_P,WST_WST_nfd_M,WST_WST_nfd_F,WST_WST_nfd_P,WST_Basic_matl_W_M,WST_Basic_matl_W_F,WST_Basic_matl_W_P,WST_Machin_and_equip_W_M,WST_Machin_and_equip_W_F,WST_Machin_and_equip_W_P,WST_MotV_and_motV_partsW_M,WST_MotV_and_motV_partsW_F,WST_MotV_and_motV_partsW_P,WST_GrocLiq_and_tob_pdtW_M,WST_GrocLiq_and_tob_pdtW_F,WST_GrocLiq_and_tob_pdtW_P,WST_Oth_gds_W_M,WST_Oth_gds_W_F,WST_Oth_gds_W_P,WST_Comm_based_W_M,WST_Comm_based_W_F,WST_Comm_based_W_P,WST_Tot_M,WST_Tot_F,WST_Tot_P,RetT_RetT_nfd_M,RetT_RetT_nfd_F,RetT_RetT_nfd_P,RetT_MotV_and_motV_partsR_M,RetT_MotV_and_motV_partsR_F,RetT_MotV_and_motV_partsR_P,RetT_Fuel_ret_M,RetT_Fuel_ret_F,RetT_Fuel_ret_P,RetT_Food_ret_M,RetT_Food_ret_F,RetT_Food_ret_P,RetT_Oth_store_based_ret_M,RetT_Oth_store_based_ret_F,RetT_Oth_store_based_ret_P,RetT_NonSR_and_RCB_buy_sell_M,RetT_NonSR_and_RCB_buy_sell_F,RetT_NonSR_and_RCB_buy_sell_P,RetT_Tot_M,RetT_Tot_F,RetT_Tot_P,AcFd_AcFd_nfd_M,AcFd_AcFd_nfd_F,AcFd_AcFd_nfd_P,AcFd_Accomm_M,AcFd_Accomm_F,AcFd_Accomm_P,AcFd_FoodBev_Svs_M,AcFd_FoodBev_Svs_F,AcFd_FoodBev_Svs_P,AcFd_Tot_M,AcFd_Tot_F,AcFd_Tot_P,TPW_TPW_nfd_M,TPW_TPW_nfd_F,TPW_TPW_nfd_P,TPW_RoadTspt_M,TPW_RoadTspt_F,TPW_RoadTspt_P,TPW_RailTspt_M,TPW_RailTspt_F,TPW_RailTspt_P,TPW_WaterTspt_M,TPW_WaterTspt_F,TPW_WaterTspt_P,TPW_Air_space_tspt_M,TPW_Air_space_tspt_F,TPW_Air_space_tspt_P,TPW_Oth_tspt_M,TPW_Oth_tspt_F
2GMEL,109,85,189,7414,5169,12584,83,40,122,260,91,351,98,33,132,919,496,1411,8880,5908,14793,412,111,522,96,25,119,471,198,668,754,343,1097,761,126,889,326,104,431,2822,911,3732,10553,3978,14532,20238,17265,37502,3592,1824,5413,2562,3885,6449,3589,906,4493,3363,1167,4533,5330,2592,7922,534,134,667,6952,5548,12493,6513,2624,9141,5077,1151,6232,6640,1362,8004,7805,2003,9803,14542,3059,17599,11329,3811,15142,7022,2254,9276,115645,53560,169209,458,192,652,7690,4273,11963,826,436,1257,2885,1881,4768,5482,1460,6941,17340,8242,25584,7928,1926,9856,44753,11668,56420,16918,4392,21306,89142,13704,102846,158746,31687,190432,2215,1480,3702,10695,4689,15385,12775,5419,18188,6095,2059,8152,7221,4481,11696,7710,8362,16072,472,381,857,47183,26871,74053,3695,3817,7508,11537,3593,15133,3173,1924,5097,36235,36123,72359,46614,78249,124860,1375,1437,2815,102630,125148,227777,168,116,279,5704,6373,12075,64763,69523,134284,70637,75999,146638,3936,1448,5380,35885,6194,42074,6516,2492,9007,844,377,1223,4474,2385,6861,620,278
2RVIC,314,118,437,30126,14020,44141,118,49,173,830,186,1018,217,65,282,2168,798,2961,33784,15233,49017,184,32,221,284,37,318,425,34,455,1382,222,1605,938,164,1102,492,80,573,3706,572,4274,2334,660,2994,13133,7668,20809,1740,972,2717,684,724,1416,2196,382,2576,1107,125,1228,593,369,963,222,44,273,762,329,1090,575,159,738,1489,257,1744,2169,353,2521,2143,363,2509,3171,505,3675,2171,551,2726,1220,265,1490,35723,13741,49470,76,23,109,2874,548,3421,213,157,370,2352,1106,3456,1708,334,2042,7226,2170,9396,2335,407,2744,10599,2321,12916,4952,850,5801,28521,3921,32442,46402,7496,53903,228,110,339,4669,1726,6391,1746,503,2247,996,234,1230,1363,689,2055,534,480,1018,240,100,341,9788,3838,13619,797,1089,1886,3665,1196,4862,1182,1464,2651,10634,14443,25077,10904,21269,32175,68,98,165,27260,39555,66812,50,57,105,3412,5344,8754,16340,22089,38428,19798,27493,47289,892,318,1207,10064,1733,11796,923,200,1123,109,39,154,269,107,378,419,275
29499,37,12,50,1381,545,1928,16,0,17,168,25,189,72,5,78,514,151,660,2182,739,2922,29,0,31,10,4,14,37,4,42,68,13,81,54,3,58,75,5,81,273,27,298,208,35,244,320,293,604,134,47,182,40,57,94,141,14,159,27,9,37,95,45,138,9,0,9,85,76,163,85,14,102,170,16,188,109,16,121,93,14,103,116,24,139,209,35,244,169,29,197,2004,724,2727,31,7,38,313,65,374,63,15,81,172,37,209,295,33,330,869,154,1029,1726,147,1874,12462,574,13035,2036,164,2202,35199,1290,36485,51416,2178,53597,60,33,92,314,72,385,370,126,490,52,18,70,171,100,272,169,248,421,49,49,109,1197,651,1844,158,201,356,118,38,158,70,31,103,513,446,957,924,1075,2003,49,54,101,1826,1848,3674,8,4,6,136,179,313,739,643,1388,886,826,1705,317,64,378,3698,292,3986,204,58,265,52,3,57,126,66,195,35,6
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,46,0,0,0,0,0,0,12,0,12,58,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,15,0,15,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,5,9,5,5,0,0,0,10,0,10,0,0,0,48,10,57,0,0,0,0,0
