POW_GCCSA_CODE_2021,M_NegNilInc_E,M_NegNilInc_OM_IE,M_NegNilInc_OM_UIE,M_NegNilInc_CFW,M_NegNilInc_ES_NS,M_NegNilInc_Tot,M_1_149_E,M_1_149_OM_IE,M_1_149_OM_UIE,M_1_149_CFW,M_1_149_ES_NS,M_1_149_Tot,M_150_299_E,M_150_299_OM_IE,M_150_299_OM_UIE,M_150_299_CFW,M_150_299_ES_NS,M_150_299_Tot,M_300_399_E,M_300_399_OM_IE,M_300_399_OM_UIE,M_300_399_CFW,M_300_399_ES_NS,M_300_399_Tot,M_400_499_E,M_400_499_OM_IE,M_400_499_OM_UIE,M_400_499_CFW,M_400_499_ES_NS,M_400_499_Tot,M_500_649_E,M_500_649_OM_IE,M_500_649_OM_UIE,M_500_649_CFW,M_500_649_ES_NS,M_500_649_Tot,M_650_799_E,M_650_799_OM_IE,M_650_799_OM_UIE,M_650_799_CFW,M_650_799_ES_NS,M_650_799_Tot,M_800_999_E,M_800_999_OM_IE,M_800_999_OM_UIE,M_800_999_CFW,M_800_999_ES_NS,M_800_999_Tot,M_1000_1249_E,M_1000_1249_OM_IE,M_1000_1249_OM_UIE,M_1000_1249_CFW,M_1000_1249_ES_NS,M_1000_1249_Tot,M_1250_1499_E,M_1250_1499_OM_IE,M_1250_1499_OM_UIE,M_1250_1499_CFW,M_1250_1499_ES_NS,M_1250_1499_Tot,M_1500_1749_E,M_1500_1749_OM_IE,M_1500_1749_OM_UIE,M_1500_1749_CFW,M_1500_1749_ES_NS,M_1500_1749_Tot,M_1750_1999_E,M_1750_1999_OM_IE,M_1750_1999_OM_UIE,M_1750_1999_CFW,M_1750_1999_ES_NS,M_1750_1999_Tot,M_2000_2999_E,M_2000_2999_OM_IE,M_2000_2999_OM_UIE,M_2000_2999_CFW,M_2000_2999_ES_NS,M_2000_2999_Tot,M_3000_3499_E,M_3000_3499_OM_IE,M_3000_3499_OM_UIE,M_3000_3499_CFW,M_3000_3499_ES_NS,M_3000_3499_Tot,M_3500mo_E,M_3500mo_OM_IE,M_3500mo_OM_UIE,M_3500mo_CFW,M_3500mo_ES_NS,M_3500mo_Tot,M_PersInc_NS_E,M_PersInc_NS_OM_IE,M_PersInc_NS_OM_UIE,M_PersInc_NS_CFW,M_PersInc_NS_ES_NS,M_PersInc_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_NegNilInc_E,F_NegNilInc_OM_IE,F_NegNilInc_OM_UIE,F_NegNilInc_CFW,F_NegNilInc_ES_NS,F_NegNilInc_Tot,F_1_149_E,F_1_149_OM_IE,F_1_149_OM_UIE,F_1_149_CFW,F_1_149_ES_NS,F_1_149_Tot,F_150_299_E,F_150_299_OM_IE,F_150_299_OM_UIE,F_150_299_CFW,F_150_299_ES_NS,F_150_299_Tot,F_300_399_E,F_300_399_OM_IE,F_300_399_OM_UIE,F_300_399_CFW,F_300_399_ES_NS,F_300_399_Tot,F_400_499_E,F_400_499_OM_IE,F_400_499_OM_UIE,F_400_499_CFW,F_400_499_ES_NS,F_400_499_Tot,F_500_649_E,F_500_649_OM_IE,F_500_649_OM_UIE,F_500_649_CFW,F_500_649_ES_NS,F_500_649_Tot,F_650_799_E,F_650_799_OM_IE,F_650_799_OM_UIE,F_650_799_CFW,F_650_799_ES_NS,F_650_799_Tot,F_800_999_E,F_800_999_OM_IE,F_800_999_OM_UIE,F_800_999_CFW,F_800_999_ES_NS,F_800_999_Tot,F_1000_1249_E,F_1000_1249_OM_IE,F_1000_1249_OM_UIE,F_1000_1249_CFW,F_1000_1249_ES_NS,F_1000_1249_Tot,F_1250_1499_E,F_1250_1499_OM_IE,F_1250_1499_OM_UIE,F_1250_1499_CFW,F_1250_1499_ES_NS,F_1250_1499_Tot,F_1500_1749_E,F_1500_1749_OM_IE,F_1500_1749_OM_UIE,F_1500_1749_CFW,F_1500_1749_ES_NS,F_1500_1749_Tot,F_1750_1999_E,F_1750_1999_OM_IE,F_1750_1999_OM_UIE,F_1750_1999_CFW,F_1750_1999_ES_NS,F_1750_1999_Tot,F_2000_2999_E,F_2000_2999_OM_IE,F_2000_2999_OM_UIE,F_2000_2999_CFW,F_2000_2999_ES_NS,F_2000_2999_Tot,F_3000_3499_E,F_3000_3499_OM_IE,F_3000_3499_OM_UIE,F_3000_3499_CFW,F_3000_3499_ES_NS,F_3000_3499_Tot,F_3500mo_E,F_3500mo_OM_IE,F_3500mo_OM_UIE,F_3500mo_CFW,F_3500mo_ES_NS,F_3500mo_Tot,F_PersInc_NS_E,F_PersInc_NS_OM_IE,F_PersInc_NS_OM_UIE,F_PersInc_NS_CFW,F_PersInc_NS_ES_NS,F_PersInc_NS_Tot,F_Tot_E,F_Tot_OM_IE
2GMEL,3294,788,659,1902,134,6772,21578,431,1000,494,123,23623,20684,820,1822,649,175,24158,19164,1684,2910,888,273,24921,24034,2381,3704,846,329,31293,39594,4476,5935,1031,465,51495,57144,6850,6924,1003,591,72503,101005,9780,9006,1086,902,121771,133121,12958,10341,1090,844,158358,111012,10980,7646,652,517,130807,101617,12960,6347,561,480,121957,80650,9700,4383,400,290,95427,167160,17509,6531,553,398,192151,42636,6788,1987,187,125,51718,73223,19185,6546,442,277,99669,9404,1483,883,246,1198,13219,1005302,118777,76606,12015,7116,1219824,4003,364,572,2272,131,7345,31883,437,2236,928,151,35637,37650,910,3538,1090,262,43448,38811,1642,3872,1224,329,45877,46950,1895,4128,1030,364,54362,76874,3030,5681,1259,466,87311,96776,3828,5866,1046,498,108018,123628,4463,5870,921,495,135379,140277,5083,5763,839,449,152408,112716,3927,4031,479,250,121394,98143,4283,3251,440,222,106339,68154,3034,2281,295,132,73896,105796,5361,3495,418,176,115254,19893,2235,1201,181,50,23566,27923,4980,2861,346,109,36204,8471,497,489,261,658,10376,1037953,45966
2RVIC,757,190,426,1151,104,2630,8055,112,394,396,104,9067,5724,260,820,554,139,7500,4963,488,1334,708,222,7715,7296,775,1766,640,257,10733,12833,1384,2556,749,378,17894,19047,1888,3007,678,411,25036,32802,2759,3729,682,496,40462,40519,3858,4253,687,535,49851,28928,3217,3138,462,333,36072,24487,3437,2786,357,290,31353,17931,2427,1845,220,181,22602,28868,4053,2391,320,247,35873,4887,1425,688,100,63,7166,6395,3448,1669,267,145,11923,2595,424,522,297,443,4276,246082,30155,31311,8265,4340,320149,907,76,264,1199,56,2501,11706,106,676,498,141,13125,11273,301,1265,710,178,13713,11928,494,1572,755,218,14963,16095,609,1793,668,274,19426,28703,1031,2453,729,361,33276,36105,1273,2432,636,318,40765,40975,1480,2473,538,323,45778,39716,1698,2329,518,282,44536,27223,1248,1554,324,172,30518,21867,1293,1245,267,156,24837,13576,854,790,168,70,15461,16758,1369,1139,207,76,19550,1977,511,335,83,22,2928,2340,1100,722,193,69,4423,2508,194,302,252,239,3502,283648,13627
29499,314,92,154,212,32,803,1062,47,302,69,19,1501,1112,100,709,69,50,2038,1359,248,1113,106,54,2889,2084,312,1376,111,99,3977,3894,667,2342,128,155,7186,4659,1077,2847,123,163,8868,6283,1530,3584,135,229,11761,7390,2090,4327,99,217,14127,5988,1905,3399,70,154,11510,5254,1965,2833,65,123,10237,3911,1314,1779,47,61,7115,5784,1765,2041,65,68,9720,1233,462,347,21,13,2073,1601,731,516,45,28,2913,808,222,333,31,182,1568,52735,14525,27992,1393,1637,98277,237,14,84,211,10,561,1017,31,459,63,24,1592,1541,75,844,90,49,2592,1790,89,886,91,46,2901,2056,114,930,78,54,3233,3140,166,1294,118,83,4810,3180,175,1153,69,57,4637,3113,216,973,78,52,4422,3049,217,925,68,44,4305,1995,177,512,39,18,2738,1585,169,420,45,16,2229,1011,105,248,24,13,1397,1471,161,299,39,18,1992,316,64,76,8,0,466,444,127,155,25,8,762,367,39,75,22,57,570,26314,1948
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,15,0,0,0,0,10,0,0,0,0,0,0,7,0,0,0,0,7,10,0,0,0,0,10,54,0,0,0,0,59,18,0,0,0,0,19,58,0,0,0,0,58,0,0,0,0,0,0,179,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,8,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,16,0
