POW_GCCSA_CODE_2021,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
2GMEL,15626,2888,1211,261327,202574,23137,15688,2748,1189,245336,186363,23343,15297,2758,1166,228924,152987,19900,13513,2530,1117,190040,106441,14958,11150,2298,994,135845,44713,9090,6981,1815,573,63174,13617,5145,3784,1426,355,24325,4632,2783,2150,1274,477,11322,2043253,164745,131740,25030,11858,2376630
2RVIC,5036,1090,541,61547,52264,5966,5851,1249,676,66013,52633,6432,6149,1481,776,67467,50035,5819,6335,1748,823,64756,38938,4953,6594,2090,841,53421,16044,3153,4670,1982,583,26438,4485,1694,2801,1784,369,11129,1407,964,1964,1818,574,6723,529728,43779,52647,16009,7284,649447
29499,3872,230,213,13467,6693,2195,4220,215,204,13522,6267,2248,4507,232,263,13516,5443,1834,4211,240,250,11974,4164,1383,3707,226,262,9740,1906,795,2019,214,139,5077,707,340,872,163,78,2149,326,189,453,240,86,1298,79049,16470,37324,2452,2182,137478
29799,0,0,0,24,36,0,0,0,0,36,34,0,0,0,0,35,34,0,0,0,0,35,12,0,0,0,0,18,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,194
