POW_GCCSA_CODE_2021,M_Tot_H_0,M_Tot_H_1_19,M_Tot_H_20_29,M_Tot_H_30_34,M_Tot_H_35_39,M_Tot_H_40_44,M_Tot_H_45_49,M_Tot_H_50ov,M_Tot_H_NS,M_Tot_H_Tot,F_AgFF_H_0,F_AgFF_H_1_19,F_AgFF_H_20_29,F_AgFF_H_30_34,F_AgFF_H_35_39,F_AgFF_H_40_44,F_AgFF_H_45_49,F_AgFF_H_50ov,F_AgFF_H_NS,F_AgFF_H_Tot,F_Min_H_0,F_Min_H_1_19,F_Min_H_20_29,F_Min_H_30_34,F_Min_H_35_39,F_Min_H_40_44,F_Min_H_45_49,F_Min_H_50ov,F_Min_H_NS,F_Min_H_Tot,F_Mnf_H_0,F_Mnf_H_1_19,F_Mnf_H_20_29,F_Mnf_H_30_34,F_Mnf_H_35_39,F_Mnf_H_40_44,F_Mnf_H_45_49,F_Mnf_H_50ov,F_Mnf_H_NS,F_Mnf_H_Tot,F_EGWWS_H_0,F_EGWWS_H_1_19,F_EGWWS_H_20_29,F_EGWWS_H_30_34,F_EGWWS_H_35_39,F_EGWWS_H_40_44,F_EGWWS_H_45_49,F_EGWWS_H_50ov,F_EGWWS_H_NS,F_EGWWS_H_Tot,F_Const_H_0,F_Const_H_1_19,F_Const_H_20_29,F_Const_H_30_34,F_Const_H_35_39,F_Const_H_40_44,F_Const_H_45_49,F_Const_H_50ov,F_Const_H_NS,F_Const_H_Tot,F_WST_H_0,F_WST_H_1_19,F_WST_H_20_29,F_WST_H_30_34,F_WST_H_35_39,F_WST_H_40_44,F_WST_H_45_49,F_WST_H_50ov,F_WST_H_NS,F_WST_H_Tot,F_RetT_H_0,F_RetT_H_1_19,F_RetT_H_20_29,F_RetT_H_30_34,F_RetT_H_35_39,F_RetT_H_40_44,F_RetT_H_45_49,F_RetT_H_50ov,F_RetT_H_NS,F_RetT_H_Tot,F_AcFd_H_0,F_AcFd_H_1_19,F_AcFd_H_20_29,F_AcFd_H_30_34,F_AcFd_H_35_39,F_AcFd_H_40_44,F_AcFd_H_45_49,F_AcFd_H_50ov,F_AcFd_H_NS,F_AcFd_H_Tot,F_TPW_H_0,F_TPW_H_1_19,F_TPW_H_20_29,F_TPW_H_30_34,F_TPW_H_35_39,F_TPW_H_40_44,F_TPW_H_45_49,F_TPW_H_50ov,F_TPW_H_NS,F_TPW_H_Tot,F_IMT_H_0,F_IMT_H_1_19,F_IMT_H_20_29,F_IMT_H_30_34,F_IMT_H_35_39,F_IMT_H_40_44,F_IMT_H_45_49,F_IMT_H_50ov,F_IMT_H_NS,F_IMT_H_Tot,F_FinIns_H_0,F_FinIns_H_1_19,F_FinIns_H_20_29,F_FinIns_H_30_34,F_FinIns_H_35_39,F_FinIns_H_40_44,F_FinIns_H_45_49,F_FinIns_H_50ov,F_FinIns_H_NS,F_FinIns_H_Tot,F_RHRE_H_0,F_RHRE_H_1_19,F_RHRE_H_20_29,F_RHRE_H_30_34,F_RHRE_H_35_39,F_RHRE_H_40_44,F_RHRE_H_45_49,F_RHRE_H_50ov,F_RHRE_H_NS,F_RHRE_H_Tot,F_ProSTS_H_0,F_ProSTS_H_1_19,F_ProSTS_H_20_29,F_ProSTS_H_30_34,F_ProSTS_H_35_39,F_ProSTS_H_40_44,F_ProSTS_H_45_49,F_ProSTS_H_50ov,F_ProSTS_H_NS,F_ProSTS_H_Tot,F_AdSup_H_0,F_AdSup_H_1_19,F_AdSup_H_20_29,F_AdSup_H_30_34,F_AdSup_H_35_39,F_AdSup_H_40_44,F_AdSup_H_45_49,F_AdSup_H_50ov,F_AdSup_H_NS,F_AdSup_H_Tot,F_PubAS_H_0,F_PubAS_H_1_19,F_PubAS_H_20_29,F_PubAS_H_30_34,F_PubAS_H_35_39,F_PubAS_H_40_44,F_PubAS_H_45_49,F_PubAS_H_50ov,F_PubAS_H_NS,F_PubAS_H_Tot,F_EdTrn_H_0,F_EdTrn_H_1_19,F_EdTrn_H_20_29,F_EdTrn_H_30_34,F_EdTrn_H_35_39,F_EdTrn_H_40_44,F_EdTrn_H_45_49,F_EdTrn_H_50ov,F_EdTrn_H_NS,F_EdTrn_H_Tot,F_HltHC_SA_H_0,F_HltHC_SA_H_1_19,F_HltHC_SA_H_20_29,F_HltHC_SA_H_30_34,F_HltHC_SA_H_35_39,F_HltHC_SA_H_40_44,F_HltHC_SA_H_45_49,F_HltHC_SA_H_50ov,F_HltHC_SA_H_NS,F_HltHC_SA_H_Tot,F_ArtsR_H_0,F_ArtsR_H_1_19,F_ArtsR_H_20_29,F_ArtsR_H_30_34,F_ArtsR_H_35_39,F_ArtsR_H_40_44,F_ArtsR_H_45_49,F_ArtsR_H_50ov,F_ArtsR_H_NS,F_ArtsR_H_Tot,F_OthSvs_H_0,F_OthSvs_H_1_19,F_OthSvs_H_20_29,F_OthSvs_H_30_34,F_OthSvs_H_35_39,F_OthSvs_H_40_44,F_OthSvs_H_45_49,F_OthSvs_H_50ov,F_OthSvs_H_NS,F_OthSvs_H_Tot
2GMEL,43196,119280,92602,62989,275388,336672,89268,178260,22163,1219824,239,1069,950,673,1343,956,204,396,88,5908,44,63,80,69,126,276,84,165,9,911,1926,7404,6399,4432,15555,11273,2602,3656,310,53560,374,366,713,689,2615,2263,518,662,41,8242,1070,4934,4759,2643,6669,7414,1413,2472,314,31687,1078,2732,3185,2231,7836,6333,1464,1892,114,26871,10303,38205,23384,10818,20469,12967,3205,4667,1128,125148,8459,32863,13946,4915,7049,4552,1143,2190,882,75999,1746,3238,3834,2080,7261,6278,1425,1834,285,27982,1050,1859,1657,1199,4191,3869,1039,1676,81,16618,2748,2826,5140,3991,13669,17220,3205,5227,307,54335,805,2191,2362,1425,5336,4476,908,1482,134,19123,4180,11326,12685,8856,23395,25969,5934,10436,482,103261,1934,7307,6948,2961,7968,5160,1077,1699,332,35379,4119,4916,7225,5877,20482,14228,3856,5550,381,66625,7673,26973,23357,15491,31162,21452,8721,16243,922,151994,14523,38233,48088,40640,48965,36524,7328,11666,1978,247946,3128,5473,3043,1693,3123,2669,576,1206,165,21073,4528,9024,7900,3885,6801,4374,1073,1613,363,39560
2RVIC,13425,33730,22682,17890,63029,80368,24494,57615,6910,320149,566,2942,2322,1490,1837,2327,576,2779,395,15233,28,67,69,50,73,135,53,92,7,572,738,2729,1763,1170,3023,2668,698,829,135,13741,121,171,266,194,571,607,97,134,13,2170,260,1643,1248,756,1414,1383,259,440,77,7496,208,596,581,404,872,740,196,219,26,3838,2868,12921,7708,4046,6101,3373,862,1204,464,39555,3220,12049,4393,1747,2401,1623,354,1298,410,27493,288,1048,1044,507,933,790,206,396,67,5283,181,436,343,185,516,278,117,97,16,2178,434,611,1063,713,1944,1189,249,404,39,6642,159,510,444,343,1115,675,128,260,18,3647,585,2373,2332,1573,2965,2250,555,967,88,13695,533,2559,1497,781,1646,727,171,296,130,8343,1413,2090,2668,1988,5254,4161,956,1230,158,19928,2300,7414,7479,5205,8577,5182,2498,4674,352,43677,6434,13855,18961,16766,15474,11805,2344,3884,799,90327,551,1431,786,459,711,457,113,256,41,4815,1079,2978,2283,1174,1701,1127,246,432,163,11176
29499,5416,12031,9699,7393,14847,27178,6208,13178,2321,98277,53,164,125,69,85,95,25,94,17,739,4,8,8,0,0,3,0,3,0,27,56,191,118,46,98,135,26,36,10,724,12,16,22,10,39,34,10,10,5,154,198,544,332,201,299,377,61,114,42,2178,48,127,102,59,119,138,16,36,0,651,267,464,300,139,254,235,48,99,44,1848,187,311,106,46,64,47,8,31,14,826,103,332,167,63,100,110,34,75,19,1010,36,113,66,22,82,86,14,69,3,487,98,109,113,79,197,208,43,81,8,934,51,120,68,34,58,46,10,32,6,432,231,942,496,267,424,517,104,235,26,3231,673,2783,1196,441,388,319,63,114,108,6086,181,336,287,130,273,243,50,105,17,1619,430,1428,489,178,209,185,28,80,28,3050,747,3681,2337,1153,1039,711,177,327,123,10298,149,265,95,55,57,73,18,52,3,758,279,559,307,125,138,125,26,43,24,1628
29799,19,0,4,3,12,24,9,103,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
