POW_GCCSA_CODE_2021,Emp_15_19_HW_0,Emp_15_19_HW_1_19,Emp_15_19_HW_20_29,Emp_15_19_HW_30_34,Emp_15_19_HW_35_39,Emp_15_19_HW_40_44,Emp_15_19_HW_45_49,Emp_15_19_HW_50mor,Emp_15_19_HW_NS,Emp_15_19_Tot,Emp_20_24_HW_0,Emp_20_24_HW_1_19,Emp_20_24_HW_20_29,Emp_20_24_HW_30_34,Emp_20_24_HW_35_39,Emp_20_24_HW_40_44,Emp_20_24_HW_45_49,Emp_20_24_HW_50mor,Emp_20_24_HW_NS,Emp_20_24_Tot,Emp_25_29_HW_0,Emp_25_29_HW_1_19,Emp_25_29_HW_20_29,Emp_25_29_HW_30_34,Emp_25_29_HW_35_39,Emp_25_29_HW_40_44,Emp_25_29_HW_45_49,Emp_25_29_HW_50mor,Emp_25_29_HW_NS,Emp_25_29_Tot,Emp_30_34_HW_0,Emp_30_34_HW_1_19,Emp_30_34_HW_20_29,Emp_30_34_HW_30_34,Emp_30_34_HW_35_39,Emp_30_34_HW_40_44,Emp_30_34_HW_45_49,Emp_30_34_HW_50mor,Emp_30_34_HW_NS,Emp_30_34_Tot,Emp_35_39_HW_0,Emp_35_39_HW_1_19,Emp_35_39_HW_20_29,Emp_35_39_HW_30_34,Emp_35_39_HW_35_39,Emp_35_39_HW_40_44,Emp_35_39_HW_45_49,Emp_35_39_HW_50mor,Emp_35_39_HW_NS,Emp_35_39_Tot,Emp_40_44_HW_0,Emp_40_44_HW_1_19,Emp_40_44_HW_20_29,Emp_40_44_HW_30_34,Emp_40_44_HW_35_39,Emp_40_44_HW_40_44,Emp_40_44_HW_45_49,Emp_40_44_HW_50mor,Emp_40_44_HW_NS,Emp_40_44_Tot,Emp_45_49_HW_0,Emp_45_49_HW_1_19,Emp_45_49_HW_20_29,Emp_45_49_HW_30_34,Emp_45_49_HW_35_39,Emp_45_49_HW_40_44,Emp_45_49_HW_45_49,Emp_45_49_HW_50mor,Emp_45_49_HW_NS,Emp_45_49_Tot,Emp_50_54_HW_0,Emp_50_54_HW_1_19,Emp_50_54_HW_20_29,Emp_50_54_HW_30_34,Emp_50_54_HW_35_39,Emp_50_54_HW_40_44,Emp_50_54_HW_45_49,Emp_50_54_HW_50mor,Emp_50_54_HW_NS,Emp_50_54_Tot,Emp_55_59_HW_0,Emp_55_59_HW_1_19,Emp_55_59_HW_20_29,Emp_55_59_HW_30_34,Emp_55_59_HW_35_39,Emp_55_59_HW_40_44,Emp_55_59_HW_45_49,Emp_55_59_HW_50mor,Emp_55_59_HW_NS,Emp_55_59_Tot,Emp_60_64_HW_0,Emp_60_64_HW_1_19,Emp_60_64_HW_20_29,Emp_60_64_HW_30_34,Emp_60_64_HW_35_39,Emp_60_64_HW_40_44,Emp_60_64_HW_45_49,Emp_60_64_HW_50mor,Emp_60_64_HW_NS,Emp_60_64_Tot,Emp_65_69_HW_0,Emp_65_69_HW_1_19,Emp_65_69_HW_20_29,Emp_65_69_HW_30_34,Emp_65_69_HW_35_39,Emp_65_69_HW_40_44,Emp_65_69_HW_45_49,Emp_65_69_HW_50mor,Emp_65_69_HW_NS,Emp_65_69_Tot,Emp_70_74_HW_0,Emp_70_74_HW_1_19,Emp_70_74_HW_20_29,Emp_70_74_HW_30_34,Emp_70_74_HW_35_39,Emp_70_74_HW_40_44,Emp_70_74_HW_45_49,Emp_70_74_HW_50mor,Emp_70_74_HW_NS,Emp_70_74_Tot,Emp_75ov_HW_0,Emp_75ov_HW_1_19,Emp_75ov_HW_20_29,Emp_75ov_HW_30_34,Emp_75ov_HW_35_39,Emp_75ov_HW_40_44,Emp_75ov_HW_45_49,Emp_75ov_HW_50mor,Emp_75ov_HW_NS,Emp_75ov_Tot,Emp_Tot_HW_0,Emp_Tot_HW_1_19,Emp_Tot_HW_20_29,Emp_Tot_HW_30_34,Emp_Tot_HW_35_39,Emp_Tot_HW_40_44,Emp_Tot_HW_45_49,Emp_Tot_HW_50mor,Emp_Tot_HW_NS,Emp_Tot_Tot,OM_IEs_15_19_HW_0,OM_IEs_15_19_HW_1_19,OM_IEs_15_19_HW_20_29,OM_IEs_15_19_HW_30_34,OM_IEs_15_19_HW_35_39,OM_IEs_15_19_HW_40_44,OM_IEs_15_19_HW_45_49,OM_IEs_15_19_HW_50mor,OM_IEs_15_19_HW_NS,OM_IEs_15_19_Tot,OM_IEs_20_24_HW_0,OM_IEs_20_24_HW_1_19,OM_IEs_20_24_HW_20_29,OM_IEs_20_24_HW_30_34,OM_IEs_20_24_HW_35_39,OM_IEs_20_24_HW_40_44,OM_IEs_20_24_HW_45_49,OM_IEs_20_24_HW_50mor,OM_IEs_20_24_HW_NS,OM_IEs_20_24_Tot,OM_IEs_25_29_HW_0,OM_IEs_25_29_HW_1_19,OM_IEs_25_29_HW_20_29,OM_IEs_25_29_HW_30_34,OM_IEs_25_29_HW_35_39,OM_IEs_25_29_HW_40_44,OM_IEs_25_29_HW_45_49,OM_IEs_25_29_HW_50mor,OM_IEs_25_29_HW_NS,OM_IEs_25_29_Tot,OM_IEs_30_34_HW_0,OM_IEs_30_34_HW_1_19,OM_IEs_30_34_HW_20_29,OM_IEs_30_34_HW_30_34,OM_IEs_30_34_HW_35_39,OM_IEs_30_34_HW_40_44,OM_IEs_30_34_HW_45_49,OM_IEs_30_34_HW_50mor,OM_IEs_30_34_HW_NS,OM_IEs_30_34_Tot,OM_IEs_35_39_HW_0,OM_IEs_35_39_HW_1_19,OM_IEs_35_39_HW_20_29,OM_IEs_35_39_HW_30_34,OM_IEs_35_39_HW_35_39,OM_IEs_35_39_HW_40_44,OM_IEs_35_39_HW_45_49,OM_IEs_35_39_HW_50mor,OM_IEs_35_39_HW_NS,OM_IEs_35_39_Tot,OM_IEs_40_44_HW_0,OM_IEs_40_44_HW_1_19,OM_IEs_40_44_HW_20_29,OM_IEs_40_44_HW_30_34,OM_IEs_40_44_HW_35_39,OM_IEs_40_44_HW_40_44,OM_IEs_40_44_HW_45_49,OM_IEs_40_44_HW_50mor,OM_IEs_40_44_HW_NS,OM_IEs_40_44_Tot
2GMEL,10931,61851,10091,2916,5234,4492,883,722,1398,98523,13991,56037,35710,15510,39092,32780,6426,6940,4363,210860,11572,25154,28837,18206,74564,67876,15563,19984,5305,267067,16557,20643,26403,18354,73632,72221,17201,25553,4565,275128,13095,19984,26589,19546,67948,68823,15769,25798,3589,261145,6732,16489,22304,17068,53900,59384,14899,25905,2509,219197,5357,15019,20356,16287,48459,52073,15352,27624,2052,202574,5927,14247,18995,15301,45762,44934,13858,25421,1915,186363,6192,13158,16936,13371,38340,34469,10561,18485,1484,152987,5755,13089,13786,10178,25459,20894,6054,10281,942,106441,3068,8919,6801,4102,9156,7058,1963,3188,460,44713,993,4606,2231,1109,1865,1531,388,704,184,13617,440,2149,675,297,359,320,79,178,132,4632,100613,271342,229714,152257,483780,466851,119000,190785,28902,2043253,14,108,34,12,11,21,0,10,8,226,64,277,282,121,171,302,64,227,60,1575,189,562,692,403,810,1489,362,1292,211,6005,450,1129,1369,935,2077,3752,864,3624,358,14556,533,1797,2033,1522,3003,5649,1324,5327,438,21627,439,1723,2044,1646,2708,6020,1500,5959,362,22405
2RVIC,3891,23148,3554,1446,3655,3238,649,700,921,41206,3082,10089,7307,4748,12086,10357,2358,2880,1163,54063,3406,6250,5999,4963,15241,13751,3546,4896,1245,59298,3988,6407,6479,4683,12767,12303,3430,5267,1002,56322,2815,6235,7308,5115,11461,11007,3245,5312,810,53314,1904,5221,6628,5126,10670,10835,3212,5469,668,49718,1795,4803,6684,5419,11930,11516,3561,5857,705,52264,2305,4901,6669,5486,12018,11089,3578,5856,732,52633,2904,5598,6920,5472,11147,9442,2959,4971,613,50035,2887,6001,6261,4416,7621,6400,1817,3055,475,38938,1432,4131,2741,1544,2473,1991,522,966,246,16044,378,1899,742,329,406,358,84,200,82,4485,120,704,203,68,99,86,20,52,51,1407,30912,85388,67501,48812,111581,102380,28969,45476,8710,529728,6,51,9,8,7,7,0,3,7,93,14,28,29,15,50,74,21,79,9,316,38,101,90,46,190,298,97,480,21,1365,82,254,225,158,382,745,240,1091,48,3230,88,355,354,263,527,1035,327,1589,86,4631,89,309,394,334,530,1196,318,1920,69,5158
29499,425,1430,298,210,829,1163,193,175,131,4857,644,2185,1187,672,2113,3179,611,596,332,11525,555,1243,1118,707,2283,3193,712,974,331,11120,638,1059,1037,619,2022,3043,636,1060,295,10413,558,982,830,560,1585,2343,578,997,242,8676,388,856,686,478,1171,1936,412,830,193,6953,397,952,761,465,1147,1629,402,773,168,6693,378,981,809,445,1032,1413,317,735,163,6267,407,1020,833,451,837,1071,237,503,86,5443,437,1027,627,365,546,674,145,261,85,4164,225,686,294,144,199,193,40,100,33,1906,89,341,113,29,31,46,10,17,14,707,45,179,38,13,9,9,0,5,16,326,5200,12950,8619,5144,13801,19893,4302,7043,2086,79049,0,6,5,0,0,3,0,0,0,18,11,46,34,18,28,56,18,33,9,252,30,73,83,65,123,275,73,229,20,968,55,123,122,113,208,557,134,500,40,1858,75,152,195,151,278,598,138,564,53,2198,61,185,178,185,226,596,164,569,35,2197
29799,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,5,0,0,0,5,0,0,0,0,6,6,0,11,0,20,3,0,0,0,0,0,0,8,0,14,4,0,0,0,6,4,0,16,0,22,3,0,3,0,0,3,0,22,0,36,0,0,0,0,0,4,0,22,0,34,3,0,0,0,0,6,5,21,0,34,6,0,0,3,0,0,0,9,0,12,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,3,3,12,24,9,111,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
