POW_GCCSA_CODE_2021,F_EWFT_25_29_OM_UIE,F_EWFT_25_29_CFW,F_EWFT_25_29_ES_NS,F_EWFT_25_29_Tot,F_EWFT_30_34_E,F_EWFT_30_34_OM_IE,F_EWFT_30_34_OM_UIE,F_EWFT_30_34_CFW,F_EWFT_30_34_ES_NS,F_EWFT_30_34_Tot,F_EWFT_35_39_E,F_EWFT_35_39_OM_IE,F_EWFT_35_39_OM_UIE,F_EWFT_35_39_CFW,F_EWFT_35_39_ES_NS,F_EWFT_35_39_Tot,F_EWFT_40_44_E,F_EWFT_40_44_OM_IE,F_EWFT_40_44_OM_UIE,F_EWFT_40_44_CFW,F_EWFT_40_44_ES_NS,F_EWFT_40_44_Tot,F_EWFT_45_49_E,F_EWFT_45_49_OM_IE,F_EWFT_45_49_OM_UIE,F_EWFT_45_49_CFW,F_EWFT_45_49_ES_NS,F_EWFT_45_49_Tot,F_EWFT_50_54_E,F_EWFT_50_54_OM_IE,F_EWFT_50_54_OM_UIE,F_EWFT_50_54_CFW,F_EWFT_50_54_ES_NS,F_EWFT_50_54_Tot,F_EWFT_55_59_E,F_EWFT_55_59_OM_IE,F_EWFT_55_59_OM_UIE,F_EWFT_55_59_CFW,F_EWFT_55_59_ES_NS,F_EWFT_55_59_Tot,F_EWFT_60_64_E,F_EWFT_60_64_OM_IE,F_EWFT_60_64_OM_UIE,F_EWFT_60_64_CFW,F_EWFT_60_64_ES_NS,F_EWFT_60_64_Tot,F_EWFT_65_69_E,F_EWFT_65_69_OM_IE,F_EWFT_65_69_OM_UIE,F_EWFT_65_69_CFW,F_EWFT_65_69_ES_NS,F_EWFT_65_69_Tot,F_EWFT_70_74_E,F_EWFT_70_74_OM_IE,F_EWFT_70_74_OM_UIE,F_EWFT_70_74_CFW,F_EWFT_70_74_ES_NS,F_EWFT_70_74_Tot,F_EWFT_75ov_E,F_EWFT_75ov_OM_IE,F_EWFT_75ov_OM_UIE,F_EWFT_75ov_CFW,F_EWFT_75ov_ES_NS,F_EWFT_75ov_Tot,F_EWFT_Tot_E,F_EWFT_Tot_OM_IE,F_EWFT_Tot_OM_UIE,F_EWFT_Tot_CFW,F_EWFT_Tot_ES_NS,F_EWFT_Tot_Tot,F_EWPT_15_19_E,F_EWPT_15_19_OM_IE,F_EWPT_15_19_OM_UIE,F_EWPT_15_19_CFW,F_EWPT_15_19_ES_NS,F_EWPT_15_19_Tot,F_EWPT_20_24_E,F_EWPT_20_24_OM_IE,F_EWPT_20_24_OM_UIE,F_EWPT_20_24_CFW,F_EWPT_20_24_ES_NS,F_EWPT_20_24_Tot,F_EWPT_25_29_E,F_EWPT_25_29_OM_IE,F_EWPT_25_29_OM_UIE,F_EWPT_25_29_CFW,F_EWPT_25_29_ES_NS,F_EWPT_25_29_Tot,F_EWPT_30_34_E,F_EWPT_30_34_OM_IE,F_EWPT_30_34_OM_UIE,F_EWPT_30_34_CFW,F_EWPT_30_34_ES_NS,F_EWPT_30_34_Tot,F_EWPT_35_39_E,F_EWPT_35_39_OM_IE,F_EWPT_35_39_OM_UIE,F_EWPT_35_39_CFW,F_EWPT_35_39_ES_NS,F_EWPT_35_39_Tot,F_EWPT_40_44_E,F_EWPT_40_44_OM_IE,F_EWPT_40_44_OM_UIE,F_EWPT_40_44_CFW,F_EWPT_40_44_ES_NS,F_EWPT_40_44_Tot,F_EWPT_45_49_E,F_EWPT_45_49_OM_IE,F_EWPT_45_49_OM_UIE,F_EWPT_45_49_CFW,F_EWPT_45_49_ES_NS,F_EWPT_45_49_Tot,F_EWPT_50_54_E,F_EWPT_50_54_OM_IE,F_EWPT_50_54_OM_UIE,F_EWPT_50_54_CFW,F_EWPT_50_54_ES_NS,F_EWPT_50_54_Tot,F_EWPT_55_59_E,F_EWPT_55_59_OM_IE,F_EWPT_55_59_OM_UIE,F_EWPT_55_59_CFW,F_EWPT_55_59_ES_NS,F_EWPT_55_59_Tot,F_EWPT_60_64_E,F_EWPT_60_64_OM_IE,F_EWPT_60_64_OM_UIE,F_EWPT_60_64_CFW,F_EWPT_60_64_ES_NS,F_EWPT_60_64_Tot,F_EWPT_65_69_E,F_EWPT_65_69_OM_IE,F_EWPT_65_69_OM_UIE,F_EWPT_65_69_CFW,F_EWPT_65_69_ES_NS,F_EWPT_65_69_Tot,F_EWPT_70_74_E,F_EWPT_70_74_OM_IE,F_EWPT_70_74_OM_UIE,F_EWPT_70_74_CFW,F_EWPT_70_74_ES_NS,F_EWPT_70_74_Tot,F_EWPT_75ov_E,F_EWPT_75ov_OM_IE,F_EWPT_75ov_OM_UIE,F_EWPT_75ov_CFW,F_EWPT_75ov_ES_NS,F_EWPT_75ov_Tot,F_EWPT_Tot_E,F_EWPT_Tot_OM_IE,F_EWPT_Tot_OM_UIE,F_EWPT_Tot_CFW,F_EWPT_Tot_ES_NS,F_EWPT_Tot_Tot,F_EAFW_E,F_EAFW_OM_IE,F_EAFW_OM_UIE,F_EAFW_CFW,F_EAFW_ES_NS,F_EAFW_Tot,F_H_NS_E,F_H_NS_OM_IE,F_H_NS_OM_UIE,F_H_NS_CFW,F_H_NS_ES_NS,F_H_NS_Tot,F_Tot_E,F_Tot_OM_IE,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_EWFT_15_19_E,P_EWFT_15_19_OM_IE,P_EWFT_15_19_OM_UIE,P_EWFT_15_19_CFW,P_EWFT_15_19_ES_NS,P_EWFT_15_19_Tot,P_EWFT_20_24_E,P_EWFT_20_24_OM_IE,P_EWFT_20_24_OM_UIE,P_EWFT_20_24_CFW,P_EWFT_20_24_ES_NS,P_EWFT_20_24_Tot,P_EWFT_25_29_E,P_EWFT_25_29_OM_IE,P_EWFT_25_29_OM_UIE,P_EWFT_25_29_CFW,P_EWFT_25_29_ES_NS,P_EWFT_25_29_Tot,P_EWFT_30_34_E,P_EWFT_30_34_OM_IE,P_EWFT_30_34_OM_UIE,P_EWFT_30_34_CFW,P_EWFT_30_34_ES_NS,P_EWFT_30_34_Tot,P_EWFT_35_39_E,P_EWFT_35_39_OM_IE,P_EWFT_35_39_OM_UIE,P_EWFT_35_39_CFW
2GMEL,1251,101,92,85850,79697,1972,1820,257,113,83855,67841,2997,2185,398,111,73536,59569,3417,2401,381,141,65920,59161,3860,2622,425,158,66221,54793,3889,2504,386,161,61739,40858,2962,1887,330,140,46172,23556,1734,1134,244,94,26762,7501,838,544,123,46,9043,1454,342,216,65,15,2091,259,141,85,45,6,531,518032,23060,17031,2798,1137,562066,43080,69,347,177,70,43732,60397,168,1417,140,97,62221,41895,526,2228,301,96,45055,45240,1586,3582,873,136,51426,50412,2646,4662,1188,180,59076,43953,2859,4447,1066,174,52496,41050,2899,4100,978,184,49206,38490,2836,3895,861,151,46243,33451,2279,3204,816,171,39917,26479,2030,2659,783,174,32124,12453,1358,1644,601,96,16145,4214,863,917,446,58,6499,1317,371,437,311,49,2490,442433,20489,33542,8539,1621,506629,64796,1706,3813,983,681,71977,12680,715,736,696,1304,16129,1037953,45966,55134,13012,4744,1156803,11329,42,67,13,25,11477,85247,763,1341,116,173,87648,177990,3954,4564,243,352,187093,188609,10312,6544,648,435,206551,178334,15297,7443,956
2RVIC,377,43,66,16475,12222,443,577,76,47,13374,11050,680,666,154,67,12618,12061,923,853,177,80,14088,14246,1163,1122,252,114,16897,14100,1277,1095,315,119,16904,11781,1052,968,364,107,14274,7171,701,876,364,97,9218,2121,341,493,262,53,3262,317,146,275,238,29,1004,51,84,148,144,39,471,114212,7054,7602,2413,865,132142,16270,37,55,121,67,16545,13861,35,260,66,49,14263,11485,141,629,139,44,12436,13455,420,1110,325,77,15388,15067,665,1386,407,95,17628,13970,666,1319,362,107,16421,13857,720,1341,369,118,16405,13960,824,1293,379,114,16571,14337,747,1376,453,139,17049,12171,705,1390,550,139,14950,5176,510,963,514,80,7248,1458,285,608,409,60,2820,360,141,332,324,55,1212,145439,5901,12050,4414,1141,168942,19957,485,1322,466,347,22576,4038,188,358,453,596,5639,283648,13627,21335,7747,2943,329298,8245,21,31,21,54,8374,27671,224,519,68,135,28612,37433,1068,1624,141,199,40469,33769,2458,2221,251,213,38902,31023,3483,2550,412
29499,136,4,7,1549,1302,76,166,13,6,1561,1047,107,172,26,20,1369,956,106,167,15,10,1253,910,94,214,24,8,1243,842,110,210,16,15,1196,641,62,154,6,3,873,344,41,116,12,3,524,99,13,42,12,8,165,19,15,14,13,4,51,7,6,20,18,0,45,8386,653,1460,165,83,10738,669,7,122,15,0,815,1870,28,427,11,11,2350,1394,53,487,28,16,1981,1398,93,641,76,24,2235,1447,134,752,88,22,2441,1298,138,723,74,16,2253,1459,153,782,64,31,2481,1515,133,864,53,31,2604,1517,118,810,66,34,2537,1225,92,589,57,36,1998,584,65,307,46,24,1027,209,42,127,32,14,426,75,20,68,40,3,210,14659,1076,6688,655,272,23349,2540,174,1073,156,90,4039,730,44,109,80,103,1066,26314,1948,9329,1060,549,39201,2357,3,36,3,9,2415,6504,139,566,14,39,7261,7171,700,1597,25,62,9549,6762,1404,1990,51,77,10291,5508,1568,1933,73
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,5,18,0,0,0,0,18,11,0,0,0
