POW_GCCSA_CODE_2021,MaOpD_1250_1499_A_20_24,MaOpD_1250_1499_A_25_34,MaOpD_1250_1499_A_35_44,MaOpD_1250_1499_A_45_54,MaOpD_1250_1499_A_55_64,MaOpD_1250_1499_A_65_74,MaOpD_1250_1499_A_75ov,MaOpD_1250_1499_Tot,MaOpD_1500_1749_A_15_19,MaOpD_1500_1749_A_20_24,MaOpD_1500_1749_A_25_34,MaOpD_1500_1749_A_35_44,MaOpD_1500_1749_A_45_54,MaOpD_1500_1749_A_55_64,MaOpD_1500_1749_A_65_74,MaOpD_1500_1749_A_75ov,MaOpD_1500_1749_Tot,MaOpD_1750_1999_A_15_19,MaOpD_1750_1999_A_20_24,MaOpD_1750_1999_A_25_34,MaOpD_1750_1999_A_35_44,MaOpD_1750_1999_A_45_54,MaOpD_1750_1999_A_55_64,MaOpD_1750_1999_A_65_74,MaOpD_1750_1999_A_75ov,MaOpD_1750_1999_Tot,MaOpD_2000_2999_A_15_19,MaOpD_2000_2999_A_20_24,MaOpD_2000_2999_A_25_34,MaOpD_2000_2999_A_35_44,MaOpD_2000_2999_A_45_54,MaOpD_2000_2999_A_55_64,MaOpD_2000_2999_A_65_74,MaOpD_2000_2999_A_75ov,MaOpD_2000_2999_Tot,MaOpD_3000_3499_A_15_19,MaOpD_3000_3499_A_20_24,MaOpD_3000_3499_A_25_34,MaOpD_3000_3499_A_35_44,MaOpD_3000_3499_A_45_54,MaOpD_3000_3499_A_55_64,MaOpD_3000_3499_A_65_74,MaOpD_3000_3499_A_75ov,MaOpD_3000_3499_Tot,MaOpD_3500mo_A_15_19,MaOpD_3500mo_A_20_24,MaOpD_3500mo_A_25_34,MaOpD_3500mo_A_35_44,MaOpD_3500mo_A_45_54,MaOpD_3500mo_A_55_64,MaOpD_3500mo_A_65_74,MaOpD_3500mo_A_75ov,MaOpD_3500mo_Tot,MaOpD_PINS_A_15_19,MaOpD_PINS_A_20_24,MaOpD_PINS_A_25_34,MaOpD_PINS_A_35_44,MaOpD_PINS_A_45_54,MaOpD_PINS_A_55_64,MaOpD_PINS_A_65_74,MaOpD_PINS_A_75ov,MaOpD_PINS_Tot,MaOpD_Tot_A_15_19,MaOpD_Tot_A_20_24,MaOpD_Tot_A_25_34,MaOpD_Tot_A_35_44,MaOpD_Tot_A_45_54,MaOpD_Tot_A_55_64,MaOpD_Tot_A_65_74,MaOpD_Tot_A_75ov,MaOpD_Tot_Tot,Lab_NNI_A_15_19,Lab_NNI_A_20_24,Lab_NNI_A_25_34,Lab_NNI_A_35_44,Lab_NNI_A_45_54,Lab_NNI_A_55_64,Lab_NNI_A_65_74,Lab_NNI_A_75ov,Lab_NNI_Tot,Lab_1_149_A_15_19,Lab_1_149_A_20_24,Lab_1_149_A_25_34,Lab_1_149_A_35_44,Lab_1_149_A_45_54,Lab_1_149_A_55_64,Lab_1_149_A_65_74,Lab_1_149_A_75ov,Lab_1_149_Tot,Lab_150_299_A_15_19,Lab_150_299_A_20_24,Lab_150_299_A_25_34,Lab_150_299_A_35_44,Lab_150_299_A_45_54,Lab_150_299_A_55_64,Lab_150_299_A_65_74,Lab_150_299_A_75ov,Lab_150_299_Tot,Lab_300_399_A_15_19,Lab_300_399_A_20_24,Lab_300_399_A_25_34,Lab_300_399_A_35_44,Lab_300_399_A_45_54,Lab_300_399_A_55_64,Lab_300_399_A_65_74,Lab_300_399_A_75ov,Lab_300_399_Tot,Lab_400_499_A_15_19,Lab_400_499_A_20_24,Lab_400_499_A_25_34,Lab_400_499_A_35_44,Lab_400_499_A_45_54,Lab_400_499_A_55_64,Lab_400_499_A_65_74,Lab_400_499_A_75ov,Lab_400_499_Tot,Lab_500_649_A_15_19,Lab_500_649_A_20_24,Lab_500_649_A_25_34,Lab_500_649_A_35_44,Lab_500_649_A_45_54,Lab_500_649_A_55_64,Lab_500_649_A_65_74,Lab_500_649_A_75ov,Lab_500_649_Tot,Lab_650_799_A_15_19,Lab_650_799_A_20_24,Lab_650_799_A_25_34,Lab_650_799_A_35_44,Lab_650_799_A_45_54,Lab_650_799_A_55_64,Lab_650_799_A_65_74,Lab_650_799_A_75ov,Lab_650_799_Tot,Lab_800_999_A_15_19,Lab_800_999_A_20_24,Lab_800_999_A_25_34,Lab_800_999_A_35_44,Lab_800_999_A_45_54,Lab_800_999_A_55_64,Lab_800_999_A_65_74,Lab_800_999_A_75ov,Lab_800_999_Tot,Lab_1000_1249_A_15_19,Lab_1000_1249_A_20_24,Lab_1000_1249_A_25_34,Lab_1000_1249_A_35_44,Lab_1000_1249_A_45_54,Lab_1000_1249_A_55_64,Lab_1000_1249_A_65_74,Lab_1000_1249_A_75ov,Lab_1000_1249_Tot,Lab_1250_1499_A_15_19,Lab_1250_1499_A_20_24,Lab_1250_1499_A_25_34,Lab_1250_1499_A_35_44,Lab_1250_1499_A_45_54,Lab_1250_1499_A_55_64,Lab_1250_1499_A_65_74,Lab_1250_1499_A_75ov,Lab_1250_1499_Tot,Lab_1500_1749_A_15_19,Lab_1500_1749_A_20_24,Lab_1500_1749_A_25_34,Lab_1500_1749_A_35_44,Lab_1500_1749_A_45_54,Lab_1500_1749_A_55_64,Lab_1500_1749_A_65_74,Lab_1500_1749_A_75ov,Lab_1500_1749_Tot,Lab_1750_1999_A_15_19,Lab_1750_1999_A_20_24,Lab_1750_1999_A_25_34,Lab_1750_1999_A_35_44,Lab_1750_1999_A_45_54,Lab_1750_1999_A_55_64,Lab_1750_1999_A_65_74,Lab_1750_1999_A_75ov,Lab_1750_1999_Tot,Lab_2000_2999_A_15_19,Lab_2000_2999_A_20_24,Lab_2000_2999_A_25_34,Lab_2000_2999_A_35_44,Lab_2000_2999_A_45_54,Lab_2000_2999_A_55_64,Lab_2000_2999_A_65_74,Lab_2000_2999_A_75ov,Lab_2000_2999_Tot,Lab_3000_3499_A_15_19,Lab_3000_3499_A_20_24,Lab_3000_3499_A_25_34,Lab_3000_3499_A_35_44,Lab_3000_3499_A_45_54,Lab_3000_3499_A_55_64,Lab_3000_3499_A_65_74,Lab_3000_3499_A_75ov,Lab_3000_3499_Tot,Lab_3500mo_A_15_19,Lab_3500mo_A_20_24,Lab_3500mo_A_25_34
2GMEL,677,3835,4153,4047,3487,690,25,16952,16,304,2256,2756,2787,2292,478,20,10905,0,125,1216,1546,1658,1357,286,11,6200,0,129,1233,1665,1827,1521,285,11,6672,0,23,203,367,337,233,46,7,1213,6,30,177,271,247,165,37,5,931,20,97,224,216,287,304,75,8,1228,3051,12166,31747,29560,29198,25515,6057,397,137679,536,167,226,165,185,154,53,12,1503,10362,915,332,252,299,331,194,36,12723,4999,2119,943,708,879,963,472,106,11190,1789,2539,1623,1078,1229,1455,534,120,10356,1042,3034,2728,1533,1571,1649,717,144,12415,947,3762,4583,2544,2759,2863,1060,214,18727,691,3647,5813,4149,4391,3937,1127,135,23896,555,3672,7855,5764,6017,5059,1156,91,30171,230,2088,6403,4692,4892,3819,827,65,23004,80,716,2897,2583,2505,2027,443,27,11277,28,337,1852,1792,1682,1308,252,25,7270,11,221,1179,1180,1166,738,143,18,4652,10,178,1359,1549,1406,875,133,18,5526,0,31,263,308,274,141,28,4,1049,10,32,205
2RVIC,275,1022,1041,1384,1409,313,16,5498,12,140,685,801,970,1049,166,12,3827,0,87,452,559,659,574,113,8,2455,3,56,499,628,700,635,110,4,2635,0,6,60,113,114,90,10,0,396,0,3,57,115,99,108,19,0,408,11,31,55,65,110,142,41,9,468,1091,2904,7079,6935,9001,9998,2871,245,40117,266,62,71,66,79,77,44,12,682,4921,202,143,134,163,242,108,18,5942,2154,512,409,344,413,666,269,38,4811,716,683,562,465,691,918,346,75,4458,495,776,815,742,885,1148,495,102,5465,520,1154,1523,1269,1460,1821,677,108,8528,470,1522,2279,1762,2004,2052,665,76,10841,397,1753,3454,2376,2520,2414,540,49,13520,187,1048,2750,2080,2158,1928,412,35,10602,41,362,1188,1008,1099,977,199,19,4892,21,166,642,646,675,572,109,10,2848,12,63,359,450,449,322,62,11,1732,6,57,358,472,492,325,84,12,1800,0,9,57,78,60,37,10,7,253,5,17,59
29499,47,262,222,219,199,61,0,1021,0,30,188,195,202,140,34,0,790,0,12,116,128,131,96,27,7,522,0,14,144,184,159,107,28,3,641,0,0,23,34,47,23,10,0,133,0,0,28,26,31,21,7,0,118,0,6,24,30,35,33,8,3,138,139,718,2510,2248,2045,1820,633,68,10174,49,24,30,31,34,32,8,8,214,298,54,53,52,103,98,29,0,692,137,124,122,159,240,279,95,9,1163,75,150,195,206,318,334,134,27,1438,67,161,242,255,399,396,178,15,1709,90,268,431,417,507,584,200,52,2534,99,273,484,453,531,522,176,19,2564,86,332,711,563,636,543,155,15,3040,50,281,748,616,663,536,129,5,3025,13,151,510,426,424,388,92,5,2011,4,78,424,337,366,257,55,0,1527,0,47,279,253,238,171,32,0,1021,0,31,329,344,299,160,30,0,1192,0,10,50,65,62,33,4,0,225,0,4,38
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,0,0,0,5,0,0,0,4,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,7,8,5,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,3,0,4,5,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
