POW_GCCSA_CODE_2021,F_SthAfrica_ES_NS,F_SthAfrica_Tot,F_SriLanka_E,F_SriLanka_OM_IE,F_SriLanka_OM_UIE,F_SriLanka_CFW,F_SriLanka_ES_NS,F_SriLanka_Tot,F_Taiwan_E,F_Taiwan_OM_IE,F_Taiwan_OM_UIE,F_Taiwan_CFW,F_Taiwan_ES_NS,F_Taiwan_Tot,F_Thailand_E,F_Thailand_OM_IE,F_Thailand_OM_UIE,F_Thailand_CFW,F_Thailand_ES_NS,F_Thailand_Tot,F_UK_E,F_UK_OM_IE,F_UK_OM_UIE,F_UK_CFW,F_UK_ES_NS,F_UK_Tot,F_USA_E,F_USA_OM_IE,F_USA_OM_UIE,F_USA_CFW,F_USA_ES_NS,F_USA_Tot,F_Vietnam_E,F_Vietnam_OM_IE,F_Vietnam_OM_UIE,F_Vietnam_CFW,F_Vietnam_ES_NS,F_Vietnam_Tot,F_Elsewhere_E,F_Elsewhere_OM_IE,F_Elsewhere_OM_UIE,F_Elsewhere_CFW,F_Elsewhere_ES_NS,F_Elsewhere_Tot,F_COB_NS_E,F_COB_NS_OM_IE,F_COB_NS_OM_UIE,F_COB_NS_CFW,F_COB_NS_ES_NS,F_COB_NS_Tot,F_Tot_E,F_Tot_OM_IE,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_Australia_E,P_Australia_OM_IE,P_Australia_OM_UIE,P_Australia_CFW,P_Australia_ES_NS,P_Australia_Tot,P_Afghanistan_E,P_Afghanistan_OM_IE,P_Afghanistan_OM_UIE,P_Afghanistan_CFW,P_Afghanistan_ES_NS,P_Afghanistan_Tot,P_Bangladesh_E,P_Bangladesh_OM_IE,P_Bangladesh_OM_UIE,P_Bangladesh_CFW,P_Bangladesh_ES_NS,P_Bangladesh_Tot,P_Canada_E,P_Canada_OM_IE,P_Canada_OM_UIE,P_Canada_CFW,P_Canada_ES_NS,P_Canada_Tot,P_China_E,P_China_OM_IE,P_China_OM_UIE,P_China_CFW,P_China_ES_NS,P_China_Tot,P_Croatia_E,P_Croatia_OM_IE,P_Croatia_OM_UIE,P_Croatia_CFW,P_Croatia_ES_NS,P_Croatia_Tot,P_Egypt_E,P_Egypt_OM_IE,P_Egypt_OM_UIE,P_Egypt_CFW,P_Egypt_ES_NS,P_Egypt_Tot,P_Fiji_E,P_Fiji_OM_IE,P_Fiji_OM_UIE,P_Fiji_CFW,P_Fiji_ES_NS,P_Fiji_Tot,P_Germany_E,P_Germany_OM_IE,P_Germany_OM_UIE,P_Germany_CFW,P_Germany_ES_NS,P_Germany_Tot,P_Greece_E,P_Greece_OM_IE,P_Greece_OM_UIE,P_Greece_CFW,P_Greece_ES_NS,P_Greece_Tot,P_HongKong_E,P_HongKong_OM_IE,P_HongKong_OM_UIE,P_HongKong_CFW,P_HongKong_ES_NS,P_HongKong_Tot,P_India_E,P_India_OM_IE,P_India_OM_UIE,P_India_CFW,P_India_ES_NS,P_India_Tot,P_Indonesia_E,P_Indonesia_OM_IE,P_Indonesia_OM_UIE,P_Indonesia_CFW,P_Indonesia_ES_NS,P_Indonesia_Tot,P_Iran_E,P_Iran_OM_IE,P_Iran_OM_UIE,P_Iran_CFW,P_Iran_ES_NS,P_Iran_Tot,P_Iraq_E,P_Iraq_OM_IE,P_Iraq_OM_UIE,P_Iraq_CFW,P_Iraq_ES_NS,P_Iraq_Tot,P_Ireland_E,P_Ireland_OM_IE,P_Ireland_OM_UIE,P_Ireland_CFW,P_Ireland_ES_NS,P_Ireland_Tot,P_Italy_E,P_Italy_OM_IE,P_Italy_OM_UIE,P_Italy_CFW,P_Italy_ES_NS,P_Italy_Tot,P_Japan_E,P_Japan_OM_IE,P_Japan_OM_UIE,P_Japan_CFW,P_Japan_ES_NS,P_Japan_Tot,P_KoreaSouth_E,P_KoreaSouth_OM_IE,P_KoreaSouth_OM_UIE,P_KoreaSouth_CFW,P_KoreaSouth_ES_NS,P_KoreaSouth_Tot,P_Lebanon_E,P_Lebanon_OM_IE,P_Lebanon_OM_UIE,P_Lebanon_CFW,P_Lebanon_ES_NS,P_Lebanon_Tot,P_Malaysia_E,P_Malaysia_OM_IE,P_Malaysia_OM_UIE,P_Malaysia_CFW,P_Malaysia_ES_NS,P_Malaysia_Tot,P_Nepal_E,P_Nepal_OM_IE,P_Nepal_OM_UIE,P_Nepal_CFW,P_Nepal_ES_NS,P_Nepal_Tot,P_Netherlands_E,P_Netherlands_OM_IE,P_Netherlands_OM_UIE,P_Netherlands_CFW,P_Netherlands_ES_NS,P_Netherlands_Tot,P_NZ_E,P_NZ_OM_IE,P_NZ_OM_UIE,P_NZ_CFW,P_NZ_ES_NS,P_NZ_Tot
2GMEL,16,8984,16507,664,814,185,76,18254,2966,164,173,54,17,3378,6091,324,411,82,31,6940,34544,1661,2270,443,131,39052,5463,251,394,51,19,6185,20890,1274,1589,476,190,24418,65989,2812,3853,916,489,74055,3033,185,204,87,222,3722,1037953,45966,55134,13012,4744,1156803,1233059,95505,76601,12162,5725,1423051,6484,1169,1044,161,161,9023,5136,371,342,76,39,5962,5131,373,355,46,10,5922,62580,10926,5343,3369,510,82727,3405,427,311,90,40,4268,4151,661,406,103,49,5368,6663,375,240,70,36,7388,6502,651,608,114,41,7918,6829,1047,871,232,75,9050,11565,983,816,155,46,13566,143410,11076,7319,1354,955,164106,11008,563,471,109,40,12195,8674,1067,815,221,83,10860,5290,731,692,98,99,6911,8629,676,417,51,40,9813,10853,1796,1133,381,168,14336,4361,204,391,58,28,5038,7726,721,779,148,51,9432,4068,988,978,207,128,6369,29617,2196,1836,274,136,34054,14043,291,197,54,66,14654,2977,424,300,86,23,3806,47429,2606,2505,322,193,53058
2RVIC,9,1143,749,41,52,6,3,849,613,15,11,0,9,657,1007,53,103,25,19,1204,7211,422,715,235,69,8650,685,67,113,28,3,895,887,63,114,32,10,1104,5315,295,386,133,64,6196,2595,158,274,158,208,3393,283648,13627,21335,7747,2943,329298,450121,37056,45264,13661,5830,551933,654,85,63,13,17,833,413,37,32,4,0,480,876,75,91,17,11,1072,2517,455,279,179,27,3460,354,47,47,29,9,489,268,50,36,0,6,358,538,25,18,7,11,598,1104,120,224,72,22,1541,170,62,59,42,10,341,419,50,50,4,0,534,10723,874,525,141,113,12378,704,27,44,10,3,789,479,33,50,10,6,575,267,40,36,4,5,350,989,96,95,35,16,1220,835,164,183,136,42,1358,326,17,51,14,4,410,423,28,24,8,7,494,84,36,27,10,0,155,2711,152,162,37,33,3099,1368,19,13,4,8,1414,861,152,209,77,25,1325,6855,605,758,194,101,8512
29499,0,254,204,22,67,11,3,295,45,9,31,5,0,82,124,11,57,5,0,196,919,68,433,29,23,1473,136,16,67,7,0,230,310,14,85,12,10,425,1654,111,555,57,22,2393,224,23,69,13,41,376,26314,1948,9329,1060,549,39201,57851,11732,25965,1658,1551,98752,382,107,172,8,12,679,66,16,31,0,6,116,144,27,81,3,4,264,1401,458,1019,147,40,3061,117,52,119,6,4,299,97,30,45,4,3,179,114,29,32,5,0,181,213,46,149,13,8,433,256,93,211,7,11,576,263,56,166,9,4,492,2933,727,1272,68,64,5058,179,22,94,9,0,303,213,66,160,9,7,459,184,67,125,5,7,387,350,69,108,11,4,545,400,166,280,30,35,904,101,5,46,3,0,154,149,54,136,11,6,354,154,102,200,12,9,474,790,97,320,22,11,1239,165,8,32,7,0,213,108,31,136,9,6,302,1853,232,675,44,39,2847
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,153,0,0,0,0,158,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
