POW_GCCSA_CODE_2021,P_OthSvs_H_0,P_OthSvs_H_1_19,P_OthSvs_H_20_29,P_OthSvs_H_30_34,P_OthSvs_H_35_39,P_OthSvs_H_40_44,P_OthSvs_H_45_49,P_OthSvs_H_50ov,P_OthSvs_H_NS,P_OthSvs_H_Tot,P_IDNS_H_0,P_IDNS_H_1_19,P_IDNS_H_20_29,P_IDNS_H_30_34,P_IDNS_H_35_39,P_IDNS_H_40_44,P_IDNS_H_45_49,P_IDNS_H_50ov,P_IDNS_H_NS,P_IDNS_H_Tot,P_Tot_H_0,P_Tot_H_1_19,P_Tot_H_20_29,P_Tot_H_30_34,P_Tot_H_35_39,P_Tot_H_40_44,P_Tot_H_45_49,P_Tot_H_50ov,P_Tot_H_NS,P_Tot_H_Tot
2GMEL,6423,13110,11834,6261,17189,15203,4029,7049,831,81925,3976,11766,10076,6269,24888,23482,4677,9647,18985,113766,115179,326889,273788,180833,518504,531882,136189,255079,38285,2376630
2RVIC,1499,4160,3098,1794,4565,4732,1183,2486,326,23842,1221,3106,2057,1368,3907,4288,980,2360,5208,24505,36002,103930,81142,58167,121444,122908,35346,77951,12551,649447
29499,489,1014,650,335,512,710,145,406,56,4323,550,1035,695,417,955,1183,201,599,1318,6946,9454,25035,16766,10677,19053,31147,7014,14943,3389,137478
29799,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,8,0,16,19,8,3,3,12,22,9,114,0,194
