POW_GCCSA_CODE_2021,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_NegNilInc_E,P_NegNilInc_OM_IE,P_NegNilInc_OM_UIE,P_NegNilInc_CFW,P_NegNilInc_ES_NS,P_NegNilInc_Tot,P_1_149_E,P_1_149_OM_IE,P_1_149_OM_UIE,P_1_149_CFW,P_1_149_ES_NS,P_1_149_Tot,P_150_299_E,P_150_299_OM_IE,P_150_299_OM_UIE,P_150_299_CFW,P_150_299_ES_NS,P_150_299_Tot,P_300_399_E,P_300_399_OM_IE,P_300_399_OM_UIE,P_300_399_CFW,P_300_399_ES_NS,P_300_399_Tot,P_400_499_E,P_400_499_OM_IE,P_400_499_OM_UIE,P_400_499_CFW,P_400_499_ES_NS,P_400_499_Tot,P_500_649_E,P_500_649_OM_IE,P_500_649_OM_UIE,P_500_649_CFW,P_500_649_ES_NS,P_500_649_Tot,P_650_799_E,P_650_799_OM_IE,P_650_799_OM_UIE,P_650_799_CFW,P_650_799_ES_NS,P_650_799_Tot,P_800_999_E,P_800_999_OM_IE,P_800_999_OM_UIE,P_800_999_CFW,P_800_999_ES_NS,P_800_999_Tot,P_1000_1249_E,P_1000_1249_OM_IE,P_1000_1249_OM_UIE,P_1000_1249_CFW,P_1000_1249_ES_NS,P_1000_1249_Tot,P_1250_1499_E,P_1250_1499_OM_IE,P_1250_1499_OM_UIE,P_1250_1499_CFW,P_1250_1499_ES_NS,P_1250_1499_Tot,P_1500_1749_E,P_1500_1749_OM_IE,P_1500_1749_OM_UIE,P_1500_1749_CFW,P_1500_1749_ES_NS,P_1500_1749_Tot,P_1750_1999_E,P_1750_1999_OM_IE,P_1750_1999_OM_UIE,P_1750_1999_CFW,P_1750_1999_ES_NS,P_1750_1999_Tot,P_2000_2999_E,P_2000_2999_OM_IE,P_2000_2999_OM_UIE,P_2000_2999_CFW,P_2000_2999_ES_NS,P_2000_2999_Tot,P_3000_3499_E,P_3000_3499_OM_IE,P_3000_3499_OM_UIE,P_3000_3499_CFW,P_3000_3499_ES_NS,P_3000_3499_Tot,P_3500mo_E,P_3500mo_OM_IE,P_3500mo_OM_UIE,P_3500mo_CFW,P_3500mo_ES_NS,P_3500mo_Tot,P_PersInc_NS_E,P_PersInc_NS_OM_IE,P_PersInc_NS_OM_UIE,P_PersInc_NS_CFW,P_PersInc_NS_ES_NS,P_PersInc_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
2GMEL,55134,13012,4744,1156803,7295,1155,1231,4175,264,14115,53459,870,3238,1422,268,59258,58332,1731,5360,1736,437,67601,57981,3325,6780,2111,603,70795,70984,4275,7829,1876,688,85648,116468,7509,11611,2287,928,138805,153917,10677,12790,2051,1089,180521,224629,14244,14871,2002,1400,257145,273395,18047,16101,1926,1291,310763,223724,14904,11675,1129,766,252200,199755,17243,9594,998,701,228294,148808,12731,6665,691,424,169317,272956,22875,10025,970,580,307402,62531,9017,3183,366,177,75283,101145,24162,9408,780,381,135879,17876,1981,1375,506,1853,23596,2043253,164745,131740,25030,11858,2376630
2RVIC,21335,7747,2943,329298,1662,267,697,2349,157,5130,19762,221,1068,896,249,22196,16996,560,2085,1260,318,21216,16890,981,2900,1467,434,22673,23384,1378,3555,1312,534,30159,41529,2418,5014,1474,737,51172,55156,3166,5445,1316,725,65797,73772,4237,6202,1213,812,86242,80237,5554,6577,1209,817,94391,56148,4466,4690,784,501,66590,46361,4729,4037,624,440,56187,31503,3283,2629,389,254,38060,45624,5423,3526,528,325,55413,6860,1938,1018,182,87,10093,8736,4552,2389,461,210,16350,5099,620,821,552,677,7771,529728,43779,52647,16009,7284,649447
29499,9329,1060,549,39201,549,102,238,423,45,1362,2079,77,762,137,43,3096,2654,177,1553,156,93,4632,3147,340,1999,198,98,5784,4141,423,2304,187,148,7203,7036,837,3640,246,238,11993,7837,1251,3998,192,222,13506,9397,1747,4557,204,285,16185,10444,2307,5252,171,260,18435,7985,2080,3911,103,176,14253,6838,2134,3245,112,132,12470,4923,1418,2027,72,67,8507,7255,1929,2340,108,84,11703,1551,521,426,26,16,2539,2042,859,670,69,34,3674,1179,261,406,53,236,2136,79049,16470,37324,2452,2182,137478
29799,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,3,0,0,0,0,3,4,0,0,0,0,4,15,0,0,0,0,14,0,0,0,0,0,0,9,0,0,0,0,9,14,0,0,0,0,14,57,0,0,0,0,60,18,0,0,0,0,19,64,0,0,0,0,64,0,0,0,0,0,0,196,0,0,0,0,194
