POW_GCCSA_CODE_2021,UIE_IDNS_OMOE_Nil_em,UIE_IDNS_OMOE_1_19_em,UIE_IDNS_OMOE_20mo_em,UIE_IDNS_OMOE_NE_NS,UIE_IDNS_Tot,UIE_Tot_OMOE_Nil_em,UIE_Tot_OMOE_1_19_em,UIE_Tot_OMOE_20mo_em,UIE_Tot_OMOE_NE_NS,UIE_Tot_Tot
2GMEL,4764,633,59,71,5526,108408,20808,2149,372,131740
2RVIC,1418,281,12,54,1769,38507,13127,436,577,52647
29499,909,59,4,15,986,33670,3375,56,218,37324
29799,0,0,0,0,0,0,0,0,0,0
