POW_GCCSA_CODE_2021,P_75ov_EWFT,P_75ov_EWPT,P_75ov_EAFW,P_75ov_EHW_NS,P_75ov_Tot,P_Tot_EWFT,P_Tot_EWPT,P_Tot_EAFW,P_Tot_EHW_NS,P_Tot_Tot
2GMEL,2764,7109,870,577,11322,1441655,781503,115179,38285,2376630
2RVIC,2274,3461,428,556,6723,357650,243245,36002,12551,649447
29499,211,784,215,83,1298,72156,52479,9454,3389,137478
29799,0,0,0,0,0,160,17,19,0,194
