POW_GCCSA_CODE_2021,Pvte_1250_1499_Mng,Pvte_1250_1499_Pro,Pvte_1250_1499_TecTW,Pvte_1250_1499_CoPSW,Pvte_1250_1499_ClAW,Pvte_1250_1499_SWks,Pvte_1250_1499_MaOpDv,Pvte_1250_1499_Lab,Pvte_1250_1499_IDNS,Pvte_1250_1499_Tot,Pvte_1500_1749_Mng,Pvte_1500_1749_Pro,Pvte_1500_1749_TecTW,Pvte_1500_1749_CoPSW,Pvte_1500_1749_ClAW,Pvte_1500_1749_SWks,Pvte_1500_1749_MaOpDv,Pvte_1500_1749_Lab,Pvte_1500_1749_IDNS,Pvte_1500_1749_Tot,Pvte_1750_1999_Mng,Pvte_1750_1999_Pro,Pvte_1750_1999_TecTW,Pvte_1750_1999_CoPSW,Pvte_1750_1999_ClAW,Pvte_1750_1999_SWks,Pvte_1750_1999_MaOpDv,Pvte_1750_1999_Lab,Pvte_1750_1999_IDNS,Pvte_1750_1999_Tot,Pvte_2000_2999_Mng,Pvte_2000_2999_Pro,Pvte_2000_2999_TecTW,Pvte_2000_2999_CoPSW,Pvte_2000_2999_ClAW,Pvte_2000_2999_SWks,Pvte_2000_2999_MaOpDv,Pvte_2000_2999_Lab,Pvte_2000_2999_IDNS,Pvte_2000_2999_Tot,Pvte_3000_3499_Mng,Pvte_3000_3499_Pro,Pvte_3000_3499_TecTW,Pvte_3000_3499_CoPSW,Pvte_3000_3499_ClAW,Pvte_3000_3499_SWks,Pvte_3000_3499_MaOpDv,Pvte_3000_3499_Lab,Pvte_3000_3499_IDNS,Pvte_3000_3499_Tot,Pvte_3500mo_Mng,Pvte_3500mo_Pro,Pvte_3500mo_TecTW,Pvte_3500mo_CoPSW,Pvte_3500mo_ClAW,Pvte_3500mo_SWks,Pvte_3500mo_MaOpDv,Pvte_3500mo_Lab,Pvte_3500mo_IDNS,Pvte_3500mo_Tot,Pvte_PINS_Mng,Pvte_PINS_Pro,Pvte_PINS_TecTW,Pvte_PINS_CoPSW,Pvte_PINS_ClAW,Pvte_PINS_SWks,Pvte_PINS_MaOpDv,Pvte_PINS_Lab,Pvte_PINS_IDNS,Pvte_PINS_Tot,Pvte_Tot_Mng,Pvte_Tot_Pro,Pvte_Tot_TecTW,Pvte_Tot_CoPSW,Pvte_Tot_ClAW,Pvte_Tot_SWks,Pvte_Tot_MaOpDv,Pvte_Tot_Lab,Pvte_Tot_IDNS,Pvte_Tot_Tot,NS_NNI_Mng,NS_NNI_Pro,NS_NNI_TecTW,NS_NNI_CoPSW,NS_NNI_ClAW,NS_NNI_SWks,NS_NNI_MaOpDv,NS_NNI_Lab,NS_NNI_IDNS,NS_NNI_Tot,NS_1_149_Mng,NS_1_149_Pro,NS_1_149_TecTW,NS_1_149_CoPSW,NS_1_149_ClAW,NS_1_149_SWks,NS_1_149_MaOpDv,NS_1_149_Lab,NS_1_149_IDNS,NS_1_149_Tot,NS_150_299_Mng,NS_150_299_Pro,NS_150_299_TecTW,NS_150_299_CoPSW,NS_150_299_ClAW,NS_150_299_SWks,NS_150_299_MaOpDv,NS_150_299_Lab,NS_150_299_IDNS,NS_150_299_Tot,NS_300_399_Mng,NS_300_399_Pro,NS_300_399_TecTW,NS_300_399_CoPSW,NS_300_399_ClAW,NS_300_399_SWks,NS_300_399_MaOpDv,NS_300_399_Lab,NS_300_399_IDNS,NS_300_399_Tot,NS_400_499_Mng,NS_400_499_Pro,NS_400_499_TecTW,NS_400_499_CoPSW,NS_400_499_ClAW,NS_400_499_SWks,NS_400_499_MaOpDv,NS_400_499_Lab,NS_400_499_IDNS,NS_400_499_Tot,NS_500_649_Mng,NS_500_649_Pro,NS_500_649_TecTW,NS_500_649_CoPSW,NS_500_649_ClAW,NS_500_649_SWks,NS_500_649_MaOpDv,NS_500_649_Lab,NS_500_649_IDNS,NS_500_649_Tot,NS_650_799_Mng,NS_650_799_Pro,NS_650_799_TecTW,NS_650_799_CoPSW,NS_650_799_ClAW,NS_650_799_SWks,NS_650_799_MaOpDv,NS_650_799_Lab,NS_650_799_IDNS,NS_650_799_Tot,NS_800_999_Mng,NS_800_999_Pro,NS_800_999_TecTW,NS_800_999_CoPSW,NS_800_999_ClAW,NS_800_999_SWks,NS_800_999_MaOpDv,NS_800_999_Lab,NS_800_999_IDNS,NS_800_999_Tot,NS_1000_1249_Mng,NS_1000_1249_Pro,NS_1000_1249_TecTW,NS_1000_1249_CoPSW,NS_1000_1249_ClAW,NS_1000_1249_SWks,NS_1000_1249_MaOpDv,NS_1000_1249_Lab,NS_1000_1249_IDNS,NS_1000_1249_Tot,NS_1250_1499_Mng,NS_1250_1499_Pro,NS_1250_1499_TecTW,NS_1250_1499_CoPSW,NS_1250_1499_ClAW,NS_1250_1499_SWks,NS_1250_1499_MaOpDv,NS_1250_1499_Lab,NS_1250_1499_IDNS,NS_1250_1499_Tot,NS_1500_1749_Mng,NS_1500_1749_Pro,NS_1500_1749_TecTW,NS_1500_1749_CoPSW,NS_1500_1749_ClAW,NS_1500_1749_SWks,NS_1500_1749_MaOpDv,NS_1500_1749_Lab,NS_1500_1749_IDNS,NS_1500_1749_Tot,NS_1750_1999_Mng,NS_1750_1999_Pro,NS_1750_1999_TecTW,NS_1750_1999_CoPSW,NS_1750_1999_ClAW,NS_1750_1999_SWks,NS_1750_1999_MaOpDv,NS_1750_1999_Lab,NS_1750_1999_IDNS,NS_1750_1999_Tot
2GMEL,27120,58508,32485,13689,35082,11777,16083,10616,2769,208126,29106,62423,26146,8186,24521,9227,10257,6906,2321,179097,24343,50771,17039,3828,13485,5703,5630,4447,1546,126781,62683,104906,23492,3466,17609,9178,6030,5320,2219,234895,22985,25782,4213,580,3926,2409,1106,1015,622,62629,51045,48680,4074,944,5859,4425,888,953,1351,118223,2028,2707,2568,1444,1725,1529,1016,1344,1522,15885,299323,484429,250162,201060,257190,197411,131156,168055,26761,2015550,53,62,74,49,48,35,28,59,826,1240,13,45,34,80,42,81,16,66,488,869,26,60,58,123,58,84,37,116,532,1082,30,58,84,127,88,85,50,153,727,1407,29,64,124,182,85,83,61,180,750,1557,58,119,187,220,139,86,123,251,979,2166,73,127,294,236,159,94,240,367,1187,2777,123,229,449,219,250,104,435,363,1657,3830,132,344,405,235,263,88,297,270,1498,3533,134,324,284,92,164,37,152,105,949,2248,132,332,195,59,104,47,84,52,702,1698,102,294,113,43,52,23,51,36,425,1137
2RVIC,8939,9788,9542,4133,5328,2482,5075,4456,557,50296,8282,10053,7014,2441,3470,1719,3546,2642,389,39557,5901,7255,4181,1204,1705,1005,2298,1623,298,25470,10413,11380,6007,890,2004,1263,2472,1722,342,36492,2746,2168,1203,150,447,328,371,251,75,7743,5145,4529,1370,235,593,610,394,335,163,13378,1198,419,917,507,396,531,399,789,353,5522,83685,73302,81438,62933,51795,57735,37438,72180,5485,525990,40,4,12,11,7,5,4,22,308,426,20,0,15,38,5,34,5,42,292,456,27,12,20,28,15,26,3,65,251,452,51,9,22,37,27,22,8,67,302,545,36,13,45,50,18,25,21,71,345,620,41,17,75,74,46,47,27,118,413,855,64,33,74,77,53,44,48,123,437,954,69,33,114,78,51,23,73,121,552,1108,68,57,121,37,31,16,71,72,414,898,56,51,50,30,27,13,40,37,231,539,34,40,40,15,18,11,21,27,169,379,28,25,26,12,12,5,17,10,116,251
29499,1102,1433,6060,785,585,430,986,1984,223,13593,1234,1476,5396,471,442,350,768,1507,222,11869,915,1236,3499,238,239,210,510,1011,133,7999,1722,2249,4228,212,305,275,624,1179,148,10953,523,652,666,35,70,79,132,222,41,2416,1099,1202,499,62,114,112,112,179,79,3464,160,132,623,108,63,48,131,251,138,1651,10697,15962,45856,12600,5808,4571,9927,22244,2237,129914,7,3,6,5,6,0,0,7,72,115,4,0,0,10,0,7,5,16,44,88,3,3,11,12,3,0,10,17,49,112,6,0,19,18,3,8,0,26,63,153,8,0,23,24,6,4,5,25,67,158,8,12,35,12,15,7,20,31,87,222,11,10,28,31,17,11,16,38,97,247,15,13,42,22,6,4,18,36,115,272,14,20,53,6,15,8,20,18,120,274,7,11,34,10,8,3,9,15,67,173,0,23,11,11,4,4,8,8,48,120,15,21,4,4,9,0,3,3,34,91
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,6,0,0,0,0,0,8,0,10,0,12,5,3,0,0,3,15,4,43,0,5,5,0,0,0,5,0,0,19,3,12,34,0,0,0,7,0,4,59,0,0,0,0,0,0,0,0,0,0,6,34,44,6,4,0,27,41,5,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
