POW_GCCSA_CODE_2021,FTS_None_Mng,FTS_None_Pro,FTS_None_TecTW,FTS_None_CoPSW,FTS_None_ClAW,FTS_None_SWks,FTS_None_MaOpDv,FTS_None_Lab,FTS_None_IDNS,FTS_None_Tot,FTS_1_15_Mng,FTS_1_15_Pro,FTS_1_15_TecTW,FTS_1_15_CoPSW,FTS_1_15_ClAW,FTS_1_15_SWks,FTS_1_15_MaOpDv,FTS_1_15_Lab,FTS_1_15_IDNS,FTS_1_15_Tot,FTS_16_24_Mng,FTS_16_24_Pro,FTS_16_24_TecTW,FTS_16_24_CoPSW,FTS_16_24_ClAW,FTS_16_24_SWks,FTS_16_24_MaOpDv,FTS_16_24_Lab,FTS_16_24_IDNS,FTS_16_24_Tot,FTS_25_34_Mng,FTS_25_34_Pro,FTS_25_34_TecTW,FTS_25_34_CoPSW,FTS_25_34_ClAW,FTS_25_34_SWks,FTS_25_34_MaOpDv,FTS_25_34_Lab,FTS_25_34_IDNS,FTS_25_34_Tot,FTS_35_39_Mng,FTS_35_39_Pro,FTS_35_39_TecTW,FTS_35_39_CoPSW,FTS_35_39_ClAW,FTS_35_39_SWks,FTS_35_39_MaOpDv,FTS_35_39_Lab,FTS_35_39_IDNS,FTS_35_39_Tot,FTS_40_Mng,FTS_40_Pro,FTS_40_TecTW,FTS_40_CoPSW,FTS_40_ClAW,FTS_40_SWks,FTS_40_MaOpDv,FTS_40_Lab,FTS_40_IDNS,FTS_40_Tot,FTS_41_48_Mng,FTS_41_48_Pro,FTS_41_48_TecTW,FTS_41_48_CoPSW,FTS_41_48_ClAW,FTS_41_48_SWks,FTS_41_48_MaOpDv,FTS_41_48_Lab,FTS_41_48_IDNS,FTS_41_48_Tot,FTS_49ov_Mng,FTS_49ov_Pro,FTS_49ov_TecTW,FTS_49ov_CoPSW,FTS_49ov_ClAW,FTS_49ov_SWks,FTS_49ov_MaOpDv,FTS_49ov_Lab,FTS_49ov_IDNS,FTS_49ov_Tot,FTS_NS_Mng,FTS_NS_Pro,FTS_NS_TecTW,FTS_NS_CoPSW,FTS_NS_ClAW,FTS_NS_SWks,FTS_NS_MaOpDv,FTS_NS_Lab,FTS_NS_IDNS,FTS_NS_Tot,FTS_Tot_Mng,FTS_Tot_Pro,FTS_Tot_TecTW,FTS_Tot_CoPSW,FTS_Tot_ClAW,FTS_Tot_SWks,FTS_Tot_MaOpDv,FTS_Tot_Lab,FTS_Tot_Inad_des_Tot,FTS_Tot_Tot,PTS_None_Mng,PTS_None_Pro,PTS_None_TecTW,PTS_None_CoPSW,PTS_None_ClAW,PTS_None_SWks,PTS_None_MaOpDv,PTS_None_Lab,PTS_None_IDNS,PTS_None_Tot,PTS_1_15_Mng,PTS_1_15_Pro,PTS_1_15_TecTW,PTS_1_15_CoPSW,PTS_1_15_ClAW,PTS_1_15_SWks,PTS_1_15_MaOpDv,PTS_1_15_Lab,PTS_1_15_IDNS,PTS_1_15_Tot,PTS_16_24_Mng,PTS_16_24_Pro,PTS_16_24_TecTW,PTS_16_24_CoPSW,PTS_16_24_ClAW,PTS_16_24_SWks,PTS_16_24_MaOpDv,PTS_16_24_Lab,PTS_16_24_IDNS,PTS_16_24_Tot,PTS_25_34_Mng,PTS_25_34_Pro,PTS_25_34_TecTW,PTS_25_34_CoPSW,PTS_25_34_ClAW,PTS_25_34_SWks,PTS_25_34_MaOpDv,PTS_25_34_Lab,PTS_25_34_IDNS,PTS_25_34_Tot,PTS_35_39_Mng,PTS_35_39_Pro,PTS_35_39_TecTW,PTS_35_39_CoPSW,PTS_35_39_ClAW,PTS_35_39_SWks,PTS_35_39_MaOpDv,PTS_35_39_Lab,PTS_35_39_IDNS,PTS_35_39_Tot,PTS_40_Mng,PTS_40_Pro,PTS_40_TecTW,PTS_40_CoPSW,PTS_40_ClAW,PTS_40_SWks,PTS_40_MaOpDv,PTS_40_Lab,PTS_40_IDNS,PTS_40_Tot,PTS_41_48_Mng,PTS_41_48_Pro,PTS_41_48_TecTW,PTS_41_48_CoPSW,PTS_41_48_ClAW,PTS_41_48_SWks,PTS_41_48_MaOpDv,PTS_41_48_Lab,PTS_41_48_IDNS,PTS_41_48_Tot,PTS_49ov_Mng,PTS_49ov_Pro,PTS_49ov_TecTW,PTS_49ov_CoPSW,PTS_49ov_ClAW,PTS_49ov_SWks,PTS_49ov_MaOpDv,PTS_49ov_Lab,PTS_49ov_IDNS,PTS_49ov_Tot,PTS_NS_Mng,PTS_NS_Pro,PTS_NS_TecTW,PTS_NS_CoPSW,PTS_NS_ClAW,PTS_NS_SWks,PTS_NS_MaOpDv,PTS_NS_Lab,PTS_NS_IDNS,PTS_NS_Tot,PTS_Tot_Mng,PTS_Tot_Pro,PTS_Tot_TecTW,PTS_Tot_CoPSW,PTS_Tot_ClAW,PTS_Tot_SWks,PTS_Tot_MaOpDv,PTS_Tot_Lab,PTS_Tot_Inad_des_Tot,PTS_Tot_Tot
2GMEL,287,558,490,6813,811,5733,303,2397,220,17608,962,5407,2001,17424,5267,34753,2121,16575,772,85275,821,2019,2094,5732,3601,8943,2064,5536,334,31141,524,706,687,2130,1419,2838,450,1317,108,10180,243,646,913,718,729,554,155,326,75,4365,142,512,762,351,411,166,103,144,49,2642,61,146,283,141,143,79,27,48,6,946,53,125,168,145,66,52,40,47,9,706,36,115,116,426,111,540,83,269,753,2456,3125,10239,7511,33892,12547,53657,5348,26663,2332,155322,64,83,292,549,112,352,54,161,27,1698,101,397,426,1471,442,1655,222,878,70,5654,201,433,919,1137,691,1182,390,1008,81,6043,210,468,779,864,543,698,201,466,65,4287,299,787,3111,737,878,368,139,228,71,6611,180,680,3722,252,495,141,77,168,63,5777,76,240,1308,106,154,67,36,53,14,2050,60,186,632,78,66,38,35,47,13,1165,13,35,170,113,27,55,16,50,176,655,1215,3306,11355,5303,3407,4565,1155,3060,566,33936
2RVIC,39,61,118,1700,116,1406,61,871,73,4442,261,428,525,4263,693,10440,419,6245,194,23467,123,201,313,1123,317,1674,159,1010,42,4954,65,119,102,535,178,454,53,235,19,1744,58,95,312,254,116,98,12,81,4,1041,32,75,357,118,44,29,10,28,11,709,12,24,146,66,20,14,3,23,3,308,19,9,68,50,14,10,9,17,3,198,15,16,27,125,15,215,9,112,270,802,624,1027,1970,8235,1514,14334,729,8627,614,37670,9,16,111,165,28,90,7,63,4,502,38,49,144,402,74,415,40,290,15,1462,26,61,202,359,103,271,44,172,12,1249,47,116,237,431,108,225,27,131,11,1344,86,147,1501,413,268,131,30,131,26,2738,81,106,1573,155,92,46,27,85,20,2188,52,43,681,60,50,25,24,54,3,997,54,26,322,51,12,14,12,43,5,535,6,3,71,38,5,21,3,28,35,207,392,576,4845,2067,743,1247,226,991,131,11221
29499,10,78,53,324,33,96,20,89,13,711,34,719,158,846,148,230,143,444,34,2760,10,71,186,190,80,66,115,183,9,918,3,36,33,108,24,17,10,38,5,279,3,17,104,19,12,3,0,9,4,181,4,13,161,10,4,0,10,19,3,227,0,3,64,3,0,0,0,9,0,85,0,5,29,10,0,0,3,0,0,48,3,9,21,25,7,17,7,10,49,149,82,955,809,1537,314,429,318,799,129,5367,4,7,51,26,0,8,0,7,3,101,0,37,52,77,17,17,18,47,7,277,4,20,105,48,9,9,17,43,8,269,11,21,132,42,11,0,11,18,4,243,21,8,776,16,9,6,0,16,7,857,26,5,1212,7,3,0,0,16,10,1272,4,4,378,4,0,0,8,10,0,409,8,8,185,4,0,0,4,12,0,220,4,0,35,7,6,6,0,6,14,74,80,113,2923,220,57,45,60,178,52,3725
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
