POW_GCCSA_CODE_2021,Pro_500_649_A_25_34,Pro_500_649_A_35_44,Pro_500_649_A_45_54,Pro_500_649_A_55_64,Pro_500_649_A_65_74,Pro_500_649_A_75ov,Pro_500_649_Tot,Pro_650_799_A_15_19,Pro_650_799_A_20_24,Pro_650_799_A_25_34,Pro_650_799_A_35_44,Pro_650_799_A_45_54,Pro_650_799_A_55_64,Pro_650_799_A_65_74,Pro_650_799_A_75ov,Pro_650_799_Tot,Pro_800_999_A_15_19,Pro_800_999_A_20_24,Pro_800_999_A_25_34,Pro_800_999_A_35_44,Pro_800_999_A_45_54,Pro_800_999_A_55_64,Pro_800_999_A_65_74,Pro_800_999_A_75ov,Pro_800_999_Tot,Pro_1000_1249_A_15_19,Pro_1000_1249_A_20_24,Pro_1000_1249_A_25_34,Pro_1000_1249_A_35_44,Pro_1000_1249_A_45_54,Pro_1000_1249_A_55_64,Pro_1000_1249_A_65_74,Pro_1000_1249_A_75ov,Pro_1000_1249_Tot,Pro_1250_1499_A_15_19,Pro_1250_1499_A_20_24,Pro_1250_1499_A_25_34,Pro_1250_1499_A_35_44,Pro_1250_1499_A_45_54,Pro_1250_1499_A_55_64,Pro_1250_1499_A_65_74,Pro_1250_1499_A_75ov,Pro_1250_1499_Tot,Pro_1500_1749_A_15_19,Pro_1500_1749_A_20_24,Pro_1500_1749_A_25_34,Pro_1500_1749_A_35_44,Pro_1500_1749_A_45_54,Pro_1500_1749_A_55_64,Pro_1500_1749_A_65_74,Pro_1500_1749_A_75ov,Pro_1500_1749_Tot,Pro_1750_1999_A_15_19,Pro_1750_1999_A_20_24,Pro_1750_1999_A_25_34,Pro_1750_1999_A_35_44,Pro_1750_1999_A_45_54,Pro_1750_1999_A_55_64,Pro_1750_1999_A_65_74,Pro_1750_1999_A_75ov,Pro_1750_1999_Tot,Pro_2000_2999_A_15_19,Pro_2000_2999_A_20_24,Pro_2000_2999_A_25_34,Pro_2000_2999_A_35_44,Pro_2000_2999_A_45_54,Pro_2000_2999_A_55_64,Pro_2000_2999_A_65_74,Pro_2000_2999_A_75ov,Pro_2000_2999_Tot,Pro_3000_3499_A_15_19,Pro_3000_3499_A_20_24,Pro_3000_3499_A_25_34,Pro_3000_3499_A_35_44,Pro_3000_3499_A_45_54,Pro_3000_3499_A_55_64,Pro_3000_3499_A_65_74,Pro_3000_3499_A_75ov,Pro_3000_3499_Tot,Pro_3500mo_A_15_19,Pro_3500mo_A_20_24,Pro_3500mo_A_25_34,Pro_3500mo_A_35_44,Pro_3500mo_A_45_54,Pro_3500mo_A_55_64,Pro_3500mo_A_65_74,Pro_3500mo_A_75ov,Pro_3500mo_Tot,Pro_PINS_A_15_19,Pro_PINS_A_20_24,Pro_PINS_A_25_34,Pro_PINS_A_35_44,Pro_PINS_A_45_54,Pro_PINS_A_55_64,Pro_PINS_A_65_74,Pro_PINS_A_75ov,Pro_PINS_Tot,Pro_Tot_A_15_19,Pro_Tot_A_20_24,Pro_Tot_A_25_34,Pro_Tot_A_35_44,Pro_Tot_A_45_54,Pro_Tot_A_55_64,Pro_Tot_A_65_74,Pro_Tot_A_75ov,Pro_Tot_Tot,TaTW_NNI_A_15_19,TaTW_NNI_A_20_24,TaTW_NNI_A_25_34,TaTW_NNI_A_35_44,TaTW_NNI_A_45_54,TaTW_NNI_A_55_64,TaTW_NNI_A_65_74,TaTW_NNI_A_75ov,TaTW_NNI_Tot,TaTW_1_149_A_15_19,TaTW_1_149_A_20_24,TaTW_1_149_A_25_34,TaTW_1_149_A_35_44,TaTW_1_149_A_45_54,TaTW_1_149_A_55_64,TaTW_1_149_A_65_74,TaTW_1_149_A_75ov,TaTW_1_149_Tot,TaTW_150_299_A_15_19,TaTW_150_299_A_20_24,TaTW_150_299_A_25_34,TaTW_150_299_A_35_44,TaTW_150_299_A_45_54,TaTW_150_299_A_55_64,TaTW_150_299_A_65_74,TaTW_150_299_A_75ov,TaTW_150_299_Tot,TaTW_300_399_A_15_19,TaTW_300_399_A_20_24,TaTW_300_399_A_25_34,TaTW_300_399_A_35_44,TaTW_300_399_A_45_54,TaTW_300_399_A_55_64,TaTW_300_399_A_65_74,TaTW_300_399_A_75ov,TaTW_300_399_Tot,TaTW_400_499_A_15_19,TaTW_400_499_A_20_24,TaTW_400_499_A_25_34,TaTW_400_499_A_35_44,TaTW_400_499_A_45_54,TaTW_400_499_A_55_64,TaTW_400_499_A_65_74,TaTW_400_499_A_75ov,TaTW_400_499_Tot,TaTW_500_649_A_15_19,TaTW_500_649_A_20_24,TaTW_500_649_A_25_34,TaTW_500_649_A_35_44,TaTW_500_649_A_45_54,TaTW_500_649_A_55_64,TaTW_500_649_A_65_74,TaTW_500_649_A_75ov,TaTW_500_649_Tot,TaTW_650_799_A_15_19,TaTW_650_799_A_20_24,TaTW_650_799_A_25_34,TaTW_650_799_A_35_44,TaTW_650_799_A_45_54,TaTW_650_799_A_55_64,TaTW_650_799_A_65_74,TaTW_650_799_A_75ov,TaTW_650_799_Tot,TaTW_800_999_A_15_19,TaTW_800_999_A_20_24,TaTW_800_999_A_25_34,TaTW_800_999_A_35_44,TaTW_800_999_A_45_54,TaTW_800_999_A_55_64,TaTW_800_999_A_65_74,TaTW_800_999_A_75ov,TaTW_800_999_Tot,TaTW_1000_1249_A_15_19,TaTW_1000_1249_A_20_24,TaTW_1000_1249_A_25_34,TaTW_1000_1249_A_35_44,TaTW_1000_1249_A_45_54,TaTW_1000_1249_A_55_64,TaTW_1000_1249_A_65_74,TaTW_1000_1249_A_75ov,TaTW_1000_1249_Tot,TaTW_1250_1499_A_15_19,TaTW_1250_1499_A_20_24,TaTW_1250_1499_A_25_34,TaTW_1250_1499_A_35_44,TaTW_1250_1499_A_45_54,TaTW_1250_1499_A_55_64,TaTW_1250_1499_A_65_74,TaTW_1250_1499_A_75ov,TaTW_1250_1499_Tot,TaTW_1500_1749_A_15_19,TaTW_1500_1749_A_20_24,TaTW_1500_1749_A_25_34,TaTW_1500_1749_A_35_44
2GMEL,4342,3367,2302,1859,1111,244,15379,95,2316,6260,5434,3335,2521,1435,249,21646,82,4442,11673,8323,5233,3921,1855,287,35812,50,8403,25379,14154,8802,6246,2430,333,65798,15,6925,35408,17692,10666,6812,2191,232,79930,12,2677,37572,23139,14737,9026,2382,253,89798,3,925,25538,22994,14565,9213,2220,208,75663,6,712,36671,51254,32446,18471,3977,406,143940,0,95,5544,11920,8197,4450,1153,171,31531,7,94,5245,19469,18914,10538,3197,450,57916,12,256,946,836,790,578,224,38,3686,2554,34677,200628,184196,123947,76880,24051,3305,650227,90,108,304,305,267,201,66,14,1356,677,254,254,267,224,165,93,20,1956,628,658,590,578,536,436,205,35,3655,589,980,1221,1000,890,774,342,63,5852,1674,1980,1864,1312,1232,1029,412,87,9597,2683,4187,3412,2552,2127,1808,685,99,17561,1220,6113,6359,3894,3303,2603,763,107,24366,593,6610,12126,6909,5500,4073,1124,90,37020,318,4654,15442,10392,7986,5774,1258,87,45910,85,2141,11275,8594,6966,4803,917,52,34832,38,1032,8251,7707
2RVIC,919,917,644,669,518,71,4057,39,369,1437,1537,955,1039,549,61,5983,19,816,2365,2271,1674,1485,602,74,9297,10,1427,4889,3549,2805,2366,760,71,15888,12,1276,5990,3905,3152,2492,688,55,17572,0,521,6359,4620,3964,3015,666,54,19201,3,143,3519,3829,3745,2518,584,29,14373,0,117,3577,6157,5906,4023,805,56,20631,0,12,457,900,846,596,179,21,3006,0,11,538,1703,1826,1350,449,58,5942,6,50,135,111,186,147,59,0,690,431,5516,31333,30834,26608,20744,6580,672,122727,45,25,70,87,83,82,22,7,411,375,55,72,87,80,82,53,11,821,340,137,166,216,212,233,118,10,1435,304,217,303,304,322,341,184,31,2016,1256,504,437,468,456,558,250,41,3977,1781,1450,884,784,855,859,331,49,6999,712,2482,2008,1220,1198,1124,360,34,9143,312,2670,3996,2292,2092,1682,399,40,13486,144,1867,5093,3305,2753,2229,444,22,15870,31,757,3147,2509,2093,1509,270,14,10336,14,350,2163,2049
29499,235,195,187,149,123,21,1051,3,113,302,240,186,150,100,23,1112,6,146,437,312,242,172,80,20,1409,4,160,558,418,294,247,97,23,1805,0,106,599,345,273,192,76,7,1599,0,48,614,437,300,203,66,9,1674,0,30,443,414,298,176,48,7,1420,5,17,675,845,541,296,75,13,2472,0,0,137,259,169,94,32,4,695,0,13,143,438,379,227,87,16,1298,0,8,29,47,52,27,7,0,157,303,1481,4720,4419,3263,2236,978,191,17584,18,26,58,58,42,38,11,0,254,128,18,24,44,31,41,24,3,320,123,82,83,80,104,135,69,9,681,147,137,146,113,164,222,89,22,1035,526,280,160,190,242,247,125,19,1783,935,903,405,316,395,433,196,31,3625,398,1267,855,569,574,596,204,21,4488,152,1213,1662,1010,903,759,211,22,5927,43,895,2205,1518,1259,980,210,7,7108,20,450,2051,1391,1214,835,167,11,6136,3,300,1759,1397
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,4,3,3,4,0,0,9,0,0,0,3,4,0,0,0,5,0,0,0,5,4,4,0,0,11,0,0,0,0,0,0,0,0,0,0,5,3,15,5,9,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
