POW_GCCSA_CODE_2021,P_Pakistan_E,P_Pakistan_OM_IE,P_Pakistan_OM_UIE,P_Pakistan_CFW,P_Pakistan_ES_NS,P_Pakistan_Tot,P_Philippines_E,P_Philippines_OM_IE,P_Philippines_OM_UIE,P_Philippines_CFW,P_Philippines_ES_NS,P_Philippines_Tot,P_Poland_E,P_Poland_OM_IE,P_Poland_OM_UIE,P_Poland_CFW,P_Poland_ES_NS,P_Poland_Tot,P_Singapore_E,P_Singapore_OM_IE,P_Singapore_OM_UIE,P_Singapore_CFW,P_Singapore_ES_NS,P_Singapore_Tot,P_SthAfrica_E,P_SthAfrica_OM_IE,P_SthAfrica_OM_UIE,P_SthAfrica_CFW,P_SthAfrica_ES_NS,P_SthAfrica_Tot,P_SriLanka_E,P_SriLanka_OM_IE,P_SriLanka_OM_UIE,P_SriLanka_CFW,P_SriLanka_ES_NS,P_SriLanka_Tot,P_Taiwan_E,P_Taiwan_OM_IE,P_Taiwan_OM_UIE,P_Taiwan_CFW,P_Taiwan_ES_NS,P_Taiwan_Tot,P_Thailand_E,P_Thailand_OM_IE,P_Thailand_OM_UIE,P_Thailand_CFW,P_Thailand_ES_NS,P_Thailand_Tot,P_UK_E,P_UK_OM_IE,P_UK_OM_UIE,P_UK_CFW,P_UK_ES_NS,P_UK_Tot,P_USA_E,P_USA_OM_IE,P_USA_OM_UIE,P_USA_CFW,P_USA_ES_NS,P_USA_Tot,P_Vietnam_E,P_Vietnam_OM_IE,P_Vietnam_OM_UIE,P_Vietnam_CFW,P_Vietnam_ES_NS,P_Vietnam_Tot,P_Elsewhere_E,P_Elsewhere_OM_IE,P_Elsewhere_OM_UIE,P_Elsewhere_CFW,P_Elsewhere_ES_NS,P_Elsewhere_Tot,P_COB_NS_E,P_COB_NS_OM_IE,P_COB_NS_OM_UIE,P_COB_NS_CFW,P_COB_NS_ES_NS,P_COB_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
2GMEL,11548,1102,1540,182,114,14479,38325,589,774,162,110,39967,4558,529,480,84,41,5691,8351,461,505,88,23,9428,15816,1523,1134,166,43,18687,36920,2584,1903,410,179,42002,4968,421,331,84,35,5848,8902,501,564,109,47,10122,74167,6225,5458,852,314,87013,10355,672,751,101,29,11910,39042,3340,3210,845,390,46820,134384,10355,9800,1816,1194,157545,6331,613,504,189,596,8234,2043253,164745,131740,25030,11858,2376630
2RVIC,899,97,101,10,8,1117,5704,63,109,33,44,5955,274,42,42,3,7,372,415,26,42,11,0,499,1917,176,196,40,17,2348,1800,134,88,10,12,2046,1003,37,19,9,21,1086,1565,80,122,28,35,1835,13601,1274,1672,454,172,17178,1275,130,176,53,4,1642,1528,130,185,76,24,1943,10699,772,854,253,153,12734,4964,494,696,330,494,6983,529728,43779,52647,16009,7284,649447
29499,290,60,236,7,15,616,506,38,161,13,12,725,179,51,108,5,4,350,200,31,94,8,0,330,395,74,170,14,9,664,564,127,258,24,11,976,80,11,53,7,0,158,216,16,80,5,3,322,2532,560,1582,70,64,4815,310,37,143,13,0,505,607,148,348,36,20,1159,4044,860,2191,120,104,7321,660,149,314,47,114,1284,79049,16470,37324,2452,2182,137478
29799,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,4,0,0,0,0,4,196,0,0,0,0,194
