POW_GCCSA_CODE_2021,NFANS_75ov_EWFT,NFANS_75ov_EWPT,NFANS_75ov_EAFW,NFANS_75ov_EHW_NS,NFANS_75ov_Tot,NFANS_Tot_EWFT,NFANS_Tot_EWPT,NFANS_Tot_EAFW,NFANS_Tot_EHW_NS,NFANS_Tot_Tot,Tot_15_19_EWFT,Tot_15_19_EWPT,Tot_15_19_EAFW,Tot_15_19_EHW_NS,Tot_15_19_Tot,Tot_20_24_EWFT,Tot_20_24_EWPT,Tot_20_24_EAFW,Tot_20_24_EHW_NS,Tot_20_24_Tot,Tot_25_29_EWFT,Tot_25_29_EWPT,Tot_25_29_EAFW,Tot_25_29_EHW_NS,Tot_25_29_Tot,Tot_30_34_EWFT,Tot_30_34_EWPT,Tot_30_34_EAFW,Tot_30_34_EHW_NS,Tot_30_34_Tot,Tot_35_39_EWFT,Tot_35_39_EWPT,Tot_35_39_EAFW,Tot_35_39_EHW_NS,Tot_35_39_Tot,Tot_40_44_EWFT,Tot_40_44_EWPT,Tot_40_44_EAFW,Tot_40_44_EHW_NS,Tot_40_44_Tot,Tot_45_49_EWFT,Tot_45_49_EWPT,Tot_45_49_EAFW,Tot_45_49_EHW_NS,Tot_45_49_Tot,Tot_50_54_EWFT,Tot_50_54_EWPT,Tot_50_54_EAFW,Tot_50_54_EHW_NS,Tot_50_54_Tot,Tot_55_59_EWFT,Tot_55_59_EWPT,Tot_55_59_EAFW,Tot_55_59_EHW_NS,Tot_55_59_Tot,Tot_60_64_EWFT,Tot_60_64_EWPT,Tot_60_64_EAFW,Tot_60_64_EHW_NS,Tot_60_64_Tot,Tot_65_69_EWFT,Tot_65_69_EWPT,Tot_65_69_EAFW,Tot_65_69_EHW_NS,Tot_65_69_Tot,Tot_70_74_EWFT,Tot_70_74_EWPT,Tot_70_74_EAFW,Tot_70_74_EHW_NS,Tot_70_74_Tot,Tot_75ov_EWFT,Tot_75ov_EWPT,Tot_75ov_EAFW,Tot_75ov_EHW_NS,Tot_75ov_Tot,Tot_Tot_EWFT,Tot_Tot_EWPT,Tot_Tot_EAFW,Tot_Tot_EHW_NS,Tot_Tot_Tot
2GMEL,29,73,20,40,158,8342,4791,716,1252,15108,11477,76289,11093,1551,100417,87648,111767,14486,4884,218779,187093,79831,12620,6239,285784,206551,77032,18257,5851,307684,202561,81244,14948,4924,303680,179039,70514,8225,3552,261327,169455,66050,6880,2955,245336,155894,62688,7534,2807,228924,123819,56368,7660,2200,190040,77796,49444,7104,1502,135845,29378,29030,3966,801,63174,8170,14155,1539,456,24325,2764,7109,870,577,11322,1441655,781503,115179,38285,2376630
2RVIC,39,39,3,43,122,2443,1640,245,436,4753,8374,28778,3987,1073,42203,28612,22927,3213,1280,56029,40469,18801,3655,1443,64370,38902,20323,4416,1278,64915,37733,22319,3217,1150,64429,37734,20573,2280,960,61547,41921,20857,2197,1042,66013,42220,21319,2812,1121,67467,37670,22634,3520,934,64756,26909,22073,3653,792,53421,10980,12952,1959,544,26438,3853,6232,669,375,11129,2274,3461,428,556,6723,357650,243245,36002,12551,649447
29499,4,3,6,7,18,452,324,80,100,957,2415,2243,464,155,5273,7261,5219,804,392,13672,9549,4775,804,437,15558,10291,4969,1009,464,16737,9189,4945,952,399,15491,7749,4618,776,322,13467,7461,4906,856,299,13522,6952,5406,867,293,13516,5538,5326,902,208,11974,3689,4886,977,192,9740,1426,3015,554,79,5077,427,1393,270,62,2149,211,784,215,83,1298,72156,52479,9454,3389,137478
29799,0,0,0,0,0,4,0,0,0,6,0,0,0,0,3,3,0,0,0,5,5,0,0,0,5,18,3,0,0,20,11,4,3,0,14,19,0,4,0,24,24,3,3,0,36,29,3,0,0,35,33,0,3,0,35,11,5,6,0,18,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,160,17,19,0,194
