POW_GCCSA_CODE_2021,M_EWFT_15_19_E,M_EWFT_15_19_OM_IE,M_EWFT_15_19_OM_UIE,M_EWFT_15_19_CFW,M_EWFT_15_19_ES_NS,M_EWFT_15_19_Tot,M_EWFT_20_24_E,M_EWFT_20_24_OM_IE,M_EWFT_20_24_OM_UIE,M_EWFT_20_24_CFW,M_EWFT_20_24_ES_NS,M_EWFT_20_24_Tot,M_EWFT_25_29_E,M_EWFT_25_29_OM_IE,M_EWFT_25_29_OM_UIE,M_EWFT_25_29_CFW,M_EWFT_25_29_ES_NS,M_EWFT_25_29_Tot,M_EWFT_30_34_E,M_EWFT_30_34_OM_IE,M_EWFT_30_34_OM_UIE,M_EWFT_30_34_CFW,M_EWFT_30_34_ES_NS,M_EWFT_30_34_Tot,M_EWFT_35_39_E,M_EWFT_35_39_OM_IE,M_EWFT_35_39_OM_UIE,M_EWFT_35_39_CFW,M_EWFT_35_39_ES_NS,M_EWFT_35_39_Tot,M_EWFT_40_44_E,M_EWFT_40_44_OM_IE,M_EWFT_40_44_OM_UIE,M_EWFT_40_44_CFW,M_EWFT_40_44_ES_NS,M_EWFT_40_44_Tot,M_EWFT_45_49_E,M_EWFT_45_49_OM_IE,M_EWFT_45_49_OM_UIE,M_EWFT_45_49_CFW,M_EWFT_45_49_ES_NS,M_EWFT_45_49_Tot,M_EWFT_50_54_E,M_EWFT_50_54_OM_IE,M_EWFT_50_54_OM_UIE,M_EWFT_50_54_CFW,M_EWFT_50_54_ES_NS,M_EWFT_50_54_Tot,M_EWFT_55_59_E,M_EWFT_55_59_OM_IE,M_EWFT_55_59_OM_UIE,M_EWFT_55_59_CFW,M_EWFT_55_59_ES_NS,M_EWFT_55_59_Tot,M_EWFT_60_64_E,M_EWFT_60_64_OM_IE,M_EWFT_60_64_OM_UIE,M_EWFT_60_64_CFW,M_EWFT_60_64_ES_NS,M_EWFT_60_64_Tot,M_EWFT_65_69_E,M_EWFT_65_69_OM_IE,M_EWFT_65_69_OM_UIE,M_EWFT_65_69_CFW,M_EWFT_65_69_ES_NS,M_EWFT_65_69_Tot,M_EWFT_70_74_E,M_EWFT_70_74_OM_IE,M_EWFT_70_74_OM_UIE,M_EWFT_70_74_CFW,M_EWFT_70_74_ES_NS,M_EWFT_70_74_Tot,M_EWFT_75ov_E,M_EWFT_75ov_OM_IE,M_EWFT_75ov_OM_UIE,M_EWFT_75ov_CFW,M_EWFT_75ov_ES_NS,M_EWFT_75ov_Tot,M_EWFT_Tot_E,M_EWFT_Tot_OM_IE,M_EWFT_Tot_OM_UIE,M_EWFT_Tot_CFW,M_EWFT_Tot_ES_NS,M_EWFT_Tot_Tot,M_EWPT_15_19_E,M_EWPT_15_19_OM_IE,M_EWPT_15_19_OM_UIE,M_EWPT_15_19_CFW,M_EWPT_15_19_ES_NS,M_EWPT_15_19_Tot,M_EWPT_20_24_E,M_EWPT_20_24_OM_IE,M_EWPT_20_24_OM_UIE,M_EWPT_20_24_CFW,M_EWPT_20_24_ES_NS,M_EWPT_20_24_Tot,M_EWPT_25_29_E,M_EWPT_25_29_OM_IE,M_EWPT_25_29_OM_UIE,M_EWPT_25_29_CFW,M_EWPT_25_29_ES_NS,M_EWPT_25_29_Tot,M_EWPT_30_34_E,M_EWPT_30_34_OM_IE,M_EWPT_30_34_OM_UIE,M_EWPT_30_34_CFW,M_EWPT_30_34_ES_NS,M_EWPT_30_34_Tot,M_EWPT_35_39_E,M_EWPT_35_39_OM_IE,M_EWPT_35_39_OM_UIE,M_EWPT_35_39_CFW,M_EWPT_35_39_ES_NS,M_EWPT_35_39_Tot,M_EWPT_40_44_E,M_EWPT_40_44_OM_IE,M_EWPT_40_44_OM_UIE,M_EWPT_40_44_CFW,M_EWPT_40_44_ES_NS,M_EWPT_40_44_Tot,M_EWPT_45_49_E,M_EWPT_45_49_OM_IE,M_EWPT_45_49_OM_UIE,M_EWPT_45_49_CFW,M_EWPT_45_49_ES_NS,M_EWPT_45_49_Tot,M_EWPT_50_54_E,M_EWPT_50_54_OM_IE,M_EWPT_50_54_OM_UIE,M_EWPT_50_54_CFW,M_EWPT_50_54_ES_NS,M_EWPT_50_54_Tot,M_EWPT_55_59_E,M_EWPT_55_59_OM_IE,M_EWPT_55_59_OM_UIE,M_EWPT_55_59_CFW,M_EWPT_55_59_ES_NS,M_EWPT_55_59_Tot,M_EWPT_60_64_E,M_EWPT_60_64_OM_IE,M_EWPT_60_64_OM_UIE,M_EWPT_60_64_CFW,M_EWPT_60_64_ES_NS,M_EWPT_60_64_Tot,M_EWPT_65_69_E,M_EWPT_65_69_OM_IE,M_EWPT_65_69_OM_UIE,M_EWPT_65_69_CFW,M_EWPT_65_69_ES_NS,M_EWPT_65_69_Tot,M_EWPT_70_74_E,M_EWPT_70_74_OM_IE,M_EWPT_70_74_OM_UIE,M_EWPT_70_74_CFW,M_EWPT_70_74_ES_NS,M_EWPT_70_74_Tot,M_EWPT_75ov_E,M_EWPT_75ov_OM_IE,M_EWPT_75ov_OM_UIE,M_EWPT_75ov_CFW,M_EWPT_75ov_ES_NS,M_EWPT_75ov_Tot,M_EWPT_Tot_E,M_EWPT_Tot_OM_IE,M_EWPT_Tot_OM_UIE,M_EWPT_Tot_CFW,M_EWPT_Tot_ES_NS,M_EWPT_Tot_Tot,M_EAFW_E,M_EAFW_OM_IE,M_EAFW_OM_UIE,M_EAFW_CFW,M_EAFW_ES_NS,M_EAFW_Tot,M_H_NS_E,M_H_NS_OM_IE,M_H_NS_OM_UIE,M_H_NS_CFW,M_H_NS_ES_NS,M_H_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_EWFT_15_19_E,F_EWFT_15_19_OM_IE,F_EWFT_15_19_OM_UIE,F_EWFT_15_19_CFW,F_EWFT_15_19_ES_NS,F_EWFT_15_19_Tot,F_EWFT_20_24_E,F_EWFT_20_24_OM_IE,F_EWFT_20_24_OM_UIE,F_EWFT_20_24_CFW,F_EWFT_20_24_ES_NS,F_EWFT_20_24_Tot,F_EWFT_25_29_E,F_EWFT_25_29_OM_IE
2GMEL,8525,29,50,8,23,8634,48336,626,984,78,114,50146,94354,3185,3312,145,259,101246,108912,8341,4720,391,324,122693,110493,12301,5253,564,417,129027,94522,12771,4842,609,378,113123,84343,12945,5016,571,349,103228,75190,13144,4856,644,322,94156,60998,11237,4537,548,325,77649,39136,7742,3453,448,260,51039,13872,4162,1866,298,140,20337,3032,1952,837,197,51,6080,679,900,450,155,41,2231,742389,89349,40189,4653,3011,879588,31786,85,353,266,62,32559,46862,509,1773,271,127,49545,30300,1126,2960,201,183,34778,20160,1848,3087,366,150,25605,15713,2708,3100,492,156,22165,11911,2554,2887,526,136,18010,10611,2656,2940,493,146,16846,10047,2660,3045,540,146,16438,10016,2713,3022,547,151,16452,10578,2879,3172,533,158,17317,7362,2351,2478,588,108,12886,3733,1745,1570,523,87,7653,1806,1175,1008,565,70,4618,210883,25013,31398,5901,1677,274876,35816,2529,3479,861,509,43196,16223,1882,1540,607,1914,22163,1005302,118777,76606,12015,7116,1219824,2806,11,23,5,0,2850,36912,138,352,40,54,37501,83638,770
2RVIC,5943,11,23,22,37,6037,16707,167,374,54,95,17394,21626,891,1251,96,134,23995,21542,2013,1642,167,161,25527,19967,2803,1885,256,200,25117,18125,3043,1963,321,189,23642,18615,3491,2295,391,232,25019,18445,3615,2487,484,280,25316,16742,3206,2586,586,281,23396,11722,2595,2451,645,283,17696,3826,1417,1700,573,202,7714,735,658,877,486,93,2846,202,378,685,420,118,1802,174188,24298,20207,4507,2314,225509,11874,27,63,214,49,12231,8279,44,226,72,46,8664,5729,94,449,45,39,6362,4110,225,519,55,30,4937,3596,306,642,88,55,4699,2999,363,629,107,42,4151,3045,434,782,124,66,4453,3095,517,905,145,85,4751,3651,595,1052,205,85,5586,4508,711,1427,329,141,7121,3241,687,1217,444,113,5700,1510,485,859,479,82,3409,615,284,641,610,95,2246,56260,4769,9416,2925,930,74301,10958,693,1092,442,244,13425,4667,402,603,391,850,6910,246082,30155,31311,8265,4340,320149,2304,8,4,3,14,2333,10967,53,141,13,36,11219,15810,179
29499,2250,3,34,3,8,2302,5764,124,510,14,35,6459,5790,679,1465,15,57,7997,5461,1327,1826,41,78,8732,4459,1464,1755,50,91,7820,3396,1442,1532,42,79,6501,3043,1444,1622,28,83,6220,2646,1385,1560,54,100,5751,2012,1089,1436,53,74,4666,1269,697,1078,40,77,3164,437,315,443,36,30,1259,100,96,136,29,14,368,22,44,58,31,11,168,36656,10122,13458,443,734,61412,1274,5,121,29,6,1430,2167,75,586,23,23,2868,1672,169,908,24,22,2792,1318,262,1082,39,30,2737,923,369,1118,55,47,2503,721,407,1127,59,55,2365,717,389,1238,49,33,2424,721,492,1481,68,43,2801,781,438,1429,64,75,2792,790,439,1529,52,76,2886,540,319,1010,68,50,1984,270,147,481,50,19,967,158,85,232,83,12,578,12055,3594,12334,661,485,29131,2661,569,1789,216,173,5416,1353,247,409,70,237,2321,52735,14525,27992,1393,1637,98277,110,0,0,0,0,114,743,5,50,0,0,802,1380,25
29799,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,5,15,0,0,0,0,15,10,0,0,0,0,10,21,0,0,0,0,17,22,0,0,0,0,22,27,0,0,0,0,32,26,0,0,0,0,21,8,0,0,0,0,11,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,19,0,0,0,0,19,0,0,0,0,0,0,179,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0
