POW_GCCSA_CODE_2021,P_M3_Trn_and_2_oth_Ms_15_24,P_M3_Trn_and_2_oth_Ms_25_34,P_M3_Trn_and_2_oth_Ms_35_44,P_M3_Trn_and_2_oth_Ms_45_54,P_M3_Trn_and_2_oth_Ms_55_64,P_M3_Trn_and_2_oth_Ms_65_74,P_M3_Trn_and_2_oth_Ms_75ov,P_M3_Trn_and_2_oth_Ms_Tot,P_M3_Bus2othMs_ex_tn_15_24,P_M3_Bus2othMs_ex_tn_25_34,P_M3_Bus2othMs_ex_tn_35_44,P_M3_Bus2othMs_ex_tn_45_54,P_M3_Bus2othMs_ex_tn_55_64,P_M3_Bus2othMs_ex_tn_65_74,P_M3_Bus2othMs_ex_tn_75ov,P_M3_Bus2othMs_ex_tn_Tot,P_M3_Other_M3_15_24,P_M3_Other_M3_25_34,P_M3_Other_M3_35_44,P_M3_Other_M3_45_54,P_M3_Other_M3_55_64,P_M3_Other_M3_65_74,P_M3_Other_M3_75ov,P_M3_Other_M3_Tot,P_M3_Tot_M3_15_24,P_M3_Tot_M3_25_34,P_M3_Tot_M3_35_44,P_M3_Tot_M3_45_54,P_M3_Tot_M3_55_64,P_M3_Tot_M3_65_74,P_M3_Tot_M3_75ov,P_M3_Tot_M3_Tot,P_Wkd_at_home_15_24,P_Wkd_at_home_25_34,P_Wkd_at_home_35_44,P_Wkd_at_home_45_54,P_Wkd_at_home_55_64,P_Wkd_at_home_65_74,P_Wkd_at_home_75ov,P_Wkd_at_home_Tot,P_Did_not_go_to_work_15_24,P_Did_not_go_to_work_25_34,P_Did_not_go_to_work_35_44,P_Did_not_go_to_work_45_54,P_Did_not_go_to_work_55_64,P_Did_not_go_to_work_65_74,P_Did_not_go_to_work_75ov,P_Did_not_go_to_work_Tot,P_MT_NS_15_24,P_MT_NS_25_34,P_MT_NS_35_44,P_MT_NS_45_54,P_MT_NS_55_64,P_MT_NS_65_74,P_MT_NS_75ov,P_MT_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75ov,P_Tot_Tot
2GMEL,2329,3245,1851,965,536,144,16,9081,288,176,98,48,34,13,0,668,1715,2361,1311,655,433,129,21,6624,4335,5786,3259,1667,1004,295,31,16374,32173,174866,213093,163969,91939,25917,4084,706049,70920,61220,49946,36759,32048,11376,1563,263840,1513,2588,2034,1490,1133,577,448,9772,319199,593469,565006,474252,325887,87496,11322,2376630
2RVIC,55,39,21,19,11,0,3,147,45,33,11,15,6,0,0,110,348,377,255,179,138,48,9,1362,449,452,287,210,154,54,10,1624,2838,13031,20571,21954,18376,9783,2866,89414,17611,14413,11877,10804,12399,4376,476,71962,883,727,675,732,741,490,446,4696,98234,129291,125977,133479,118181,37564,6723,649447
29499,89,96,40,31,19,12,0,293,7,3,3,0,0,0,0,13,38,117,108,59,44,20,5,393,130,219,154,87,65,33,5,695,1544,4983,5564,4132,2538,1186,411,20367,2474,3035,3139,3295,3355,1457,278,17033,139,159,150,170,110,76,63,867,18954,32300,28956,27033,21711,7223,1298,137478
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,6,13,11,0,0,34,0,0,0,0,0,0,0,4,7,27,42,68,50,12,0,194
