POW_GCCSA_CODE_2021,BDLA_NNI_Mng,BDLA_NNI_Pro,BDLA_NNI_TecTW,BDLA_NNI_CoPSW,BDLA_NNI_ClAW,BDLA_NNI_SWks,BDLA_NNI_MaOpDv,BDLA_NNI_Lab,BDLA_NNI_IDNS,BDLA_NNI_Tot,BDLA_1_149_Mng,BDLA_1_149_Pro,BDLA_1_149_TecTW,BDLA_1_149_CoPSW,BDLA_1_149_ClAW,BDLA_1_149_SWks,BDLA_1_149_MaOpDv,BDLA_1_149_Lab,BDLA_1_149_IDNS,BDLA_1_149_Tot,BDLA_150_299_Mng,BDLA_150_299_Pro,BDLA_150_299_TecTW,BDLA_150_299_CoPSW,BDLA_150_299_ClAW,BDLA_150_299_SWks,BDLA_150_299_MaOpDv,BDLA_150_299_Lab,BDLA_150_299_IDNS,BDLA_150_299_Tot,BDLA_300_399_Mng,BDLA_300_399_Pro,BDLA_300_399_TecTW,BDLA_300_399_CoPSW,BDLA_300_399_ClAW,BDLA_300_399_SWks,BDLA_300_399_MaOpDv,BDLA_300_399_Lab,BDLA_300_399_IDNS,BDLA_300_399_Tot,BDLA_400_499_Mng,BDLA_400_499_Pro,BDLA_400_499_TecTW,BDLA_400_499_CoPSW,BDLA_400_499_ClAW,BDLA_400_499_SWks,BDLA_400_499_MaOpDv,BDLA_400_499_Lab,BDLA_400_499_IDNS,BDLA_400_499_Tot,BDLA_500_649_Mng,BDLA_500_649_Pro,BDLA_500_649_TecTW,BDLA_500_649_CoPSW,BDLA_500_649_ClAW,BDLA_500_649_SWks,BDLA_500_649_MaOpDv,BDLA_500_649_Lab,BDLA_500_649_IDNS,BDLA_500_649_Tot,BDLA_650_799_Mng,BDLA_650_799_Pro,BDLA_650_799_TecTW,BDLA_650_799_CoPSW,BDLA_650_799_ClAW,BDLA_650_799_SWks,BDLA_650_799_MaOpDv,BDLA_650_799_Lab,BDLA_650_799_IDNS,BDLA_650_799_Tot,BDLA_800_999_Mng,BDLA_800_999_Pro,BDLA_800_999_TecTW,BDLA_800_999_CoPSW,BDLA_800_999_ClAW,BDLA_800_999_SWks,BDLA_800_999_MaOpDv,BDLA_800_999_Lab,BDLA_800_999_IDNS,BDLA_800_999_Tot,BDLA_1000_1249_Mng,BDLA_1000_1249_Pro,BDLA_1000_1249_TecTW,BDLA_1000_1249_CoPSW,BDLA_1000_1249_ClAW,BDLA_1000_1249_SWks,BDLA_1000_1249_MaOpDv,BDLA_1000_1249_Lab,BDLA_1000_1249_IDNS,BDLA_1000_1249_Tot,BDLA_1250_1499_Mng,BDLA_1250_1499_Pro,BDLA_1250_1499_TecTW,BDLA_1250_1499_CoPSW,BDLA_1250_1499_ClAW,BDLA_1250_1499_SWks,BDLA_1250_1499_MaOpDv,BDLA_1250_1499_Lab,BDLA_1250_1499_IDNS,BDLA_1250_1499_Tot,BDLA_1500_1749_Mng,BDLA_1500_1749_Pro,BDLA_1500_1749_TecTW,BDLA_1500_1749_CoPSW,BDLA_1500_1749_ClAW,BDLA_1500_1749_SWks,BDLA_1500_1749_MaOpDv,BDLA_1500_1749_Lab,BDLA_1500_1749_IDNS,BDLA_1500_1749_Tot,BDLA_1750_1999_Mng,BDLA_1750_1999_Pro,BDLA_1750_1999_TecTW,BDLA_1750_1999_CoPSW,BDLA_1750_1999_ClAW,BDLA_1750_1999_SWks,BDLA_1750_1999_MaOpDv,BDLA_1750_1999_Lab,BDLA_1750_1999_IDNS,BDLA_1750_1999_Tot,BDLA_2000_2999_Mng,BDLA_2000_2999_Pro,BDLA_2000_2999_TecTW,BDLA_2000_2999_CoPSW,BDLA_2000_2999_ClAW,BDLA_2000_2999_SWks,BDLA_2000_2999_MaOpDv,BDLA_2000_2999_Lab,BDLA_2000_2999_IDNS,BDLA_2000_2999_Tot,BDLA_3000_3499_Mng,BDLA_3000_3499_Pro,BDLA_3000_3499_TecTW,BDLA_3000_3499_CoPSW,BDLA_3000_3499_ClAW,BDLA_3000_3499_SWks,BDLA_3000_3499_MaOpDv,BDLA_3000_3499_Lab,BDLA_3000_3499_IDNS,BDLA_3000_3499_Tot,BDLA_3500mo_Mng,BDLA_3500mo_Pro,BDLA_3500mo_TecTW,BDLA_3500mo_CoPSW,BDLA_3500mo_ClAW,BDLA_3500mo_SWks,BDLA_3500mo_MaOpDv,BDLA_3500mo_Lab,BDLA_3500mo_IDNS,BDLA_3500mo_Tot,BDLA_PINS_Mng,BDLA_PINS_Pro,BDLA_PINS_TecTW,BDLA_PINS_CoPSW,BDLA_PINS_ClAW,BDLA_PINS_SWks,BDLA_PINS_MaOpDv,BDLA_PINS_Lab,BDLA_PINS_IDNS,BDLA_PINS_Tot,BDLA_Tot_Mng,BDLA_Tot_Pro,BDLA_Tot_TecTW,BDLA_Tot_CoPSW,BDLA_Tot_ClAW,BDLA_Tot_SWks,BDLA_Tot_MaOpDv,BDLA_Tot_Lab,BDLA_Tot_IDNS,BDLA_Tot_Tot,Ad_Dip_NNI_Mng,Ad_Dip_NNI_Pro,Ad_Dip_NNI_TecTW,Ad_Dip_NNI_CoPSW,Ad_Dip_NNI_ClAW,Ad_Dip_NNI_SWks,Ad_Dip_NNI_MaOpDv,Ad_Dip_NNI_Lab,Ad_Dip_NNI_IDNS,Ad_Dip_NNI_Tot,Ad_Dip_1_149_Mng,Ad_Dip_1_149_Pro,Ad_Dip_1_149_TecTW,Ad_Dip_1_149_CoPSW,Ad_Dip_1_149_ClAW,Ad_Dip_1_149_SWks,Ad_Dip_1_149_MaOpDv,Ad_Dip_1_149_Lab,Ad_Dip_1_149_IDNS,Ad_Dip_1_149_Tot,Ad_Dip_150_299_Mng,Ad_Dip_150_299_Pro,Ad_Dip_150_299_TecTW,Ad_Dip_150_299_CoPSW,Ad_Dip_150_299_ClAW,Ad_Dip_150_299_SWks,Ad_Dip_150_299_MaOpDv,Ad_Dip_150_299_Lab,Ad_Dip_150_299_IDNS,Ad_Dip_150_299_Tot
2GMEL,971,1345,165,290,500,256,81,133,310,4051,435,1970,292,858,608,581,135,346,137,5358,729,3664,590,2414,1477,1895,385,934,212,12302,1222,4583,866,3352,2271,2642,630,1453,357,17379,1452,5591,1301,4353,3033,3306,1042,2275,385,22734,2706,10684,2310,7438,5223,4776,1875,3703,592,39296,3982,15709,3547,9333,7553,4958,2538,4129,756,52509,6722,27264,5836,10979,13138,5492,4469,5100,1178,80184,10922,52823,7947,9971,20108,5226,4373,3945,1728,117040,11644,66410,5804,6264,16462,3609,2385,1760,1331,115666,13959,75347,4264,4958,13031,2829,1398,979,1270,118038,13898,64097,2695,3200,8174,1848,763,551,940,96170,47059,123739,4136,5007,12173,3541,761,569,1708,198697,18877,27149,829,659,2874,1088,137,132,457,52207,42907,51084,951,529,4522,2112,84,137,1021,103341,763,2591,176,337,500,211,63,87,1093,5827,178243,534050,41706,69954,111641,44364,21121,26228,13477,1040786,299,199,141,228,249,123,50,79,114,1487,150,339,178,535,278,308,77,237,47,2149,297,593,380,1466,752,1002,204,592,93,5368
2RVIC,282,213,20,49,75,18,17,32,35,741,152,324,55,155,110,59,10,77,9,945,273,659,116,337,272,206,43,217,35,2171,396,969,167,536,352,310,76,308,52,3172,446,1252,253,793,475,405,121,416,52,4209,776,2509,323,1384,820,624,161,609,68,7270,969,3879,568,1781,1071,627,222,762,89,9974,1455,6333,916,2156,1610,611,387,984,122,14577,2048,11272,1063,2017,2020,506,338,844,176,20287,1964,13448,666,1238,1559,314,168,348,127,19831,2244,15346,525,1191,1358,213,126,194,152,21343,2131,11795,335,884,858,135,86,97,144,16462,6624,17660,421,1441,1215,224,98,118,174,27982,2011,2525,91,210,195,59,13,16,30,5151,3086,5197,129,141,268,126,13,27,79,9075,131,425,23,66,51,18,6,29,96,836,24973,93787,5668,14397,12319,4458,1874,5085,1456,164018,224,35,23,50,61,25,3,42,26,492,112,72,43,117,64,41,11,62,0,527,215,192,91,422,187,177,30,177,22,1512
29499,52,91,10,21,43,17,10,22,26,292,21,264,26,99,58,17,41,44,11,585,47,374,66,188,82,32,90,123,18,1018,50,413,84,238,108,38,115,149,34,1227,55,365,118,264,125,68,157,192,25,1371,119,622,213,416,174,66,257,279,39,2185,130,711,315,406,198,86,267,272,57,2443,191,925,409,419,213,95,329,305,68,2953,242,1225,463,424,296,94,268,309,62,3378,271,1076,361,247,216,82,126,162,69,2612,328,1213,259,180,189,66,48,114,61,2460,290,997,178,115,91,59,36,58,52,1885,717,1842,197,146,154,96,38,55,62,3306,276,532,27,19,46,39,5,8,13,960,719,1013,41,19,65,60,0,14,37,1966,29,98,19,12,20,7,6,5,48,245,3528,11759,2785,3235,2074,926,1784,2109,676,28870,21,12,21,14,28,4,11,10,10,144,10,34,18,49,20,7,11,46,7,198,22,45,50,125,31,28,33,99,9,441
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,3,10,0,5,0,0,0,0,0,0,0,5,0,4,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,4,0,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
