POW_GCCSA_CODE_2021,LG_650_799_Mng,LG_650_799_Pro,LG_650_799_TecTW,LG_650_799_CoPSW,LG_650_799_ClAW,LG_650_799_SWks,LG_650_799_MaOpDv,LG_650_799_Lab,LG_650_799_IDNS,LG_650_799_Tot,LG_800_999_Mng,LG_800_999_Pro,LG_800_999_TecTW,LG_800_999_CoPSW,LG_800_999_ClAW,LG_800_999_SWks,LG_800_999_MaOpDv,LG_800_999_Lab,LG_800_999_IDNS,LG_800_999_Tot,LG_1000_1249_Mng,LG_1000_1249_Pro,LG_1000_1249_TecTW,LG_1000_1249_CoPSW,LG_1000_1249_ClAW,LG_1000_1249_SWks,LG_1000_1249_MaOpDv,LG_1000_1249_Lab,LG_1000_1249_IDNS,LG_1000_1249_Tot,LG_1250_1499_Mng,LG_1250_1499_Pro,LG_1250_1499_TecTW,LG_1250_1499_CoPSW,LG_1250_1499_ClAW,LG_1250_1499_SWks,LG_1250_1499_MaOpDv,LG_1250_1499_Lab,LG_1250_1499_IDNS,LG_1250_1499_Tot,LG_1500_1749_Mng,LG_1500_1749_Pro,LG_1500_1749_TecTW,LG_1500_1749_CoPSW,LG_1500_1749_ClAW,LG_1500_1749_SWks,LG_1500_1749_MaOpDv,LG_1500_1749_Lab,LG_1500_1749_IDNS,LG_1500_1749_Tot,LG_1750_1999_Mng,LG_1750_1999_Pro,LG_1750_1999_TecTW,LG_1750_1999_CoPSW,LG_1750_1999_ClAW,LG_1750_1999_SWks,LG_1750_1999_MaOpDv,LG_1750_1999_Lab,LG_1750_1999_IDNS,LG_1750_1999_Tot,LG_2000_2999_Mng,LG_2000_2999_Pro,LG_2000_2999_TecTW,LG_2000_2999_CoPSW,LG_2000_2999_ClAW,LG_2000_2999_SWks,LG_2000_2999_MaOpDv,LG_2000_2999_Lab,LG_2000_2999_IDNS,LG_2000_2999_Tot,LG_3000_3499_Mng,LG_3000_3499_Pro,LG_3000_3499_TecTW,LG_3000_3499_CoPSW,LG_3000_3499_ClAW,LG_3000_3499_SWks,LG_3000_3499_MaOpDv,LG_3000_3499_Lab,LG_3000_3499_IDNS,LG_3000_3499_Tot,LG_3500mo_Mng,LG_3500mo_Pro,LG_3500mo_TecTW,LG_3500mo_CoPSW,LG_3500mo_ClAW,LG_3500mo_SWks,LG_3500mo_MaOpDv,LG_3500mo_Lab,LG_3500mo_IDNS,LG_3500mo_Tot,LG_PINS_Mng,LG_PINS_Pro,LG_PINS_TecTW,LG_PINS_CoPSW,LG_PINS_ClAW,LG_PINS_SWks,LG_PINS_MaOpDv,LG_PINS_Lab,LG_PINS_IDNS,LG_PINS_Tot,LG_Tot_Mng,LG_Tot_Pro,LG_Tot_TecTW,LG_Tot_CoPSW,LG_Tot_ClAW,LG_Tot_SWks,LG_Tot_MaOpDv,LG_Tot_Lab,LG_Tot_IDNS,LG_Tot_Tot,Pvte_NNI_Mng,Pvte_NNI_Pro,Pvte_NNI_TecTW,Pvte_NNI_CoPSW,Pvte_NNI_ClAW,Pvte_NNI_SWks,Pvte_NNI_MaOpDv,Pvte_NNI_Lab,Pvte_NNI_IDNS,Pvte_NNI_Tot,Pvte_1_149_Mng,Pvte_1_149_Pro,Pvte_1_149_TecTW,Pvte_1_149_CoPSW,Pvte_1_149_ClAW,Pvte_1_149_SWks,Pvte_1_149_MaOpDv,Pvte_1_149_Lab,Pvte_1_149_IDNS,Pvte_1_149_Tot,Pvte_150_299_Mng,Pvte_150_299_Pro,Pvte_150_299_TecTW,Pvte_150_299_CoPSW,Pvte_150_299_ClAW,Pvte_150_299_SWks,Pvte_150_299_MaOpDv,Pvte_150_299_Lab,Pvte_150_299_IDNS,Pvte_150_299_Tot,Pvte_300_399_Mng,Pvte_300_399_Pro,Pvte_300_399_TecTW,Pvte_300_399_CoPSW,Pvte_300_399_ClAW,Pvte_300_399_SWks,Pvte_300_399_MaOpDv,Pvte_300_399_Lab,Pvte_300_399_IDNS,Pvte_300_399_Tot,Pvte_400_499_Mng,Pvte_400_499_Pro,Pvte_400_499_TecTW,Pvte_400_499_CoPSW,Pvte_400_499_ClAW,Pvte_400_499_SWks,Pvte_400_499_MaOpDv,Pvte_400_499_Lab,Pvte_400_499_IDNS,Pvte_400_499_Tot,Pvte_500_649_Mng,Pvte_500_649_Pro,Pvte_500_649_TecTW,Pvte_500_649_CoPSW,Pvte_500_649_ClAW,Pvte_500_649_SWks,Pvte_500_649_MaOpDv,Pvte_500_649_Lab,Pvte_500_649_IDNS,Pvte_500_649_Tot,Pvte_650_799_Mng,Pvte_650_799_Pro,Pvte_650_799_TecTW,Pvte_650_799_CoPSW,Pvte_650_799_ClAW,Pvte_650_799_SWks,Pvte_650_799_MaOpDv,Pvte_650_799_Lab,Pvte_650_799_IDNS,Pvte_650_799_Tot,Pvte_800_999_Mng,Pvte_800_999_Pro,Pvte_800_999_TecTW,Pvte_800_999_CoPSW,Pvte_800_999_ClAW,Pvte_800_999_SWks,Pvte_800_999_MaOpDv,Pvte_800_999_Lab,Pvte_800_999_IDNS,Pvte_800_999_Tot,Pvte_1000_1249_Mng,Pvte_1000_1249_Pro,Pvte_1000_1249_TecTW,Pvte_1000_1249_CoPSW,Pvte_1000_1249_ClAW,Pvte_1000_1249_SWks,Pvte_1000_1249_MaOpDv,Pvte_1000_1249_Lab,Pvte_1000_1249_IDNS,Pvte_1000_1249_Tot
2GMEL,67,265,128,657,396,14,35,260,15,1840,98,468,211,683,606,16,84,237,35,2437,158,778,440,600,1086,28,174,433,44,3743,273,1142,512,405,1349,27,168,314,71,4257,362,1652,360,330,1147,13,110,145,67,4181,496,1823,259,238,752,14,51,81,77,3786,1146,2073,232,188,650,7,35,47,80,4465,286,153,22,7,48,7,5,4,4,538,475,158,20,8,54,0,0,8,10,731,13,39,10,19,41,0,4,37,16,187,3467,8866,2372,4152,6668,153,719,3199,448,30042,2151,1675,1256,1380,1482,1667,566,1409,669,12253,1264,3960,1857,10896,3006,21598,1278,12502,622,56980,2179,5460,3475,13092,5714,20131,2353,10463,636,63513,3378,6124,5612,13886,7580,15468,3163,9826,828,65861,4277,7165,9230,15849,9928,15689,4375,11833,919,79256,7731,11876,16847,25170,17318,20434,7843,17767,1406,126405,11227,16461,23276,29252,23646,19813,14142,22794,2095,162713,18819,27750,35261,32355,36832,20357,27827,29028,3213,231442,28982,50185,43322,27058,49478,17994,28608,21830,4029,271483
2RVIC,39,120,75,404,256,13,32,142,7,1088,60,199,150,356,400,9,126,187,15,1504,107,384,345,322,660,6,398,402,55,2681,156,589,272,202,657,7,197,202,35,2314,256,751,179,139,484,7,84,64,34,1995,259,573,98,69,239,0,26,38,37,1334,585,516,79,69,149,0,16,14,24,1443,145,38,11,5,13,0,4,0,0,212,151,20,4,3,9,0,6,0,0,199,5,15,8,20,21,0,4,16,4,92,1833,3346,1330,2345,3218,70,904,1671,226,14942,1730,254,392,337,387,449,157,648,165,4519,932,612,781,3500,728,8354,370,5810,169,21258,1751,1013,1367,3241,1363,5665,583,4525,175,19682,2379,1248,1936,3715,1995,4137,777,4196,205,20594,2956,1670,3817,4825,2794,4704,1040,5093,240,27137,4752,2871,6695,8457,5083,7139,1988,7784,360,45133,6228,4081,8731,10248,6686,7354,3421,10007,479,57231,8791,6063,12762,10608,9137,7108,6765,12604,700,74545,11532,9879,14718,8424,9673,4885,7791,9696,823,77429
29499,0,8,0,77,9,0,3,14,0,120,0,10,0,70,12,3,0,21,0,128,3,12,5,49,14,0,11,19,0,118,6,14,14,16,15,0,4,3,7,68,0,16,0,7,18,0,0,0,0,44,8,13,5,0,4,0,0,0,0,30,8,10,0,6,0,0,0,4,0,32,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,9,0,3,0,7,0,0,0,4,0,12,38,102,42,382,84,5,24,201,13,888,158,144,252,98,104,65,84,201,78,1192,103,560,320,681,155,211,138,660,46,2877,183,673,665,837,237,277,306,1095,57,4326,233,678,1019,976,309,295,439,1375,92,5412,264,640,1751,1159,346,347,559,1657,117,6839,465,957,3569,1864,526,440,966,2463,143,11396,616,1003,4442,1879,655,413,1155,2506,182,12846,797,1288,5860,1631,746,487,1432,2970,263,15474,1127,1645,7019,1553,920,522,1582,2973,275,17616
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,4,3,0,7
