POW_GCCSA_CODE_2021,Tot_150_299_A_55_64,Tot_150_299_A_65_74,Tot_150_299_A_75ov,Tot_150_299_Tot,Tot_300_399_A_15_19,Tot_300_399_A_20_24,Tot_300_399_A_25_34,Tot_300_399_A_35_44,Tot_300_399_A_45_54,Tot_300_399_A_55_64,Tot_300_399_A_65_74,Tot_300_399_A_75ov,Tot_300_399_Tot,Tot_400_499_A_15_19,Tot_400_499_A_20_24,Tot_400_499_A_25_34,Tot_400_499_A_35_44,Tot_400_499_A_45_54,Tot_400_499_A_55_64,Tot_400_499_A_65_74,Tot_400_499_A_75ov,Tot_400_499_Tot,Tot_500_649_A_15_19,Tot_500_649_A_20_24,Tot_500_649_A_25_34,Tot_500_649_A_35_44,Tot_500_649_A_45_54,Tot_500_649_A_55_64,Tot_500_649_A_65_74,Tot_500_649_A_75ov,Tot_500_649_Tot,Tot_650_799_A_15_19,Tot_650_799_A_20_24,Tot_650_799_A_25_34,Tot_650_799_A_35_44,Tot_650_799_A_45_54,Tot_650_799_A_55_64,Tot_650_799_A_65_74,Tot_650_799_A_75ov,Tot_650_799_Tot,Tot_800_999_A_15_19,Tot_800_999_A_20_24,Tot_800_999_A_25_34,Tot_800_999_A_35_44,Tot_800_999_A_45_54,Tot_800_999_A_55_64,Tot_800_999_A_65_74,Tot_800_999_A_75ov,Tot_800_999_Tot,Tot_1000_1249_A_15_19,Tot_1000_1249_A_20_24,Tot_1000_1249_A_25_34,Tot_1000_1249_A_35_44,Tot_1000_1249_A_45_54,Tot_1000_1249_A_55_64,Tot_1000_1249_A_65_74,Tot_1000_1249_A_75ov,Tot_1000_1249_Tot,Tot_1250_1499_A_15_19,Tot_1250_1499_A_20_24,Tot_1250_1499_A_25_34,Tot_1250_1499_A_35_44,Tot_1250_1499_A_45_54,Tot_1250_1499_A_55_64,Tot_1250_1499_A_65_74,Tot_1250_1499_A_75ov,Tot_1250_1499_Tot,Tot_1500_1749_A_15_19,Tot_1500_1749_A_20_24,Tot_1500_1749_A_25_34,Tot_1500_1749_A_35_44,Tot_1500_1749_A_45_54,Tot_1500_1749_A_55_64,Tot_1500_1749_A_65_74,Tot_1500_1749_A_75ov,Tot_1500_1749_Tot,Tot_1750_1999_A_15_19,Tot_1750_1999_A_20_24,Tot_1750_1999_A_25_34,Tot_1750_1999_A_35_44,Tot_1750_1999_A_45_54,Tot_1750_1999_A_55_64,Tot_1750_1999_A_65_74,Tot_1750_1999_A_75ov,Tot_1750_1999_Tot,Tot_2000_2999_A_15_19,Tot_2000_2999_A_20_24,Tot_2000_2999_A_25_34,Tot_2000_2999_A_35_44,Tot_2000_2999_A_45_54,Tot_2000_2999_A_55_64,Tot_2000_2999_A_65_74,Tot_2000_2999_A_75ov,Tot_2000_2999_Tot,Tot_3000_3499_A_15_19,Tot_3000_3499_A_20_24,Tot_3000_3499_A_25_34,Tot_3000_3499_A_35_44,Tot_3000_3499_A_45_54,Tot_3000_3499_A_55_64,Tot_3000_3499_A_65_74,Tot_3000_3499_A_75ov,Tot_3000_3499_Tot,Tot_3500mo_A_15_19,Tot_3500mo_A_20_24,Tot_3500mo_A_25_34,Tot_3500mo_A_35_44,Tot_3500mo_A_45_54,Tot_3500mo_A_55_64,Tot_3500mo_A_65_74,Tot_3500mo_A_75ov,Tot_3500mo_Tot,Tot_PINS_A_15_19,Tot_PINS_A_20_24,Tot_PINS_A_25_34,Tot_PINS_A_35_44,Tot_PINS_A_45_54,Tot_PINS_A_55_64,Tot_PINS_A_65_74,Tot_PINS_A_75ov,Tot_PINS_Tot,Tot_Tot_A_15_19,Tot_Tot_A_20_24,Tot_Tot_A_25_34,Tot_Tot_A_35_44,Tot_Tot_A_45_54,Tot_Tot_A_55_64,Tot_Tot_A_65_74,Tot_Tot_A_75ov,Tot_Tot_Tot
2GMEL,4984,2276,433,67601,9504,18828,12219,9823,8579,7928,3255,666,70795,7078,21021,17118,12858,11812,10459,4409,898,85648,7316,28615,31310,23329,21533,18493,7013,1199,138805,4294,29709,45961,34871,31141,25137,8318,1087,180521,2869,33915,74409,53030,46325,35518,9997,1076,257145,1386,29671,97447,68869,57764,43486,11090,1046,310763,387,15761,85062,60572,47655,33833,8198,734,252200,204,6856,73415,60593,47645,31785,7092,696,228294,77,2645,47390,50151,38518,24605,5405,524,169317,66,2089,69023,103997,77742,44767,8840,880,307402,33,330,11095,26922,22018,11996,2534,354,75283,78,511,10964,43477,48203,25399,6228,1011,135879,1055,2651,5093,4450,5015,3829,1164,337,23596,100417,218779,593469,565006,474252,325887,87496,11322,2376630
2RVIC,2615,1419,321,21216,3127,3512,3245,2915,3163,4038,2132,541,22673,3533,4305,4358,4246,4556,5637,2827,691,30159,4029,7305,8570,7892,8532,9718,4266,859,51172,2433,9781,13262,11299,12004,11880,4404,737,65797,1540,11118,20359,15725,16733,15471,4589,713,86242,763,8222,23815,18881,19870,17652,4620,564,94391,194,3980,17070,14718,14849,12282,3091,416,66590,86,1804,14070,13485,13310,10628,2477,324,56187,37,708,8067,9798,10216,7326,1677,229,38060,32,534,9141,15490,16395,11197,2351,283,55413,7,68,1231,2721,3108,2261,587,107,10093,32,119,1438,3995,5241,3881,1316,328,16350,487,653,1199,1140,1714,1555,711,304,7771,42203,56029,129291,125977,133479,118181,37564,6723,649447
29499,786,329,57,4632,382,870,923,879,976,1094,534,129,5784,706,979,1109,1009,1275,1334,672,116,7203,1127,1860,1979,1734,1989,2157,974,189,11993,577,2181,2738,2336,2344,2291,893,150,13506,300,2252,4167,3006,3008,2514,807,136,16185,145,1811,5201,3872,3583,2947,784,103,18435,38,941,4322,3194,2911,2207,578,64,14253,13,537,3728,3164,2731,1814,420,68,12470,5,254,2401,2383,1956,1224,261,25,8507,9,181,3096,3709,2811,1530,322,54,11703,5,37,502,885,654,343,93,20,2539,3,41,494,1188,1071,588,230,59,3674,80,214,420,395,463,382,122,55,2136,5273,13672,32300,28956,27033,21711,7223,1298,137478
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,4,0,0,0,3,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,9,0,0,4,5,0,3,0,0,14,0,0,12,5,20,19,0,0,60,0,0,0,8,7,3,0,0,19,0,0,5,17,27,19,0,0,64,0,0,0,0,0,0,0,0,0,3,5,27,42,68,50,12,0,194
