POW_GCCSA_CODE_2021,Ag_For_Fish_ATSI,Ag_For_Fish_Non_Indig,Ag_For_Fish_Indig_Status_NS,Ag_For_Fish_Tot,Min_ATSI,Min_Non_Indig,Min_Indig_Status_NS,Min_Total,Mnf_ATSI,Mnf_Non_Indig,Mnf_Indig_Status_NS,Mnf_Tot,EGWWS_ATSI,EGWWS_Non_Indig,EGWWS_Indig_Status_NS,EGWWS_Tot,Const_ATSI,Const_Non_Indig,Const_Indig_Status_NS,Const_Tot,WST_ATSI,WST_Non_Indig,WST_Indig_Status_NS,WST_Tot,RetT_ATSI,RetT_Non_Indig,RetT_Indig_Status_NS,RetT_Tot,AcFd_ATSI,AcFd_Non_Indig,AcFd_Indig_Status_NS,AcFd_Tot,TPW_ATSI,TPW_Non_Indig,TPW_Indig_Status_NS,TPW_Tot,IMT_ATSI,IMT_Non_Indig,IMT_Indig_Status_NS,IMT_Tot,FinIns_ATSI,FinIns_Non_Indig,FinIns_Indig_Status_NS,FinIns_Tot,RHRE_ATSI,RHRE_Non_Indig,RHRE_Indig_Status_NS,RHRE_Tot,ProSTS_ATSI,ProSTS_Non_Indig,ProSTS_Indig_Status_NS,ProSTS_Tot,AdSup_ATSI,AdSup_Non_Indig,AdSup_Indig_Status_NS,AdSup_Tot,PubAS_ATSI,PubAS_Non_Indig,PubAS_Indig_Status_NS,PubAS_Tot,EdTrn_ATSI,EdTrn_Non_Indig,EdTrn_Indig_Status_NS,EdTrn_Tot,HltHC_SA_ATSI,HltHC_SA_Non_Indig,HltHC_SA_Indig_Status_NS,HltHC_SA_Tot,ArtsR_ATSI,ArtsR_Non_Indig,ArtsR_Indig_Status_NS,ArtsR_Tot,OthSvs_ATSI,OthSvs_Non_Indig,OthSvs_Indig_Status_NS,OthSvs_Tot,IDNS_ATSI,IDNS_Non_Indig,IDNS_Indig_Status_NS,IDNS_Tot,Tot_ATSI,Tot_Non_Indig,Tot_Indig_Status_NS,Tot_Tot
2GMEL,70,14679,42,14793,29,3698,5,3732,647,168241,315,169209,171,25372,40,25584,1427,188555,447,190432,252,73670,122,74053,1127,226271,384,227777,817,145548,272,146638,596,116052,243,116887,206,42705,42,42953,348,115257,124,115725,147,38510,59,38715,727,231501,248,232476,361,70317,143,70820,1435,132270,213,133922,1187,211768,309,213266,1841,318162,558,320562,429,42890,79,43390,519,81253,156,81925,830,112126,809,113766,13168,2358848,4606,2376630
2RVIC,444,48254,320,49017,75,4183,16,4274,628,48607,231,49470,109,9262,27,9396,773,52905,220,53903,147,13435,41,13619,1020,65519,276,66812,775,46309,206,47289,297,22288,115,22702,40,4671,20,4729,106,10782,26,10909,64,6534,14,6610,207,26089,80,26376,284,14857,60,15207,860,39509,122,40489,756,58491,128,59375,1690,109554,373,111614,185,9080,33,9298,371,23379,93,23842,587,23469,448,24505,9411,637195,2844,649447
29499,39,2851,27,2922,4,292,5,298,33,2680,16,2727,4,1019,3,1029,546,52868,180,53597,14,1820,3,1844,22,3628,19,3674,20,1680,4,1705,39,7811,30,7884,13,1928,5,1949,10,2008,8,2027,7,1016,0,1024,38,8038,20,8098,109,13445,50,13600,65,3621,11,3695,35,4788,13,4840,131,13259,34,13424,15,1843,8,1863,46,4261,18,4323,98,6750,99,6946,1297,135628,552,137478
29799,0,0,0,0,0,60,0,57,0,0,0,0,0,3,0,3,0,16,0,16,0,3,0,3,0,0,0,0,0,5,0,5,3,74,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,10,0,16,4,187,0,194
