POW_GCCSA_CODE_2021,Tot_800_999_H_0,Tot_800_999_H_1_19,Tot_800_999_H_20_29,Tot_800_999_H_30_34,Tot_800_999_H_35_39,Tot_800_999_H_40_44,Tot_800_999_H_45_49,Tot_800_999_H_50ov,Tot_800_999_H_NS,Tot_800_999_H_Tot,Tot_1000_1249_H_0,Tot_1000_1249_H_1_19,Tot_1000_1249_H_20_29,Tot_1000_1249_H_30_34,Tot_1000_1249_H_35_39,Tot_1000_1249_H_40_44,Tot_1000_1249_H_45_49,Tot_1000_1249_H_50ov,Tot_1000_1249_H_NS,Tot_1000_1249_H_Tot,Tot_1250_1499_H_0,Tot_1250_1499_H_1_19,Tot_1250_1499_H_20_29,Tot_1250_1499_H_30_34,Tot_1250_1499_H_35_39,Tot_1250_1499_H_40_44,Tot_1250_1499_H_45_49,Tot_1250_1499_H_50ov,Tot_1250_1499_H_NS,Tot_1250_1499_H_Tot,Tot_1500_1749_H_0,Tot_1500_1749_H_1_19,Tot_1500_1749_H_20_29,Tot_1500_1749_H_30_34,Tot_1500_1749_H_35_39,Tot_1500_1749_H_40_44,Tot_1500_1749_H_45_49,Tot_1500_1749_H_50ov,Tot_1500_1749_H_NS,Tot_1500_1749_H_Tot,Tot_1750_1999_H_0,Tot_1750_1999_H_1_19,Tot_1750_1999_H_20_29,Tot_1750_1999_H_30_34,Tot_1750_1999_H_35_39,Tot_1750_1999_H_40_44,Tot_1750_1999_H_45_49,Tot_1750_1999_H_50ov,Tot_1750_1999_H_NS,Tot_1750_1999_H_Tot,Tot_2000_2999_H_0,Tot_2000_2999_H_1_19,Tot_2000_2999_H_20_29,Tot_2000_2999_H_30_34,Tot_2000_2999_H_35_39,Tot_2000_2999_H_40_44,Tot_2000_2999_H_45_49,Tot_2000_2999_H_50ov,Tot_2000_2999_H_NS,Tot_2000_2999_H_Tot,Tot_3000_3499_H_0,Tot_3000_3499_H_1_19,Tot_3000_3499_H_20_29,Tot_3000_3499_H_30_34,Tot_3000_3499_H_35_39,Tot_3000_3499_H_40_44,Tot_3000_3499_H_45_49,Tot_3000_3499_H_50ov,Tot_3000_3499_H_NS,Tot_3000_3499_H_Tot,Tot_3500mo_H_0,Tot_3500mo_H_1_19,Tot_3500mo_H_20_29,Tot_3500mo_H_30_34,Tot_3500mo_H_35_39,Tot_3500mo_H_40_44,Tot_3500mo_H_45_49,Tot_3500mo_H_50ov,Tot_3500mo_H_NS,Tot_3500mo_H_Tot,Tot_PINS_H_0,Tot_PINS_H_1_19,Tot_PINS_H_20_29,Tot_PINS_H_30_34,Tot_PINS_H_35_39,Tot_PINS_H_40_44,Tot_PINS_H_45_49,Tot_PINS_H_50ov,Tot_PINS_H_NS,Tot_PINS_H_Tot,Tot_Tot_H_0,Tot_Tot_H_1_19,Tot_Tot_H_20_29,Tot_Tot_H_30_34,Tot_Tot_H_35_39,Tot_Tot_H_40_44,Tot_Tot_H_45_49,Tot_Tot_H_50ov,Tot_Tot_H_NS,Tot_Tot_H_Tot
2GMEL,10838,24402,41495,32743,79762,46260,7487,9934,4223,257145,11427,18348,32578,31305,101369,77842,15156,18675,4059,310763,8638,10088,18011,21046,79315,73367,16824,22261,2660,252200,8008,7421,11855,16699,66144,70714,17983,27390,2077,228294,5991,4512,6566,9923,45044,55648,15104,25137,1395,169317,10018,6499,8324,12016,66526,107566,33244,61493,1712,307402,1963,1848,2320,2732,11374,25223,8693,20633,498,75283,3037,3712,4281,4512,12905,37058,15203,54343,834,135879,926,2106,1655,1058,3145,3666,707,2008,8317,23596,115179,326889,273788,180833,518504,531882,136189,255079,38285,2376630
2RVIC,3643,7587,12654,11590,23756,16659,3150,5785,1419,86242,3698,5191,9396,10095,26168,23903,5472,9235,1237,94391,2713,2707,5072,6298,16917,17925,5194,9052,719,66590,2526,1975,2995,4876,13158,15554,4868,9628,595,56187,1660,1134,1629,2569,8165,10736,3839,7979,359,38060,2400,1385,1710,2348,9802,15957,6769,14598,447,55413,374,368,397,443,1233,2513,1143,3528,88,10093,577,837,785,797,1739,3311,1573,6501,225,16350,373,905,642,436,861,1067,253,1020,2216,7771,36002,103930,81142,58167,121444,122908,35346,77951,12551,649447
29499,980,2154,2710,1936,2953,3482,631,985,354,16185,912,1767,2136,1879,3535,5109,979,1731,388,18435,642,877,1187,1239,2740,4556,992,1763,247,14253,493,674,744,868,2232,4273,1024,1979,176,12470,352,358,420,481,1390,2946,800,1653,117,8507,486,434,451,495,1642,4043,1209,2829,116,11703,101,114,85,97,265,722,253,882,27,2539,155,235,210,170,286,959,293,1315,51,3674,164,195,150,98,174,366,85,222,686,2136,9454,25035,16766,10677,19053,31147,7014,14943,3389,137478
29799,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,7,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,9,0,0,0,0,0,3,0,13,0,14,8,0,3,0,7,5,0,41,0,60,0,0,0,0,0,3,0,11,0,19,7,0,0,0,0,6,5,44,0,64,0,0,0,0,0,0,0,0,0,0,19,8,3,3,12,22,9,114,0,194
