POW_GCCSA_CODE_2021,TaTW_650_799_H_0,TaTW_650_799_H_1_19,TaTW_650_799_H_20_29,TaTW_650_799_H_30_34,TaTW_650_799_H_35_39,TaTW_650_799_H_40_44,TaTW_650_799_H_45_49,TaTW_650_799_H_50ov,TaTW_650_799_H_NS,TaTW_650_799_H_Tot,TaTW_800_999_H_0,TaTW_800_999_H_1_19,TaTW_800_999_H_20_29,TaTW_800_999_H_30_34,TaTW_800_999_H_35_39,TaTW_800_999_H_40_44,TaTW_800_999_H_45_49,TaTW_800_999_H_50ov,TaTW_800_999_H_NS,TaTW_800_999_H_Tot,TaTW_1000_1249_H_0,TaTW_1000_1249_H_1_19,TaTW_1000_1249_H_20_29,TaTW_1000_1249_H_30_34,TaTW_1000_1249_H_35_39,TaTW_1000_1249_H_40_44,TaTW_1000_1249_H_45_49,TaTW_1000_1249_H_50ov,TaTW_1000_1249_H_NS,TaTW_1000_1249_H_Tot,TaTW_1250_1499_H_0,TaTW_1250_1499_H_1_19,TaTW_1250_1499_H_20_29,TaTW_1250_1499_H_30_34,TaTW_1250_1499_H_35_39,TaTW_1250_1499_H_40_44,TaTW_1250_1499_H_45_49,TaTW_1250_1499_H_50ov,TaTW_1250_1499_H_NS,TaTW_1250_1499_H_Tot,TaTW_1500_1749_H_0,TaTW_1500_1749_H_1_19,TaTW_1500_1749_H_20_29,TaTW_1500_1749_H_30_34,TaTW_1500_1749_H_35_39,TaTW_1500_1749_H_40_44,TaTW_1500_1749_H_45_49,TaTW_1500_1749_H_50ov,TaTW_1500_1749_H_NS,TaTW_1500_1749_H_Tot,TaTW_1750_1999_H_0,TaTW_1750_1999_H_1_19,TaTW_1750_1999_H_20_29,TaTW_1750_1999_H_30_34,TaTW_1750_1999_H_35_39,TaTW_1750_1999_H_40_44,TaTW_1750_1999_H_45_49,TaTW_1750_1999_H_50ov,TaTW_1750_1999_H_NS,TaTW_1750_1999_H_Tot,TaTW_2000_2999_H_0,TaTW_2000_2999_H_1_19,TaTW_2000_2999_H_20_29,TaTW_2000_2999_H_30_34,TaTW_2000_2999_H_35_39,TaTW_2000_2999_H_40_44,TaTW_2000_2999_H_45_49,TaTW_2000_2999_H_50ov,TaTW_2000_2999_H_NS,TaTW_2000_2999_H_Tot,TaTW_3000_3499_H_0,TaTW_3000_3499_H_1_19,TaTW_3000_3499_H_20_29,TaTW_3000_3499_H_30_34,TaTW_3000_3499_H_35_39,TaTW_3000_3499_H_40_44,TaTW_3000_3499_H_45_49,TaTW_3000_3499_H_50ov,TaTW_3000_3499_H_NS,TaTW_3000_3499_H_Tot,TaTW_3500mo_H_0,TaTW_3500mo_H_1_19,TaTW_3500mo_H_20_29,TaTW_3500mo_H_30_34,TaTW_3500mo_H_35_39,TaTW_3500mo_H_40_44,TaTW_3500mo_H_45_49,TaTW_3500mo_H_50ov,TaTW_3500mo_H_NS,TaTW_3500mo_H_Tot,TaTW_PINS_H_0,TaTW_PINS_H_1_19,TaTW_PINS_H_20_29,TaTW_PINS_H_30_34,TaTW_PINS_H_35_39,TaTW_PINS_H_40_44,TaTW_PINS_H_45_49,TaTW_PINS_H_50ov,TaTW_PINS_H_NS,TaTW_PINS_H_Tot,TaTW_Tot_H_0,TaTW_Tot_H_1_19,TaTW_Tot_H_20_29,TaTW_Tot_H_30_34,TaTW_Tot_H_35_39,TaTW_Tot_H_40_44,TaTW_Tot_H_45_49,TaTW_Tot_H_50ov,TaTW_Tot_H_NS,TaTW_Tot_H_Tot,CoPSW_NNI_H_0,CoPSW_NNI_H_1_19,CoPSW_NNI_H_20_29,CoPSW_NNI_H_30_34,CoPSW_NNI_H_35_39,CoPSW_NNI_H_40_44,CoPSW_NNI_H_45_49,CoPSW_NNI_H_50ov,CoPSW_NNI_H_NS,CoPSW_NNI_H_Tot,CoPSW_1_149_H_0,CoPSW_1_149_H_1_19,CoPSW_1_149_H_20_29,CoPSW_1_149_H_30_34,CoPSW_1_149_H_35_39,CoPSW_1_149_H_40_44,CoPSW_1_149_H_45_49,CoPSW_1_149_H_50ov,CoPSW_1_149_H_NS,CoPSW_1_149_H_Tot,CoPSW_150_299_H_0,CoPSW_150_299_H_1_19,CoPSW_150_299_H_20_29,CoPSW_150_299_H_30_34,CoPSW_150_299_H_35_39,CoPSW_150_299_H_40_44,CoPSW_150_299_H_45_49,CoPSW_150_299_H_50ov,CoPSW_150_299_H_NS,CoPSW_150_299_H_Tot,CoPSW_300_399_H_0,CoPSW_300_399_H_1_19,CoPSW_300_399_H_20_29,CoPSW_300_399_H_30_34,CoPSW_300_399_H_35_39,CoPSW_300_399_H_40_44,CoPSW_300_399_H_45_49,CoPSW_300_399_H_50ov,CoPSW_300_399_H_NS,CoPSW_300_399_H_Tot,CoPSW_400_499_H_0,CoPSW_400_499_H_1_19,CoPSW_400_499_H_20_29,CoPSW_400_499_H_30_34,CoPSW_400_499_H_35_39,CoPSW_400_499_H_40_44,CoPSW_400_499_H_45_49,CoPSW_400_499_H_50ov,CoPSW_400_499_H_NS,CoPSW_400_499_H_Tot,CoPSW_500_649_H_0,CoPSW_500_649_H_1_19,CoPSW_500_649_H_20_29,CoPSW_500_649_H_30_34,CoPSW_500_649_H_35_39,CoPSW_500_649_H_40_44,CoPSW_500_649_H_45_49,CoPSW_500_649_H_50ov,CoPSW_500_649_H_NS,CoPSW_500_649_H_Tot,CoPSW_650_799_H_0,CoPSW_650_799_H_1_19,CoPSW_650_799_H_20_29,CoPSW_650_799_H_30_34,CoPSW_650_799_H_35_39,CoPSW_650_799_H_40_44,CoPSW_650_799_H_45_49,CoPSW_650_799_H_50ov,CoPSW_650_799_H_NS,CoPSW_650_799_H_Tot,CoPSW_800_999_H_0,CoPSW_800_999_H_1_19,CoPSW_800_999_H_20_29,CoPSW_800_999_H_30_34,CoPSW_800_999_H_35_39,CoPSW_800_999_H_40_44,CoPSW_800_999_H_45_49,CoPSW_800_999_H_50ov,CoPSW_800_999_H_NS,CoPSW_800_999_H_Tot,CoPSW_1000_1249_H_0,CoPSW_1000_1249_H_1_19,CoPSW_1000_1249_H_20_29,CoPSW_1000_1249_H_30_34,CoPSW_1000_1249_H_35_39,CoPSW_1000_1249_H_40_44,CoPSW_1000_1249_H_45_49,CoPSW_1000_1249_H_50ov,CoPSW_1000_1249_H_NS,CoPSW_1000_1249_H_Tot
2GMEL,1323,2793,4324,2607,5972,5028,856,1060,408,24366,1540,2660,4073,3337,11756,9468,1642,1951,600,37020,1650,2197,3108,2975,15279,14258,2755,3083,608,45910,1060,1196,1508,1696,10481,12284,2885,3334,380,34832,784,786,934,1108,7214,10689,2567,3808,271,28159,455,415,475,630,3975,7117,2077,3087,194,18436,645,420,420,626,4446,9300,3159,6081,150,25240,107,75,95,111,549,1192,629,1629,28,4414,122,112,100,104,450,941,426,1928,47,4225,126,173,154,123,498,657,119,286,861,3010,11120,22637,24464,15955,65426,75908,18005,27698,4368,265582,498,562,138,49,59,60,10,55,85,1522,3129,7666,251,54,26,38,9,21,112,11306,2687,9451,1185,154,96,60,17,45,187,13884,2288,8979,2690,343,188,140,33,95,202,14954,2068,8627,4908,742,401,296,57,121,276,17502,2850,9332,10504,2721,1321,655,132,342,427,28278,2769,6479,10585,6634,4522,1457,245,530,444,33671,2350,4297,7751,7015,9893,3536,592,1024,458,36918,1903,2649,4554,5038,9787,5229,998,1438,397,31998
2RVIC,407,880,1270,927,2255,2213,392,641,154,9143,465,719,1103,1138,4120,4003,734,1025,178,13486,465,567,773,823,4687,5674,1145,1537,187,15870,294,279,380,459,2474,3829,1008,1508,103,10336,228,178,208,302,1484,2842,833,1521,82,7676,122,103,97,144,803,1560,531,1179,41,4581,223,104,121,142,1035,1985,853,1889,52,6408,43,24,20,24,168,295,167,496,13,1242,84,42,33,32,240,225,161,579,26,1423,45,76,63,46,167,268,49,112,220,1050,3541,7192,6558,5017,19879,25603,6354,11388,1355,86878,128,110,26,22,19,14,10,34,26,390,1040,2485,67,20,12,8,3,15,53,3696,693,2445,272,54,33,22,9,13,64,3603,674,2529,688,125,68,41,11,35,88,4264,635,2786,1466,276,229,110,22,63,108,5695,946,3320,3745,1066,556,280,64,148,149,10266,959,2397,4104,2501,1685,608,127,243,183,12797,766,1561,2922,2858,3092,1289,227,398,192,13304,608,818,1739,2202,3109,1807,334,570,125,11319
29499,221,495,582,448,866,1360,216,246,63,4488,284,464,617,612,1234,1927,322,379,106,5927,283,438,564,645,1444,2561,413,638,115,7108,221,258,369,499,1155,2377,469,694,88,6136,134,213,236,334,879,2280,504,805,44,5432,113,102,105,161,503,1500,377,637,36,3533,140,69,99,146,507,1738,509,1052,22,4280,19,14,17,17,56,175,88,279,6,668,25,18,16,17,28,126,54,215,0,503,38,35,35,37,75,162,37,76,171,657,2174,4041,3707,3480,7906,15774,3225,5318,818,46450,46,37,11,4,4,3,0,3,4,108,233,450,18,4,8,0,0,0,5,712,149,654,59,9,0,0,0,5,14,888,153,712,109,20,4,17,5,3,16,1043,139,777,240,33,14,7,4,10,22,1244,176,1010,612,104,50,27,9,15,15,2008,178,685,695,248,130,58,14,22,27,2053,128,372,557,332,211,107,25,36,23,1794,95,276,424,305,290,174,41,80,21,1706
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,15,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,4,5,17,0,34,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,4,5,36,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
