POW_GCCSA_CODE_2021,Mng_Mng_nfd_M,Mng_Mng_nfd_F,Mng_Mng_nfd_P,Mng_ChiefEx_GMng_legs__M,Mng_ChiefEx_GMng_legs__F,Mng_ChiefEx_GMng_legs__P,Mng_Farmers_FMng_M,Mng_Farmers_FMng_F,Mng_Farmers_FMng_P,Mng_Spec_Mng_M,Mng_Spec_Mng_F,Mng_Spec_Mng_P,Mng_Hosp_ret_svce_Mng_M,Mng_Hosp_ret_svce_Mng_F,Mng_Hosp_ret_svce_Mng_P,Mng_Tot_M,Mng_Tot_F,Mng_Tot_P,Pro_Pro_nfd_M,Pro_Pro_nfd_F,Pro_Pro_nfd_P,Pro_Arts_media_Pro_M,Pro_Arts_media_Pro_F,Pro_Arts_media_Pro_P,Pro_Busin_HR_mkting_Pro_M,Pro_Busin_HR_mkting_Pro_F,Pro_Busin_HR_mkting_Pro_P,Pro_DesEng_sci_tspt_Pro_M,Pro_DesEng_sci_tspt_Pro_F,Pro_DesEng_sci_tspt_Pro_P,Pro_Educ_Pro_M,Pro_Educ_Pro_F,Pro_Educ_Pro_P,Pro_Health_Pro_M,Pro_Health_Pro_F,Pro_Health_Pro_P,Pro_Inf_Com_Tec_ICT_Pro_M,Pro_Inf_Com_Tec_ICT_Pro_F,Pro_Inf_Com_Tec_ICT_Pro_P,Pro_Leg_soc_welf_Pro_M,Pro_Leg_soc_welf_Pro_F,Pro_Leg_soc_welf_Pro_P,Pro_Tot_M,Pro_Tot_F,Pro_Tot_P,TecTW_TecTW_nfd_M,TecTW_TecTW_nfd_F,TecTW_TecTW_nfd_P,TecTW_Eng_ICT_STecs_M,TecTW_Eng_ICT_STecs_F,TecTW_Eng_ICT_STecs_P,TecTW_Auto_eng_tds_wks_M,TecTW_Auto_eng_tds_wks_F,TecTW_Auto_eng_tds_wks_P,TecTW_Const_tds_wks_M,TecTW_Const_tds_wks_F,TecTW_Const_tds_wks_P,TecTW_EleTec_telco_tds_wks_M,TecTW_EleTec_telco_tds_wks_F,TecTW_EleTec_telco_tds_wks_P,TecTW_Food_tds_wks_M,TecTW_Food_tds_wks_F,TecTW_Food_tds_wks_P,TecTW_Sk_ani_hort_wks_M,TecTW_Sk_ani_hort_wks_F,TecTW_Sk_ani_hort_wks_P,TecTW_Oth_TecTW_M,TecTW_Oth_TecTW_F,TecTW_Oth_TecTW_P,TecTW_Tot_M,TecTW_Tot_F,TecTW_Tot_P,CoPSW_CoPSW_nfd_M,CoPSW_CoPSW_nfd_F,CoPSW_CoPSW_nfd_P,CoPSW_HlthWlfSptWs_M,CoPSW_HlthWlfSptWs_F,CoPSW_HlthWlfSptWs_P,CoPSW_Carers_aides_M,CoPSW_Carers_aides_F,CoPSW_Carers_aides_P,CoPSW_Hosp_wks_M,CoPSW_Hosp_wks_F,CoPSW_Hosp_wks_P,CoPSW_ProtecSvcWks_M,CoPSW_ProtecSvcWks_F,CoPSW_ProtecSvcWks_P,CoPSW_SptsPsnlSvceWs_M,CoPSW_SptsPsnlSvceWs_F,CoPSW_SptsPsnlSvceWs_P,CoPSW_Tot_M,CoPSW_Tot_F,CoPSW_Tot_P,ClAW_ClAW_nfd_M,ClAW_ClAW_nfd_F,ClAW_ClAW_nfd_P,ClAW_OfMngs_ProgAdm_M,ClAW_OfMngs_ProgAdm_F,ClAW_OfMngs_ProgAdm_P,ClAW_PsnlAs_secretaries_M,ClAW_PsnlAs_secretaries_F,ClAW_PsnlAs_secretaries_P,ClAW_GnrlClerWs_M,ClAW_GnrlClerWs_F,ClAW_GnrlClerWs_P,ClAW_InqClks_recepts_M,ClAW_InqClks_recepts_F,ClAW_InqClks_recepts_P,ClAW_Num_clerks_M,ClAW_Num_clerks_F,ClAW_Num_clerks_P,ClAW_Clerl_OfSuptWs_M,ClAW_Clerl_OfSuptWs_F,ClAW_Clerl_OfSuptWs_P,ClAW_Oth_ClAW_M,ClAW_Oth_ClAW_F,ClAW_Oth_ClAW_P,ClAW_Tot_M,ClAW_Tot_F,ClAW_Tot_P,SWs_SWs_nfd_M,SWs_SWs_nfd_F,SWs_SWs_nfd_P,SWs_Sales_reps_agnts_M,SWs_Sales_reps_agnts_F,SWs_Sales_reps_agnts_P,SWs_SalesAs_SalesPsns_M,SWs_SalesAs_SalesPsns_F,SWs_SalesAs_SalesPsns_P,SWs_SalesSptWks_M,SWs_SalesSptWks_F,SWs_SalesSptWks_P,SWs_Tot_M,SWs_Tot_F,SWs_Tot_P,MaOpD_MaOpD_nfd_M,MaOpD_MaOpD_nfd_F,MaOpD_MaOpD_nfd_P,MaOpD_Ma_StatPlntOps_M,MaOpD_Ma_StatPlntOps_F,MaOpD_Ma_StatPlntOps_P,MaOpD_MobPlntOps_M,MaOpD_MobPlntOps_F,MaOpD_MobPlntOps_P,MaOpD_RoadRail_dvrs_M,MaOpD_RoadRail_dvrs_F,MaOpD_RoadRail_dvrs_P,MaOpD_StorPsns_M,MaOpD_StorPsns_F,MaOpD_StorPsns_P,MaOpD_Tot_M,MaOpD_Tot_F,MaOpD_Tot_P,Lab_Lab_nfd_M,Lab_Lab_nfd_F,Lab_Lab_nfd_P,Lab_Clnrs_lndryWs_M,Lab_Clnrs_lndryWs_F,Lab_Clnrs_lndryWs_P,Lab_Const_and_Min_Lab_M,Lab_Const_and_Min_Lab_F,Lab_Const_and_Min_Lab_P,Lab_Factory_ProcWs_M,Lab_Factory_ProcWs_F,Lab_Factory_ProcWs_P,Lab_FarmFrstyGrdnWs_M,Lab_FarmFrstyGrdnWs_F,Lab_FarmFrstyGrdnWs_P,Lab_Food_prep_asts_M,Lab_Food_prep_asts_F,Lab_Food_prep_asts_P,Lab_Oth_Lab_M,Lab_Oth_Lab_F,Lab_Oth_Lab_P,Lab_Tot_M,Lab_Tot_F,Lab_Tot_P,Inad_des_M,Inad_des_F,Inad_des_P,NS_M,NS_F,NS_P,Tot_M,Tot_F,Tot_P
2GMEL,8192,4540,12725,22917,8913,31829,2977,1337,4306,121204,78285,199485,48053,40993,89044,203335,134054,337394,4883,5893,10768,9394,9179,18567,87912,88621,176539,53603,30648,84251,32394,77991,110384,30573,88840,119411,59717,17116,76838,18343,35127,53473,296814,353412,650227,4035,338,4375,33384,14013,47400,42419,838,43251,53979,967,54945,29334,859,30188,23223,10664,33887,11464,6999,18456,18830,14248,33083,216667,48923,265582,157,323,476,7121,21426,28552,14643,91690,106332,16974,31810,48786,22472,7416,29890,12210,21441,33656,73580,174102,247682,651,1346,1995,15415,37879,53297,598,15361,15956,8809,42333,51140,10601,43179,53779,19146,52020,71169,9699,4997,14699,24905,27653,52560,89824,224775,314597,400,403,802,22691,16040,38728,50430,81800,132230,8388,20516,28905,81909,118760,200663,1565,177,1739,18719,4900,23614,19864,825,20688,53000,3473,56472,24473,10686,35161,117618,20060,137679,2729,484,3207,17458,18619,36075,21975,676,22649,24602,16644,41243,5018,2958,7981,17478,15312,32788,24180,8212,32394,113432,62909,176342,16399,11832,28235,10244,7965,18213,1219824,1156803,2376630
2RVIC,1545,798,2345,3495,1616,5115,21152,8517,29667,20175,11796,31969,12618,12807,25426,58982,35547,94532,492,576,1067,1399,1611,3009,9019,10650,19673,9465,4774,14231,8842,22364,31204,8190,29782,37973,3064,759,3825,3209,8535,11738,43665,79057,122727,1016,63,1073,7354,3432,10788,20061,390,20450,17029,381,17406,9136,222,9356,6247,3983,10234,5429,2893,8321,4560,4692,9248,70829,16045,86878,37,141,177,3078,10902,13983,5545,34148,39690,3406,10554,13963,7127,2193,9328,2714,5899,8609,21909,63840,85742,100,279,383,2313,9329,11643,102,2978,3083,1490,12918,14405,1526,12455,13979,2129,12697,14827,1932,1684,3616,3751,5586,9336,13342,57919,71263,67,65,134,3606,2950,6556,15069,28494,43562,2238,6344,8575,20984,37850,58831,777,52,830,7229,1409,8640,7440,404,7837,17227,1246,18470,3209,1125,4334,35877,4233,40117,1123,284,1407,5198,10291,15487,7853,258,8111,10910,5386,16300,8900,4194,13098,5564,6508,12072,8123,3081,11200,47668,30002,77677,3745,2180,5925,3138,2623,5764,320149,329298,649447
29499,306,154,464,652,289,943,759,321,1080,5421,1498,6920,1123,681,1804,8266,2945,11207,147,140,280,932,760,1690,2204,2054,4263,1503,688,2193,932,1873,2800,774,1827,2599,1604,344,1946,536,1276,1812,8626,8961,17584,425,31,451,2312,331,2641,2066,44,2111,26013,443,26449,7265,105,7374,200,105,308,4793,895,5689,936,485,1427,44012,2433,46450,12,43,51,313,849,1167,1683,7681,9362,151,237,388,753,170,919,1073,1126,2201,3979,10111,14088,9,28,37,378,580,954,23,239,268,205,970,1175,198,510,712,346,1247,1599,911,354,1261,468,403,875,2545,4342,6882,15,10,24,1015,606,1617,861,1001,1863,265,926,1194,2157,2538,4695,105,3,109,1034,72,1103,1928,33,1969,6165,526,6686,230,80,311,9460,720,10174,414,34,452,2828,4401,7234,7845,218,8065,415,169,585,1790,383,2176,106,117,223,3423,665,4084,16821,5993,22816,1574,602,2181,832,565,1405,98277,39201,137478
29799,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,28,3,36,0,0,0,5,0,5,0,0,0,0,0,0,34,4,36,0,0,0,8,0,8,4,0,4,0,0,0,6,0,6,10,0,10,0,0,0,22,0,22,53,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,10,7,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,16,0,0,0,4,0,4,0,0,0,26,0,28,0,0,0,3,0,0,6,0,6,0,0,0,0,0,0,0,0,0,36,0,36,45,0,48,5,0,5,0,0,0,181,16,194
