POW_GCCSA_CODE_2021,AGFF_Bf_91,AGFF_91_95,AGFF_96_00,AGFF_01_05,AGFF_06_10,AGFF_11_15,AGFF_16_20,AGFF_2021,AGFF_NS,AGFF_Tot,Min_Bf_91,Min_91_95,Min_96_00,Min_01_05,Min_06_10,Min_11_15,Min_16_20,Min_2021,Min_NS,Min_Tot,Mnf_Bf_91,Mnf_91_95,Mnf_96_00,Mnf_01_05,Mnf_06_10,Mnf_11_15,Mnf_16_20,Mnf_2021,Mnf_NS,Mnf_Tot,EGWWS_Bf_91,EGWWS_91_95,EGWWS_96_00,EGWWS_01_05,EGWWS_06_10,EGWWS_11_15,EGWWS_16_20,EGWWS_2021,EGWWS_NS,EGWWS_Tot,Const_Bf_91,Const_91_95,Const_96_00,Const_01_05,Const_06_10,Const_11_15,Const_16_20,Const_2021,Const_NS,Const_Tot,WST_Bf_91,WST_91_95,WST_96_00,WST_01_05,WST_06_10,WST_11_15,WST_16_20,WST_2021,WST_NS,WST_Tot,RetT_Bf_91,RetT_91_95,RetT_96_00,RetT_01_05,RetT_06_10,RetT_11_15,RetT_16_20,RetT_2021,RetT_NS,RetT_Tot,AcFd_Bf_91,AcFd_91_95,AcFd_96_00,AcFd_01_05,AcFd_06_10,AcFd_11_15,AcFd_16_20,AcFd_2021,AcFd_NS,AcFd_Tot,TPW_Bf_91,TPW_91_95,TPW_96_00,TPW_01_05,TPW_06_10,TPW_11_15,TPW_16_20,TPW_2021,TPW_NS,TPW_Tot,IMT_Bf_91,IMT_91_95,IMT_96_00,IMT_01_05,IMT_06_10,IMT_11_15,IMT_16_20,IMT_2021,IMT_NS,IMT_Tot,FinIns_Bf_91,FinIns_91_95,FinIns_96_00,FinIns_01_05,FinIns_06_10,FinIns_11_15,FinIns_16_20,FinIns_2021,FinIns_NS,FinIns_Tot,RHRE_Bf_91,RHRE_91_95,RHRE_96_00,RHRE_01_05,RHRE_06_10,RHRE_11_15,RHRE_16_20,RHRE_2021,RHRE_NS,RHRE_Tot,ProSTS_Bf_91,ProSTS_91_95,ProSTS_96_00,ProSTS_01_05,ProSTS_06_10,ProSTS_11_15,ProSTS_16_20,ProSTS_2021,ProSTS_NS,ProSTS_Tot,AdSup_Bf_91,AdSup_91_95,AdSup_96_00,AdSup_01_05,AdSup_06_10,AdSup_11_15,AdSup_16_20,AdSup_2021,AdSup_NS,AdSup_Tot,PubAS_Bf_91,PubAS_91_95,PubAS_96_00,PubAS_01_05,PubAS_06_10,PubAS_11_15,PubAS_16_20,PubAS_2021,PubAS_NS,PubAS_Tot,EducTraining_Bf_91,EducTraining_91_95,EducTraining_96_00,EducTraining_01_05,EducTraining_06_10,EducTraining_11_15,EducTraining_16_20,EducTraining_2021,EducTraining_NS,EducTraining_Tot,HlthCareSocAssist_Bf_91,HlthCareSocAssist_91_95,HlthCareSocAssist_96_00,HlthCareSocAssist_01_05,HlthCareSocAssist_06_10,HlthCareSocAssist_11_15,HlthCareSocAssist_16_20,HlthCareSocAssist_2021,HlthCareSocAssist_NS,HlthCareSocAssist_Tot,ArtsRecreation_Bf_91,ArtsRecreation_91_95,ArtsRecreation_96_00,ArtsRecreation_01_05,ArtsRecreation_06_10,ArtsRecreation_11_15,ArtsRecreation_16_20,ArtsRecreation_2021,ArtsRecreation_NS,ArtsRecreation_Tot,OthServices_Bf_91,OthServices_91_95,OthServices_96_00,OthServices_01_05,OthServices_06_10,OthServices_11_15,OthServices_16_20,OthServices_2021,OthServices_NS,OthServices_Tot,ID_NS_Bf_91,ID_NS_91_95,ID_NS_96_00,ID_NS_01_05,ID_NS_06_10,ID_NS_11_15,ID_NS_16_20,ID_NS_2021,ID_NS_NS,ID_NS_Tot
2GMEL,1163,266,353,441,958,971,1376,17,99,5644,375,85,112,161,253,153,149,4,16,1294,21099,6052,6081,7773,13862,11780,12495,226,839,80218,2064,556,773,1333,2139,1799,1413,26,65,10169,12552,2900,4298,5622,10280,10447,10319,140,609,57157,7612,1848,2370,3286,5217,4512,4374,112,239,29579,15070,3888,5282,8690,15151,12620,15091,205,750,76740,6945,2197,3204,6237,12353,12588,23117,153,705,67500,11663,3045,3803,5649,12994,8349,11749,133,528,57914,3269,882,1302,2251,3171,3186,2764,48,122,16991,10328,3115,4581,7148,9583,8705,7040,165,327,50999,3330,678,1094,1805,2824,2241,1620,31,105,13738,17924,5082,7487,11259,16031,18902,20716,531,632,98572,6022,1468,2044,2878,5216,5344,11353,94,290,34711,12208,2851,3515,4777,6642,4880,3281,58,341,38557,15741,3944,5558,8184,12188,11384,9708,163,445,67323,28953,8471,10436,16133,29576,24940,22569,370,1123,142579,2390,614,938,1412,2063,1678,1521,35,120,10764,7174,1885,2097,2864,5673,5158,5520,72,332,30773,9543,2576,3380,5274,9417,9338,11884,209,2507,54116
2RVIC,1566,183,347,478,940,1094,2457,99,217,7383,137,28,35,36,64,37,60,0,9,409,1776,296,467,578,1274,1424,2262,85,154,8314,347,24,70,91,161,121,115,7,16,945,1356,198,280,352,665,797,842,9,104,4600,465,49,90,109,222,212,282,6,27,1465,1841,244,354,658,1333,1125,1384,24,140,7096,1350,220,435,709,1723,1771,2506,18,163,8896,922,86,151,164,664,456,498,6,49,2999,198,15,41,58,78,88,106,0,7,580,417,57,92,142,193,145,114,5,15,1171,244,27,45,62,84,59,60,0,13,599,1204,187,287,380,587,538,571,10,59,3826,655,73,160,174,349,424,809,13,62,2721,1720,248,345,469,704,575,402,14,71,4545,2228,303,476,668,1019,917,734,14,83,6443,4757,758,1136,1842,4028,3789,3982,79,273,20648,356,43,64,100,130,149,131,4,18,992,742,104,155,225,500,488,495,9,56,2773,907,105,203,302,622,695,1011,10,266,4128
29499,104,21,28,25,56,66,152,10,39,497,20,0,3,3,8,0,9,0,3,51,243,37,48,76,82,89,87,5,11,679,82,10,11,24,42,27,24,0,6,230,2888,627,881,937,1764,1693,1655,27,198,10666,134,19,36,46,69,63,70,3,9,452,278,57,70,113,162,129,162,7,18,994,102,9,30,45,93,104,187,0,10,584,700,190,246,335,947,628,1359,17,44,4467,133,36,38,76,120,98,108,0,4,616,193,55,78,90,96,101,89,6,13,713,114,19,26,21,54,45,22,0,0,296,740,167,245,288,399,455,511,17,33,2857,1142,205,314,395,684,564,945,12,60,4312,293,69,65,103,141,101,100,0,17,890,328,83,119,180,265,195,245,18,11,1441,1149,325,315,456,591,559,628,5,42,4064,83,35,32,33,49,45,58,0,5,344,360,82,81,94,151,156,127,0,19,1072,493,91,134,206,371,362,420,25,128,2235
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,6,0,9,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9
