POW_GCCSA_CODE_2021,P_EWFT_35_39_ES_NS,P_EWFT_35_39_Tot,P_EWFT_40_44_E,P_EWFT_40_44_OM_IE,P_EWFT_40_44_OM_UIE,P_EWFT_40_44_CFW,P_EWFT_40_44_ES_NS,P_EWFT_40_44_Tot,P_EWFT_45_49_E,P_EWFT_45_49_OM_IE,P_EWFT_45_49_OM_UIE,P_EWFT_45_49_CFW,P_EWFT_45_49_ES_NS,P_EWFT_45_49_Tot,P_EWFT_50_54_E,P_EWFT_50_54_OM_IE,P_EWFT_50_54_OM_UIE,P_EWFT_50_54_CFW,P_EWFT_50_54_ES_NS,P_EWFT_50_54_Tot,P_EWFT_55_59_E,P_EWFT_55_59_OM_IE,P_EWFT_55_59_OM_UIE,P_EWFT_55_59_CFW,P_EWFT_55_59_ES_NS,P_EWFT_55_59_Tot,P_EWFT_60_64_E,P_EWFT_60_64_OM_IE,P_EWFT_60_64_OM_UIE,P_EWFT_60_64_CFW,P_EWFT_60_64_ES_NS,P_EWFT_60_64_Tot,P_EWFT_65_69_E,P_EWFT_65_69_OM_IE,P_EWFT_65_69_OM_UIE,P_EWFT_65_69_CFW,P_EWFT_65_69_ES_NS,P_EWFT_65_69_Tot,P_EWFT_70_74_E,P_EWFT_70_74_OM_IE,P_EWFT_70_74_OM_UIE,P_EWFT_70_74_CFW,P_EWFT_70_74_ES_NS,P_EWFT_70_74_Tot,P_EWFT_75ov_E,P_EWFT_75ov_OM_IE,P_EWFT_75ov_OM_UIE,P_EWFT_75ov_CFW,P_EWFT_75ov_ES_NS,P_EWFT_75ov_Tot,P_EWFT_Tot_E,P_EWFT_Tot_OM_IE,P_EWFT_Tot_OM_UIE,P_EWFT_Tot_CFW,P_EWFT_Tot_ES_NS,P_EWFT_Tot_Tot,P_EWPT_15_19_E,P_EWPT_15_19_OM_IE,P_EWPT_15_19_OM_UIE,P_EWPT_15_19_CFW,P_EWPT_15_19_ES_NS,P_EWPT_15_19_Tot,P_EWPT_20_24_E,P_EWPT_20_24_OM_IE,P_EWPT_20_24_OM_UIE,P_EWPT_20_24_CFW,P_EWPT_20_24_ES_NS,P_EWPT_20_24_Tot,P_EWPT_25_29_E,P_EWPT_25_29_OM_IE,P_EWPT_25_29_OM_UIE,P_EWPT_25_29_CFW,P_EWPT_25_29_ES_NS,P_EWPT_25_29_Tot,P_EWPT_30_34_E,P_EWPT_30_34_OM_IE,P_EWPT_30_34_OM_UIE,P_EWPT_30_34_CFW,P_EWPT_30_34_ES_NS,P_EWPT_30_34_Tot,P_EWPT_35_39_E,P_EWPT_35_39_OM_IE,P_EWPT_35_39_OM_UIE,P_EWPT_35_39_CFW,P_EWPT_35_39_ES_NS,P_EWPT_35_39_Tot,P_EWPT_40_44_E,P_EWPT_40_44_OM_IE,P_EWPT_40_44_OM_UIE,P_EWPT_40_44_CFW,P_EWPT_40_44_ES_NS,P_EWPT_40_44_Tot,P_EWPT_45_49_E,P_EWPT_45_49_OM_IE,P_EWPT_45_49_OM_UIE,P_EWPT_45_49_CFW,P_EWPT_45_49_ES_NS,P_EWPT_45_49_Tot,P_EWPT_50_54_E,P_EWPT_50_54_OM_IE,P_EWPT_50_54_OM_UIE,P_EWPT_50_54_CFW,P_EWPT_50_54_ES_NS,P_EWPT_50_54_Tot,P_EWPT_55_59_E,P_EWPT_55_59_OM_IE,P_EWPT_55_59_OM_UIE,P_EWPT_55_59_CFW,P_EWPT_55_59_ES_NS,P_EWPT_55_59_Tot,P_EWPT_60_64_E,P_EWPT_60_64_OM_IE,P_EWPT_60_64_OM_UIE,P_EWPT_60_64_CFW,P_EWPT_60_64_ES_NS,P_EWPT_60_64_Tot,P_EWPT_65_69_E,P_EWPT_65_69_OM_IE,P_EWPT_65_69_OM_UIE,P_EWPT_65_69_CFW,P_EWPT_65_69_ES_NS,P_EWPT_65_69_Tot,P_EWPT_70_74_E,P_EWPT_70_74_OM_IE,P_EWPT_70_74_OM_UIE,P_EWPT_70_74_CFW,P_EWPT_70_74_ES_NS,P_EWPT_70_74_Tot,P_EWPT_75ov_E,P_EWPT_75ov_OM_IE,P_EWPT_75ov_OM_UIE,P_EWPT_75ov_CFW,P_EWPT_75ov_ES_NS,P_EWPT_75ov_Tot,P_EWPT_Tot_E,P_EWPT_Tot_OM_IE,P_EWPT_Tot_OM_UIE,P_EWPT_Tot_CFW,P_EWPT_Tot_ES_NS,P_EWPT_Tot_Tot,P_EAFW_E,P_EAFW_OM_IE,P_EAFW_OM_UIE,P_EAFW_CFW,P_EAFW_ES_NS,P_EAFW_Tot,P_H_NS_E,P_H_NS_OM_IE,P_H_NS_OM_UIE,P_H_NS_CFW,P_H_NS_ES_NS,P_H_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
2GMEL,528,202561,154092,16193,7249,992,520,179039,143501,16800,7639,997,511,169455,129982,17036,7367,1031,483,155894,101848,14195,6427,873,468,123819,62692,9476,4584,690,360,77796,21374,4999,2407,417,182,29378,4491,2296,1055,260,69,8170,935,1040,542,201,48,2764,1260421,112413,57222,7450,4147,1441655,74864,156,696,442,134,76289,107259,683,3194,409,223,111767,72198,1657,5192,497,280,79831,65395,3438,6673,1240,286,77032,66124,5350,7758,1673,335,81244,55864,5414,7336,1589,308,70514,51663,5550,7039,1466,331,66050,48543,5497,6944,1406,297,62688,43467,4995,6226,1357,321,56368,37053,4914,5832,1316,332,49444,19814,3707,4123,1185,205,29030,7947,2611,2486,965,145,14155,3125,1543,1447,877,114,7109,653319,45504,64940,14437,3307,781503,100613,4238,7298,1838,1193,115179,28902,2595,2277,1299,3218,38285,2043253,164745,131740,25030,11858,2376630
2RVIC,266,37733,30187,3966,2813,501,268,37734,32859,4655,3415,641,345,41921,32545,4892,3583,806,396,42220,28525,4259,3551,952,386,37670,18894,3301,3331,1004,378,26909,5948,1763,2191,829,250,10980,1049,808,1149,720,122,3853,250,465,831,565,155,2274,288405,31348,27810,6919,3173,357650,28145,62,114,334,116,28778,22142,69,484,135,94,22927,17220,236,1075,179,88,18801,17570,642,1628,376,107,20323,18666,978,2031,500,154,22319,16968,1034,1945,474,149,20573,16908,1148,2122,497,187,20857,17056,1338,2199,523,198,21319,17986,1342,2422,662,223,22634,16673,1417,2818,882,275,22073,8418,1194,2181,960,198,12952,2966,770,1471,886,140,6232,979,423,972,932,152,3461,201698,10666,21467,7339,2073,243245,30912,1175,2415,909,593,36002,8710,587,959,842,1450,12551,529728,43779,52647,16009,7284,649447
29499,111,9189,4349,1551,1699,60,92,7749,3943,1538,1836,54,90,7461,3495,1498,1775,72,116,6952,2653,1148,1589,68,81,5538,1618,737,1192,54,83,3689,534,329,486,46,33,1426,114,105,145,40,10,427,27,44,76,52,11,211,45038,10771,14918,611,811,72156,1938,12,243,43,8,2243,4039,98,1012,32,34,5219,3068,221,1392,54,38,4775,2711,355,1724,116,60,4969,2370,504,1866,142,64,4945,2020,548,1849,135,73,4618,2174,543,2019,112,61,4906,2236,628,2344,121,72,5406,2298,561,2236,126,110,5326,2021,532,2117,107,112,4886,1120,386,1312,121,74,3015,476,190,610,78,32,1393,235,105,302,121,18,784,26717,4665,19023,1318,761,52479,5200,747,2863,378,269,9454,2086,287,523,151,342,3389,79049,16470,37324,2452,2182,137478
29799,0,11,20,0,0,0,0,19,24,0,0,0,0,24,26,0,0,0,0,29,32,0,0,0,0,33,8,0,0,0,0,11,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17,19,0,0,0,0,19,0,0,0,0,0,0,196,0,0,0,0,194
