POW_GCCSA_CODE_2021,Pro_300_399_H_0,Pro_300_399_H_1_19,Pro_300_399_H_20_29,Pro_300_399_H_30_34,Pro_300_399_H_35_39,Pro_300_399_H_40_44,Pro_300_399_H_45_49,Pro_300_399_H_50ov,Pro_300_399_H_NS,Pro_300_399_H_Tot,Pro_400_499_H_0,Pro_400_499_H_1_19,Pro_400_499_H_20_29,Pro_400_499_H_30_34,Pro_400_499_H_35_39,Pro_400_499_H_40_44,Pro_400_499_H_45_49,Pro_400_499_H_50ov,Pro_400_499_H_NS,Pro_400_499_H_Tot,Pro_500_649_H_0,Pro_500_649_H_1_19,Pro_500_649_H_20_29,Pro_500_649_H_30_34,Pro_500_649_H_35_39,Pro_500_649_H_40_44,Pro_500_649_H_45_49,Pro_500_649_H_50ov,Pro_500_649_H_NS,Pro_500_649_H_Tot,Pro_650_799_H_0,Pro_650_799_H_1_19,Pro_650_799_H_20_29,Pro_650_799_H_30_34,Pro_650_799_H_35_39,Pro_650_799_H_40_44,Pro_650_799_H_45_49,Pro_650_799_H_50ov,Pro_650_799_H_NS,Pro_650_799_H_Tot,Pro_800_999_H_0,Pro_800_999_H_1_19,Pro_800_999_H_20_29,Pro_800_999_H_30_34,Pro_800_999_H_35_39,Pro_800_999_H_40_44,Pro_800_999_H_45_49,Pro_800_999_H_50ov,Pro_800_999_H_NS,Pro_800_999_H_Tot,Pro_1000_1249_H_0,Pro_1000_1249_H_1_19,Pro_1000_1249_H_20_29,Pro_1000_1249_H_30_34,Pro_1000_1249_H_35_39,Pro_1000_1249_H_40_44,Pro_1000_1249_H_45_49,Pro_1000_1249_H_50ov,Pro_1000_1249_H_NS,Pro_1000_1249_H_Tot,Pro_1250_1499_H_0,Pro_1250_1499_H_1_19,Pro_1250_1499_H_20_29,Pro_1250_1499_H_30_34,Pro_1250_1499_H_35_39,Pro_1250_1499_H_40_44,Pro_1250_1499_H_45_49,Pro_1250_1499_H_50ov,Pro_1250_1499_H_NS,Pro_1250_1499_H_Tot,Pro_1500_1749_H_0,Pro_1500_1749_H_1_19,Pro_1500_1749_H_20_29,Pro_1500_1749_H_30_34,Pro_1500_1749_H_35_39,Pro_1500_1749_H_40_44,Pro_1500_1749_H_45_49,Pro_1500_1749_H_50ov,Pro_1500_1749_H_NS,Pro_1500_1749_H_Tot,Pro_1750_1999_H_0,Pro_1750_1999_H_1_19,Pro_1750_1999_H_20_29,Pro_1750_1999_H_30_34,Pro_1750_1999_H_35_39,Pro_1750_1999_H_40_44,Pro_1750_1999_H_45_49,Pro_1750_1999_H_50ov,Pro_1750_1999_H_NS,Pro_1750_1999_H_Tot,Pro_2000_2999_H_0,Pro_2000_2999_H_1_19,Pro_2000_2999_H_20_29,Pro_2000_2999_H_30_34,Pro_2000_2999_H_35_39,Pro_2000_2999_H_40_44,Pro_2000_2999_H_45_49,Pro_2000_2999_H_50ov,Pro_2000_2999_H_NS,Pro_2000_2999_H_Tot,Pro_3000_3499_H_0,Pro_3000_3499_H_1_19,Pro_3000_3499_H_20_29,Pro_3000_3499_H_30_34,Pro_3000_3499_H_35_39,Pro_3000_3499_H_40_44,Pro_3000_3499_H_45_49,Pro_3000_3499_H_50ov,Pro_3000_3499_H_NS,Pro_3000_3499_H_Tot,Pro_3500mo_H_0,Pro_3500mo_H_1_19,Pro_3500mo_H_20_29,Pro_3500mo_H_30_34,Pro_3500mo_H_35_39,Pro_3500mo_H_40_44,Pro_3500mo_H_45_49,Pro_3500mo_H_50ov,Pro_3500mo_H_NS,Pro_3500mo_H_Tot,Pro_PINS_H_0,Pro_PINS_H_1_19,Pro_PINS_H_20_29,Pro_PINS_H_30_34,Pro_PINS_H_35_39,Pro_PINS_H_40_44,Pro_PINS_H_45_49,Pro_PINS_H_50ov,Pro_PINS_H_NS,Pro_PINS_H_Tot,Pro_Tot_H_0,Pro_Tot_H_1_19,Pro_Tot_H_20_29,Pro_Tot_H_30_34,Pro_Tot_H_35_39,Pro_Tot_H_40_44,Pro_Tot_H_45_49,Pro_Tot_H_50ov,Pro_Tot_H_NS,Pro_Tot_H_Tot,TaTW_NNI_H_0,TaTW_NNI_H_1_19,TaTW_NNI_H_20_29,TaTW_NNI_H_30_34,TaTW_NNI_H_35_39,TaTW_NNI_H_40_44,TaTW_NNI_H_45_49,TaTW_NNI_H_50ov,TaTW_NNI_H_NS,TaTW_NNI_H_Tot,TaTW_1_149_H_0,TaTW_1_149_H_1_19,TaTW_1_149_H_20_29,TaTW_1_149_H_30_34,TaTW_1_149_H_35_39,TaTW_1_149_H_40_44,TaTW_1_149_H_45_49,TaTW_1_149_H_50ov,TaTW_1_149_H_NS,TaTW_1_149_H_Tot,TaTW_150_299_H_0,TaTW_150_299_H_1_19,TaTW_150_299_H_20_29,TaTW_150_299_H_30_34,TaTW_150_299_H_35_39,TaTW_150_299_H_40_44,TaTW_150_299_H_45_49,TaTW_150_299_H_50ov,TaTW_150_299_H_NS,TaTW_150_299_H_Tot,TaTW_300_399_H_0,TaTW_300_399_H_1_19,TaTW_300_399_H_20_29,TaTW_300_399_H_30_34,TaTW_300_399_H_35_39,TaTW_300_399_H_40_44,TaTW_300_399_H_45_49,TaTW_300_399_H_50ov,TaTW_300_399_H_NS,TaTW_300_399_H_Tot,TaTW_400_499_H_0,TaTW_400_499_H_1_19,TaTW_400_499_H_20_29,TaTW_400_499_H_30_34,TaTW_400_499_H_35_39,TaTW_400_499_H_40_44,TaTW_400_499_H_45_49,TaTW_400_499_H_50ov,TaTW_400_499_H_NS,TaTW_400_499_H_Tot,TaTW_500_649_H_0,TaTW_500_649_H_1_19,TaTW_500_649_H_20_29,TaTW_500_649_H_30_34,TaTW_500_649_H_35_39,TaTW_500_649_H_40_44,TaTW_500_649_H_45_49,TaTW_500_649_H_50ov,TaTW_500_649_H_NS,TaTW_500_649_H_Tot
2GMEL,558,4599,1017,311,235,334,71,179,89,7387,560,4698,1836,420,339,431,69,231,88,8669,976,6863,3999,1028,812,951,148,423,179,15379,1324,6835,6173,2234,2086,1811,281,671,226,21646,1601,6161,9226,4750,6632,5082,784,1248,328,35812,2457,5353,11258,9427,16976,14094,2504,3223,504,65798,2766,3476,7991,9613,24099,21488,4342,5690,461,79930,3278,2816,5666,9136,26810,26607,6191,8775,517,89798,2815,1955,3206,5626,21757,25057,5804,9078,367,75663,4498,3127,4294,6507,34017,52784,13983,24177,547,143940,800,844,1215,1489,5104,11901,3189,6863,134,31531,1415,1623,2322,2692,6053,17274,6134,20193,212,57916,108,269,286,245,560,816,135,446,822,3686,24543,57066,59555,53896,145887,179237,43748,81605,4705,650227,180,271,126,72,142,228,41,189,111,1356,276,1209,149,52,75,85,10,65,39,1956,469,2096,483,149,142,147,32,74,70,3655,559,2630,1309,270,358,355,67,181,126,5852,721,2559,2693,584,1192,1165,190,305,193,9597,1089,3052,4516,1502,2915,2988,549,640,301,17561
2RVIC,155,1020,227,75,41,62,12,49,15,1665,170,1151,386,128,75,112,22,71,31,2144,329,1851,955,294,202,209,59,116,32,4057,511,1990,1712,679,448,341,59,179,59,5983,557,1702,2747,1445,1325,938,218,291,74,9297,793,1360,3296,2844,3582,2587,520,788,110,15888,871,823,2358,2896,4637,3754,908,1242,93,17572,1006,634,1501,2813,5224,4717,1304,1890,115,19201,665,405,755,1575,3569,4074,1265,1991,77,14373,770,522,799,1328,4389,6147,2295,4291,92,20631,87,126,177,199,451,836,349,764,17,3006,178,214,357,432,779,1490,593,1865,35,5942,34,78,70,75,91,101,37,76,129,690,6416,13227,15578,14872,24878,25472,7667,13698,914,122727,56,77,37,21,34,71,19,85,14,411,101,527,57,16,25,32,3,46,19,821,157,779,172,61,74,87,18,45,36,1435,205,805,317,126,170,196,37,128,42,2016,246,960,705,232,730,741,105,198,62,3977,402,1061,1197,527,1415,1576,309,392,124,6999
29499,92,453,90,29,19,13,4,12,13,730,91,388,98,26,23,19,3,18,11,677,120,525,226,58,31,45,10,24,10,1051,143,425,247,103,66,76,10,27,9,1112,121,369,363,158,151,140,21,69,15,1409,130,356,314,211,309,319,50,94,25,1805,89,160,235,160,358,415,74,94,13,1599,93,148,158,136,419,470,78,158,21,1674,75,78,101,106,322,446,95,180,18,1420,112,152,159,148,496,830,181,386,13,2472,39,43,31,32,102,235,59,157,9,695,58,83,88,78,119,379,99,388,4,1298,8,25,19,6,14,28,5,22,29,157,1363,4239,2227,1286,2448,3461,698,1651,216,17584,43,44,30,21,33,45,7,23,23,254,48,197,21,8,9,10,0,12,6,320,91,365,91,33,27,38,3,12,8,681,127,400,164,79,88,114,12,27,22,1035,172,404,279,136,268,346,62,59,48,1783,217,534,492,277,726,1002,145,171,53,3625
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,5,0,0,0,0,0,0,8,0,9,0,0,0,0,0,3,0,10,0,5,0,0,0,0,0,0,0,7,0,11,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,22,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
