POW_GCCSA_CODE_2021,Tot_Bf_91,Tot_91_95,Tot_96_00,Tot_01_05,Tot_06_10,Tot_11_15,Tot_16_20,Tot_2021,Tot_NS,Tot_Tot
2GMEL,195422,52394,68706,103192,175583,158985,178051,2797,10213,945342
2RVIC,23175,3259,5220,7599,15329,14897,18831,400,1809,90529
29499,9578,2134,2802,3551,6129,5487,6947,148,657,37444
29799,14,0,7,0,6,4,0,0,0,39
