POW_GCCSA_CODE_2021,Tot_Mng,Tot_Pro,Tot_Tech_trds_wks,Tot_Com_persl_svce_wks,Tot_Cler_admin_wks,Tot_Sales_wks,Tot_Mach_ops_dvrs,Tot_Labourers,Tot_IDNS,Tot_Tot
2GMEL,337394,650227,265582,247682,314597,200663,137679,176342,46445,2376630
2RVIC,94532,122727,86878,85742,71263,58831,40117,77677,11686,649447
29499,11207,17584,46450,14088,6882,4695,10174,22816,3580,137478
29799,6,36,56,13,4,0,28,48,5,194
