POW_GCCSA_CODE_2021,St_Em_NS_35_39_HW_0,St_Em_NS_35_39_HW_1_19,St_Em_NS_35_39_HW_20_29,St_Em_NS_35_39_HW_30_34,St_Em_NS_35_39_HW_35_39,St_Em_NS_35_39_HW_40_44,St_Em_NS_35_39_HW_45_49,St_Em_NS_35_39_HW_50mor,St_Em_NS_35_39_HW_NS,St_Em_NS_35_39_Tot,St_Em_NS_40_44_HW_0,St_Em_NS_40_44_HW_1_19,St_Em_NS_40_44_HW_20_29,St_Em_NS_40_44_HW_30_34,St_Em_NS_40_44_HW_35_39,St_Em_NS_40_44_HW_40_44,St_Em_NS_40_44_HW_45_49,St_Em_NS_40_44_HW_50mor,St_Em_NS_40_44_HW_NS,St_Em_NS_40_44_Tot,St_Em_NS_45_49_HW_0,St_Em_NS_45_49_HW_1_19,St_Em_NS_45_49_HW_20_29,St_Em_NS_45_49_HW_30_34,St_Em_NS_45_49_HW_35_39,St_Em_NS_45_49_HW_40_44,St_Em_NS_45_49_HW_45_49,St_Em_NS_45_49_HW_50mor,St_Em_NS_45_49_HW_NS,St_Em_NS_45_49_Tot,St_Em_NS_50_54_HW_0,St_Em_NS_50_54_HW_1_19,St_Em_NS_50_54_HW_20_29,St_Em_NS_50_54_HW_30_34,St_Em_NS_50_54_HW_35_39,St_Em_NS_50_54_HW_40_44,St_Em_NS_50_54_HW_45_49,St_Em_NS_50_54_HW_50mor,St_Em_NS_50_54_HW_NS,St_Em_NS_50_54_Tot,St_Em_NS_55_59_HW_0,St_Em_NS_55_59_HW_1_19,St_Em_NS_55_59_HW_20_29,St_Em_NS_55_59_HW_30_34,St_Em_NS_55_59_HW_35_39,St_Em_NS_55_59_HW_40_44,St_Em_NS_55_59_HW_45_49,St_Em_NS_55_59_HW_50mor,St_Em_NS_55_59_HW_NS,St_Em_NS_55_59_Tot,St_Em_NS_60_64_HW_0,St_Em_NS_60_64_HW_1_19,St_Em_NS_60_64_HW_20_29,St_Em_NS_60_64_HW_30_34,St_Em_NS_60_64_HW_35_39,St_Em_NS_60_64_HW_40_44,St_Em_NS_60_64_HW_45_49,St_Em_NS_60_64_HW_50mor,St_Em_NS_60_64_HW_NS,St_Em_NS_60_64_Tot,St_Em_NS_65_69_HW_0,St_Em_NS_65_69_HW_1_19,St_Em_NS_65_69_HW_20_29,St_Em_NS_65_69_HW_30_34,St_Em_NS_65_69_HW_35_39,St_Em_NS_65_69_HW_40_44,St_Em_NS_65_69_HW_45_49,St_Em_NS_65_69_HW_50mor,St_Em_NS_65_69_HW_NS,St_Em_NS_65_69_Tot,St_Em_NS_70_74_HW_0,St_Em_NS_70_74_HW_1_19,St_Em_NS_70_74_HW_20_29,St_Em_NS_70_74_HW_30_34,St_Em_NS_70_74_HW_35_39,St_Em_NS_70_74_HW_40_44,St_Em_NS_70_74_HW_45_49,St_Em_NS_70_74_HW_50mor,St_Em_NS_70_74_HW_NS,St_Em_NS_70_74_Tot,St_Em_NS_75ov_HW_0,St_Em_NS_75ov_HW_1_19,St_Em_NS_75ov_HW_20_29,St_Em_NS_75ov_HW_30_34,St_Em_NS_75ov_HW_35_39,St_Em_NS_75ov_HW_40_44,St_Em_NS_75ov_HW_45_49,St_Em_NS_75ov_HW_50mor,St_Em_NS_75ov_HW_NS,St_Em_NS_75ov_Tot,St_Em_NS_Tot_HW_0,St_Em_NS_Tot_HW_1_19,St_Em_NS_Tot_HW_20_29,St_Em_NS_Tot_HW_30_34,St_Em_NS_Tot_HW_35_39,St_Em_NS_Tot_HW_40_44,St_Em_NS_Tot_HW_45_49,St_Em_NS_Tot_HW_50mor,St_Em_NS_Tot_HW_NS,St_Em_NS_Tot_Tot,Tot_15_19_HW_0,Tot_15_19_HW_1_19,Tot_15_19_HW_20_29,Tot_15_19_HW_30_34,Tot_15_19_HW_35_39,Tot_15_19_HW_40_44,Tot_15_19_HW_45_49,Tot_15_19_HW_50mor,Tot_15_19_HW_NS,Tot_15_19_Tot,Tot_20_24_HW_0,Tot_20_24_HW_1_19,Tot_20_24_HW_20_29,Tot_20_24_HW_30_34,Tot_20_24_HW_35_39,Tot_20_24_HW_40_44,Tot_20_24_HW_45_49,Tot_20_24_HW_50mor,Tot_20_24_HW_NS,Tot_20_24_Tot,Tot_25_29_HW_0,Tot_25_29_HW_1_19,Tot_25_29_HW_20_29,Tot_25_29_HW_30_34,Tot_25_29_HW_35_39,Tot_25_29_HW_40_44,Tot_25_29_HW_45_49,Tot_25_29_HW_50mor,Tot_25_29_HW_NS,Tot_25_29_Tot,Tot_30_34_HW_0,Tot_30_34_HW_1_19,Tot_30_34_HW_20_29,Tot_30_34_HW_30_34,Tot_30_34_HW_35_39,Tot_30_34_HW_40_44,Tot_30_34_HW_45_49,Tot_30_34_HW_50mor,Tot_30_34_HW_NS,Tot_30_34_Tot,Tot_35_39_HW_0,Tot_35_39_HW_1_19,Tot_35_39_HW_20_29,Tot_35_39_HW_30_34,Tot_35_39_HW_35_39,Tot_35_39_HW_40_44,Tot_35_39_HW_45_49,Tot_35_39_HW_50mor,Tot_35_39_HW_NS,Tot_35_39_Tot,Tot_40_44_HW_0,Tot_40_44_HW_1_19,Tot_40_44_HW_20_29,Tot_40_44_HW_30_34,Tot_40_44_HW_35_39,Tot_40_44_HW_40_44,Tot_40_44_HW_45_49,Tot_40_44_HW_50mor,Tot_40_44_HW_NS,Tot_40_44_Tot,Tot_45_49_HW_0,Tot_45_49_HW_1_19,Tot_45_49_HW_20_29,Tot_45_49_HW_30_34,Tot_45_49_HW_35_39,Tot_45_49_HW_40_44,Tot_45_49_HW_45_49,Tot_45_49_HW_50mor,Tot_45_49_HW_NS,Tot_45_49_Tot,Tot_50_54_HW_0,Tot_50_54_HW_1_19,Tot_50_54_HW_20_29,Tot_50_54_HW_30_34,Tot_50_54_HW_35_39,Tot_50_54_HW_40_44,Tot_50_54_HW_45_49,Tot_50_54_HW_50mor,Tot_50_54_HW_NS,Tot_50_54_Tot,Tot_55_59_HW_0,Tot_55_59_HW_1_19,Tot_55_59_HW_20_29,Tot_55_59_HW_30_34,Tot_55_59_HW_35_39,Tot_55_59_HW_40_44,Tot_55_59_HW_45_49,Tot_55_59_HW_50mor,Tot_55_59_HW_NS,Tot_55_59_Tot,Tot_60_64_HW_0,Tot_60_64_HW_1_19,Tot_60_64_HW_20_29,Tot_60_64_HW_30_34,Tot_60_64_HW_35_39,Tot_60_64_HW_40_44,Tot_60_64_HW_45_49,Tot_60_64_HW_50mor,Tot_60_64_HW_NS,Tot_60_64_Tot
2GMEL,129,137,105,87,158,211,39,114,403,1398,103,143,94,73,190,174,36,114,281,1211,97,138,106,84,164,202,34,108,250,1189,104,126,100,77,160,157,50,118,276,1166,111,137,120,64,171,166,40,98,213,1117,126,128,126,72,114,117,35,97,182,994,69,111,55,31,43,76,4,60,117,573,37,79,34,28,20,23,4,25,104,355,73,65,29,18,8,23,7,9,249,477,1193,1503,1123,677,1400,1528,325,891,3218,11858,11093,63046,10286,2964,5283,4551,891,753,1551,100417,14486,58553,37161,16056,39738,33740,6653,7513,4884,218779,12620,28275,31795,19758,76729,71505,16418,22446,6239,285784,18257,25393,30678,20959,77474,79143,18743,31194,5851,307684,14948,26186,32012,23043,72932,78019,17930,33680,4924,303680,8225,22367,27480,20657,58449,68840,17228,34529,3552,261327,6880,20690,25453,19907,52863,61211,17929,37445,2955,245336,7534,19819,23962,18899,50249,53487,16385,35783,2807,228924,7660,18447,21334,16582,42276,41723,12771,27041,2200,190040,7104,18512,17961,12965,28390,25946,7515,15945,1502,135845
2RVIC,49,53,60,35,55,90,25,97,99,569,40,64,49,35,61,76,18,106,93,541,32,64,66,49,79,99,32,141,114,676,57,74,60,62,82,119,22,174,121,776,83,89,68,67,69,121,33,158,136,823,69,113,103,64,73,112,29,165,120,841,38,90,57,46,34,73,25,120,97,583,27,65,40,35,15,40,8,59,78,369,45,77,45,28,18,46,14,81,220,574,593,908,659,504,651,1009,257,1255,1450,7284,3987,23663,3638,1482,3697,3282,656,732,1073,42203,3213,10499,7528,4897,12297,10696,2440,3183,1280,56029,3655,6905,6571,5325,15796,14750,3869,6066,1443,64370,4416,7669,7357,5299,13628,13948,3922,7407,1278,64915,3217,7832,8589,5901,12514,13083,3875,8258,1150,64429,2280,6666,7899,6014,11768,13147,3851,8967,960,61547,2197,6345,8050,6460,13160,14183,4436,10141,1042,66013,2812,6608,8108,6598,13301,13851,4422,10643,1121,67467,3520,7524,8512,6601,12315,11898,3800,9655,934,64756,3653,8451,7972,5651,8705,8680,2578,6951,792,53421
29499,18,28,24,10,26,49,9,26,30,226,17,29,27,13,18,42,8,30,36,213,21,29,21,7,20,27,7,30,30,204,31,44,21,11,19,45,13,41,47,263,32,51,32,28,12,40,8,21,27,250,46,53,35,24,16,34,14,24,17,262,21,46,26,11,3,17,0,9,9,139,18,20,9,0,0,4,0,7,9,78,21,11,9,0,5,5,0,5,26,86,269,366,247,140,161,350,65,240,342,2182,464,1679,340,221,840,1196,192,179,155,5273,804,2888,1504,824,2271,3531,697,758,392,13672,804,1975,1723,1078,2746,4229,965,1609,437,15558,1009,2018,1820,1126,2648,4551,1017,2078,464,16737,952,2064,1723,1168,2310,3832,935,2107,399,15491,776,1966,1512,1148,1770,3358,746,1873,322,13467,856,2118,1667,1118,1787,3126,759,1789,299,13522,867,2342,1846,1210,1702,2806,662,1787,293,13516,902,2375,1831,1122,1473,2191,517,1357,208,11974,977,2421,1492,970,969,1538,340,836,192,9740
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,5,0,0,0,5,0,0,0,0,6,6,0,11,0,20,3,0,0,0,0,0,0,8,0,14,4,0,0,0,6,4,0,13,0,24,3,0,3,0,0,3,0,22,0,36,0,0,0,0,0,4,0,28,0,35,3,0,0,0,0,8,5,21,0,35,6,0,0,3,0,0,0,8,0,18
