POW_GCCSA_CODE_2021,LE_IDNS_PINS_Mng,LE_IDNS_PINS_Pro,LE_IDNS_PINS_TecTW,LE_IDNS_PINS_CoPSW,LE_IDNS_PINS_ClAW,LE_IDNS_PINS_SWks,LE_IDNS_PINS_MaOpDv,LE_IDNS_PINS_Lab,LE_IDNS_PINS_IDNS,LE_IDNS_PINS_Tot,LE_IDNS_Tot_Mng,LE_IDNS_Tot_Pro,LE_IDNS_Tot_TecTW,LE_IDNS_Tot_CoPSW,LE_IDNS_Tot_ClAW,LE_IDNS_Tot_SWks,LE_IDNS_Tot_MaOpDv,LE_IDNS_Tot_Lab,LE_IDNS_Tot_IDNS,LE_IDNS_Tot_Tot,Tot_NNI_Mng,Tot_NNI_Pro,Tot_NNI_TecTW,Tot_NNI_CoPSW,Tot_NNI_ClAW,Tot_NNI_SWks,Tot_NNI_MaOpDv,Tot_NNI_Lab,Tot_NNI_IDNS,Tot_NNI_Tot,Tot_1_149_Mng,Tot_1_149_Pro,Tot_1_149_TecTW,Tot_1_149_CoPSW,Tot_1_149_ClAW,Tot_1_149_SWks,Tot_1_149_MaOpDv,Tot_1_149_Lab,Tot_1_149_IDNS,Tot_1_149_Tot,Tot_150_299_Mng,Tot_150_299_Pro,Tot_150_299_TecTW,Tot_150_299_CoPSW,Tot_150_299_ClAW,Tot_150_299_SWks,Tot_150_299_MaOpDv,Tot_150_299_Lab,Tot_150_299_IDNS,Tot_150_299_Tot,Tot_300_399_Mng,Tot_300_399_Pro,Tot_300_399_TecTW,Tot_300_399_CoPSW,Tot_300_399_ClAW,Tot_300_399_SWks,Tot_300_399_MaOpDv,Tot_300_399_Lab,Tot_300_399_IDNS,Tot_300_399_Tot,Tot_400_499_Mng,Tot_400_499_Pro,Tot_400_499_TecTW,Tot_400_499_CoPSW,Tot_400_499_ClAW,Tot_400_499_SWks,Tot_400_499_MaOpDv,Tot_400_499_Lab,Tot_400_499_IDNS,Tot_400_499_Tot,Tot_500_649_Mng,Tot_500_649_Pro,Tot_500_649_TecTW,Tot_500_649_CoPSW,Tot_500_649_ClAW,Tot_500_649_SWks,Tot_500_649_MaOpDv,Tot_500_649_Lab,Tot_500_649_IDNS,Tot_500_649_Tot,Tot_650_799_Mng,Tot_650_799_Pro,Tot_650_799_TecTW,Tot_650_799_CoPSW,Tot_650_799_ClAW,Tot_650_799_SWks,Tot_650_799_MaOpDv,Tot_650_799_Lab,Tot_650_799_IDNS,Tot_650_799_Tot,Tot_800_999_Mng,Tot_800_999_Pro,Tot_800_999_TecTW,Tot_800_999_CoPSW,Tot_800_999_ClAW,Tot_800_999_SWks,Tot_800_999_MaOpDv,Tot_800_999_Lab,Tot_800_999_IDNS,Tot_800_999_Tot,Tot_1000_1249_Mng,Tot_1000_1249_Pro,Tot_1000_1249_TecTW,Tot_1000_1249_CoPSW,Tot_1000_1249_ClAW,Tot_1000_1249_SWks,Tot_1000_1249_MaOpDv,Tot_1000_1249_Lab,Tot_1000_1249_IDNS,Tot_1000_1249_Tot,Tot_1250_1499_Mng,Tot_1250_1499_Pro,Tot_1250_1499_TecTW,Tot_1250_1499_CoPSW,Tot_1250_1499_ClAW,Tot_1250_1499_SWks,Tot_1250_1499_MaOpDv,Tot_1250_1499_Lab,Tot_1250_1499_IDNS,Tot_1250_1499_Tot,Tot_1500_1749_Mng,Tot_1500_1749_Pro,Tot_1500_1749_TecTW,Tot_1500_1749_CoPSW,Tot_1500_1749_ClAW,Tot_1500_1749_SWks,Tot_1500_1749_MaOpDv,Tot_1500_1749_Lab,Tot_1500_1749_IDNS,Tot_1500_1749_Tot,Tot_1750_1999_Mng,Tot_1750_1999_Pro,Tot_1750_1999_TecTW,Tot_1750_1999_CoPSW,Tot_1750_1999_ClAW,Tot_1750_1999_SWks,Tot_1750_1999_MaOpDv,Tot_1750_1999_Lab,Tot_1750_1999_IDNS,Tot_1750_1999_Tot,Tot_2000_2999_Mng,Tot_2000_2999_Pro,Tot_2000_2999_TecTW,Tot_2000_2999_CoPSW,Tot_2000_2999_ClAW,Tot_2000_2999_SWks,Tot_2000_2999_MaOpDv,Tot_2000_2999_Lab,Tot_2000_2999_IDNS,Tot_2000_2999_Tot,Tot_3000_3499_Mng,Tot_3000_3499_Pro,Tot_3000_3499_TecTW,Tot_3000_3499_CoPSW,Tot_3000_3499_ClAW,Tot_3000_3499_SWks,Tot_3000_3499_MaOpDv,Tot_3000_3499_Lab,Tot_3000_3499_IDNS,Tot_3000_3499_Tot,Tot_3500mo_Mng,Tot_3500mo_Pro,Tot_3500mo_TecTW,Tot_3500mo_CoPSW,Tot_3500mo_ClAW,Tot_3500mo_SWks,Tot_3500mo_MaOpDv,Tot_3500mo_Lab,Tot_3500mo_IDNS,Tot_3500mo_Tot,Tot_PINS_Mng,Tot_PINS_Pro,Tot_PINS_TecTW,Tot_PINS_CoPSW,Tot_PINS_ClAW,Tot_PINS_SWks,Tot_PINS_MaOpDv,Tot_PINS_Lab,Tot_PINS_IDNS,Tot_PINS_Tot,Tot_Tot_Mng,Tot_Tot_Pro,Tot_Tot_TecTW,Tot_Tot_CoPSW,Tot_Tot_ClAW,Tot_Tot_SWks,Tot_Tot_MaOpDv,Tot_Tot_Lab,Tot_Tot_IDNS,Tot_Tot_Tot
2GMEL,271,444,307,311,293,203,183,173,2331,4518,5764,9346,4944,5653,6273,3798,3422,4279,6432,49906,1671,1711,903,803,1037,591,260,474,858,8298,770,2583,953,2311,1269,1679,355,1222,373,11513,1369,4701,2047,5913,3097,4511,931,2927,564,26059,2226,5955,3484,8419,4645,5794,1520,4010,867,36921,2831,7292,5362,11523,6416,7089,2297,5678,951,49444,5218,13523,9934,20576,11828,10446,4192,9069,1458,86244,7756,19608,15229,26403,17003,11099,6916,10974,1887,116886,13346,33067,26160,30676,27963,12154,13430,14099,3020,173920,21737,62069,36223,27141,40691,11719,14764,11922,3942,230215,21965,76337,28770,15724,32088,8007,8818,6134,2939,200777,25192,85966,23947,11544,24314,6313,5742,4123,2673,189796,23436,72619,16085,7115,14488,4024,3277,2586,1888,145508,67084,138249,22851,10822,19114,6859,3871,3213,2858,274923,24578,30192,3968,1296,3976,1921,805,633,712,68077,51931,55669,3768,1017,5641,3522,537,592,1452,124134,1715,3465,2266,1406,1413,735,609,679,4459,16749,272830,613018,201949,182687,215001,96449,68307,78336,30896,1759471
2RVIC,143,96,80,99,58,54,45,116,487,1189,2226,2025,1376,2056,1474,1260,1035,2303,1521,15268,1034,291,277,218,270,99,63,215,223,2694,489,478,329,660,328,532,95,596,117,3621,955,996,798,1575,876,1098,201,1205,163,7864,1341,1418,1226,2479,1265,1429,362,1557,228,11306,1613,1844,1988,3606,1869,1845,477,2144,276,15662,2746,3607,3574,7206,3605,2946,928,3273,407,28301,3645,5443,5574,9671,4977,3237,1566,4258,508,38872,5325,8604,10016,10663,7005,3468,3096,5699,724,54607,7600,14899,13039,9399,8536,2669,3817,5117,816,65895,6563,16774,8943,5406,5751,1478,2599,2556,580,50644,6753,18469,6856,4146,4010,1004,1881,1474,511,45103,5412,13904,4148,2742,2180,638,1228,974,410,31634,11892,20096,5959,3763,2457,846,1432,1030,456,47938,3159,2906,1141,420,396,237,244,139,77,8710,4915,5779,1289,377,517,421,234,166,191,13885,720,636,787,470,287,182,204,373,952,4606,64154,116129,65937,62800,44330,22121,18430,30783,6642,431324
29499,10,19,41,18,8,0,15,30,165,308,287,313,590,329,192,103,256,553,438,3061,118,120,180,70,105,39,47,85,85,842,49,342,141,226,114,52,74,212,30,1250,118,473,350,551,171,105,176,471,51,2467,136,576,572,716,240,127,249,631,87,3333,179,555,840,906,261,182,326,752,98,4097,304,895,1581,1524,397,230,620,1133,143,6817,427,992,2475,1628,482,222,681,1210,170,8286,600,1241,3962,1463,540,274,819,1435,232,10575,844,1630,5458,1388,684,294,872,1616,252,13039,885,1437,5066,763,496,246,546,1071,217,10719,995,1514,4644,502,390,195,388,829,193,9643,752,1280,3090,280,222,143,261,547,130,6702,1541,2267,3824,338,289,197,338,694,149,9624,471,644,593,46,63,54,60,120,35,2091,984,1204,441,60,96,87,59,95,72,3081,128,137,491,101,47,22,55,133,311,1442,8525,15306,33696,10570,4579,2474,5582,11040,2241,94012
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,6,0,3,0,0,0,5,0,10,5,9,13,4,0,0,3,12,4,52,0,5,3,0,0,0,3,0,0,13,3,11,30,0,0,0,8,5,0,59,0,0,0,0,0,0,0,0,0,0,6,42,49,7,4,0,16,33,4,162
