POW_GCCSA_CODE_2021,SG_300_399_Mng,SG_300_399_Pro,SG_300_399_TecTW,SG_300_399_CoPSW,SG_300_399_ClAW,SG_300_399_SWks,SG_300_399_MaOpDv,SG_300_399_Lab,SG_300_399_IDNS,SG_300_399_Tot,SG_400_499_Mng,SG_400_499_Pro,SG_400_499_TecTW,SG_400_499_CoPSW,SG_400_499_ClAW,SG_400_499_SWks,SG_400_499_MaOpDv,SG_400_499_Lab,SG_400_499_IDNS,SG_400_499_Tot,SG_500_649_Mng,SG_500_649_Pro,SG_500_649_TecTW,SG_500_649_CoPSW,SG_500_649_ClAW,SG_500_649_SWks,SG_500_649_MaOpDv,SG_500_649_Lab,SG_500_649_IDNS,SG_500_649_Tot,SG_650_799_Mng,SG_650_799_Pro,SG_650_799_TecTW,SG_650_799_CoPSW,SG_650_799_ClAW,SG_650_799_SWks,SG_650_799_MaOpDv,SG_650_799_Lab,SG_650_799_IDNS,SG_650_799_Tot,SG_800_999_Mng,SG_800_999_Pro,SG_800_999_TecTW,SG_800_999_CoPSW,SG_800_999_ClAW,SG_800_999_SWks,SG_800_999_MaOpDv,SG_800_999_Lab,SG_800_999_IDNS,SG_800_999_Tot,SG_1000_1249_Mng,SG_1000_1249_Pro,SG_1000_1249_TecTW,SG_1000_1249_CoPSW,SG_1000_1249_ClAW,SG_1000_1249_SWks,SG_1000_1249_MaOpDv,SG_1000_1249_Lab,SG_1000_1249_IDNS,SG_1000_1249_Tot,SG_1250_1499_Mng,SG_1250_1499_Pro,SG_1250_1499_TecTW,SG_1250_1499_CoPSW,SG_1250_1499_ClAW,SG_1250_1499_SWks,SG_1250_1499_MaOpDv,SG_1250_1499_Lab,SG_1250_1499_IDNS,SG_1250_1499_Tot,SG_1500_1749_Mng,SG_1500_1749_Pro,SG_1500_1749_TecTW,SG_1500_1749_CoPSW,SG_1500_1749_ClAW,SG_1500_1749_SWks,SG_1500_1749_MaOpDv,SG_1500_1749_Lab,SG_1500_1749_IDNS,SG_1500_1749_Tot,SG_1750_1999_Mng,SG_1750_1999_Pro,SG_1750_1999_TecTW,SG_1750_1999_CoPSW,SG_1750_1999_ClAW,SG_1750_1999_SWks,SG_1750_1999_MaOpDv,SG_1750_1999_Lab,SG_1750_1999_IDNS,SG_1750_1999_Tot,SG_2000_2999_Mng,SG_2000_2999_Pro,SG_2000_2999_TecTW,SG_2000_2999_CoPSW,SG_2000_2999_ClAW,SG_2000_2999_SWks,SG_2000_2999_MaOpDv,SG_2000_2999_Lab,SG_2000_2999_IDNS,SG_2000_2999_Tot,SG_3000_3499_Mng,SG_3000_3499_Pro,SG_3000_3499_TecTW,SG_3000_3499_CoPSW,SG_3000_3499_ClAW,SG_3000_3499_SWks,SG_3000_3499_MaOpDv,SG_3000_3499_Lab,SG_3000_3499_IDNS,SG_3000_3499_Tot,SG_3500mo_Mng,SG_3500mo_Pro,SG_3500mo_TecTW,SG_3500mo_CoPSW,SG_3500mo_ClAW,SG_3500mo_SWks,SG_3500mo_MaOpDv,SG_3500mo_Lab,SG_3500mo_IDNS,SG_3500mo_Tot,SG_PINS_Mng,SG_PINS_Pro,SG_PINS_TecTW,SG_PINS_CoPSW,SG_PINS_ClAW,SG_PINS_SWks,SG_PINS_MaOpDv,SG_PINS_Lab,SG_PINS_IDNS,SG_PINS_Tot,SG_Tot_Mng,SG_Tot_Pro,SG_Tot_TecTW,SG_Tot_CoPSW,SG_Tot_ClAW,SG_Tot_SWks,SG_Tot_MaOpDv,SG_Tot_Lab,SG_Tot_IDNS,SG_Tot_Tot,LG_NNI_Mng,LG_NNI_Pro,LG_NNI_TecTW,LG_NNI_CoPSW,LG_NNI_ClAW,LG_NNI_SWks,LG_NNI_MaOpDv,LG_NNI_Lab,LG_NNI_IDNS,LG_NNI_Tot,LG_1_149_Mng,LG_1_149_Pro,LG_1_149_TecTW,LG_1_149_CoPSW,LG_1_149_ClAW,LG_1_149_SWks,LG_1_149_MaOpDv,LG_1_149_Lab,LG_1_149_IDNS,LG_1_149_Tot,LG_150_299_Mng,LG_150_299_Pro,LG_150_299_TecTW,LG_150_299_CoPSW,LG_150_299_ClAW,LG_150_299_SWks,LG_150_299_MaOpDv,LG_150_299_Lab,LG_150_299_IDNS,LG_150_299_Tot,LG_300_399_Mng,LG_300_399_Pro,LG_300_399_TecTW,LG_300_399_CoPSW,LG_300_399_ClAW,LG_300_399_SWks,LG_300_399_MaOpDv,LG_300_399_Lab,LG_300_399_IDNS,LG_300_399_Tot,LG_400_499_Mng,LG_400_499_Pro,LG_400_499_TecTW,LG_400_499_CoPSW,LG_400_499_ClAW,LG_400_499_SWks,LG_400_499_MaOpDv,LG_400_499_Lab,LG_400_499_IDNS,LG_400_499_Tot,LG_500_649_Mng,LG_500_649_Pro,LG_500_649_TecTW,LG_500_649_CoPSW,LG_500_649_ClAW,LG_500_649_SWks,LG_500_649_MaOpDv,LG_500_649_Lab,LG_500_649_IDNS,LG_500_649_Tot
2GMEL,36,653,96,655,288,11,12,75,20,1846,53,834,169,1100,549,26,18,131,29,2912,96,1881,342,2195,1207,40,41,243,57,6102,151,3396,523,3241,1897,64,127,429,76,9895,272,5650,766,3241,3311,99,259,493,140,14233,610,11919,1133,3626,5166,157,423,411,223,23665,911,16434,888,3878,4271,98,350,213,227,27267,1322,19832,729,4611,3488,96,345,146,292,30864,2053,16463,540,3839,2544,83,420,86,269,26305,7855,24432,839,8402,3108,88,543,108,338,45720,2879,3125,93,862,463,17,102,16,49,7612,3744,5712,83,375,370,17,30,10,76,10415,60,408,28,204,153,5,22,20,81,990,20109,111675,6350,36917,27117,832,2707,2486,1916,210108,8,17,7,6,14,0,3,17,4,79,3,19,3,68,28,0,3,108,7,235,6,36,13,122,40,6,10,549,3,781,12,35,22,165,65,9,5,278,0,589,22,59,19,211,111,5,9,252,9,703,47,148,97,448,281,11,17,423,15,1489
2RVIC,16,319,42,362,166,15,9,99,0,1021,29,384,85,624,347,10,22,173,25,1691,38,919,152,1340,734,37,38,412,39,3708,79,1615,227,1951,1134,29,80,538,30,5684,153,2768,352,2041,1588,51,141,589,50,7734,267,5160,471,2253,2289,77,164,409,81,11174,341,6564,352,1813,1545,50,125,189,52,11029,501,7488,275,2047,1162,28,128,100,67,11799,651,5646,173,1708,670,27,104,56,73,9101,2519,7350,224,3342,752,44,124,49,87,14487,718,575,29,305,65,0,21,0,5,1716,702,1169,38,200,62,3,9,5,12,2189,16,165,13,86,52,0,5,32,17,382,6045,40403,2468,18416,10716,388,975,2750,550,82704,0,5,5,7,7,0,0,4,0,22,0,11,5,60,22,0,0,41,0,131,3,10,12,81,34,3,0,166,3,315,4,19,12,115,44,3,0,92,4,300,20,27,26,158,64,5,9,126,9,432,37,78,60,327,161,9,16,184,9,876
29499,0,31,0,15,6,0,0,5,0,67,0,18,0,25,6,0,0,6,0,53,0,43,14,43,15,0,0,9,3,126,8,56,19,57,20,4,3,6,8,172,5,69,17,47,31,6,4,9,11,194,3,93,18,65,54,0,12,11,7,273,4,90,23,82,46,0,7,5,12,268,14,112,11,89,43,3,10,8,11,303,24,109,21,83,26,0,9,0,7,284,76,130,20,178,34,0,9,10,12,468,23,23,0,15,3,0,0,4,0,73,27,64,0,10,7,0,0,0,6,115,0,3,0,5,4,0,0,0,0,16,190,897,146,743,299,16,55,76,71,2506,0,0,0,3,0,0,0,0,0,8,0,3,0,6,0,0,0,16,0,21,0,0,0,14,0,0,0,36,0,54,0,0,0,12,0,0,0,23,0,45,0,0,3,24,6,0,0,24,0,59,3,6,3,76,7,0,0,31,0,132
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,9,0,0,8,4,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,7,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
