POW_GCCSA_CODE_2021,Tot_PINS_Mng,Tot_PINS_Pro,Tot_PINS_TecTW,Tot_PINS_CoPSW,Tot_PINS_ClAW,Tot_PINS_SWks,Tot_PINS_MaOpDv,Tot_PINS_Lab,Tot_PINS_IDNS,Tot_PINS_Tot,Tot_Tot_Mng,Tot_Tot_Pro,Tot_Tot_TecTW,Tot_Tot_CoPSW,Tot_Tot_ClAW,Tot_Tot_SWks,Tot_Tot_MaOpDv,Tot_Tot_Lab,Tot_Tot_IDNS,Tot_Tot_Tot
2GMEL,2297,3686,3010,1920,2235,1664,1228,1574,5977,23596,337394,650227,265582,247682,314597,200663,137679,176342,46445,2376630
2RVIC,1340,690,1050,681,523,579,468,962,1484,7771,94532,122727,86878,85742,71263,58831,40117,77677,11686,649447
29499,172,157,657,135,86,64,138,283,437,2136,11207,17584,46450,14088,6882,4695,10174,22816,3580,137478
29799,0,0,0,0,0,0,0,0,0,0,6,36,56,13,4,0,28,48,5,194
