POW_GCCSA_CODE_2021,M_AgFF_H_0,M_AgFF_H_1_19,M_AgFF_H_20_29,M_AgFF_H_30_34,M_AgFF_H_35_39,M_AgFF_H_40_44,M_AgFF_H_45_49,M_AgFF_H_50ov,M_AgFF_H_NS,M_AgFF_H_Tot,M_Min_H_0,M_Min_H_1_19,M_Min_H_20_29,M_Min_H_30_34,M_Min_H_35_39,M_Min_H_40_44,M_Min_H_45_49,M_Min_H_50ov,M_Min_H_NS,M_Min_H_Tot,M_Mnf_H_0,M_Mnf_H_1_19,M_Mnf_H_20_29,M_Mnf_H_30_34,M_Mnf_H_35_39,M_Mnf_H_40_44,M_Mnf_H_45_49,M_Mnf_H_50ov,M_Mnf_H_NS,M_Mnf_H_Tot,M_EGWWS_H_0,M_EGWWS_H_1_19,M_EGWWS_H_20_29,M_EGWWS_H_30_34,M_EGWWS_H_35_39,M_EGWWS_H_40_44,M_EGWWS_H_45_49,M_EGWWS_H_50ov,M_EGWWS_H_NS,M_EGWWS_H_Tot,M_Const_H_0,M_Const_H_1_19,M_Const_H_20_29,M_Const_H_30_34,M_Const_H_35_39,M_Const_H_40_44,M_Const_H_45_49,M_Const_H_50ov,M_Const_H_NS,M_Const_H_Tot,M_WST_H_0,M_WST_H_1_19,M_WST_H_20_29,M_WST_H_30_34,M_WST_H_35_39,M_WST_H_40_44,M_WST_H_45_49,M_WST_H_50ov,M_WST_H_NS,M_WST_H_Tot,M_RetT_H_0,M_RetT_H_1_19,M_RetT_H_20_29,M_RetT_H_30_34,M_RetT_H_35_39,M_RetT_H_40_44,M_RetT_H_45_49,M_RetT_H_50ov,M_RetT_H_NS,M_RetT_H_Tot,M_AcFd_H_0,M_AcFd_H_1_19,M_AcFd_H_20_29,M_AcFd_H_30_34,M_AcFd_H_35_39,M_AcFd_H_40_44,M_AcFd_H_45_49,M_AcFd_H_50ov,M_AcFd_H_NS,M_AcFd_H_Tot,M_TPW_H_0,M_TPW_H_1_19,M_TPW_H_20_29,M_TPW_H_30_34,M_TPW_H_35_39,M_TPW_H_40_44,M_TPW_H_45_49,M_TPW_H_50ov,M_TPW_H_NS,M_TPW_H_Tot,M_IMT_H_0,M_IMT_H_1_19,M_IMT_H_20_29,M_IMT_H_30_34,M_IMT_H_35_39,M_IMT_H_40_44,M_IMT_H_45_49,M_IMT_H_50ov,M_IMT_H_NS,M_IMT_H_Tot,M_FinIns_H_0,M_FinIns_H_1_19,M_FinIns_H_20_29,M_FinIns_H_30_34,M_FinIns_H_35_39,M_FinIns_H_40_44,M_FinIns_H_45_49,M_FinIns_H_50ov,M_FinIns_H_NS,M_FinIns_H_Tot,M_RHRE_H_0,M_RHRE_H_1_19,M_RHRE_H_20_29,M_RHRE_H_30_34,M_RHRE_H_35_39,M_RHRE_H_40_44,M_RHRE_H_45_49,M_RHRE_H_50ov,M_RHRE_H_NS,M_RHRE_H_Tot,M_ProSTS_H_0,M_ProSTS_H_1_19,M_ProSTS_H_20_29,M_ProSTS_H_30_34,M_ProSTS_H_35_39,M_ProSTS_H_40_44,M_ProSTS_H_45_49,M_ProSTS_H_50ov,M_ProSTS_H_NS,M_ProSTS_H_Tot,M_AdSup_H_0,M_AdSup_H_1_19,M_AdSup_H_20_29,M_AdSup_H_30_34,M_AdSup_H_35_39,M_AdSup_H_40_44,M_AdSup_H_45_49,M_AdSup_H_50ov,M_AdSup_H_NS,M_AdSup_H_Tot,M_PubAS_H_0,M_PubAS_H_1_19,M_PubAS_H_20_29,M_PubAS_H_30_34,M_PubAS_H_35_39,M_PubAS_H_40_44,M_PubAS_H_45_49,M_PubAS_H_50ov,M_PubAS_H_NS,M_PubAS_H_Tot,M_EdTrn_H_0,M_EdTrn_H_1_19,M_EdTrn_H_20_29,M_EdTrn_H_30_34,M_EdTrn_H_35_39,M_EdTrn_H_40_44,M_EdTrn_H_45_49,M_EdTrn_H_50ov,M_EdTrn_H_NS,M_EdTrn_H_Tot,M_HltHC_SA_H_0,M_HltHC_SA_H_1_19,M_HltHC_SA_H_20_29,M_HltHC_SA_H_30_34,M_HltHC_SA_H_35_39,M_HltHC_SA_H_40_44,M_HltHC_SA_H_45_49,M_HltHC_SA_H_50ov,M_HltHC_SA_H_NS,M_HltHC_SA_H_Tot,M_ArtsR_H_0,M_ArtsR_H_1_19,M_ArtsR_H_20_29,M_ArtsR_H_30_34,M_ArtsR_H_35_39,M_ArtsR_H_40_44,M_ArtsR_H_45_49,M_ArtsR_H_50ov,M_ArtsR_H_NS,M_ArtsR_H_Tot,M_OthSvs_H_0,M_OthSvs_H_1_19,M_OthSvs_H_20_29,M_OthSvs_H_30_34,M_OthSvs_H_35_39,M_OthSvs_H_40_44,M_OthSvs_H_45_49,M_OthSvs_H_50ov,M_OthSvs_H_NS,M_OthSvs_H_Tot,M_IDNS_H_0,M_IDNS_H_1_19,M_IDNS_H_20_29,M_IDNS_H_30_34,M_IDNS_H_35_39,M_IDNS_H_40_44,M_IDNS_H_45_49,M_IDNS_H_50ov,M_IDNS_H_NS,M_IDNS_H_Tot
2GMEL,264,849,802,590,1907,2132,587,1635,116,8880,105,97,84,81,334,720,305,1052,38,2822,2343,5303,5211,4261,35511,34290,10764,17147,817,115645,395,573,487,515,4935,5743,1596,2970,134,17340,3761,7701,8562,7315,28122,54913,14444,31584,2335,158746,992,2410,2252,1797,13113,14640,4333,7360,278,47183,4281,21528,13262,7092,21564,18898,5324,9697,982,102630,6800,24111,11683,4518,8973,6911,1975,4732,931,70637,3728,6878,8916,5031,18042,23238,7343,14357,1372,88900,885,1652,1304,959,7239,8482,1869,3757,190,26335,1219,1675,1880,1767,13806,24466,4965,11235,368,61391,581,1323,1230,924,4153,5329,1715,4160,165,19590,1973,7195,6072,5015,27194,46755,10219,24075,721,129213,1300,4913,5170,2574,8224,7527,1774,3521,428,35443,3188,3071,2650,2444,20633,21060,5812,7909,523,67290,2011,9703,4799,3407,14460,13010,4470,9056,355,61279,2580,7120,7779,7898,16828,16832,4271,8737,566,72616,2963,3943,1981,1412,4165,4363,1015,2294,190,22321,1893,4089,3934,2380,10393,10829,2951,5431,470,42366,1926,5153,4542,3007,15784,16526,3534,7551,11182,69206
2RVIC,914,2569,2241,1807,3821,6483,2313,12917,716,33784,279,108,101,78,356,752,380,1585,66,3706,1185,1713,1475,1431,8934,10984,4173,5439,391,35723,300,212,242,250,1866,2260,710,1308,80,7226,1272,2054,1853,1957,8154,16616,4404,9439,660,46402,283,631,432,417,2276,2883,1027,1751,92,9788,1141,6308,3177,2010,5564,4669,1444,2613,330,27260,1888,7235,2685,1166,2371,1837,508,1788,313,19798,847,1394,1501,929,2522,3773,1471,4659,323,17425,136,282,175,135,749,584,189,281,20,2550,99,173,173,161,1139,1362,399,739,24,4269,104,233,197,156,549,719,250,730,31,2965,313,1226,998,725,2484,3519,995,2329,100,12683,309,1362,920,568,1380,1278,326,617,94,6864,1275,940,718,731,5676,7162,1583,2318,156,20557,555,1820,1187,1073,4098,3184,1240,2426,113,15698,1054,2092,2519,2687,4695,4667,1157,2226,191,21284,436,873,423,332,905,778,176,501,63,4490,421,1178,813,620,2863,3604,941,2049,168,12666,618,1326,863,663,2619,3247,786,1912,2975,15017
29499,148,252,237,148,250,415,113,549,77,2182,45,7,18,8,11,42,13,111,4,273,99,203,163,127,390,526,153,309,21,2004,54,57,52,55,173,247,70,154,10,869,2000,3418,3702,3689,8371,17890,4081,7373,897,51416,46,94,74,72,247,360,95,187,19,1197,156,312,194,128,302,410,93,202,31,1826,143,247,144,67,80,96,27,66,17,886,454,1185,1122,604,701,1151,328,1174,153,6871,58,186,141,99,302,373,74,211,15,1462,46,101,79,53,233,337,73,145,5,1094,45,100,84,44,72,122,27,84,8,593,185,770,483,312,687,1424,273,699,41,4870,583,1906,1403,894,858,1063,217,466,131,7518,185,266,182,131,396,525,138,222,30,2074,214,774,235,109,178,165,32,61,15,1784,182,867,567,326,425,393,103,236,32,3123,246,321,108,64,116,133,22,93,6,1110,211,456,341,208,375,585,118,362,35,2690,305,509,370,269,679,906,166,476,767,4436
29799,0,0,0,0,0,0,0,0,0,0,10,0,0,0,6,8,5,36,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,13,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,6,0,0,3,6,9,0,40,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,5,0,13
