POW_GCCSA_CODE_2021,M1_Train_Mng,M1_Train_Pro,M1_Train_TecTW,M1_Train_CoPSW,M1_Train_ClAW,M1_Train_SWks,M1_Train_MaOpDv,M1_Train_Lab,M1_Train_IDNS,M1_Train_Tot,M1_Bus_Mng,M1_Bus_Pro,M1_Bus_TecTW,M1_Bus_CoPSW,M1_Bus_ClAW,M1_Bus_SWks,M1_Bus_MaOpDv,M1_Bus_Lab,M1_Bus_IDNS,M1_Bus_Tot,M1_Ferry_Mng,M1_Ferry_Pro,M1_Ferry_TecTW,M1_Ferry_CoPSW,M1_Ferry_ClAW,M1_Ferry_SWks,M1_Ferry_MaOpDv,M1_Ferry_Lab,M1_Ferry_IDNS,M1_Ferry_Tot,M1_Tram_or_LR_Mng,M1_Tram_or_LR_Pro,M1_Tram_or_LR_TecTW,M1_Tram_or_LR_CoPSW,M1_Tram_or_LR_ClAW,M1_Tram_or_LR_SWks,M1_Tram_or_LR_MaOpDv,M1_Tram_or_LR_Lab,M1_Tram_or_LR_IDNS,M1_Tram_or_LR_Tot,M1_Taxi_or_RSS_Mng,M1_Taxi_or_RSS_Pro,M1_Taxi_or_RSS_TecTW,M1_Taxi_or_RSS_CoPSW,M1_Taxi_or_RSS_ClAW,M1_Taxi_or_RSS_SWks,M1_Taxi_or_RSS_MaOpDv,M1_Taxi_or_RSS_Lab,M1_Taxi_or_RSS_IDNS,M1_Taxi_or_RSS_Tot,M1_CarAsDriv_Mng,M1_CarAsDriv_Pro,M1_CarAsDriv_TecTW,M1_CarAsDriv_CoPSW,M1_CarAsDriv_ClAW,M1_CarAsDriv_SWks,M1_CarAsDriv_MaOpDv,M1_CarAsDriv_Lab,M1_CarAsDriv_IDNS,M1_CarAsDriv_Tot,M1_CarAsPas_Mng,M1_CarAsPas_Pro,M1_CarAsPas_TecTW,M1_CarAsPas_CoPSW,M1_CarAsPas_ClAW,M1_CarAsPas_SWks,M1_CarAsPas_MaOpDv,M1_CarAsPas_Lab,M1_CarAsPas_IDNS,M1_CarAsPas_Tot,M1_Truck_Mng,M1_Truck_Pro,M1_Truck_TecTW,M1_Truck_CoPSW,M1_Truck_ClAW,M1_Truck_SWks,M1_Truck_MaOpDv,M1_Truck_Lab,M1_Truck_IDNS,M1_Truck_Tot,M1_MBikeScoot_Mng,M1_MBikeScoot_Pro,M1_MBikeScoot_TecTW,M1_MBikeScoot_CoPSW,M1_MBikeScoot_ClAW,M1_MBikeScoot_SWks,M1_MBikeScoot_MaOpDv,M1_MBikeScoot_Lab,M1_MBikeScoot_IDNS,M1_MBikeScoot_Tot,M1_Bicycle_Mng,M1_Bicycle_Pro,M1_Bicycle_TecTW,M1_Bicycle_CoPSW,M1_Bicycle_ClAW,M1_Bicycle_SWks,M1_Bicycle_MaOpDv,M1_Bicycle_Lab,M1_Bicycle_IDNS,M1_Bicycle_Tot,M1_Oth_Mng,M1_Oth_Pro,M1_Oth_TecTW,M1_Oth_CoPSW,M1_Oth_ClAW,M1_Oth_SWks,M1_Oth_MaOpDv,M1_Oth_Lab,M1_Oth_IDNS,M1_Oth_Tot,M1_WlkOnly_Mng,M1_WlkOnly_Pro,M1_WlkOnly_TecTW,M1_WlkOnly_CoPSW,M1_WlkOnly_ClAW,M1_WlkOnly_SWks,M1_WlkOnly_MaOpDv,M1_WlkOnly_Lab,M1_WlkOnly_IDNS,M1_WlkOnly_Tot,M1_Tot_M1_Mng,M1_Tot_M1_Pro,M1_Tot_M1_TecTW,M1_Tot_M1_CoPSW,M1_Tot_M1_ClAW,M1_Tot_M1_SWks,M1_Tot_M1_MaOpDv,M1_Tot_M1_Lab,M1_Tot_M1_IDNS,M1_Tot_M1_Tot,M2_TrnBus_Mng,M2_TrnBus_Pro,M2_TrnBus_TecTW,M2_TrnBus_CoPSW,M2_TrnBus_ClAW,M2_TrnBus_SWks,M2_TrnBus_MaOpDv,M2_TrnBus_Lab,M2_TrnBus_IDNS,M2_TrnBus_Tot,M2_TrnFer_Mng,M2_TrnFer_Pro,M2_TrnFer_TecTW,M2_TrnFer_CoPSW,M2_TrnFer_ClAW,M2_TrnFer_SWks,M2_TrnFer_MaOpDv,M2_TrnFer_Lab,M2_TrnFer_IDNS,M2_TrnFer_Tot,M2_TrnTrm_or_LR_Mng,M2_TrnTrm_or_LR_Pro,M2_TrnTrm_or_LR_TecTW,M2_TrnTrm_or_LR_CoPSW,M2_TrnTrm_or_LR_ClAW,M2_TrnTrm_or_LR_SWks,M2_TrnTrm_or_LR_MaOpDv,M2_TrnTrm_or_LR_Lab,M2_TrnTrm_or_LR_IDNS,M2_TrnTrm_or_LR_Tot,M2_TrnCarAsDriv_Mng,M2_TrnCarAsDriv_Pro,M2_TrnCarAsDriv_TecTW,M2_TrnCarAsDriv_CoPSW,M2_TrnCarAsDriv_ClAW,M2_TrnCarAsDriv_SWks,M2_TrnCarAsDriv_MaOpDv,M2_TrnCarAsDriv_Lab,M2_TrnCarAsDriv_IDNS,M2_TrnCarAsDriv_Tot,M2_TrnCarAsPa_Mng,M2_TrnCarAsPa_Pro,M2_TrnCarAsPa_TecTW,M2_TrnCarAsPa_CoPSW,M2_TrnCarAsPa_ClAW,M2_TrnCarAsPa_SWks,M2_TrnCarAsPa_MaOpDv,M2_TrnCarAsPa_Lab,M2_TrnCarAsPa_IDNS,M2_TrnCarAsPa_Tot,M2_TrnOth_Mng,M2_TrnOth_Pro,M2_TrnOth_TecTW,M2_TrnOth_CoPSW,M2_TrnOth_ClAW,M2_TrnOth_SWks,M2_TrnOth_MaOpDv,M2_TrnOth_Lab,M2_TrnOth_IDNS,M2_TrnOth_Tot,M2_Trn_and_Tot_Mng,M2_Trn_and_Tot_Pro,M2_Trn_and_Tot_TecTW,M2_Trn_and_Tot_CoPSW,M2_Trn_and_Tot_ClAW,M2_Trn_and_Tot_SWks,M2_Trn_and_Tot_MaOpDv,M2_Trn_and_Tot_Lab,M2_Trn_and_Tot_IDNS,M2_Trn_and_Tot_Tot
2GMEL,4413,13215,5695,6651,8306,3845,1370,5712,1218,50425,663,1813,1444,2697,1231,2681,934,2954,375,14795,47,50,71,29,22,33,34,42,91,426,1825,5567,1858,3465,2641,2337,268,2021,316,20308,421,799,391,747,383,491,989,822,106,5149,141168,199839,181057,128951,118804,87829,106381,103517,19364,1086917,4398,6233,8367,9444,5603,16641,4984,17275,1496,74442,952,65,2057,20,538,184,3838,1369,230,9259,657,971,990,551,430,293,900,662,127,5580,2236,6812,1929,1967,1200,1074,984,1376,244,17828,1140,2050,1202,906,1416,650,838,762,493,9456,5765,11061,4651,8881,4351,6227,982,4769,731,47423,163694,248474,209722,164304,144938,122286,122502,141287,24797,1342011,498,1932,1134,1776,1259,1151,633,2018,261,10650,0,3,4,0,0,0,0,3,0,8,416,1772,601,921,856,524,96,677,71,5928,802,2289,1008,870,1409,430,293,518,157,7783,117,462,198,287,329,215,64,276,27,1975,183,526,217,220,245,122,141,201,33,1882,2019,6977,3159,4080,4100,2434,1231,3688,542,28225
2RVIC,38,147,90,108,64,55,20,121,20,668,102,197,251,482,174,564,165,691,65,2685,15,9,30,10,4,11,17,25,16,143,0,5,6,0,0,0,0,9,0,29,46,90,77,141,53,136,102,319,31,1005,50800,72853,65935,56440,41556,33429,30912,49817,5633,407363,1790,2082,3853,3579,1457,6979,1148,8762,559,30209,499,30,723,13,66,69,1518,487,47,3443,598,154,287,132,70,84,149,308,29,1817,358,1001,608,443,258,294,259,746,66,4028,1006,246,334,272,209,123,264,320,108,2876,5826,3881,2472,3178,1712,2428,975,3299,375,24149,61084,80696,74659,64802,45614,44176,35522,64901,6957,478414,11,31,23,30,10,16,3,38,4,170,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,7,0,17,20,43,12,23,12,10,0,16,0,148,4,3,11,12,4,16,0,19,0,76,9,27,8,10,4,8,6,5,5,77,44,112,56,82,29,47,18,92,12,496
29499,25,100,265,108,54,16,31,237,32,865,13,20,30,62,8,24,28,107,5,290,3,0,10,0,0,0,7,9,11,35,18,46,30,44,15,20,3,48,6,215,12,19,15,37,0,3,194,21,5,306,5121,5229,36661,9303,2038,2035,6497,15158,1710,83744,163,131,2302,233,70,126,169,1812,136,5139,267,15,1123,0,91,31,1323,819,55,3725,8,23,50,17,11,3,104,43,12,269,18,56,59,46,15,12,115,73,14,413,116,112,371,58,103,34,183,179,82,1224,102,98,61,135,57,40,92,203,24,805,5855,5839,40970,10040,2455,2348,8741,18706,2086,97034,10,20,30,49,5,11,6,61,10,204,0,0,0,0,0,0,0,0,0,0,0,15,14,20,0,8,6,28,9,88,3,31,86,20,7,9,8,36,6,200,0,6,14,0,0,3,0,17,0,55,0,9,3,10,7,0,3,4,0,35,9,76,153,102,21,30,25,152,20,584
29799,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,0,0,5,16,0,37,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,20,18,0,4,0,6,21,4,86,0,3,0,6,0,0,0,0,0,12,7,28,34,13,4,0,15,39,5,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
