POW_GCCSA_CODE_2021,AgFF_Mng,AgFF_Pro,AgFF_Tech_trds_wks,AgFF_Com_persl_svce_wks,AgFF_Cler_admin_wks,AgFF_Sales_wks,AgFF_Mach_ops_dvrs,AgFF_Labourers,AgFF_IDNS,AgFF_Tot,Min_Mng,Min_Pro,Min_Tech_trds_wks,Min_Com_persl_svce_wks,Min_Cler_admin_wks,Min_Sales_wks,Min_Mach_ops_dvrs,Min_Labourers,Min_IDNS,Min_Tot,Mnf_Mng,Mnf_Pro,Mnf_Tech_trds_wks,Mnf_Com_persl_svce_wks,Mnf_Cler_admin_wks,Mnf_Sales_wks,Mnf_Mach_ops_dvrs,Mnf_Labourers,Mnf_IDNS,Mnf_Tot,EGWWS_Mng,EGWWS_Pro,EGWWS_Tech_trds_wks,EGWWS_Com_persl_svce_wks,EGWWS_Cler_admin_wks,EGWWS_Sales_wks,EGWWS_Mach_ops_dvrs,EGWWS_Labourers,EGWWS_IDNS,EGWWS_Tot,Const_Mng,Const_Pro,Const_Tech_trds_wks,Const_Com_persl_svce_wks,Const_Cler_admin_wks,Const_Sales_wks,Const_Mach_ops_dvrs,Const_Labourers,Const_IDNS,Const_Tot,WST_Mng,WST_Pro,WST_Tech_trds_wks,WST_Com_persl_svce_wks,WST_Cler_admin_wks,WST_Sales_wks,WST_Mach_ops_dvrs,WST_Labourers,WST_IDNS,WST_Tot,RetT_Mng,RetT_Pro,RetT_Tech_trds_wks,RetT_Com_persl_svce_wks,RetT_Cler_admin_wks,RetT_Sales_wks,RetT_Mach_ops_dvrs,RetT_Labourers,RetT_IDNS,RetT_Tot,AcFd_Mng,AcFd_Pro,AcFd_Tech_trds_wks,AcFd_Com_persl_svce_wks,AcFd_Cler_admin_wks,AcFd_Sales_wks,AcFd_Mach_ops_dvrs,AcFd_Labourers,AcFd_IDNS,AcFd_Tot,TPW_Mng,TPW_Pro,TPW_Tech_trds_wks,TPW_Com_persl_svce_wks,TPW_Cler_admin_wks,TPW_Sales_wks,TPW_Mach_ops_dvrs,TPW_Labourers,TPW_IDNS,TPW_Tot,IMT_Mng,IMT_Pro,IMT_Tech_trds_wks,IMT_Com_persl_svce_wks,IMT_Cler_admin_wks,IMT_Sales_wks,IMT_Mach_ops_dvrs,IMT_Labourers,IMT_IDNS,IMT_Tot,FinIns_Mng,FinIns_Pro,FinIns_Tech_trds_wks,FinIns_Com_persl_svce_wks,FinIns_Cler_admin_wks,FinIns_Sales_wks,FinIns_Mach_ops_dvrs,FinIns_Labourers,FinIns_IDNS,FinIns_Tot,RHRE_Mng,RHRE_Pro,RHRE_Tech_trds_wks,RHRE_Com_persl_svce_wks,RHRE_Cler_admin_wks,RHRE_Sales_wks,RHRE_Mach_ops_dvrs,RHRE_Labourers,RHRE_IDNS,RHRE_Tot,ProSTS_Mng,ProSTS_Pro,ProSTS_Tech_trds_wks,ProSTS_Com_persl_svce_wks,ProSTS_Cler_admin_wks,ProSTS_Sales_wks,ProSTS_Mach_ops_dvrs,ProSTS_Labourers,ProSTS_IDNS,ProSTS_Tot,AdSup_Mng,AdSup_Pro,AdSup_Tech_trds_wks,AdSup_Com_persl_svce_wks,AdSup_Cler_admin_wks,AdSup_Sales_wks,AdSup_Mach_ops_dvrs,AdSup_Labourers,AdSup_IDNS,AdSup_Tot,PubAS_Mng,PubAS_Pro,PubAS_Tech_trds_wks,PubAS_Com_persl_svce_wks,PubAS_Cler_admin_wks,PubAS_Sales_wks,PubAS_Mach_ops_dvrs,PubAS_Labourers,PubAS_IDNS,PubAS_Tot,EdTrn_Mng,EdTrn_Pro,EdTrn_Tech_trds_wks,EdTrn_Com_persl_svce_wks,EdTrn_Cler_admin_wks,EdTrn_Sales_wks,EdTrn_Mach_ops_dvrs,EdTrn_Labourers,EdTrn_IDNS,EdTrn_Tot,HltHC_SA_Mng,HltHC_SA_Pro,HltHC_SA_Tech_trds_wks,HltHC_SA_Com_persl_svce_wks,HltHC_SA_Cler_admin_wks,HltHC_SA_Sales_wks,HltHC_SA_Mach_ops_dvrs,HltHC_SA_Labourers,HltHC_SA_IDNS,HltHC_SA_Tot,ArtsR_Mng,ArtsR_Pro,ArtsR_Tech_trds_wks,ArtsR_Com_persl_svce_wks,ArtsR_Cler_admin_wks,ArtsR_Sales_wks,ArtsR_Mach_ops_dvrs,ArtsR_Labourers,ArtsR_IDNS,ArtsR_Tot,OthSvs_Mng,OthSvs_Pro,OthSvs_Tech_trds_wks,OthSvs_Com_persl_svce_wks,OthSvs_Cler_admin_wks,OthSvs_Sales_wks,OthSvs_Mach_ops_dvrs,OthSvs_Labourers,OthSvs_IDNS,OthSvs_Tot,IDNS_Mng,IDNS_Pro,IDNS_Tech_trds_wks,IDNS_Com_persl_svce_wks,IDNS_Cler_admin_wks,IDNS_Sales_wks,IDNS_Mach_ops_dvrs,IDNS_Labourers,IDNS_IDNS,IDNS_Tot
2GMEL,5107,996,1458,77,1206,515,1011,4209,208,14793,836,1041,480,8,360,31,775,130,70,3732,32480,21141,34155,2039,16957,8808,22893,28560,2170,169209,5168,6813,2689,58,4610,1125,3216,1382,532,25584,29015,13061,84933,394,21089,2974,11171,24988,2809,190432,18549,12382,4728,262,12925,10189,10480,3705,826,74053,38702,17391,11403,1857,15055,113003,11987,16702,1673,227777,24096,2274,22387,41033,4202,20133,2180,29344,987,146638,13285,9906,4698,2534,23960,4514,51110,5035,1852,116887,8257,19543,4726,303,5495,3038,514,519,567,42953,19579,47920,1240,743,40351,3433,193,231,2037,115725,6403,5424,1223,422,6743,15880,953,1019,649,38715,35149,140498,16793,773,31690,3184,800,1368,2220,232476,9721,11649,5355,4537,9924,1442,3309,23977,909,70820,19875,35753,6204,32016,30964,516,1029,5129,2432,133922,18342,129046,5119,38040,18552,483,355,2048,1287,213266,19370,138514,10709,92803,43973,1798,2007,9171,2225,320562,8410,10670,3397,11845,4120,1767,302,2131,760,43390,9065,9483,31824,13610,8966,1606,1120,5448,813,81925,15991,16738,12059,4332,13477,6229,12261,11251,21423,113766
2RVIC,28945,1193,2403,141,1825,499,2322,11195,486,49017,471,491,1055,31,235,17,1612,309,58,4274,7098,3231,11631,835,3667,2544,6350,13484,632,49470,1250,1264,2308,33,1652,147,1738,836,174,9396,6560,1396,26126,152,5262,746,5313,7736,610,53903,2369,1163,1483,41,1792,3190,2151,1337,114,13619,9997,2421,4323,632,3080,36660,2801,6609,296,66812,8344,259,5992,12187,1412,6346,800,11669,284,47289,2361,567,1075,476,4327,1260,11430,992,214,22702,689,1550,786,36,839,601,61,125,51,4729,1467,3519,121,81,5154,309,30,55,187,10909,649,505,311,99,1335,3214,143,245,106,6610,2319,12880,3769,125,6373,263,113,322,207,26376,1248,1602,1787,1180,1593,172,431,7045,144,15207,4975,8307,2472,11829,8723,129,1262,2174,621,40489,4185,34102,1509,12833,5013,103,188,1159,291,59375,5640,43071,3469,38013,13854,503,604,5766,689,111614,1528,1924,1252,2124,720,391,93,1110,154,9298,1743,1483,11672,3648,2222,409,352,2170,147,23842,2704,1788,3340,1235,2181,1346,2330,3341,6240,24505
29499,995,125,559,7,64,51,213,837,69,2922,29,56,67,0,9,0,102,25,8,298,400,313,900,24,122,441,151,334,45,2727,96,88,281,0,128,47,211,153,32,1029,3733,523,34916,46,896,163,2670,9903,750,53597,341,396,213,8,123,574,85,83,20,1844,747,428,282,38,215,1578,127,195,63,3674,310,93,179,313,75,193,260,250,36,1705,466,260,151,110,847,103,5443,398,109,7884,210,684,762,9,111,76,12,45,35,1949,314,711,56,8,736,87,7,7,99,2027,128,193,84,9,105,335,43,81,46,1024,948,4430,845,36,1181,330,23,165,136,8098,434,683,3027,647,452,129,182,7939,108,13600,262,561,326,1234,491,22,49,643,100,3695,269,3016,100,1129,169,19,13,61,62,4840,416,3139,299,8627,478,59,27,251,126,13424,172,781,139,535,91,34,11,82,28,1863,213,273,2157,883,111,51,61,523,50,4323,724,821,1105,414,490,411,473,839,1672,6946
29799,0,0,0,0,0,0,0,0,0,0,3,5,26,0,0,0,11,8,6,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,4,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,24,11,13,0,0,4,26,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,7,0,16
