POW_GCCSA_CODE_2021,NS_2000_2999_Mng,NS_2000_2999_Pro,NS_2000_2999_TecTW,NS_2000_2999_CoPSW,NS_2000_2999_ClAW,NS_2000_2999_SWks,NS_2000_2999_MaOpDv,NS_2000_2999_Lab,NS_2000_2999_IDNS,NS_2000_2999_Tot,NS_3000_3499_Mng,NS_3000_3499_Pro,NS_3000_3499_TecTW,NS_3000_3499_CoPSW,NS_3000_3499_ClAW,NS_3000_3499_SWks,NS_3000_3499_MaOpDv,NS_3000_3499_Lab,NS_3000_3499_IDNS,NS_3000_3499_Tot,NS_3500mo_Mng,NS_3500mo_Pro,NS_3500mo_TecTW,NS_3500mo_CoPSW,NS_3500mo_ClAW,NS_3500mo_SWks,NS_3500mo_MaOpDv,NS_3500mo_Lab,NS_3500mo_IDNS,NS_3500mo_Tot,NS_PINS_Mng,NS_PINS_Pro,NS_PINS_TecTW,NS_PINS_CoPSW,NS_PINS_ClAW,NS_PINS_SWks,NS_PINS_MaOpDv,NS_PINS_Lab,NS_PINS_IDNS,NS_PINS_Tot,NS_Tot_Mng,NS_Tot_Pro,NS_Tot_TecTW,NS_Tot_CoPSW,NS_Tot_ClAW,NS_Tot_SWks,NS_Tot_MaOpDv,NS_Tot_Lab,NS_Tot_IDNS,NS_Tot_Tot,Tot_NNI_Mng,Tot_NNI_Pro,Tot_NNI_TecTW,Tot_NNI_CoPSW,Tot_NNI_ClAW,Tot_NNI_SWks,Tot_NNI_MaOpDv,Tot_NNI_Lab,Tot_NNI_IDNS,Tot_NNI_Tot,Tot_1_149_Mng,Tot_1_149_Pro,Tot_1_149_TecTW,Tot_1_149_CoPSW,Tot_1_149_ClAW,Tot_1_149_SWks,Tot_1_149_MaOpDv,Tot_1_149_Lab,Tot_1_149_IDNS,Tot_1_149_Tot,Tot_150_299_Mng,Tot_150_299_Pro,Tot_150_299_TecTW,Tot_150_299_CoPSW,Tot_150_299_ClAW,Tot_150_299_SWks,Tot_150_299_MaOpDv,Tot_150_299_Lab,Tot_150_299_IDNS,Tot_150_299_Tot,Tot_300_399_Mng,Tot_300_399_Pro,Tot_300_399_TecTW,Tot_300_399_CoPSW,Tot_300_399_ClAW,Tot_300_399_SWks,Tot_300_399_MaOpDv,Tot_300_399_Lab,Tot_300_399_IDNS,Tot_300_399_Tot,Tot_400_499_Mng,Tot_400_499_Pro,Tot_400_499_TecTW,Tot_400_499_CoPSW,Tot_400_499_ClAW,Tot_400_499_SWks,Tot_400_499_MaOpDv,Tot_400_499_Lab,Tot_400_499_IDNS,Tot_400_499_Tot,Tot_500_649_Mng,Tot_500_649_Pro,Tot_500_649_TecTW,Tot_500_649_CoPSW,Tot_500_649_ClAW,Tot_500_649_SWks,Tot_500_649_MaOpDv,Tot_500_649_Lab,Tot_500_649_IDNS,Tot_500_649_Tot,Tot_650_799_Mng,Tot_650_799_Pro,Tot_650_799_TecTW,Tot_650_799_CoPSW,Tot_650_799_ClAW,Tot_650_799_SWks,Tot_650_799_MaOpDv,Tot_650_799_Lab,Tot_650_799_IDNS,Tot_650_799_Tot,Tot_800_999_Mng,Tot_800_999_Pro,Tot_800_999_TecTW,Tot_800_999_CoPSW,Tot_800_999_ClAW,Tot_800_999_SWks,Tot_800_999_MaOpDv,Tot_800_999_Lab,Tot_800_999_IDNS,Tot_800_999_Tot,Tot_1000_1249_Mng,Tot_1000_1249_Pro,Tot_1000_1249_TecTW,Tot_1000_1249_CoPSW,Tot_1000_1249_ClAW,Tot_1000_1249_SWks,Tot_1000_1249_MaOpDv,Tot_1000_1249_Lab,Tot_1000_1249_IDNS,Tot_1000_1249_Tot,Tot_1250_1499_Mng,Tot_1250_1499_Pro,Tot_1250_1499_TecTW,Tot_1250_1499_CoPSW,Tot_1250_1499_ClAW,Tot_1250_1499_SWks,Tot_1250_1499_MaOpDv,Tot_1250_1499_Lab,Tot_1250_1499_IDNS,Tot_1250_1499_Tot,Tot_1500_1749_Mng,Tot_1500_1749_Pro,Tot_1500_1749_TecTW,Tot_1500_1749_CoPSW,Tot_1500_1749_ClAW,Tot_1500_1749_SWks,Tot_1500_1749_MaOpDv,Tot_1500_1749_Lab,Tot_1500_1749_IDNS,Tot_1500_1749_Tot,Tot_1750_1999_Mng,Tot_1750_1999_Pro,Tot_1750_1999_TecTW,Tot_1750_1999_CoPSW,Tot_1750_1999_ClAW,Tot_1750_1999_SWks,Tot_1750_1999_MaOpDv,Tot_1750_1999_Lab,Tot_1750_1999_IDNS,Tot_1750_1999_Tot,Tot_2000_2999_Mng,Tot_2000_2999_Pro,Tot_2000_2999_TecTW,Tot_2000_2999_CoPSW,Tot_2000_2999_ClAW,Tot_2000_2999_SWks,Tot_2000_2999_MaOpDv,Tot_2000_2999_Lab,Tot_2000_2999_IDNS,Tot_2000_2999_Tot,Tot_3000_3499_Mng,Tot_3000_3499_Pro,Tot_3000_3499_TecTW,Tot_3000_3499_CoPSW,Tot_3000_3499_ClAW,Tot_3000_3499_SWks,Tot_3000_3499_MaOpDv,Tot_3000_3499_Lab,Tot_3000_3499_IDNS,Tot_3000_3499_Tot,Tot_3500mo_Mng,Tot_3500mo_Pro,Tot_3500mo_TecTW,Tot_3500mo_CoPSW,Tot_3500mo_ClAW,Tot_3500mo_SWks,Tot_3500mo_MaOpDv,Tot_3500mo_Lab,Tot_3500mo_IDNS,Tot_3500mo_Tot
2GMEL,206,359,91,38,52,33,32,42,582,1438,66,88,20,0,15,15,4,10,164,384,128,142,27,12,18,17,14,20,343,717,165,417,387,230,213,121,176,171,4317,6198,1476,3069,2834,1958,1739,1023,1794,2262,16116,32273,2254,1985,1356,1522,1665,1713,600,1503,1515,14115,1312,4555,1956,11306,3268,21697,1304,12723,1136,59258,2265,6532,3655,13884,6201,20260,2417,11190,1202,67601,3480,7387,5852,14954,8298,15611,3264,10356,1594,70795,4405,8669,9597,17502,10986,15859,4500,12415,1726,85648,7988,15379,17561,28278,19579,20712,8099,18727,2483,138805,11603,21646,24366,33671,27081,20180,14673,23896,3409,180521,19486,35812,37020,36918,42993,20749,28888,30171,5111,257145,30209,65798,45910,31998,59581,18509,29827,23004,5926,310763,29038,79930,34832,18473,45447,12049,16952,11277,4194,252200,32077,89798,28159,13604,33432,9450,10905,7270,3595,228294,28661,75663,18436,8231,19131,5873,6200,4652,2470,169317,77170,143940,25240,12552,23484,9396,6672,5526,3422,307402,27546,31531,4414,1502,4689,2463,1213,1049,867,75283,57611,57916,4225,1364,6535,4484,931,998,1818,135879
2RVIC,36,41,24,9,4,7,11,17,107,255,6,10,3,0,0,0,3,3,26,52,22,13,8,9,0,0,4,9,106,175,102,65,108,60,28,46,61,119,1110,1708,709,443,759,570,340,325,417,927,5186,9663,1771,322,411,390,455,454,162,682,472,5130,963,710,821,3696,829,8401,374,5942,462,22196,1801,1257,1435,3603,1553,5717,599,4811,437,21216,2466,1665,2016,4264,2312,4191,804,4458,513,22673,3042,2144,3977,5695,3355,4762,1085,5465,624,30159,4892,4057,6999,10266,6265,7267,2076,8528,826,51172,6436,5983,9143,12797,8513,7503,3625,10841,961,65797,9128,9297,13486,13304,11778,7237,7175,13520,1329,86242,12067,15888,15870,11319,13664,5057,8529,10602,1401,94391,9646,17572,10336,6427,8719,2578,5498,4892,919,66590,9397,19201,7676,4843,5896,1781,3827,2848,716,56187,7209,14373,4581,3124,2987,1039,2455,1732,557,38060,14447,20631,6408,4417,3176,1313,2635,1800,588,55413,3743,3006,1242,468,543,331,396,253,117,10093,6186,5942,1423,452,687,616,408,351,288,16350
29499,15,12,18,0,3,0,3,0,32,88,0,0,4,0,0,0,0,0,6,18,8,0,0,0,0,0,0,0,20,32,10,23,38,15,9,13,10,23,301,444,139,164,319,168,109,81,126,273,1227,2602,171,157,254,108,149,67,87,214,159,1362,106,608,320,712,201,219,143,692,89,3096,188,721,681,888,291,280,315,1163,106,4632,238,730,1035,1043,389,304,443,1438,163,5784,274,677,1783,1244,408,351,567,1709,180,7203,484,1051,3625,2008,612,459,986,2534,234,11993,640,1112,4488,2053,746,428,1183,2564,291,13506,826,1409,5927,1794,837,503,1464,3040,391,16185,1156,1805,7108,1706,1054,541,1634,3025,399,18435,1132,1599,6136,912,700,436,1021,2011,308,14253,1266,1674,5432,594,541,365,790,1527,283,12470,979,1420,3533,336,291,212,522,1021,182,8507,1864,2472,4280,409,370,278,641,1192,195,11703,554,695,668,55,78,77,133,225,45,2539,1150,1298,503,81,126,116,118,178,102,3674
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,4,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,6,0,3,0,0,0,10,0,14,5,9,15,4,0,0,3,19,4,60,0,5,5,0,0,0,5,0,0,19,3,11,34,0,0,0,7,5,4,64
