SA4_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
201,69115,73740,142855,28081,15685,43769,9426,19810,29238,2513,3324,5837,2061,1665,3730,42090,40489,82575,22724,28857,51581,4.9,4.1,4.5,60.9,54.9,57.8,57.9,52.6,55.2,2841,3479,6322,1419,2932,4345,7675,11552,19233,5230,7815,13044,17541,9699,27240,682,1120,1799,826,1182,2002,19046,11999,31042,67317,70736,138048,11232,12019,23245,44022,45805,89828,30632,33049,63685
202,66314,71381,137698,26826,15220,42046,9310,19610,28925,2387,3273,5656,1779,1459,3242,40307,39558,79864,21838,27464,49300,4.4,3.7,4.1,60.8,55.4,58,58.1,53.4,55.6,2583,3423,6009,1424,3152,4578,7582,11603,19189,5218,7551,12768,16772,9012,25786,606,1094,1695,843,1193,2043,18222,11303,29527,65247,68635,133876,9966,10995,20953,42882,44547,87430,28355,31276,59633
203,129587,139095,268681,56071,31235,87307,18864,39876,58741,4786,6736,11518,3728,3076,6807,83455,80919,164369,39491,51319,90810,4.5,3.8,4.1,64.4,58.2,61.2,61.5,56,58.6,6892,7339,14235,2608,5798,8405,18739,26145,44883,11783,16425,28206,31692,17128,48822,1025,1706,2726,1585,2372,3954,34295,21208,55505,125720,132436,258154,23279,25215,48498,77712,81928,159641,63104,67927,131031
204,75047,78234,153276,31263,17553,48813,9668,20458,30124,2996,3816,6816,1704,1337,3041,45632,43164,88794,24190,29833,54021,3.7,3.1,3.4,60.8,55.2,57.9,58.5,53.5,55.9,1767,2515,4284,1207,2833,4036,6265,10679,16944,5829,9197,15019,21502,11061,32563,684,1307,1989,1059,1457,2512,23250,13820,37069,72238,74618,146851,11363,11830,23198,48026,49206,97230,31621,33307,64936
205,121572,128245,249821,45105,23936,69043,14898,32914,47813,4737,5837,10572,3623,2633,6254,68365,65322,133680,44434,53875,98307,5.3,4,4.7,56.2,50.9,53.5,53.3,48.9,51,2637,3680,6317,1663,3902,5569,9353,15860,25215,8555,13949,22507,36163,18090,54250,1107,2156,3260,1640,2262,3899,38904,22505,61408,116299,120614,236917,18135,19557,37693,76662,78472,155138,51035,55166,106203
206,266006,284057,550062,129342,104525,233869,45306,68945,114255,9836,12946,22779,10532,9427,19956,195017,195841,390856,55152,72545,127701,5.4,4.8,5.1,73.3,68.9,71.1,69.4,65.6,67.4,39279,45737,85020,8533,14882,23417,82504,91683,174188,21985,25373,47362,24091,13492,37577,1356,1674,3035,2568,3540,6110,28019,18708,46726,203214,214765,417981,77041,82924,159960,112724,121994,234719,157310,165822,323132
207,149715,164939,314649,64547,43181,107730,24821,41945,66759,4689,6084,10772,5249,4534,9783,99306,95740,195046,45066,63367,108436,5.3,4.7,5,66.3,58,62,62.8,55.3,58.9,21377,20497,41873,4609,7898,12511,42534,47874,90411,13026,16718,29747,13877,7299,21176,709,1044,1747,1620,2751,4367,16202,11096,27292,145989,158433,304423,26630,27720,54351,96659,106334,202990,69090,73041,142135
208,165927,183563,349489,80602,52963,133567,25408,49324,74728,5354,7745,13101,5127,4399,9533,116497,114435,230932,43456,62423,105873,4.4,3.8,4.1,70.2,62.3,66.1,67.1,59.9,63.3,18420,19297,37711,4823,9040,13867,43918,51310,95233,15528,20458,35988,22070,10999,33066,821,1437,2260,2177,3560,5736,25068,15996,41063,165155,178419,343574,29434,31340,60778,108981,119229,228208,76592,81793,158377
209,213566,223604,437166,99370,58112,157484,31240,59379,90619,7675,10148,17819,7814,6679,14494,146096,134317,280414,57715,79765,137476,5.3,5,5.2,68.4,60.1,64.1,64.7,57.1,60.8,16163,17168,33334,4259,8996,13253,35903,45650,81547,20017,24517,44540,41218,20385,61607,1518,2288,3809,2744,4248,6988,45486,26917,72406,220215,226913,447131,32505,33010,65514,146388,152539,298931,91501,93594,185093
210,165579,170650,336226,72679,41022,113704,23734,39777,63507,6218,7518,13731,6851,5885,12735,109480,94204,203685,47054,67764,114821,6.3,6.2,6.3,66.1,55.2,60.6,62,51.8,56.8,9602,9907,19513,2403,5406,7805,23381,29930,53313,15182,18150,33336,31832,15942,47773,1264,1882,3154,2151,3207,5360,35250,21039,56287,170784,173934,344710,26778,26690,53470,107399,111195,218596,77432,77535,154964
211,205898,220103,425997,99434,56131,155563,29296,62103,91402,6939,9926,16868,5946,5343,11289,141617,133514,275126,56778,78688,135465,4.2,4,4.1,68.8,60.7,64.6,65.9,58.2,61.9,13516,14527,28044,4371,8748,13119,34681,44635,79316,19678,26969,46653,47579,22599,70175,1500,2478,3975,2799,4423,7224,51879,29500,81379,217170,227062,444234,24963,26181,51137,153288,160367,313656,76562,81143,157698
212,341651,347284,688939,155928,87468,243400,50846,84962,135805,11675,14063,25743,13145,11716,24864,231596,198212,429807,92178,132038,224215,5.7,5.9,5.8,67.8,57.1,62.4,63.9,53.7,58.8,24998,23971,48966,4617,9245,13859,52971,63365,116337,32161,38433,70596,61345,33210,94554,2547,3872,6425,4247,6362,10606,68143,43448,111587,345954,349788,695737,58419,56578,114992,212470,218402,430873,167604,165123,332731
213,332176,336570,668748,152620,90673,243295,48173,78208,126384,12729,15057,27785,14350,13809,28164,227870,197759,425630,84528,120206,204738,6.3,7,6.6,68.6,58.8,63.6,64.3,54.7,59.4,25728,25381,51105,4991,10231,15223,54066,65324,119386,29504,34271,63781,55971,31229,87198,2568,3556,6124,4249,5743,9988,62785,40533,103319,334777,338703,673480,60631,60224,120852,204574,209952,414528,164029,163825,327855
214,122334,132541,254875,52701,28623,81325,16485,35322,51807,4553,6639,11186,3203,2725,5931,76941,73303,150249,38276,51579,89856,4.2,3.7,3.9,62.9,55.3,58.9,60.3,53.3,56.6,4128,5206,9337,2053,4609,6664,14372,21182,35556,11511,17101,28609,32980,16317,49295,963,1819,2787,1769,2876,4648,35709,21016,56724,122330,129628,251957,17425,18681,36110,81098,85799,166897,51482,55577,107064
215,63831,64712,128539,26388,14169,40561,7310,15960,23264,2290,2780,5071,1677,1231,2904,37663,34136,71797,20902,25532,46440,4.4,3.6,4,59,52.8,55.9,56.4,50.9,53.6,960,1303,2262,588,1645,2234,3775,7429,11204,3795,6405,10196,15659,8800,24465,618,1058,1678,727,992,1721,17007,10849,27859,61191,62117,123300,8447,8869,17316,42438,42415,84853,23546,24850,48398
216,55482,57259,112743,22744,12266,35011,6251,14490,20739,2115,2484,4599,1468,1077,2543,32579,30316,62894,18556,22753,41305,4.5,3.5,4,58.7,52.9,55.8,56.1,51.1,53.5,964,1332,2300,586,1531,2115,3531,6621,10156,3397,5894,9292,14318,7579,21898,500,863,1365,643,921,1565,15464,9364,24828,54174,54923,109100,7893,8464,16356,36746,36831,73578,22028,23605,45632
217,51875,54393,106267,22371,11506,33872,6824,15161,21984,2163,2618,4780,1049,864,1914,32396,30152,62553,16011,20838,36849,3.2,2.9,3.1,62.5,55.4,58.9,60.4,53.8,57.1,1124,1622,2745,688,1666,2353,4139,7449,11588,3460,5817,9278,13818,7612,21430,490,857,1347,629,891,1517,14938,9359,24291,51167,52616,103779,6925,7389,14314,35603,36083,71688,19714,21289,41006
297,36,6,38,7,0,8,0,0,0,0,0,0,0,0,0,7,0,15,0,0,0,0,0,0,28.6,25,28.2,28.6,25,28.2,0,0,0,0,0,0,3,0,3,4,0,4,4,0,4,0,0,0,0,0,0,4,0,4,7,0,7,0,0,0,5,0,5,7,0,9
299,4576,3373,7946,621,302,919,281,367,646,125,103,231,298,191,485,1324,961,2281,1218,1228,2447,22.6,19.6,0,28.9,28.4,0,22.4,22.9,0,114,129,239,35,69,98,337,365,701,161,208,372,614,336,949,54,54,112,50,41,90,715,435,1148,847,576,1426,2008,1884,3889,538,340,876,2171,2008,4180
