SA4_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
201,1427,1272,1109,821,269,37,6322,50,579,887,928,879,800,185,28,4345,957,4299,4496,3607,2653,2217,827,172,19233,548,1965,2407,2666,2453,2022,812,176,13044,2328,5522,4947,5037,4641,3150,1290,328,27240,347,384,308,254,236,197,55,18,1799,120,226,272,349,429,390,157,50,2002,2800,6138,5533,5634,5306,3732,1505,395,31042,34,80,76,102,86,130,90,37,640,1390,1384,1320,1632,1683,2047,1666,922,12038,5870,15738,16149,15849,14173,11755,5357,1777,86664
202,1330,1218,1020,871,309,33,6009,66,594,971,1037,946,751,185,24,4578,829,4027,4458,3731,2636,2366,935,209,19189,494,1812,2188,2478,2469,2166,973,192,12768,1969,5119,4641,4766,4646,3014,1309,333,25786,317,299,303,244,268,200,47,11,1695,130,190,260,368,463,389,180,60,2043,2417,5605,5202,5372,5374,3612,1542,408,29527,12,99,64,89,105,114,92,43,613,1232,1388,1371,1576,1779,1926,1734,1178,12187,5150,14657,15574,15496,14328,11805,5766,2095,84869
203,3453,2428,1938,1430,523,50,14235,143,1505,1875,1695,1510,1290,350,45,8405,2741,11516,10821,7558,5561,4616,1701,377,44883,1476,4605,5361,5492,4774,4191,1850,456,28206,4100,9990,9318,8800,8152,5430,2321,718,48822,544,468,513,420,365,309,95,16,2726,266,427,574,688,740,760,386,112,3954,4905,10887,10399,9909,9259,6508,2796,846,55505,94,160,194,162,200,259,237,79,1390,2274,2581,2436,2353,2456,2994,2700,1660,19450,11923,35364,34535,29593,25701,21292,10157,3513,172072
204,924,848,807,649,160,25,4284,61,523,768,857,870,716,222,19,4036,574,3330,3705,3099,2705,2463,859,207,16944,539,2001,2676,2946,3056,2523,1044,236,15019,2664,5982,5830,6030,6108,4010,1562,382,32563,368,363,307,303,331,242,68,18,1989,177,234,276,480,506,513,261,69,2512,3201,6574,6409,6814,6938,4763,1890,467,37069,30,61,70,97,124,168,108,50,710,1733,1539,1643,1869,2355,2541,2089,1036,14807,6179,14862,16204,16535,16851,13835,6373,2044,92875
205,1280,1166,1218,990,349,44,6317,101,758,999,1066,1187,1138,295,34,5569,1074,5369,5022,4134,4095,3803,1461,255,25215,664,3179,3821,4163,4528,4080,1693,376,22507,3785,10216,9307,9520,10238,7378,3083,711,54250,517,581,590,488,542,418,105,31,3260,188,393,505,622,830,882,361,101,3899,4497,11192,10404,10634,11614,8683,3554,844,61408,57,124,149,145,209,290,229,59,1258,2596,2751,2910,3090,3918,4562,3415,1759,25001,9076,24549,24585,24399,26754,23555,10991,3369,147270
206,21682,11853,8148,4876,1802,284,85020,500,6035,5332,4715,3778,2375,609,70,23417,18149,69565,37619,21958,13978,8788,3310,822,174188,4798,12688,9720,7743,6008,4116,1763,515,47362,4082,11183,6985,5904,5070,2634,1256,473,37577,635,800,501,453,329,235,66,18,3035,422,1070,977,1184,1134,797,395,138,6110,5147,13058,8460,7539,6526,3663,1717,622,46726,374,1054,669,428,354,337,221,78,3525,5067,10962,6634,4600,3930,3236,2603,1635,38661,36247,147531,90124,58829,42718,27393,12023,4021,418891
207,10971,8285,5851,3535,1580,371,41873,152,1525,2326,3005,2773,1881,688,158,12511,7213,19726,19250,17754,12782,8281,4030,1380,90411,2116,4032,4459,5724,5349,4363,2700,1011,29747,2132,3422,2781,3929,3901,2322,1924,758,21176,333,254,238,279,296,185,121,37,1747,227,305,448,827,917,840,562,237,4367,2685,3989,3465,5032,5118,3352,2605,1034,27292,151,295,330,343,370,367,323,141,2324,1839,2553,2127,2034,1785,1994,2135,1801,16267,14927,42636,42936,42171,34035,23774,14057,5890,220426
208,10503,8224,5136,3053,1155,265,37711,168,1728,2816,3609,2913,1948,562,122,13867,5890,20844,22298,20277,13135,8281,3423,1083,95233,1872,4878,6434,8000,6400,4983,2487,928,35988,2446,5540,5400,6597,6232,3839,2126,887,33066,403,313,357,377,399,267,117,31,2260,227,416,751,1170,1263,1037,603,270,5736,3079,6265,6512,8145,7896,5146,2839,1182,41063,95,294,406,430,392,446,303,190,2562,1616,2771,2589,2506,2188,2611,2544,2134,18983,13224,45670,51559,51191,38071,26468,13311,5910,245399
209,10998,5462,3214,1906,685,98,33334,229,2495,3445,3099,2202,1363,359,56,13253,5745,23287,22964,13906,8278,5291,1675,408,81547,2852,9146,10851,9283,6473,4019,1529,379,44540,5554,13054,12296,12034,9825,5567,2561,719,61607,775,731,703,633,554,311,81,18,3809,441,817,1188,1550,1455,1003,402,137,6988,6778,14597,14184,14212,11835,6879,3043,868,72406,186,454,572,396,379,339,198,61,2594,3269,4634,4244,3565,3284,3210,2678,1710,26583,19769,64873,67256,49918,35668,23007,10176,3585,274251
210,6889,2786,1534,803,207,19,19513,237,1807,2129,1694,1111,649,160,19,7805,4225,17179,15159,8272,4839,2637,831,173,53313,2315,7926,8501,6459,4513,2523,919,190,33336,4275,10872,9637,9027,7435,4004,1933,589,47773,598,698,637,494,417,233,65,12,3154,422,817,1021,1163,1017,569,278,79,5360,5302,12386,11288,10681,8867,4805,2279,675,56287,138,389,463,337,269,228,145,52,2020,3223,4858,4217,3295,2831,2392,2086,1290,24201,15877,51388,48644,33526,23969,14040,6615,2428,196473
