SA4_CODE_2021,F_300_399_15_19_yrs,F_300_399_20_24_yrs,F_300_399_25_34_yrs,F_300_399_35_44_yrs,F_300_399_45_54_yrs,F_300_399_55_64_yrs,F_300_399_65_74_yrs,F_300_399_75_84_yrs,F_300_399_85ov,F_300_399_Tot,F_400_499_15_19_yrs,F_400_499_20_24_yrs,F_400_499_25_34_yrs,F_400_499_35_44_yrs,F_400_499_45_54_yrs,F_400_499_55_64_yrs,F_400_499_65_74_yrs,F_400_499_75_84_yrs,F_400_499_85ov,F_400_499_Tot,F_500_649_15_19_yrs,F_500_649_20_24_yrs,F_500_649_25_34_yrs,F_500_649_35_44_yrs,F_500_649_45_54_yrs,F_500_649_55_64_yrs,F_500_649_65_74_yrs,F_500_649_75_84_yrs,F_500_649_85ov,F_500_649_Tot,F_650_799_15_19_yrs,F_650_799_20_24_yrs,F_650_799_25_34_yrs,F_650_799_35_44_yrs,F_650_799_45_54_yrs,F_650_799_55_64_yrs,F_650_799_65_74_yrs,F_650_799_75_84_yrs,F_650_799_85ov,F_650_799_Tot,F_800_999_15_19_yrs,F_800_999_20_24_yrs,F_800_999_25_34_yrs,F_800_999_35_44_yrs,F_800_999_45_54_yrs,F_800_999_55_64_yrs,F_800_999_65_74_yrs,F_800_999_75_84_yrs,F_800_999_85ov,F_800_999_Tot,F_1000_1249_15_19_yrs,F_1000_1249_20_24_yrs,F_1000_1249_25_34_yrs,F_1000_1249_35_44_yrs,F_1000_1249_45_54_yrs,F_1000_1249_55_64_yrs,F_1000_1249_65_74_yrs,F_1000_1249_75_84_yrs,F_1000_1249_85ov,F_1000_1249_Tot,F_1250_1499_15_19_yrs,F_1250_1499_20_24_yrs,F_1250_1499_25_34_yrs,F_1250_1499_35_44_yrs,F_1250_1499_45_54_yrs,F_1250_1499_55_64_yrs,F_1250_1499_65_74_yrs,F_1250_1499_75_84_yrs,F_1250_1499_85ov,F_1250_1499_Tot,F_1500_1749_15_19_yrs,F_1500_1749_20_24_yrs,F_1500_1749_25_34_yrs,F_1500_1749_35_44_yrs,F_1500_1749_45_54_yrs,F_1500_1749_55_64_yrs,F_1500_1749_65_74_yrs,F_1500_1749_75_84_yrs,F_1500_1749_85ov,F_1500_1749_Tot,F_1750_1999_15_19_yrs,F_1750_1999_20_24_yrs,F_1750_1999_25_34_yrs,F_1750_1999_35_44_yrs,F_1750_1999_45_54_yrs,F_1750_1999_55_64_yrs,F_1750_1999_65_74_yrs,F_1750_1999_75_84_yrs,F_1750_1999_85ov,F_1750_1999_Tot,F_2000_2999_15_19_yrs,F_2000_2999_20_24_yrs,F_2000_2999_25_34_yrs,F_2000_2999_35_44_yrs,F_2000_2999_45_54_yrs,F_2000_2999_55_64_yrs,F_2000_2999_65_74_yrs,F_2000_2999_75_84_yrs,F_2000_2999_85ov,F_2000_2999_Tot,F_3000_3499_15_19_yrs,F_3000_3499_20_24_yrs,F_3000_3499_25_34_yrs,F_3000_3499_35_44_yrs,F_3000_3499_45_54_yrs,F_3000_3499_55_64_yrs,F_3000_3499_65_74_yrs,F_3000_3499_75_84_yrs,F_3000_3499_85ov,F_3000_3499_Tot,F_3500_more_15_19_yrs,F_3500_more_20_24_yrs,F_3500_more_25_34_yrs,F_3500_more_35_44_yrs,F_3500_more_45_54_yrs,F_3500_more_55_64_yrs,F_3500_more_65_74_yrs,F_3500_more_75_84_yrs,F_3500_more_85ov,F_3500_more_Tot,F_PI_NS_15_19_yrs,F_PI_NS_ns_20_24_yrs,F_PI_NS_ns_25_34_yrs,F_PI_NS_ns_35_44_yrs,F_PI_NS_ns_45_54_yrs,F_PI_NS_ns_55_64_yrs,F_PI_NS_ns_65_74_yrs,F_PI_NS_ns_75_84_yrs,F_PI_NS_ns_85_yrs_ovr,F_PI_NS_ns_Tot,F_Tot_15_19_yrs,F_Tot_20_24_yrs,F_Tot_25_34_yrs,F_Tot_35_44_yrs,F_Tot_45_54_yrs,F_Tot_55_64_yrs,F_Tot_65_74_yrs,F_Tot_75_84_yrs,F_Tot_85ov,F_Tot_Tot,P_Neg_Nil_income_15_19_yrs,P_Neg_Nil_income_20_24_yrs,P_Neg_Nil_income_25_34_yrs,P_Neg_Nil_income_35_44_yrs,P_Neg_Nil_income_45_54_yrs,P_Neg_Nil_income_55_64_yrs,P_Neg_Nil_income_65_74_yrs,P_Neg_Nil_income_75_84_yrs,P_Negtve_Nil_incme_85_yrs_ovr,P_Neg_Nil_income_Tot,P_1_149_15_19_yrs,P_1_149_20_24_yrs,P_1_149_25_34_yrs,P_1_149_35_44_yrs,P_1_149_45_54_yrs,P_1_149_55_64_yrs,P_1_149_65_74_yrs,P_1_149_75_84_yrs,P_1_149_85ov,P_1_149_Tot,P_150_299_15_19_yrs,P_150_299_20_24_yrs,P_150_299_25_34_yrs,P_150_299_35_44_yrs,P_150_299_45_54_yrs,P_150_299_55_64_yrs,P_150_299_65_74_yrs,P_150_299_75_84_yrs,P_150_299_85ov,P_150_299_Tot,P_300_399_15_19_yrs,P_300_399_20_24_yrs,P_300_399_25_34_yrs,P_300_399_35_44_yrs,P_300_399_45_54_yrs,P_300_399_55_64_yrs,P_300_399_65_74_yrs,P_300_399_75_84_yrs,P_300_399_85ov,P_300_399_Tot,P_400_499_15_19_yrs,P_400_499_20_24_yrs,P_400_499_25_34_yrs,P_400_499_35_44_yrs,P_400_499_45_54_yrs,P_400_499_55_64_yrs,P_400_499_65_74_yrs,P_400_499_75_84_yrs,P_400_499_85ov,P_400_499_Tot,P_500_649_15_19_yrs,P_500_649_20_24_yrs,P_500_649_25_34_yrs,P_500_649_35_44_yrs,P_500_649_45_54_yrs,P_500_649_55_64_yrs,P_500_649_65_74_yrs,P_500_649_75_84_yrs,P_500_649_85ov,P_500_649_Tot
201,254,492,572,541,642,1093,2087,1196,295,7170,198,438,650,651,769,1121,2161,1591,852,8431,197,639,1028,1035,1051,1167,1395,737,370,7614,124,640,1150,1066,1051,1078,921,438,134,6608,58,631,1321,1151,1253,1060,595,227,119,6404,24,441,1362,1228,1293,1114,443,120,35,6069,7,198,928,838,890,718,237,60,28,3895,0,74,775,766,821,599,155,68,37,3299,0,21,398,547,582,356,111,23,11,2052,4,18,425,706,876,560,138,26,7,2757,0,4,40,122,140,108,31,4,3,454,10,13,50,190,246,168,86,43,9,815,372,314,659,605,714,660,810,710,587,5418,4920,4708,10476,10704,11587,11909,10869,5865,2696,73740,3773,480,818,845,932,1628,1153,390,171,10192,2358,257,280,314,329,508,576,200,74,4900,1213,818,713,643,704,1103,1301,600,143,7244,464,840,1018,870,1110,1849,3822,2451,599,13016,455,765,1051,988,1274,1867,3696,2617,1228,13947,517,1155,1530,1406,1535,1891,2577,1354,536,12508
202,241,410,519,476,578,978,1929,1185,288,6596,184,364,573,576,710,1069,2025,1506,809,7820,179,573,1000,976,973,1162,1425,720,376,7378,118,574,1043,1031,1022,1106,855,417,146,6308,54,557,1329,1168,1154,1069,627,255,81,6296,37,422,1188,1126,1226,1108,430,131,48,5707,5,222,921,871,913,716,250,70,24,3996,3,87,784,824,795,584,200,75,32,3388,0,30,425,581,626,413,104,31,12,2222,6,27,394,717,887,555,142,31,15,2766,0,3,43,124,172,95,32,8,3,475,0,0,40,181,221,162,71,38,21,736,345,291,640,639,697,751,769,707,654,5486,4656,4352,10002,10373,11037,11797,10588,5839,2737,71381,3364,497,718,694,757,1511,1082,358,146,9118,2268,242,275,299,283,519,641,233,63,4819,1237,792,627,568,615,1031,1255,639,177,6940,430,717,865,785,971,1635,3455,2359,648,11862,394,669,939,861,1107,1779,3511,2433,1205,12891,460,995,1422,1325,1417,1839,2529,1351,558,11890
203,530,1020,1001,927,1043,1592,3164,1946,519,11759,328,963,1081,1143,1284,1861,3284,2687,1531,14167,280,1273,1817,1824,1709,1998,2584,1453,591,13528,160,1152,2109,2026,1846,1873,1705,814,238,11928,110,1183,2447,2296,2227,1894,1217,452,154,11986,41,896,2886,2351,2202,1954,940,263,101,11631,5,455,2346,1885,1786,1373,490,147,40,8532,0,169,2009,1742,1677,1100,396,144,60,7295,0,44,1179,1223,1207,767,218,59,22,4719,4,27,1301,1961,1861,1079,246,86,27,6597,4,6,131,335,328,219,62,30,12,1129,4,11,152,539,595,364,157,69,25,1920,551,564,1126,1108,1034,1022,1303,1219,1154,9074,8967,9533,21849,21909,21052,20919,19209,10747,4904,139095,6753,1120,1763,1667,1647,2958,2282,775,252,19214,4801,694,492,587,544,949,1126,425,132,9753,2374,1760,1200,1110,1093,1714,2291,1195,364,13107,903,1829,1725,1389,1634,2571,5658,3859,1109,20676,738,1751,1765,1623,1899,2818,5320,4089,2193,22194,816,2354,2790,2405,2351,3020,4623,2590,897,21839
204,217,303,455,562,632,1134,2327,1383,342,7359,186,305,554,642,746,1220,2233,1751,948,8592,223,441,978,968,1102,1380,1620,831,359,7906,167,620,1169,1090,1235,1323,1017,504,138,7260,114,713,1358,1245,1329,1382,763,278,80,7265,58,436,1295,1252,1429,1331,582,159,54,6597,12,188,883,944,1011,843,285,89,17,4277,5,78,674,737,836,657,209,70,30,3295,0,31,376,515,596,454,122,34,11,2144,0,19,357,692,826,597,138,44,11,2686,0,7,45,113,144,98,43,8,6,457,0,7,45,139,209,179,68,55,15,711,479,364,713,731,889,943,943,909,752,6729,5049,4106,9890,10723,12199,13837,12421,6958,3050,78234,3515,450,687,705,858,1805,1368,534,193,10112,2495,228,223,264,320,550,653,273,72,5079,1148,552,581,542,715,1192,1635,797,235,7390,401,520,775,868,1042,1939,4204,2842,750,13331,458,542,877,921,1163,2029,3980,2901,1371,14238,565,856,1372,1303,1569,2125,2991,1594,536,12908
205,379,544,963,914,1196,2239,4337,2422,467,13459,357,579,1054,1157,1402,2265,4152,2955,1452,15363,317,849,1661,1677,1852,2443,2778,1530,617,13726,174,952,1929,1827,1991,2036,1745,791,238,11692,119,978,2093,1869,1998,1942,1151,452,149,10755,51,612,1981,1795,1990,1806,857,262,83,9430,19,316,1393,1174,1290,1118,426,114,40,5892,4,155,1124,1056,1100,917,295,123,40,4821,4,47,597,675,792,618,185,48,22,2999,0,29,479,890,1136,799,194,52,19,3603,0,0,57,134,196,142,68,18,7,624,4,11,87,216,268,238,128,73,29,1053,727,542,1298,1362,1387,1634,1843,1491,1115,11397,7793,6672,16790,16752,18848,23021,21864,11790,4716,128245,5680,752,1377,1341,1617,3727,2632,869,314,18301,3631,388,500,474,542,1139,1214,463,146,8507,1809,1051,1236,1136,1292,2413,2787,1403,354,13477,676,1000,1590,1460,1988,3764,8036,5064,1083,24658,798,1002,1587,1706,2241,3698,7466,4997,2124,25623,884,1534,2246,2271,2648,3755,5149,2883,950,22323
206,816,3071,2715,1434,1441,1754,2321,1936,763,16249,409,2675,2798,1302,1460,1831,2995,2766,1678,17914,396,3562,5083,2064,1664,1699,2010,1175,578,18244,206,2795,5400,2336,1702,1574,1682,744,236,16681,120,2841,7193,2909,2195,1895,1596,668,219,19631,56,3046,10569,4143,2816,2396,1535,501,155,25218,15,1725,10845,4056,2517,1945,1063,337,81,22591,11,749,10009,4610,2940,2151,892,281,77,21720,9,273,6727,4218,2613,1744,645,188,54,16480,11,212,9463,9119,5619,3245,969,277,79,28994,4,44,1402,2400,1732,917,304,90,48,6945,12,67,1286,4191,4090,2035,749,290,105,12827,681,1971,5214,2884,2046,1628,1406,1195,1121,18137,12229,30675,85196,50110,36623,29097,21595,12443,6077,284057,10515,7096,6669,4097,3347,3552,2757,1485,653,40169,4921,2477,1258,858,985,1182,1063,546,240,13538,2838,4830,2896,1633,1670,2100,1947,1345,632,19895,1333,5374,4968,2503,2514,3093,4038,3669,1533,29023,751,4776,4919,2206,2457,3114,4900,4137,2321,29585,777,6401,9029,3369,2713,2925,3605,2039,903,31760
207,523,1457,936,966,1103,1324,2126,1970,763,11168,297,1237,918,969,1205,1316,2131,2480,1816,12366,184,1358,1437,1301,1547,1552,1854,1615,846,11694,97,1042,1550,1414,1664,1573,1614,1176,485,10618,57,1100,2208,1680,1814,1739,1472,863,334,11277,18,1206,3158,2126,2233,1983,1371,644,234,12991,5,686,2946,1926,1864,1543,863,401,150,10391,5,276,2643,2000,2006,1593,712,326,138,9705,3,85,1609,1721,1599,1235,493,201,94,7031,0,75,2190,3505,3280,2147,683,283,119,12296,4,23,381,947,1073,560,168,88,42,3284,10,25,321,1781,2450,1168,424,179,111,6452,370,593,1143,903,972,836,843,978,1160,7783,11605,13055,24394,25194,26853,23503,19137,13688,7512,164939,12725,3175,3100,3308,3285,4170,3601,1847,989,36198,5250,1855,684,787,964,1364,1380,766,327,13378,2486,3231,1300,1165,1308,1634,2076,1574,662,15425,965,2880,1837,1491,1689,2069,3568,3609,1559,19664,566,2414,1730,1478,1774,2117,3297,3666,2570,19613,418,2743,2680,1998,2244,2445,3030,2682,1275,19519
208,616,1257,775,868,1086,1486,2319,1934,716,11054,351,1194,883,1027,1319,1613,2816,2740,1823,13768,254,1384,1356,1428,1820,1813,2389,1755,942,13141,131,1083,1678,1732,1977,1929,1864,1040,466,11908,86,1158,2365,2151,2446,2183,1632,752,367,13144,43,1173,3494,2762,2895,2550,1506,582,198,15218,15,630,3644,2525,2603,1960,1010,315,137,12845,12,256,3199,2698,2730,1870,755,287,144,11943,5,103,2125,2237,2186,1495,574,191,91,9006,11,69,2819,4711,4412,2421,723,245,136,15546,0,22,436,1288,1326,638,225,89,41,4071,4,29,400,2266,3037,1245,435,209,115,7739,436,468,1211,1160,1160,983,1204,1275,1614,9523,12339,11979,26776,30426,32552,26501,21564,13521,7908,183563,12096,2310,2347,2957,2885,3462,3097,1527,839,31515,6299,1568,594,686,849,1199,1277,643,308,13431,2695,2731,1032,1009,1157,1633,2183,1397,620,14454,1119,2383,1460,1257,1641,2213,3855,3561,1373,18861,672,2214,1518,1447,1958,2500,4435,4067,2574,21386,600,2656,2338,1957,2475,2799,3958,2889,1356,21035
209,695,1696,1847,1887,1900,2686,4329,2807,881,18731,409,1473,1886,1969,2001,2433,4119,3485,2050,19822,301,1841,2893,2871,2779,2633,2560,1524,679,18081,216,1638,3365,3405,3055,2605,1903,899,351,17431,116,1818,4282,3968,3562,2641,1324,474,168,18348,53,1489,5216,4365,3814,2686,1107,301,77,19112,14,715,4510,3526,2896,2063,619,141,42,14526,6,290,3742,3366,2736,1679,495,129,47,12487,5,99,2096,2557,1962,1131,261,59,13,8181,4,54,2405,3929,3218,1616,333,65,29,11653,0,9,285,754,665,300,80,22,6,2129,3,15,164,890,906,445,147,64,20,2662,710,827,2052,1796,1594,1397,1408,1212,1192,12173,14632,15866,40405,41601,36074,30997,23962,13627,6438,223604,14762,2892,4894,4976,3987,5723,4396,1812,723,44175,6236,1652,1043,1210,1113,1481,1466,676,210,15090,3594,3362,2430,2280,2132,2618,3054,1837,619,21932,1198,3109,3276,2844,3071,4245,7773,5738,1867,33115,919,2807,3128,2901,3086,3732,6593,5228,2900,31297,959,3586,4710,4178,3998,4022,4492,2659,993,29592
210,562,1141,1693,1701,1875,2386,3415,2224,623,15625,264,1159,1707,1683,1753,2074,3101,2848,1580,16176,243,1422,2490,2284,2139,1815,1747,1064,519,13720,153,1341,2702,2624,2188,1741,1183,594,182,12710,72,1324,3451,2920,2583,1808,782,331,132,13390,37,1109,3848,2960,2552,1907,621,137,53,13229,13,578,3185,2420,1880,1339,354,79,18,9864,5,222,2640,2268,1816,1123,226,66,24,8382,3,66,1555,1635,1272,744,142,31,3,5451,4,53,1724,2582,1874,923,156,40,10,7360,4,16,168,446,376,176,38,10,7,1236,5,12,134,499,521,208,91,31,10,1505,750,828,2073,1860,1496,1159,1062,958,823,11009,11992,12776,33290,31796,26741,22592,16667,10075,4717,170650,11798,2590,4989,4597,3491,4530,3367,1305,585,37255,4924,1220,910,937,792,955,945,472,183,11328,3089,2832,2387,2459,2241,2411,2147,1289,474,19323,1031,2155,2817,2700,3043,4025,6118,4629,1417,27941,689,2222,2818,2650,2787,3253,4886,4187,2262,25744,801,2850,3961,3396,3178,2914,3069,1912,781,22853
