SA4_CODE_2021,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
201,6,0,0,9,6,0,10,17,87,4,105,0,4,0,5,5,0,5,10,20,0,32,3,21,8,27,3,11,19,42,54,0,95,4,45,7,58,14,13,22,80,101,0,184,0,71,16,92,16,21,34,126,266,3,397,29,181,33,243,33,39,69,313,370,3,685,49,305,27,389,33,18,45,439,367,5,809,141,329,35,507,18,15,31,532,481,7,1018,229,332,42,600,16,16,31,631,391,0,1024,259,235,42,534,8,13,20,555,295,0,849,236,133,30,398,10,3,13,410,148,3,566,217,113,8,338,0,3,5,342,90,3,442,303,123,25,456,5,0,4,459,142,0,602,137,33,7,181,0,0,0,184,51,0,238,81,18,6,109,0,0,0,110,21,0,125,39,7,7,53,0,0,0,53,8,0,65,83,15,3,110,0,0,0,110,22,0,128,202,116,22,337,6,5,10,347,187,13,549,4,10
202,0,0,5,3,4,5,9,13,50,0,69,0,0,0,0,0,0,0,8,22,0,28,0,3,3,8,0,6,10,18,53,0,69,3,36,10,41,11,8,18,62,108,0,170,6,62,14,86,11,18,25,113,239,4,354,18,169,29,221,19,22,42,266,332,3,601,65,279,32,376,12,24,31,406,313,4,732,130,321,47,493,6,13,20,513,447,5,964,227,284,32,539,10,11,21,558,361,0,922,243,225,20,491,3,9,9,500,268,3,774,272,158,17,447,5,4,10,459,134,6,595,230,87,16,338,0,0,4,342,87,0,428,388,145,23,547,5,0,4,557,115,0,671,131,61,6,197,3,0,3,199,52,0,250,103,23,8,130,0,0,0,134,22,0,149,32,6,6,44,0,0,0,44,13,0,58,70,12,0,85,0,0,0,85,28,0,110,180,125,18,323,12,8,10,333,145,8,496,3,6
203,5,5,5,18,9,9,21,43,129,4,171,4,12,6,21,6,4,8,29,50,0,85,0,32,4,39,5,4,13,55,93,4,156,6,41,15,62,8,17,26,89,152,0,237,8,129,28,162,21,23,48,213,326,0,537,24,295,54,373,35,49,82,457,525,3,985,86,418,62,566,24,32,61,630,471,4,1102,227,510,57,799,20,25,44,840,655,6,1506,374,514,52,943,19,19,35,974,557,10,1540,459,419,41,926,13,14,30,953,444,5,1405,428,298,31,753,9,4,15,768,255,0,1027,381,191,36,607,6,0,5,617,159,6,773,729,256,41,1024,3,3,11,1037,259,3,1300,308,108,12,433,6,0,12,441,100,0,539,239,56,8,298,4,0,3,298,37,0,339,84,26,3,121,0,0,0,121,24,0,140,216,59,15,293,5,0,5,299,54,0,361,357,228,57,642,11,11,21,673,275,33,979,26,16
204,3,0,0,10,8,0,8,19,74,0,90,0,5,0,7,0,0,0,9,18,0,25,4,16,7,25,6,8,11,37,39,4,78,3,44,8,51,6,12,17,69,115,0,183,8,71,10,91,10,17,30,118,230,0,347,18,179,39,232,17,29,46,277,343,0,626,74,298,38,415,10,14,25,439,337,0,775,160,300,27,486,13,18,29,515,441,3,964,261,280,42,586,17,16,25,610,354,3,968,263,219,39,525,6,10,13,541,260,0,801,234,125,10,376,0,3,4,378,125,0,502,222,82,19,323,0,5,6,329,111,0,441,353,116,28,503,0,4,4,508,119,0,620,134,45,12,184,0,0,5,184,52,0,238,87,19,8,117,0,0,0,117,21,0,140,31,10,0,44,0,0,0,44,12,0,54,83,21,3,108,3,0,8,111,22,0,134,201,139,24,366,9,3,16,383,198,17,599,13,12
205,9,6,8,19,3,15,19,43,123,5,165,4,18,3,26,6,4,7,37,43,0,73,3,40,6,46,16,12,31,78,104,0,191,10,81,15,103,17,27,44,144,215,3,359,13,118,24,156,51,31,75,230,444,4,677,51,305,71,430,42,63,102,530,616,0,1154,134,496,56,677,43,51,87,768,590,8,1368,221,540,57,823,27,23,52,874,778,7,1660,348,461,41,848,23,20,38,889,604,5,1509,383,404,53,835,12,9,20,851,407,9,1269,342,204,44,591,9,10,19,605,200,3,805,317,133,31,481,6,5,4,489,147,0,631,499,175,38,717,8,4,13,729,172,0,904,178,62,16,256,4,0,9,257,67,0,330,116,32,8,158,0,0,0,157,21,0,182,54,6,6,72,0,0,0,68,11,0,83,103,33,4,139,4,0,4,146,51,4,199,285,226,54,566,12,12,25,587,321,33,940,26,15
206,15,10,4,33,35,28,65,99,426,4,522,5,21,4,34,14,16,21,51,106,4,163,3,51,10,67,19,28,40,110,235,0,351,7,83,13,106,18,28,46,150,288,5,443,13,105,15,136,31,31,65,200,466,0,673,31,219,30,279,34,41,74,347,550,4,897,70,299,43,413,26,28,51,469,545,11,1023,161,380,41,580,18,29,54,630,742,6,1379,323,410,53,789,22,21,46,828,696,5,1536,395,374,40,816,12,12,25,839,542,0,1382,454,284,42,781,23,6,28,808,380,3,1190,485,230,41,748,11,3,16,769,320,3,1090,1186,356,57,1604,21,9,27,1633,439,3,2075,359,120,20,495,7,4,11,506,251,0,758,480,95,17,596,9,5,5,607,110,0,714,145,37,0,191,0,0,0,188,65,0,251,999,167,38,1201,5,0,13,1208,178,0,1392,445,230,44,725,21,12,35,757,381,37,1173,12,6
207,11,18,6,43,25,22,41,85,702,0,794,3,41,0,47,3,13,20,64,124,0,184,10,55,13,75,7,12,22,92,199,0,295,7,90,5,107,7,24,36,147,168,6,316,16,114,19,156,13,23,41,193,281,0,475,36,195,30,267,12,33,39,306,294,0,603,72,261,28,354,7,19,30,385,309,0,698,119,251,25,402,17,19,34,435,454,6,896,273,366,37,679,23,13,37,716,516,0,1229,318,293,29,640,14,24,38,675,405,4,1080,329,209,27,564,11,11,19,588,279,0,869,367,185,19,567,6,8,18,582,280,0,857,801,298,48,1140,15,9,25,1167,413,0,1576,345,141,15,504,4,4,10,506,251,4,758,365,114,22,506,0,0,0,514,116,0,628,116,53,4,174,3,3,7,177,60,0,238,674,140,13,836,8,3,15,848,193,0,1042,368,198,28,596,6,16,24,617,286,26,932,13,16
208,8,12,10,29,17,18,39,72,353,0,425,3,25,3,37,9,11,16,50,84,0,134,13,40,6,58,9,11,21,85,116,0,197,14,50,11,73,12,14,24,103,141,0,241,11,106,12,127,15,22,32,161,272,0,438,37,222,26,279,21,24,46,328,324,5,658,71,287,33,393,18,24,51,437,352,0,791,156,392,41,594,17,16,30,627,569,5,1203,328,437,44,817,16,13,30,850,588,8,1437,418,417,29,869,15,8,17,891,450,9,1350,506,329,27,863,8,7,17,882,311,3,1196,474,241,34,747,4,0,5,758,235,0,992,1101,371,54,1527,19,12,33,1556,406,3,1968,384,135,23,540,3,5,9,550,197,3,751,467,130,12,608,8,0,10,621,116,0,737,152,44,8,203,0,0,0,204,69,0,271,945,147,36,1125,9,8,16,1143,158,0,1298,535,235,56,829,20,8,30,859,294,15,1171,20,14
209,16,17,8,37,22,19,43,82,435,4,517,5,19,5,25,0,6,7,36,91,0,131,0,46,11,60,19,20,38,100,201,3,305,0,94,17,113,33,31,63,175,304,8,488,20,141,28,189,38,40,77,269,536,6,810,45,375,66,481,31,70,101,583,808,3,1397,114,479,67,668,35,40,78,742,807,4,1556,330,634,59,1024,45,33,77,1100,1117,13,2225,558,667,65,1290,28,19,51,1341,992,10,2343,712,559,62,1340,25,25,50,1386,846,6,2241,711,442,53,1205,16,20,30,1232,543,0,1775,696,304,36,1032,9,9,19,1051,473,0,1527,1349,412,76,1833,25,14,34,1874,620,7,2505,598,205,32,832,16,8,24,860,311,4,1172,456,98,26,581,7,3,10,594,127,0,720,187,57,19,262,3,4,5,271,75,0,342,488,97,19,594,5,3,10,608,141,3,744,508,319,87,913,25,31,59,965,486,41,1498,29,20
210,3,8,3,16,22,10,33,49,363,8,419,0,8,7,12,10,6,18,34,75,0,110,3,46,7,54,21,17,33,88,191,3,283,5,66,14,75,22,22,54,131,287,4,420,6,109,26,142,25,40,66,206,521,0,732,40,247,51,336,39,41,83,418,647,3,1067,86,393,59,548,30,49,80,624,735,4,1358,245,441,65,751,28,29,56,803,996,9,1817,468,433,80,979,22,33,49,1031,919,10,1961,537,391,62,991,22,20,49,1034,746,4,1783,537,311,50,902,12,11,21,922,492,0,1420,458,190,40,691,9,9,22,709,393,0,1101,896,312,68,1276,12,12,25,1302,518,3,1822,476,152,41,668,12,11,19,686,315,4,1002,357,80,25,466,0,4,8,469,113,0,578,160,37,11,206,6,0,6,216,73,0,290,319,70,10,401,4,0,7,411,108,0,517,328,192,76,595,18,13,31,620,386,58,1067,16,11
