SA4_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
201,0,17,22,130,15,0,0,0,0,194,0,0,4,14,35,6,6,0,0,55,16,72,84,403,120,74,67,10,0,843,0,0,0,28,15,18,20,6,9,102,0,0,0,4,0,5,0,4,0,24,0,12,14,65,64,117,194,139,35,649,0,6,15,34,33,16,15,0,0,113,5,20,27,120,86,63,47,15,4,391,4,13,27,175,43,23,18,6,0,300,0,4,3,46,10,3,0,0,0,62,0,21,35,91,42,19,7,0,0,211,0,0,0,8,4,6,4,0,0,32,5,39,38,138,79,77,90,25,0,489,0,7,29,110,27,19,11,4,0,209,0,4,0,23,16,31,33,21,4,134,0,7,9,39,20,11,14,6,5,108,15,67,110,503,272,287,318,212,93,1871,435,1105,1070,2294,1371,1383,1408,940,450,10446,9323,21757,19625,41214,22505,22951,21034,11207,4317,173937
202,0,9,12,81,15,0,0,0,0,120,0,0,3,24,55,20,4,0,0,109,3,67,98,418,157,76,56,15,0,889,0,0,0,9,9,14,21,9,9,73,0,0,0,11,0,0,6,0,0,13,0,6,14,58,76,119,144,99,34,548,4,6,9,23,10,15,9,0,0,70,5,19,54,135,88,62,48,24,6,441,6,23,31,141,42,35,24,15,3,324,0,5,7,119,5,0,0,3,0,132,9,195,325,236,25,20,4,0,0,818,0,0,0,10,9,3,5,3,0,34,9,26,41,91,80,65,78,27,3,420,0,9,13,108,45,20,5,0,0,211,0,4,0,17,25,30,32,15,8,126,0,3,6,39,22,11,8,3,0,88,20,81,100,366,208,198,229,166,46,1417,425,1079,955,2286,1349,1491,1291,974,531,10375,9144,20919,18181,39368,21340,22501,20611,11184,4517,167764
203,14,103,153,462,46,9,17,3,0,806,0,6,3,28,59,24,16,0,4,147,15,103,230,943,364,253,149,35,4,2096,0,0,3,93,60,67,120,51,61,459,0,3,0,26,7,5,0,0,0,47,0,35,29,219,181,379,457,321,102,1721,0,32,48,96,56,55,53,3,3,357,6,66,122,379,224,183,129,54,16,1176,7,29,125,476,83,48,59,20,6,854,0,6,4,76,6,9,0,0,0,114,7,167,233,320,98,45,13,0,0,880,0,5,3,39,45,33,24,31,5,185,29,90,102,366,154,122,131,50,3,1040,3,21,90,307,142,101,41,12,7,720,0,10,11,51,58,75,88,56,11,362,0,3,25,120,44,26,23,4,0,253,33,290,372,1576,723,893,923,761,316,5900,606,1718,1672,3920,1951,1898,2022,1394,599,15783,18936,40257,37910,85997,40725,39586,36603,19915,7951,327878
204,4,13,9,60,3,0,4,0,0,84,0,0,4,29,42,22,11,5,0,108,6,90,80,421,131,104,82,10,3,929,0,4,0,15,11,15,27,18,18,99,0,0,3,15,0,6,3,0,0,31,0,6,3,75,64,153,176,143,40,668,3,7,0,13,26,8,8,3,0,76,0,18,42,121,90,72,45,26,8,417,0,17,10,90,43,20,22,6,3,211,0,3,9,75,5,5,0,0,0,101,3,25,26,120,66,17,6,3,0,264,0,0,0,12,4,8,0,0,0,24,12,25,29,120,52,70,89,25,0,429,5,46,34,149,28,11,6,0,0,290,0,4,5,16,19,35,32,35,3,150,0,10,13,35,20,13,10,4,0,97,17,146,184,476,302,330,395,333,134,2319,448,1402,1280,2786,1677,2041,1819,1219,562,13225,9364,22291,19268,40162,23472,26908,24963,13515,4995,184935
205,0,23,17,85,21,17,7,0,0,163,0,6,5,24,46,23,15,3,0,134,27,105,127,714,270,270,156,40,10,1710,0,0,3,34,39,43,100,38,17,281,0,0,0,43,3,3,6,0,0,50,0,10,26,102,112,330,498,389,104,1565,0,14,14,45,29,19,17,0,5,129,5,48,68,219,180,162,127,53,9,866,0,18,38,244,74,68,67,35,6,552,3,5,10,155,4,8,3,4,0,197,12,49,69,218,95,40,18,0,0,496,0,8,0,21,17,14,3,6,0,65,8,55,59,157,100,111,176,50,9,721,8,27,26,264,95,69,24,4,0,522,0,3,6,22,30,69,82,49,11,284,0,6,15,56,41,30,25,8,0,182,17,113,155,776,413,625,729,535,182,3537,928,2347,1887,4921,2733,3338,3371,2160,982,22669,15659,35369,29655,65251,36176,44190,43532,23088,7929,300848
206,14,32,147,746,65,39,17,9,0,1063,0,5,23,111,118,40,23,0,0,325,25,124,526,3333,463,282,215,56,8,5027,0,9,31,546,177,230,319,159,123,1589,0,3,0,32,18,15,9,3,0,82,4,31,110,1178,425,403,306,186,37,2684,24,144,493,1697,325,174,136,32,11,3042,4,44,280,1747,444,269,269,77,23,3152,9,27,290,1478,264,215,186,74,25,2574,13,40,220,1608,131,76,66,5,5,2161,18,80,416,2658,310,106,51,9,0,3651,4,22,45,698,356,364,214,136,16,1853,168,395,646,3169,705,489,338,131,20,6065,17,177,1264,2681,1453,1363,930,343,152,8388,0,4,22,286,76,73,57,32,11,561,0,3,79,327,72,48,21,4,0,572,162,779,2403,16291,3212,2347,2055,1519,736,29502,1011,1806,4234,14494,3704,3056,2241,1491,819,32855,24369,42583,80744,266612,72005,57113,40849,22859,9883,617018
207,10,94,165,638,112,71,38,4,9,1131,0,4,11,25,74,39,20,0,4,184,8,109,172,975,297,198,168,34,13,1975,0,3,7,114,69,107,164,122,85,680,0,0,0,14,9,9,4,0,0,27,0,16,38,138,160,176,207,212,107,1064,36,286,333,760,409,330,303,122,24,2604,17,128,224,637,472,357,253,155,41,2286,4,102,442,1464,558,502,440,216,117,3840,17,109,125,1173,332,220,282,61,12,2334,18,50,121,543,165,71,42,18,0,1028,3,16,11,117,102,111,39,34,13,460,87,354,315,492,266,212,127,67,10,1929,5,125,469,1210,1077,992,652,200,70,4802,0,3,11,40,40,56,36,35,12,233,0,4,32,135,47,63,27,13,0,319,72,525,661,2781,1312,1206,1147,1014,557,9269,390,941,1425,3284,1419,1155,1177,1063,803,11650,15744,43076,50778,96640,50484,44690,35247,24535,12274,373472
208,3,15,22,197,32,24,22,0,0,319,0,0,3,26,86,51,16,0,0,184,14,90,154,1180,357,312,194,53,12,2370,0,14,21,348,213,340,722,317,337,2309,0,0,5,17,5,7,8,3,3,49,4,70,108,523,407,467,423,301,128,2429,26,214,214,451,199,126,118,52,9,1407,30,335,495,1893,1574,1047,736,376,145,6630,4,33,99,885,379,432,423,235,114,2601,6,11,25,359,65,37,28,6,0,532,14,79,119,602,176,77,32,7,0,1095,0,39,22,233,165,202,145,88,25,921,119,433,375,866,455,384,236,86,20,2971,6,102,240,866,513,299,208,50,15,2295,0,18,16,109,97,65,56,36,11,422,0,0,12,154,90,77,42,22,3,403,138,917,981,6145,3679,3115,3295,2136,1030,21436,473,1341,1191,3744,1689,1375,1467,1165,775,13217,21261,51881,49514,110496,62017,50866,40065,24201,12330,422639
209,24,214,213,1411,190,94,40,18,0,2217,0,7,11,51,84,38,10,5,0,208,19,260,417,2274,793,641,480,97,24,5019,6,3,7,185,110,132,177,83,37,735,0,26,67,169,135,132,61,21,3,607,3,31,53,290,212,320,325,235,65,1535,19,145,145,456,207,135,99,27,10,1236,8,91,209,683,434,233,100,70,12,1853,16,188,470,2558,885,720,519,235,70,5656,7,21,21,353,63,46,20,8,5,535,10,81,128,698,215,103,38,8,4,1285,3,17,32,349,329,327,189,85,27,1366,39,180,186,607,239,168,139,41,5,1605,28,192,459,2253,1440,1308,707,201,67,6660,0,7,15,64,63,56,59,26,19,312,4,27,111,337,168,74,20,7,3,749,155,1064,1362,6462,2726,2462,1968,1116,459,17766,1037,2349,2326,6290,2602,2242,2001,1542,975,21365,34396,69100,63637,162124,70726,59510,45359,25301,10509,540664
210,101,711,801,3923,538,161,69,14,0,6321,0,3,13,45,43,35,8,3,0,142,24,210,432,2047,834,725,462,110,15,4863,0,4,5,165,87,137,208,105,86,798,6,74,135,344,292,239,109,22,0,1233,0,6,20,179,131,215,246,182,66,1052,6,83,91,250,118,107,49,8,3,719,3,42,71,302,164,104,73,24,7,790,17,249,451,1985,918,812,368,158,47,5001,3,7,8,150,18,19,11,0,0,215,13,71,94,561,163,74,18,4,0,1005,24,178,276,2225,2324,2179,1013,560,87,8860,25,137,105,325,113,101,63,24,9,897,14,83,158,1087,810,804,443,126,89,3616,0,3,0,44,29,31,33,20,11,166,0,6,39,155,73,23,14,0,0,322,140,1396,1533,5953,2685,2461,1844,1181,466,17656,1198,2703,2263,6515,2513,1992,1497,1146,597,20430,30088,58011,51930,130087,52242,44310,31338,18511,7813,424328
