SA4_CODE_2021,F_ID_NS_0,F_ID_NS_1_19,F_ID_NS_20_29,F_ID_NS_30_34,F_ID_NS_35_39,F_ID_NS_40_44,F_ID_NS_45_49,F_ID_NS_50_over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_19,F_Tot_20_29,F_Tot_30_34,F_Tot_35_39,F_Tot_40_44,F_Tot_45_49,F_Tot_50_over,F_Tot_hours_NS,F_Tot_Tot,P_AgriForestFish_0,P_AgriForestFish_1_19,P_AgriForestFish_20_29,P_AgriForestFish_30_34,P_AgriForestFish_35_39,P_AgriForestFish_40_44,P_AgriForestFish_45_49,P_AgriForestFish_50_over,P_AgriForestFish_hours_NS,P_AgriForestFish_Tot,P_Min_0,P_Min_1_19,P_Min_20_29,P_Min_30_34,P_Min_35_39,P_Min_40_44,P_Min_45_49,P_Min_50_over,P_Min_hours_NS,P_Min_Tot,P_Mnfg_0,P_Mnfg_1_19,P_Mnfg_20_29,P_Mnfg_30_34,P_Mnfg_35_39,P_Mnfg_40_44,P_Mnfg_45_49,P_Mnfg_50_over,P_Mnfg_hours_NS,P_Mnfg_Tot,P_EGW_WS_0,P_EGW_WS_1_19,P_EGW_WS_20_29,P_EGW_WS_30_34,P_EGW_WS_35_39,P_EGW_WS_40_44,P_EGW_WS_45_49,P_EGW_WS_50_over,P_EGW_WS_hours_NS,P_EGW_WS_Tot,P_Cnstn_0,P_Cnstn_1_19,P_Cnstn_20_29,P_Cnstn_30_34,P_Cnstn_35_39,P_Cnstn_40_44,P_Cnstn_45_49,P_Cnstn_50_over,P_Cnstn_hours_NS,P_Cnstn_Tot,P_WTrade_0,P_WTrade_1_19,P_WTrade_20_29,P_WTrade_30_34,P_WTrade_35_39,P_WTrade_40_44,P_WTrade_45_49,P_WTrade_50_over,P_WTrade_hours_NS,P_WTrade_Tot,P_RTrade_0,P_RTrade_1_19,P_RTrade_20_29,P_RTrade_30_34,P_RTrade_35_39,P_RTrade_40_44,P_RTrade_45_49,P_RTrade_50_over,P_RTrade_hours_NS,P_RTrade_Tot,P_AccomFoodS_0,P_AccomFoodS_1_19,P_AccomFoodS_20_29,P_AccomFoodS_30_34,P_AccomFoodS_35_39,P_AccomFoodS_40_44,P_AccomFoodS_45_49,P_AccomFoodS_50_over,P_AccomFoodS_hours_NS,P_AccomFoodS_Tot,P_TransPostWhse_0,P_TransPostWhse_1_19,P_TransPostWhse_20_29,P_TransPostWhse_30_34,P_TransPostWhse_35_39,P_TransPostWhse_40_44,P_TransPostWhse_45_49,P_TransPostWhse_50_over,P_TransPostWhse_hours_NS,P_TransPostWhse_Tot,P_InfoMedTelecom_0,P_InfoMedTelecom_1_19,P_InfoMedTelecom_20_29,P_InfoMedTelecom_30_34,P_InfoMedTelecom_35_39,P_InfoMedTelecom_40_44,P_InfoMedTelecom_45_49,P_InfoMedTelecom_50_over,P_InfoMedTelecom_hours_NS,P_InfoMedTelecom_Tot,P_FinInsurS_0,P_FinInsurS_1_19,P_FinInsurS_20_29,P_FinInsurS_30_34,P_FinInsurS_35_39,P_FinInsurS_40_44,P_FinInsurS_45_49,P_FinInsurS_50_over,P_FinInsurS_hours_NS,P_FinInsurS_Tot,P_RentHirREserv_0,P_RentHirREserv_1_19,P_RentHirREserv_20_29,P_RentHirREserv_30_34,P_RentHirREserv_35_39,P_RentHirREserv_40_44,P_RentHirREserv_45_49,P_RentHirREserv_50_over,P_RentHirREserv_hours_NS,P_RentHirREserv_Tot,P_ProScieTechServ_0,P_ProScieTechServ_1_19,P_ProScieTechServ_20_29,P_ProScieTechServ_30_34,P_ProScieTechServ_35_39,P_ProScieTechServ_40_44,P_ProScieTechServ_45_49,P_ProScieTechServ_50_over,P_ProScieTechServ_hours_NS,P_ProScieTechServ_Tot,P_AdminSupServ_0,P_AdminSupServ_1_19,P_AdminSupServ_20_29,P_AdminSupServ_30_34,P_AdminSupServ_35_39,P_AdminSupServ_40_44,P_AdminSupServ_45_49,P_AdminSupServ_50_over,P_AdminSupServ_hours_NS,P_AdminSupServ_Tot,P_PubAdmiSafety_0,P_PubAdmiSafety_1_19,P_PubAdmiSafety_20_29,P_PubAdmiSafety_30_34,P_PubAdmiSafety_35_39,P_PubAdmiSafety_40_44,P_PubAdmiSafety_45_49,P_PubAdmiSafety_50_over,P_PubAdmiSafety_hours_NS,P_PubAdmiSafety_Tot,P_EducTrain_0,P_EducTrain_1_19,P_EducTrain_20_29,P_EducTrain_30_34,P_EducTrain_35_39,P_EducTrain_40_44,P_EducTrain_45_49,P_EducTrain_50_over,P_EducTrain_hours_NS,P_EducTrain_Tot,P_HealthCareSocA_0,P_HealthCareSocA_1_19,P_HealthCareSocA_20_29,P_HealthCareSocA_30_34,P_HealthCareSocA_35_39,P_HealthCareSocA_40_44,P_HealthCareSocA_45_49,P_HealthCareSocA_50_overr,P_HealthCareSocA_hours_NS,P_HealthCareSocA_Tot,P_ArtRecServ_0,P_ArtRecServ_1_19,P_ArtRecServ_20_29,P_ArtRecServ_30_34,P_ArtRecServ_35_39,P_ArtRecServ_40_44,P_ArtRecServ_45_49,P_ArtRecServ_50_over,P_ArtRecServ_hours_NS,P_ArtRecServ_Tot
201,72,192,122,80,179,119,22,51,226,1065,2782,8262,6836,4708,6980,5035,1378,2296,544,38819,99,358,271,216,355,584,185,896,57,3024,39,34,22,11,43,117,63,263,10,612,231,563,399,314,1491,1562,538,750,51,5895,31,33,40,37,174,247,81,160,5,801,268,547,513,388,1378,2573,663,1381,114,7832,57,135,127,79,363,397,141,177,14,1488,436,2097,1312,714,1259,915,292,388,73,7483,625,2338,826,330,545,355,105,315,71,5507,164,317,265,193,545,609,211,612,40,2950,71,113,97,44,251,207,119,96,0,995,74,75,121,82,309,361,101,185,5,1310,20,84,71,52,206,212,69,142,8,863,127,465,491,335,783,1061,269,536,28,4093,154,540,369,200,377,257,59,138,34,2124,337,330,429,335,1506,1336,296,467,26,5065,373,1245,1090,790,1642,1103,508,973,46,7766,953,2005,2605,2374,2540,2085,449,771,101,13885,150,364,185,128,244,217,59,149,13,1511
202,66,217,126,82,154,115,13,60,234,1069,2704,8159,6774,4681,6832,4794,1259,2333,565,38101,85,360,289,187,349,552,174,875,64,2932,92,47,46,26,69,243,129,559,23,1240,261,587,452,383,1600,1750,520,770,58,6368,51,30,54,71,169,313,71,135,4,896,236,498,417,411,1240,2323,594,1269,95,7092,47,139,102,81,309,330,107,218,16,1345,467,2186,1235,606,1180,766,240,421,87,7184,480,2100,719,326,445,334,81,280,68,4836,158,262,274,167,439,495,184,545,49,2580,39,106,89,60,219,159,39,77,4,792,112,128,221,147,726,560,173,267,13,2350,28,90,64,44,195,149,49,125,6,757,143,520,456,350,755,847,259,531,15,3873,115,585,329,217,411,237,62,127,24,2111,368,346,428,398,1424,1269,306,429,39,5009,335,1151,1011,706,1442,907,432,837,43,6871,939,1941,2596,2409,2441,1950,451,769,113,13606,128,312,193,118,207,172,28,107,13,1279
203,134,405,301,174,300,278,48,107,437,2178,5689,17182,13816,8883,13889,10413,2621,4316,1044,77847,84,405,262,198,363,473,121,572,47,2529,39,14,15,17,23,86,30,168,4,407,322,894,655,450,2201,2722,768,1285,87,9368,86,72,111,92,530,516,166,284,13,1867,493,1152,1039,981,3043,6247,1587,3382,222,18147,164,279,271,213,962,1116,379,549,29,3966,1059,4698,2585,1295,2737,2157,576,943,138,16182,1284,4794,1624,619,1018,742,197,463,118,10844,397,616,608,348,925,1391,494,1198,96,6067,87,196,144,91,312,341,101,191,12,1481,208,229,415,352,1216,1244,303,566,19,4557,77,213,168,145,474,459,124,307,17,1982,346,1179,1075,755,1971,2492,625,1341,56,9853,274,1320,703,363,717,610,156,278,46,4470,748,738,864,622,2665,2845,730,891,78,10190,786,2516,2216,1420,3364,2425,980,1764,102,15565,1731,4282,5157,4302,4872,3589,875,1383,194,26397,308,650,326,193,426,360,97,207,26,2583
204,86,230,182,103,183,153,28,63,315,1348,2985,8284,7052,5116,7378,5775,1504,2896,835,41823,211,687,669,474,708,1157,385,1764,152,6204,56,13,15,14,29,65,34,167,0,386,335,610,466,363,1834,2003,607,982,78,7260,36,35,46,34,195,226,67,120,7,767,339,638,511,489,1493,2812,722,1792,148,8942,59,152,131,119,347,458,155,287,13,1722,452,2040,1203,758,1332,1029,293,523,114,7745,680,2330,830,375,679,532,129,527,103,6185,200,349,346,219,580,746,289,870,69,3690,27,73,48,20,130,112,38,67,5,520,67,89,124,116,289,280,71,145,17,1194,36,106,95,68,186,157,41,116,6,807,121,439,414,310,618,690,224,440,39,3284,171,678,373,211,459,284,97,161,46,2477,426,447,523,423,1784,2324,550,740,76,7291,396,997,1004,759,1633,1004,425,887,68,7163,902,1787,2462,2291,2123,1805,393,731,132,12623,96,218,122,87,258,178,53,122,18,1151
205,190,372,250,152,233,207,38,95,492,2027,4628,13947,11477,7490,10511,7454,1972,3998,1206,62688,338,1234,1016,689,1011,1475,505,3087,258,9604,144,31,35,41,189,245,127,465,24,1310,304,714,570,458,2010,1882,996,1005,106,8046,162,148,173,147,1015,921,299,581,45,3490,479,958,817,738,2319,4669,1099,2550,236,13863,107,273,200,159,598,676,229,395,27,2665,746,3440,1996,1105,2068,1419,372,709,159,12016,944,3316,1239,496,713,607,136,529,148,8121,238,468,521,304,615,802,278,941,89,4264,56,151,118,77,329,210,47,102,15,1106,113,181,210,134,455,420,100,192,18,1814,71,152,144,122,383,292,74,225,15,1475,199,792,637,434,897,1092,291,640,44,5028,268,1022,567,344,561,436,90,182,58,3529,630,664,755,518,2180,2070,514,808,68,8209,603,1854,1665,1240,2097,1378,656,1343,106,10940,1448,3188,4077,3345,3248,2632,603,989,178,19716,236,499,243,169,388,233,45,115,20,1948
206,298,857,723,428,1219,1231,280,496,1001,6521,10943,28667,24249,16029,37765,38370,10534,17855,2004,186423,61,177,147,78,195,238,59,143,11,1107,39,31,37,23,70,172,63,221,5,665,348,1146,1113,715,3185,3845,1137,2163,62,13724,75,128,169,166,1035,1118,325,503,14,3533,490,1191,1456,934,2857,6232,1716,4621,183,19679,221,547,602,371,1889,2332,642,1169,18,7799,1985,6792,4439,2130,5268,4521,1244,2223,225,28823,3611,9908,5832,2110,3426,2440,756,1368,353,29808,609,1175,1339,600,2113,2664,715,1333,115,10659,434,782,742,583,2313,3021,782,1631,54,10337,679,788,1004,960,5096,8403,1990,4278,103,23311,215,529,586,362,1505,1868,517,1301,34,6912,1525,3962,4064,3296,12407,19558,4940,10386,262,60409,508,1863,2476,847,2495,2408,573,987,95,12248,1103,1054,1354,1417,7728,6000,1874,2777,107,23407,1444,6614,4045,2573,7005,6469,2398,4693,195,35436,2316,5940,6624,6311,8990,9885,2518,4447,236,47267,1255,1946,1356,830,1789,2078,484,1136,82,10961
207,159,566,454,236,573,507,76,179,541,3285,5064,18848,14355,8740,16363,15847,3846,7123,1016,91205,29,103,69,46,72,119,29,96,9,577,17,26,18,16,34,101,36,99,0,353,198,925,648,457,1953,2147,698,1314,38,8381,32,49,76,96,398,492,127,246,7,1519,306,974,1001,691,1736,3578,846,2189,124,11447,174,514,534,336,1284,1638,429,813,22,5746,1180,5371,2883,1330,2797,2596,651,1361,138,18305,1186,4751,2125,783,1218,971,273,700,116,12119,274,671,621,325,973,1281,365,689,36,5238,154,389,267,202,849,1102,249,576,21,3806,317,579,799,588,2298,4262,904,2287,57,12096,121,479,453,301,841,1155,267,638,29,4294,542,2419,2180,1501,4794,7385,1741,4413,87,25059,273,1123,869,373,954,909,217,430,37,5193,397,626,624,499,2474,2204,622,959,41,8446,834,3953,2326,1376,3158,2988,1091,2206,75,18010,1231,4724,4731,3771,4901,4814,1253,2565,162,28157,511,924,368,224,423,490,104,284,24,3357
208,184,662,516,304,672,730,136,279,576,4047,6529,21157,16996,11169,19389,19329,5096,9148,1221,110029,20,89,75,56,122,164,48,124,4,698,30,23,24,19,49,135,54,147,13,481,282,1121,874,667,2674,3133,1046,1998,48,11845,62,95,102,105,503,734,180,366,4,2151,499,1245,1165,928,2580,5601,1398,3532,172,17122,195,548,574,448,1619,2024,626,1149,24,7209,1307,5599,3022,1517,3225,3090,923,1780,154,20619,1397,5076,1833,703,1079,955,270,736,119,12166,317,673,662,352,1137,1598,462,988,50,6238,213,364,316,248,992,1342,376,816,18,4684,438,647,834,779,2430,4775,1233,2770,58,13958,122,474,494,322,849,1210,358,889,39,4759,763,2671,2491,1812,4935,8645,2192,5373,126,29015,334,1110,928,538,1142,1295,331,664,49,6394,636,726,910,754,3143,3010,834,1272,59,11346,1057,4413,2924,1807,3941,3596,1444,2952,126,22258,1457,4905,5262,4213,5311,4959,1288,2380,180,29953,583,1125,530,309,634,759,205,470,34,4642
209,240,726,593,353,843,655,101,178,795,4486,8399,24283,21294,13795,26431,19700,4647,7331,1745,127634,69,159,179,150,293,319,76,169,30,1444,26,14,21,15,44,110,41,161,6,440,486,1449,1324,956,5316,4878,1459,2260,151,18291,80,97,144,130,820,764,229,352,18,2631,774,1954,1937,1631,5111,9897,2332,4704,413,28749,214,547,520,418,2033,2022,544,881,48,7234,1638,6711,3993,1947,4528,3219,857,1339,227,24462,1479,5786,2470,885,1618,1104,302,662,190,14489,658,1268,1566,825,2783,3390,1044,1721,196,13452,223,406,322,223,1213,1097,259,456,31,4233,402,422,682,567,2604,3784,678,1250,70,10458,141,308,321,205,912,797,238,458,27,3409,572,1843,1890,1349,4670,6052,1339,2737,97,20547,427,1694,1455,680,1795,1329,282,508,103,8277,973,1144,1269,1103,5242,4456,1273,1599,139,17199,1198,4181,3508,2286,5592,3688,1502,2805,140,24908,2275,5804,7120,6266,8147,6679,1251,2138,310,39981,655,1069,498,314,705,636,122,278,31,4315
210,173,543,440,229,717,491,52,133,745,3541,5956,16247,14394,9135,19375,13738,2978,4926,1566,88314,33,129,134,89,173,244,39,155,17,1014,24,16,11,3,24,73,31,88,7,270,384,1063,1017,717,4185,3728,1085,1638,132,13948,61,79,83,103,622,591,163,264,18,1989,608,1459,1594,1226,3975,7028,1748,3590,402,21627,144,351,407,283,1551,1486,354,587,49,5211,1132,4666,2898,1394,3338,2209,586,909,179,17306,1069,4168,1876,708,1283,802,220,490,165,10792,839,1490,1884,1030,3355,3674,1113,1969,244,15607,131,247,166,123,757,745,146,274,23,2616,323,289,500,383,2112,2597,431,781,58,7471,96,234,229,142,685,597,173,313,30,2489,364,1060,1137,729,3087,3759,772,1479,91,12486,291,1344,1186,490,1524,1042,208,414,86,6581,689,807,1095,773,3980,3144,806,1073,122,12495,787,2536,2278,1573,3842,2479,915,1662,145,16220,1328,3455,4204,3711,5041,3828,641,1189,238,23629,440,584,255,173,466,411,98,179,29,2631
