SA4_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
201,19664,39272,292,1623,1832,8537,497,2287,9691,38256,12312,50703,765,3185,1397,4654,3187,10116,5348,17955,17656,68659,118,543,562,1894,310,1163,3210,8577,4198,12175,260,823,700,1504,2904,6274,3868,8606,8073,20777,641,1338,46033,130052
202,19054,38083,315,1777,1759,8157,440,2014,9691,38028,12208,49983,810,3443,1384,4643,3075,9731,5266,17811,17477,67789,125,561,594,2001,252,902,3018,8028,3981,11493,243,765,661,1402,2690,5799,3594,7961,7580,19455,658,1374,44770,126705
203,36084,72109,537,3017,3502,16159,773,3529,21031,81899,25842,104603,1748,7383,3105,10621,6303,20221,11163,38221,37007,142828,178,826,1044,3472,419,1479,4857,12684,6499,18455,586,1859,1351,3004,4927,10802,6863,15669,13368,34126,1198,2471,87654,251539
204,23193,46209,320,1776,1802,8324,450,2044,9991,39327,12559,51477,844,3495,1332,4366,3444,10794,5622,18652,18189,70130,107,484,558,1962,277,990,3002,7960,3949,11399,243,779,684,1487,2896,6155,3821,8426,7770,19818,596,1228,49743,137379
205,38074,75897,577,3201,2768,12967,866,3926,15470,61194,19685,81289,1275,5363,2110,6953,5898,18629,9280,30941,28962,112231,184,860,845,2995,489,1762,5127,13887,6648,19507,429,1368,1058,2267,4665,10029,6156,13664,12803,33172,977,2028,80813,223319
206,74609,148602,322,1821,3821,17133,326,1431,29205,106428,33674,126812,2033,8589,5356,18457,6137,19752,13526,46796,47193,173609,98,450,1060,3339,216,729,6024,13881,7392,18408,637,2000,2839,6182,6369,13650,9847,21834,17239,40249,4634,9568,143673,372031
207,37070,74408,345,1885,5504,24669,417,1767,23745,90672,30015,118996,3111,13219,7261,26006,8295,26840,18666,66063,48678,185059,76,331,1132,3595,170,552,3899,9546,5275,14020,746,2356,2604,5981,4976,10796,8326,19137,13602,33156,1797,3765,101146,296395
208,42350,84811,463,2494,6094,27458,484,2142,29531,112801,36572,144890,3122,13200,7319,26159,7956,25662,18393,65022,54958,209910,96,409,1132,3459,198,670,4810,11373,6242,15917,764,2366,2673,6040,5760,12395,9192,20798,15440,36712,1629,3404,114372,334842
209,48673,98181,1001,5713,6783,31486,1262,5861,40352,155729,49396,198799,4300,18689,5999,21519,13550,44934,23856,85135,73257,283931,267,1252,1499,5108,561,2050,7131,18609,9453,27018,1210,4012,2456,5654,9521,21452,13186,31112,22642,58130,2381,5058,146944,445305
210,34270,69374,1228,7452,5756,28045,1208,5915,31948,125580,40141,166990,3565,15878,4110,14796,10670,36191,18343,66870,58480,233858,314,1533,1219,4441,522,1916,5540,15156,7597,23051,1061,3618,1648,3918,7718,17791,10429,25330,18025,48382,1815,3907,112590,355523
211,52235,105087,906,5069,6564,30008,1220,5577,36145,139252,44841,179906,4575,19708,6613,23487,14207,46488,25396,89684,70230,269590,207,903,1489,4944,542,1861,6282,15937,8525,23645,1231,3946,2560,5838,8891,19633,12687,29420,21212,53061,1777,3743,145449,431486
