SA4_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
201,551,726,1284,7023,8610,15630,0,0,0,575,658,1232,121,119,242,16397,18820,35219,426,563,990,419,393,806,185,261,448,64,100,159,322,383,700,44,36,84,176,205,382,483,557,1038,1552,1810,3367,153,223,381,115,150,262,3489,4703,8189,1439,1666,3105,44,53,99,33013,39315,72322,808,652,1458,475,390,867,56,51,112,13,14,24,357,331,688,261,433,692,632,775,1408,42251,40282,82536,279,233,514,134,239,369,42668,40754,83422,6842,6222,13064,85041,88886,173937
202,800,1014,1814,7102,8972,16075,0,0,4,1498,1754,3253,208,201,409,13901,15765,29668,130,168,301,325,281,604,139,170,308,92,111,205,215,272,485,61,54,120,142,179,326,657,807,1470,1247,1465,2707,97,150,246,164,168,333,3417,4519,7938,1493,1814,3310,35,32,68,30939,36887,67834,498,439,936,454,397,848,59,78,135,16,10,26,237,193,426,211,366,575,463,568,1031,41161,39761,80919,311,241,550,106,215,319,41571,40220,81792,7023,6353,13374,81803,85960,167764
203,1289,1809,3100,11734,14867,26605,3,0,3,2539,2991,5527,89,85,175,33267,38173,71442,169,233,396,2229,2270,4495,385,508,890,138,152,294,843,1109,1955,82,76,153,325,374,697,836,1028,1868,2824,3482,6307,239,307,543,154,172,330,5031,7191,12221,3496,4223,7714,100,120,222,64482,77363,141840,2219,1508,3723,2340,1791,4127,124,114,234,11,10,18,1033,854,1895,377,538,911,1425,1402,2825,75564,72571,148137,559,414,974,185,423,605,76310,73406,149713,11882,10433,22316,160063,167815,327878
204,551,749,1298,9999,12016,22007,0,0,3,935,1062,2001,61,51,109,17866,19768,37632,74,102,180,397,388,785,313,381,694,95,117,207,546,641,1189,18,17,40,276,309,591,529,628,1159,1971,2183,4157,147,219,373,168,206,377,3154,4230,7389,1740,2002,3745,44,53,96,38348,44372,82720,550,501,1051,292,248,538,45,47,102,17,10,31,208,207,414,213,335,548,437,550,985,42380,39375,81757,262,221,487,135,200,332,42784,39794,82578,8159,7502,15663,91165,93770,184935
205,866,1325,2195,15684,19127,34813,0,0,0,1661,1877,3542,221,255,475,23503,26790,50292,103,167,273,861,864,1724,549,720,1267,243,228,471,329,436,761,43,37,86,514,563,1075,953,1155,2104,3160,3554,6711,232,348,576,253,319,568,4507,6105,10609,2927,3415,6342,92,107,201,55842,66053,121897,576,513,1087,594,520,1109,85,90,176,21,7,25,278,264,541,366,607,972,661,884,1542,74494,70005,144502,466,406,878,209,351,558,75176,70765,145941,14028,12870,26900,147833,153015,300848
206,8162,11723,19884,11872,14062,25935,37,52,87,1548,1840,3392,9,12,15,49465,57373,106838,130,170,303,12261,13689,25953,274,375,654,126,123,249,522,676,1201,553,624,1175,730,854,1579,1076,1426,2496,2076,2258,4333,96,107,200,95,162,254,2949,3919,6865,4170,5540,9715,124,146,263,88115,103394,191513,9376,7566,16937,8751,8567,17317,3899,4300,8199,17,20,36,595,491,1079,1064,1216,2280,1673,1723,3397,154272,155381,309657,2139,1791,3930,596,1070,1664,157013,158234,315246,22964,21561,44521,299941,317072,617018
207,7145,9456,16599,10732,13610,24344,11,7,23,3246,4003,7248,16,16,32,32341,37394,69731,244,355,604,9992,11103,21097,154,196,345,138,154,284,551,676,1226,577,610,1187,734,920,1659,1217,1464,2680,2358,2862,5217,204,299,502,139,185,328,3824,5494,9318,3989,5030,9013,85,105,191,70549,84479,155027,5560,4944,10506,3784,3482,7267,977,1009,1982,4,0,4,788,739,1527,805,923,1732,1603,1660,3262,79881,78352,158233,627,522,1146,211,369,586,80725,79244,159966,9471,9391,18863,179806,193669,373472
208,3083,4491,7573,14470,18587,33063,4,3,13,1193,1412,2609,11,8,15,38982,45851,84836,148,217,362,10677,11872,22544,318,414,732,125,132,258,474,641,1118,359,397,757,439,534,978,741,921,1664,2161,2599,4769,68,119,189,97,140,235,3528,4967,8489,2701,3581,6285,112,130,241,76611,92547,169156,6027,5160,11187,1814,1777,3593,15065,16396,31465,6,8,8,462,384,843,577,721,1297,1042,1109,2149,87644,85449,173096,753,577,1335,291,479,767,88686,86512,175196,11020,11292,22311,203350,219288,422639
209,6119,7750,13867,11405,14643,26055,95,114,208,2120,2424,4546,288,308,597,61797,69015,130815,165,228,387,18478,19276,37760,475,638,1110,297,332,633,461,629,1087,986,987,1968,681,800,1483,1994,2244,4240,2572,3073,5639,243,338,581,252,312,566,3185,4516,7700,7763,8612,16379,79,120,202,113342,128617,241953,11283,9566,20848,15614,14770,30382,216,236,449,19,22,35,5616,4824,10441,866,1130,1989,6498,5972,12465,96939,90887,187829,846,701,1554,333,561,897,98124,92150,190268,15695,14723,30417,266882,273777,540664
210,4351,5273,9622,7613,9845,17453,1550,1573,3126,1033,1240,2273,94,97,192,59962,65087,125048,151,189,343,8079,8470,16542,506,586,1094,495,571,1070,299,402,700,1025,1056,2087,537,638,1179,1225,1359,2586,1568,1782,3349,157,216,369,195,213,408,2431,3444,5873,4884,5417,10304,90,76,167,91889,102261,194148,9373,8194,17572,31265,29924,61185,99,104,204,9,9,23,6264,5484,11745,504,573,1076,6773,6062,12838,52813,48278,101092,457,339,790,188,299,480,53454,48913,102368,13738,12651,26392,210949,213385,424328
