SA4_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
201,2082,704,4317,27128,39996,19117,13994,32831,9788,142855
202,2082,808,4517,26073,39005,19036,13813,29631,10137,137698
203,3889,1100,7951,53401,77694,35951,24424,61026,16188,268681
204,2527,640,4995,28028,42841,20913,15306,34558,11634,153276
205,3864,1234,7929,43532,66605,34900,27599,56886,20298,249821
206,4752,1230,9883,135896,175522,52009,26207,126174,34255,550062
207,5919,1097,12274,69430,90304,40516,24799,77030,12570,314649
208,6202,1229,12330,80620,108181,44184,24724,77349,14435,349489
209,5375,1298,10509,86259,117864,51522,37265,122424,21842,437166
210,4166,842,7813,59854,78726,35088,29501,112816,20251,336226
211,5788,1529,11817,90344,124849,56630,37309,99323,17548,425997
212,8738,1771,16090,129740,163235,72850,55908,227591,39606,688939
213,5741,1234,10261,119386,158798,69005,55713,219195,46657,668748
214,4232,1514,9042,50618,72234,33612,22448,59806,16158,254875
215,2403,757,4936,22396,31621,15785,12974,33813,11951,128539
216,2009,597,3977,20117,28100,13576,10781,30578,9591,112743
217,1861,540,3801,20081,28442,14633,11132,24389,7594,106267
297,0,0,0,0,3,0,0,8,27,38
299,12,17,29,1148,1118,391,326,1694,3270,7946
