SA4_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
201,5,27,3,0,3,35,52,70,152,2041,2107,322,4466,170,158,333,4798,3158,119,8073
202,16,23,0,0,0,25,61,47,132,2094,2004,298,4392,105,128,234,4625,2863,85,7580
203,17,53,0,0,3,52,66,72,195,3962,3621,550,8137,203,239,446,8578,4636,155,13368
204,21,45,0,0,3,46,61,46,161,2163,1989,340,4495,115,141,258,4748,2928,92,7770
205,21,64,0,0,4,66,114,121,305,3098,3349,560,7000,279,279,554,7559,5033,213,12803
206,20,42,0,3,8,46,82,103,228,5601,3491,530,9621,321,308,633,10253,6804,185,17239
207,4,36,0,3,3,38,54,43,136,4253,3047,378,7683,202,253,452,8130,5365,106,13602
208,26,59,0,0,3,64,66,56,184,5655,3639,493,9790,232,203,439,10224,5099,110,15440
209,31,80,4,5,9,85,113,141,344,6818,4989,752,12553,378,403,785,13337,9030,272,22642
210,22,53,0,0,0,53,99,138,293,4946,3496,707,9156,315,336,652,9811,7964,259,18025
211,35,91,0,0,0,91,86,69,247,7102,5274,810,13192,266,318,587,13781,7269,158,21212
212,62,128,0,5,4,130,172,227,539,10390,7413,1301,19106,632,705,1331,20436,14318,472,35232
213,58,143,11,4,16,160,189,295,653,10644,7243,1490,19378,1005,971,1974,21353,15194,521,37060
214,29,62,0,0,3,61,109,87,256,4316,3836,642,8794,214,224,438,9232,5109,172,14516
215,11,37,0,0,0,37,70,64,170,1693,1507,251,3449,121,122,238,3687,2598,116,6402
216,7,29,0,0,0,32,55,68,156,1522,1506,258,3291,87,112,203,3490,2374,118,5978
217,8,18,0,0,0,20,32,48,99,1351,1468,217,3042,62,90,157,3196,1822,89,5112
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
