SA4_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
201,289,1290,1848,1493,1596,1773,1800,907,245,11239,183,1397,2629,1978,2164,2066,1335,504,202,12462,77,982,2947,2505,2549,2383,1101,338,55,12935,22,468,2120,1863,1929,1657,615,171,46,8890,8,193,1749,1715,1754,1399,444,148,56,7477,3,75,1028,1370,1355,934,273,64,18,5126,8,68,1249,2155,2308,1507,382,58,13,7744,0,12,162,433,488,324,86,29,11,1543,9,29,191,654,904,601,253,96,19,2747,738,665,1367,1285,1569,1461,1620,1279,885,10889,10126,9501,20702,20511,22505,22951,21034,11207,4317,142855
202,284,1140,1678,1473,1549,1763,1708,907,257,10757,147,1322,2558,2023,2013,2100,1397,598,157,12318,74,912,2606,2285,2428,2357,1221,380,95,12351,14,465,2035,1809,1816,1577,716,198,47,8656,11,210,1736,1844,1740,1401,545,162,62,7709,0,92,1023,1328,1417,974,305,85,25,5247,6,68,1193,2135,2355,1575,405,97,27,7862,0,15,142,451,543,322,102,17,7,1601,5,9,157,604,805,534,216,76,40,2452,699,651,1505,1422,1529,1579,1538,1280,1014,11212,9392,8790,19470,19900,21340,22501,20611,11184,4517,137698
203,424,2448,3395,2746,2590,2881,3242,1732,456,19923,269,2564,4813,3638,3556,3471,2655,1039,267,22273,111,1954,6142,4532,4261,4086,2338,707,178,24310,30,1008,4997,3857,3611,3000,1325,395,86,18303,11,428,4311,3989,3569,2586,1019,335,100,16345,4,151,2755,3107,2943,1931,625,153,46,11714,9,118,3637,5951,5197,3280,834,241,60,19320,4,23,513,1244,1214,786,210,73,20,4095,10,43,577,1919,2262,1408,565,184,62,7025,1116,1292,2837,2513,2359,2132,2496,2122,1730,18599,18372,19539,43726,42274,40725,39586,36603,19915,7951,268681
204,394,1210,1746,1530,1806,2148,2145,1063,257,12296,325,1461,2595,2190,2385,2708,1748,666,166,14240,206,1127,3034,2668,2947,2988,1559,411,109,15050,51,528,2124,2128,2191,2050,857,244,39,10213,17,227,1670,1835,1917,1646,667,183,56,8217,11,96,1030,1308,1450,1161,336,95,19,5516,0,78,1077,1958,2290,1671,462,110,26,7680,0,14,135,326,406,323,119,37,6,1371,8,21,161,456,624,584,246,122,36,2264,990,794,1514,1555,1785,1995,1987,1638,1120,13382,10563,8704,19590,20571,23472,26908,24963,13515,4995,153276
205,459,1874,2909,2620,2865,3370,3547,1798,466,19908,276,2099,3954,3247,3508,3779,2696,989,288,20842,136,1410,4397,3639,3959,4086,2323,727,152,20830,44,737,3242,2860,2874,2693,1276,337,79,14140,13,386,2733,2565,2554,2361,873,289,80,11864,9,151,1562,1900,1935,1702,571,119,41,7985,6,135,1832,2876,3272,2643,672,138,35,11616,4,13,306,584,726,601,191,57,11,2501,10,32,339,843,1175,1063,418,166,58,4108,1472,1169,2902,3012,2973,3385,3680,2784,1758,23142,15913,13743,32721,32526,36176,44190,43532,23088,7929,249821
206,439,5359,10068,3933,2786,2767,2889,1423,436,30095,278,5411,13930,5333,3831,3434,2924,1246,350,36743,130,5557,20068,7845,5063,4406,2938,1107,266,47377,35,3191,19839,7733,4630,3600,2149,735,152,42064,26,1551,18673,8908,5426,3982,1882,627,145,41227,13,612,13082,8334,4926,3403,1406,469,98,32348,27,600,21509,20054,11767,7234,2349,730,143,64416,15,109,3791,5891,4083,2289,774,239,83,17271,19,205,4357,12204,11440,6501,2428,833,215,38193,1305,3771,10466,6186,4366,3519,2796,2230,1708,36358,23434,57314,165518,101098,72005,57113,40849,22859,9883,550062
207,246,2312,3033,2200,2442,2494,2787,2120,867,18496,134,2347,4468,2899,2968,3004,2694,1666,600,20786,71,2355,6260,3871,3732,3596,2711,1401,452,24445,26,1359,5756,3462,3149,2832,1848,890,299,19619,16,632,5099,3762,3477,2956,1587,755,259,18537,9,214,3323,3334,3061,2520,1145,502,177,14293,6,195,5057,7867,7249,5205,1887,703,248,28417,16,53,931,2628,2745,1738,570,228,77,8982,13,59,1057,5801,8474,4890,1557,493,207,22550,766,1254,2458,1824,1928,1652,1515,1639,1694,14721,23713,27065,48770,47868,50484,44690,35247,24535,12274,314649
208,328,2321,2939,2358,2769,2900,3234,1922,797,19581,211,2432,4606,3379,3779,3671,3108,1468,598,23254,108,2268,6648,4546,4680,4617,3135,1267,405,27665,33,1288,6654,4526,4432,3672,2251,796,255,23911,23,603,6101,4936,4804,3686,1701,655,236,22743,8,265,4238,4494,4154,3087,1347,470,161,18210,20,189,6670,10893,10009,6148,2046,654,248,36877,6,46,1253,3553,3533,2054,678,207,71,11403,12,78,1393,7787,10545,5299,1643,535,222,27518,884,1044,2570,2367,2347,1915,2118,2129,2266,17632,25117,24406,52356,58144,62017,50866,40065,24201,12330,349489
209,565,3639,5801,5078,4567,4184,3581,1843,604,29861,336,3993,8668,6944,6173,5056,2823,1116,294,35394,186,3310,11088,8952,7452,5853,2752,787,169,40541,60,1621,9391,7620,6136,4590,1662,425,78,31586,33,752,7870,7663,6149,3983,1328,351,86,28195,7,300,4868,6098,4743,2998,792,191,39,20034,7,201,6618,11644,8827,4984,1192,196,60,33737,3,35,957,2602,2274,1196,268,61,12,7412,13,41,767,3448,3686,2032,545,144,43,10722,1526,1927,4400,3790,3322,2817,2652,2234,1813,24482,30410,33231,79907,82221,70726,59510,45359,25301,10509,437166
210,458,2924,4891,4164,3402,2881,2296,1244,333,22587,277,3246,7321,5600,4557,3662,1786,721,237,27400,138,2525,8791,6607,5533,4320,1636,398,118,30065,42,1368,6973,5534,4278,3203,966,212,55,22633,14,626,5945,5366,4088,2834,696,171,49,19801,10,234,3752,4149,3110,1999,448,79,13,13794,6,209,5031,7790,5409,3130,600,106,22,22312,5,41,664,1682,1286,720,143,33,12,4582,9,46,610,2037,1919,1018,277,73,21,6022,1645,1884,4626,3920,3125,2453,1958,1704,1244,22561,24940,26989,66484,63605,52242,44310,31338,18511,7813,336226
