SA4_CODE_2021,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_UOLSE_VWorW,FOL_IAL_Tot_UOLSE_NWorNAA,FOL_IAL_Tot_UOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_UOLSE_VWorW,FOL_Italian_UOLSE_NWorNAA,FOL_Italian_UOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japan_SEO,FOL_Japan_UOLSE_VWorW,FOL_Japan_UOLSE_NWorNAA,FOL_Japan_UOLSE_Tot,FOL_Japan_NS,FOL_Japan_Tot,FOL_Khmer_SEO,FOL_Khmer_UOLSE_VWorW,FOL_Khmer_UOLSE_NWorNAA,FOL_Khmer_UOLSE_Tot,FOL_Khmer_NS,FOL_Khmer_Tot,FOL_Korean_SEO,FOL_Korean_UOLSE_VWorW,FOL_Korean_UOLSE_NWorNAA,FOL_Korean_UOLSE_Tot,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedon_SEO,FOL_Macedon_UOLSE_VWorW,FOL_Macedon_UOLSE_NWorNAA,FOL_Macedon_UOLSE_Tot,FOL_Macedon_NS,FOL_Macedon_Tot,FOL_Malayalam_SEO,FOL_Malayalam_UOLSE_VWorW,FOL_Malayalam_UOLSE_NWorNAA,FOL_Malayalam_UOLSE_Tot,FOL_Malayalam_NS,FOL_Malayalam_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_UOLSE_VWorW,FOL_Persian_ED_UOLSE_NWorNAA,FOL_Persian_ED_UOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_UOLSE_VWorW,FOL_Polish_UOLSE_NWorNAA,FOL_Polish_UOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Portuguese_SEO,FOL_Portuguese_UOLSE_VWorW,FOL_Portuguese_UOLSE_NWorNAA,FOL_Portuguese_UOLSE_Tot,FOL_Portuguese_NS,FOL_Portuguese_Tot,FOL_Russian_SEO,FOL_Russian_UOLSE_VWorW,FOL_Russian_UOLSE_NWorNAA,FOL_Russian_UOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_UOLSE_VWorW,FOL_Samoan_UOLSE_NWorNAA,FOL_Samoan_UOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_UOLSE_VWorW,FOL_Serbian_UOLSE_NWorNAA,FOL_Serbian_UOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipin_SEO,FOL_SAL_Filipin_UOLSE_VWorW,FOL_SAL_Filipin_UOLSE_NWorNAA,FOL_SAL_Filipin_UOLSE_Tot,FOL_SAL_Filipin_NS,FOL_SAL_Filipin_Tot,FOL_SAL_Indon_SEO,FOL_SAL_Indon_UOLSE_VWorW,FOL_SAL_Indon_UOLSE_NWorNAA,FOL_SAL_Indon_UOLSE_Tot,FOL_SAL_Indon_NS,FOL_SAL_Indon_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_UOLSE_VWorW,FOL_SAL_Tagalog_UOLSE_NWorNAA,FOL_SAL_Tagalog_UOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_UOLSE_VWorW,FOL_SAL_Oth_UOLSE_NWorNAA,FOL_SAL_Oth_UOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_UOLSE_VWorW,FOL_SAL_Tot_UOLSE_NWorNAA,FOL_SAL_Tot_UOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_UOLSE_VWorW,FOL_Spanish_UOLSE_NWorNAA,FOL_Spanish_UOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_UOLSE_VWorW,FOL_Tamil_UOLSE_NWorNAA,FOL_Tamil_UOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_UOLSE_VWorW,FOL_Thai_UOLSE_NWorNAA,FOL_Thai_UOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_UOLSE_VWorW,FOL_Turkish_UOLSE_NWorNAA,FOL_Turkish_UOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_UOLSE_VWorW,FOL_Vietnamese_UOLSE_NWorNAA,FOL_Vietnamese_UOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_UOLSE_VWorW,FOL_Oth_UOLSE_NWorNAA,FOL_Oth_UOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_UOLSE_VWorW,FOL_Tot_UOLSE_NWorNAA,FOL_Tot_UOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LUatH_NS_SEO,F_LUatH_NS_UOLSE_VWorW,F_LUatH_NS_UOLSE_NWorNAA,F_LUatH_NS_UOLSE_Tot,F_LUatH_NS_NS,F_LUatH_NS_Tot,F_Tot_SEO,F_Tot_UOLSE_VWorW,F_Tot_UOLSE_NWorNAA,F_Tot_UOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_UOLSE_VWorW,PSEO_UOLSE_NWorNAA,PSEO_UOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_UOLSE_VWorW,POL_Afrikaans_UOLSE_NWorNAA,POL_Afrikaans_UOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_UOLSE_VWorW,POL_Arabic_UOLSE_NWorNAA,POL_Arabic_UOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_UOLSE_VWorW,POL_AIndLng_UOLSE_NWorNAA,POL_AIndLng_UOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Canton_SEO,POL_CL_Canton_UOLSE_VWorW,POL_CL_Canton_UOLSE_NWorNAA,POL_CL_Canton_UOLSE_Tot,POL_CL_Canton_NS,POL_CL_Canton_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_UOLSE_VWorW,POL_CL_Mandarin_UOLSE_NWorNAA,POL_CL_Mandarin_UOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot
201,0,24,..,964,76,1043,13,1053,..,126,9,143,0,143,..,115,16,124,0,126,..,14,5,20,0,20,..,35,4,38,0,38,..,27,3,32,0,32,..,242,19,265,3,264,..,33,6,37,0,38,..,47,0,47,0,49,..,36,0,42,0,42,..,46,8,52,0,57,..,10,0,16,0,16,..,52,12,56,0,56,..,152,3,152,5,162,..,49,0,50,0,50,..,174,6,179,0,182,..,57,0,59,0,59,..,425,6,435,6,445,..,137,16,146,5,153,..,70,3,73,0,71,..,101,15,116,0,118,..,15,3,20,0,20,..,117,21,136,0,139,..,794,80,875,17,889,..,4591,498,5087,65,5157,..,246,26,264,4650,4910,78822,4833,523,5352,4713,88886,153675,..,..,..,..,153675,..,93,0,89,0,89,..,211,9,220,4,225,..,41,0,41,0,37,..,155,34,194,0,193,..,829,234,1062,16,1073
202,0,24,..,616,45,661,8,667,..,165,14,180,0,180,..,51,0,55,0,55,..,22,0,18,0,18,..,35,8,41,0,41,..,20,0,20,0,20,..,241,21,259,3,264,..,21,0,17,0,20,..,27,0,25,0,28,..,26,4,27,4,29,..,31,0,34,0,34,..,0,0,0,0,0,..,17,0,17,0,17,..,171,0,169,0,173,..,61,5,68,0,68,..,171,7,180,4,181,..,83,13,92,0,92,..,487,32,517,6,521,..,110,4,119,0,118,..,47,0,49,0,49,..,82,13,101,0,101,..,20,4,21,0,21,..,86,24,115,5,117,..,1097,481,1577,28,1606,..,4127,843,4970,64,5039,..,205,42,253,4911,5165,75762,4336,881,5222,4976,85960,147380,..,..,..,..,147380,..,122,3,125,0,125,..,223,7,235,4,235,..,57,0,57,0,57,..,142,35,182,7,182,..,486,225,712,7,717
203,0,75,..,2212,174,2387,29,2415,..,1040,156,1197,15,1215,..,183,16,197,0,203,..,38,19,50,0,50,..,104,16,121,0,121,..,446,124,573,0,574,..,293,17,315,5,316,..,188,42,229,0,231,..,248,36,285,0,290,..,171,14,187,0,192,..,171,30,201,0,204,..,16,0,20,0,20,..,354,95,449,10,457,..,426,12,436,0,444,..,161,5,170,5,169,..,460,11,474,0,477,..,141,6,149,0,152,..,1193,34,1230,8,1239,..,466,69,535,5,544,..,179,22,202,6,202,..,270,61,331,0,331,..,157,25,181,0,181,..,352,135,486,10,495,..,2655,697,3356,69,3424,..,14635,2459,17092,215,17304,..,435,65,504,7385,7886,142627,15071,2523,17590,7600,167815,277053,..,..,..,..,277053,..,267,0,267,0,270,..,799,128,922,9,932,..,47,0,47,0,50,..,422,82,501,10,513,..,1765,448,2208,31,2241
204,0,12,..,637,84,725,12,737,..,531,70,603,7,612,..,59,4,62,0,62,..,24,14,40,0,40,..,19,3,27,0,27,..,14,0,14,0,14,..,96,10,107,0,107,..,9,3,16,0,16,..,45,11,54,0,54,..,28,6,32,0,37,..,38,0,42,0,42,..,9,0,9,0,9,..,42,6,46,0,46,..,174,11,178,0,178,..,39,4,38,0,42,..,191,5,193,3,199,..,43,13,60,0,60,..,442,33,470,4,476,..,113,9,121,0,121,..,43,8,44,0,44,..,133,27,155,0,155,..,22,0,25,0,25,..,98,67,166,4,166,..,789,173,962,19,977,..,4264,666,4926,69,4991,..,241,35,270,5730,6001,82777,4501,699,5192,5797,93770,163188,..,..,..,..,163188,..,119,0,119,0,122,..,147,24,173,3,174,..,60,3,65,0,65,..,95,32,131,0,133,..,467,168,636,5,641
205,0,24,..,768,63,826,4,832,..,697,109,806,11,816,..,57,18,76,0,75,..,38,14,53,0,53,..,36,7,51,0,51,..,13,3,19,0,19,..,231,14,251,7,259,..,15,0,16,0,16,..,115,22,136,0,138,..,41,3,44,0,44,..,85,9,92,0,92,..,16,6,15,0,15,..,64,11,73,0,73,..,348,10,358,3,364,..,75,12,84,4,84,..,319,15,333,0,334,..,142,10,151,0,155,..,888,45,926,8,939,..,235,29,262,0,269,..,77,5,92,0,94,..,205,63,266,6,269,..,32,7,36,0,36,..,186,94,276,7,280,..,1405,194,1599,38,1641,..,6940,1024,7962,109,8067,..,383,43,433,9870,10300,134649,7328,1066,8391,9973,153015,264484,..,..,..,..,264484,..,267,10,275,0,277,..,268,25,293,11,304,..,67,4,76,0,72,..,196,72,269,0,269,..,732,268,997,4,1000
206,4,688,..,6750,225,6984,54,7039,..,6070,1340,7405,42,7453,..,1443,197,1641,15,1656,..,160,15,174,0,174,..,1483,334,1822,10,1830,..,540,73,609,3,610,..,471,16,488,0,488,..,874,74,952,0,951,..,715,65,787,7,791,..,1148,66,1214,12,1228,..,1135,407,1540,13,1558,..,54,0,54,0,51,..,582,75,657,0,658,..,893,5,897,5,905,..,2057,87,2141,15,2159,..,1035,16,1048,3,1052,..,658,25,681,3,688,..,4637,132,4774,28,4803,..,4805,414,5221,47,5265,..,833,44,881,9,888,..,1701,380,2079,5,2087,..,1088,290,1382,16,1395,..,4082,1587,5668,46,5713,..,7798,1136,8938,177,9115,..,79781,14130,93919,724,94637,..,1021,159,1181,15622,16806,205627,80806,14292,95103,16346,317072,407221,..,..,..,..,407221,..,379,3,383,0,386,..,5992,973,6968,36,6999,..,121,0,119,4,123,..,7907,1781,9694,54,9746,..,25874,5340,31213,157,31371
207,0,415,..,5295,243,5538,27,5562,..,3315,423,3743,18,3761,..,607,65,678,3,679,..,92,36,130,0,130,..,1097,298,1399,14,1405,..,370,49,420,5,418,..,362,16,377,0,377,..,1948,291,2237,10,2250,..,317,20,336,5,338,..,217,7,231,4,232,..,310,36,345,0,345,..,30,0,30,0,30,..,193,26,215,0,215,..,329,4,336,0,335,..,887,62,956,5,964,..,439,9,448,0,449,..,270,9,277,0,277,..,1928,87,2015,6,2020,..,975,74,1051,3,1052,..,825,29,855,8,863,..,476,79,560,0,560,..,246,34,285,0,285,..,1981,413,2394,11,2407,..,2730,349,3083,89,3164,..,62461,14376,76835,543,77385,..,659,99,760,5506,6264,110019,63121,14477,77594,6050,193669,216411,..,..,..,..,216411,..,335,4,337,0,337,..,2854,243,3099,19,3116,..,18,0,18,0,25,..,16128,4143,20267,144,20414,..,38041,13906,51946,447,52396
208,3,370,..,4181,200,4373,31,4405,..,2108,238,2347,17,2364,..,947,135,1082,14,1096,..,154,46,197,0,199,..,531,116,651,0,646,..,140,17,156,0,158,..,285,12,292,0,298,..,340,45,387,0,393,..,953,82,1036,4,1044,..,485,35,522,8,527,..,3657,684,4342,32,4362,..,25,0,25,0,25,..,551,50,606,7,614,..,440,9,444,3,446,..,512,40,553,3,562,..,531,9,540,3,543,..,189,13,204,4,207,..,1672,69,1738,14,1753,..,1612,105,1719,18,1741,..,666,35,706,4,714,..,497,84,586,3,591,..,484,81,568,11,572,..,1179,198,1379,4,1387,..,5909,497,6401,126,6525,..,45173,6831,52002,454,52456,..,721,102,819,6632,7451,159382,45890,6933,52823,7087,219288,310343,..,..,..,..,310343,..,610,3,615,4,619,..,1391,125,1510,7,1521,..,24,0,28,0,28,..,3250,632,3882,37,3918,..,13095,3751,16840,139,16980
209,9,473,..,14041,1234,15275,143,15422,..,8368,1695,10060,65,10127,..,496,45,544,3,548,..,194,101,293,4,300,..,346,100,450,6,452,..,5183,1224,6405,50,6458,..,1669,93,1766,20,1789,..,1400,292,1690,18,1712,..,388,36,423,0,423,..,408,61,471,0,471,..,325,37,366,0,372,..,539,32,572,0,572,..,634,119,756,11,759,..,997,18,1014,4,1019,..,532,53,587,4,591,..,1180,35,1215,5,1219,..,466,31,504,3,509,..,3170,144,3315,20,3336,..,1494,147,1634,13,1652,..,1616,161,1777,16,1801,..,613,106,718,8,721,..,1060,276,1343,7,1345,..,3327,1450,4774,33,4805,..,7127,1160,8285,196,8480,..,75488,14723,90209,850,91061,..,1264,268,1536,9842,11373,171343,76754,14994,91742,10694,273777,339916,..,..,..,..,339916,..,452,5,461,3,461,..,13981,2556,16541,119,16662,..,125,6,127,7,133,..,3469,1201,4666,34,4705,..,10044,4734,14777,154,14927
210,6,373,..,17334,1874,19214,239,19457,..,6771,1386,8156,47,8207,..,246,22,268,5,272,..,41,13,56,0,60,..,160,52,218,3,222,..,622,93,716,9,726,..,892,54,941,10,948,..,393,107,501,9,508,..,436,53,492,3,494,..,311,35,343,0,351,..,184,17,200,4,201,..,1056,72,1132,17,1146,..,427,87,520,0,519,..,988,34,1017,11,1027,..,340,31,366,7,374,..,1189,45,1229,11,1236,..,387,30,419,6,419,..,2902,129,3033,24,3049,..,1274,181,1454,6,1464,..,624,59,687,9,699,..,496,103,602,0,605,..,6761,2105,8864,54,8918,..,1665,783,2449,14,2463,..,10913,3678,14587,199,14788,..,72356,15413,87765,835,88604,..,1530,475,2008,9479,11487,113298,73889,15884,89775,10312,213385,226091,..,..,..,..,226091,..,191,0,191,0,193,..,23503,5302,28804,225,29028,..,41,0,43,0,43,..,1455,562,2013,15,2029,..,2706,824,3532,40,3567
