SA4_CODE_2021,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
201,2392,3506,8079,7883,8355,7119,2270,372,38,40026,28,58,100,123,148,172,160,42,0,840,0,4,15,24,15,16,0,0,0,76,146,119,236,328,402,333,74,0,0,1635,0,8,38,45,61,34,6,0,0,193,21,62,196,224,216,163,43,0,0,928,25,32,69,76,97,81,22,0,0,403,687,644,794,631,735,694,139,14,0,4340,1008,539,489,376,326,292,78,4,0,3122,12,43,131,151,169,140,45,9,0,698,14,34,114,97,102,56,20,0,0,439,7,33,159,162,189,120,15,0,0,681,15,35,108,93,80,67,24,3,0,424,19,131,435,504,454,281,71,4,0,1899,30,78,210,232,284,207,44,4,0,1096,15,111,471,675,707,464,78,6,0,2519,105,276,1092,1335,1407,1047,235,13,0,5516,141,875,2378,2280,2495,2287,456,18,0,10922,83,104,131,170,142,113,33,0,0,774,53,153,324,248,240,177,50,9,3,1247
202,2242,3236,7509,7720,8029,6957,2397,389,41,38526,18,26,118,145,173,180,146,54,8,865,0,20,56,28,37,18,8,0,0,163,153,166,372,355,391,267,94,5,0,1795,0,23,38,66,72,30,10,0,0,238,28,67,182,185,226,167,30,3,0,902,9,27,75,72,79,87,21,3,0,381,783,550,686,589,729,644,141,18,4,4155,901,464,408,337,327,290,77,5,0,2812,4,27,83,93,155,154,32,3,0,552,13,30,79,68,91,57,20,0,0,345,8,54,236,416,331,189,26,5,0,1269,8,28,89,76,86,68,26,5,0,392,18,121,367,503,436,300,114,8,0,1871,34,87,242,212,275,271,53,3,0,1182,16,82,410,630,662,501,114,8,0,2423,78,253,920,1208,1278,950,235,10,0,4930,137,845,2414,2246,2378,2312,483,13,0,10827,52,75,113,149,141,98,29,4,0,670,63,118,286,275,255,205,66,5,0,1269
203,4275,7309,17804,17197,15959,12476,4075,578,47,79722,54,64,103,124,155,150,103,41,5,802,0,6,3,7,14,7,0,0,0,49,242,217,433,519,595,434,104,3,0,2548,0,24,152,147,123,60,5,0,0,520,28,163,492,532,429,287,92,10,0,2032,30,73,217,255,297,186,49,6,0,1116,1438,1555,1813,1530,1527,1220,277,16,3,9378,1971,1281,1010,614,608,468,114,14,3,6086,37,98,251,277,287,233,63,0,0,1250,42,47,124,174,118,81,20,0,0,605,4,79,644,802,631,279,62,4,0,2508,15,76,251,230,231,156,51,5,0,1019,33,306,1151,1218,1005,638,222,21,0,4601,41,166,448,519,551,423,116,5,0,2280,34,170,1066,1327,1358,927,179,14,0,5069,159,632,2320,2839,2572,1955,401,19,0,10896,220,1590,5083,4552,4610,4012,854,45,0,20960,130,173,285,242,205,132,39,7,0,1212,115,323,703,625,489,372,90,7,0,2722
204,2786,3397,7877,8025,8873,8620,3539,729,84,43930,67,91,190,243,318,457,458,166,13,1995,0,5,13,15,10,11,0,0,0,56,154,135,361,395,475,399,87,6,0,2018,0,5,22,41,18,30,13,0,0,123,18,82,227,246,302,243,55,8,0,1180,17,34,98,86,141,95,22,5,5,498,778,459,695,698,908,874,217,11,0,4646,961,438,570,458,557,455,138,10,0,3596,17,44,129,156,243,199,77,11,0,879,15,22,43,53,47,47,17,6,0,239,5,44,172,167,177,163,20,0,0,756,14,37,100,94,107,71,28,6,0,456,28,109,331,455,417,328,106,8,0,1780,29,72,231,267,350,299,65,10,0,1329,69,226,531,735,835,652,138,8,0,3203,96,256,1056,1312,1287,1091,264,15,0,5384,188,662,2003,2080,2468,2480,575,20,0,10490,59,70,115,93,109,87,27,0,0,558,57,128,311,254,273,198,64,7,0,1294
205,3811,5060,12301,12141,12855,12754,4799,911,106,64738,104,165,461,498,567,676,560,201,16,3263,0,12,27,35,37,30,5,0,0,147,167,148,358,381,477,397,95,10,0,2032,20,49,125,156,165,117,13,0,0,647,43,111,345,381,409,314,72,4,0,1680,31,54,135,149,196,167,40,0,0,770,1215,801,1172,1066,1409,1236,288,16,5,7205,1417,626,746,576,631,654,173,8,0,4836,21,43,134,163,264,307,71,10,0,1016,22,40,99,85,81,78,19,9,0,431,16,79,296,272,248,207,38,0,0,1152,23,83,164,182,188,132,52,3,0,828,46,169,569,605,485,466,180,19,0,2538,51,115,307,387,439,422,112,14,0,1836,40,231,883,1026,1084,810,176,5,0,4253,147,438,1542,1883,2169,1700,388,20,3,8281,217,1180,3380,3194,3714,3764,847,40,0,16320,111,91,207,219,207,184,57,7,0,1085,118,224,560,434,478,393,120,12,0,2337
206,3770,17052,66309,42879,28120,18732,6368,1170,84,184483,5,39,141,80,67,57,21,11,0,419,0,6,55,69,59,19,7,0,0,219,162,466,1766,1194,888,506,114,14,0,5109,6,76,429,481,238,94,6,0,0,1328,26,280,1466,871,550,353,88,10,0,3647,24,266,1067,801,635,345,88,14,0,3241,1257,3630,5578,2367,1738,1114,318,37,0,16041,2112,4163,5358,1664,862,454,128,19,0,14768,22,245,1062,707,626,331,71,7,0,3060,84,389,1775,1092,746,331,103,14,0,4523,23,635,3628,3020,1922,787,184,29,0,10236,26,260,1241,705,505,313,147,29,6,3229,81,2260,12259,6639,3824,1855,617,63,0,27600,59,649,2798,1262,867,544,152,21,0,6355,31,602,4137,3432,2609,1564,332,24,0,12728,394,1701,7227,4964,4142,3341,919,63,0,22753,213,3027,12817,6851,4992,4126,1233,117,5,33373,242,730,1863,1128,721,424,135,24,0,5273,112,662,2279,1268,880,618,150,21,3,5994
207,3768,9587,19730,19379,19753,15272,5437,1047,82,94056,0,14,49,21,42,48,27,7,0,210,3,0,14,32,37,8,5,0,0,96,221,207,527,685,727,444,103,17,3,2936,0,17,116,196,154,51,13,0,0,543,13,139,452,490,520,295,80,15,0,2003,36,141,430,640,629,358,81,13,0,2338,1263,2099,1888,1483,1633,1057,298,53,0,9773,1680,1280,996,713,743,447,108,9,0,5984,20,93,270,307,338,232,61,6,0,1338,53,146,300,400,321,149,46,5,0,1417,22,265,1202,1657,1315,611,150,23,4,5240,21,136,487,461,452,282,94,27,8,1967,84,947,2723,2647,2389,1353,420,66,4,10637,30,225,551,488,531,392,142,16,0,2374,15,254,812,989,1164,869,198,35,4,4334,357,926,2270,2408,3008,2573,706,74,0,12322,255,1776,4472,3886,4492,3830,1134,119,4,19974,207,289,280,244,261,139,73,12,3,1510,112,322,639,552,665,484,136,22,0,2922
208,4641,9055,21591,24584,25438,18224,6585,1141,118,111364,3,15,40,50,71,48,20,7,0,248,0,4,19,53,41,7,3,0,0,131,266,221,725,1023,1161,663,182,20,0,4261,3,20,153,265,219,72,15,0,0,746,25,171,639,778,713,456,140,19,0,2945,29,148,529,665,789,442,138,21,6,2759,1549,2096,1969,1761,1976,1365,422,47,3,11200,2154,1267,962,644,619,412,106,13,0,6190,22,100,311,444,449,290,79,7,0,1696,67,136,396,531,472,220,48,5,0,1866,14,197,1223,1918,1660,707,190,25,3,5938,19,129,501,536,605,339,147,32,3,2309,81,777,3046,3452,3059,1658,535,60,3,12676,34,180,671,668,799,480,162,17,0,3023,28,247,1109,1486,1682,1109,221,16,0,5893,390,978,2867,3359,4127,3149,867,77,0,15818,250,1680,4976,4618,5371,4340,1307,99,4,22646,268,309,395,408,436,241,73,12,0,2141,128,359,726,756,802,542,172,11,4,3501
209,5521,12248,32166,34310,28125,19652,5547,658,58,138284,12,41,140,122,118,92,43,17,6,582,0,3,17,15,35,10,4,0,0,82,354,323,988,1304,1434,929,206,21,0,5563,3,28,203,304,166,89,12,4,0,814,59,248,859,983,830,534,114,16,0,3645,41,148,481,615,672,416,89,4,0,2468,1782,2570,2744,2207,2303,1641,386,23,0,13659,2453,1522,1418,924,730,484,89,11,0,7633,33,200,687,794,675,449,87,3,0,2926,56,132,431,484,331,157,23,0,0,1622,15,268,1358,1703,1123,549,82,4,0,5105,25,157,483,383,370,253,59,10,0,1727,57,570,2553,2713,1904,998,254,22,0,9074,65,384,978,929,937,633,158,12,0,4084,55,415,1847,2314,2090,1254,267,22,0,8269,290,1029,4200,4674,4339,2832,564,37,3,17961,311,2474,7915,7733,6576,5047,1160,62,4,31280,233,341,500,458,374,190,62,4,6,2158,143,415,1162,1147,926,574,115,9,0,4500
210,4283,9642,26115,25409,19359,13954,3423,418,25,102630,30,22,62,84,78,61,38,15,0,387,0,3,10,15,17,7,0,0,0,51,176,239,828,987,978,727,145,9,0,4080,0,32,160,198,120,72,12,0,0,592,31,178,761,715,587,335,74,0,0,2680,25,127,371,444,448,291,56,9,0,1764,1416,1848,1993,1440,1574,1174,222,19,0,9680,1723,1031,917,689,584,360,66,9,0,5383,41,304,904,902,902,565,99,6,0,3724,44,80,261,270,178,75,17,3,0,928,12,240,1116,1290,788,423,79,0,0,3954,24,126,373,291,257,145,37,7,0,1258,30,393,1802,1669,1027,596,130,16,0,5664,43,324,859,730,713,438,105,12,0,3220,42,355,1392,1733,1534,929,172,3,0,6155,177,704,3137,3194,2771,1861,336,18,0,12201,175,1685,5307,4686,3785,2682,557,30,0,18900,134,219,295,260,178,126,39,0,0,1247,72,282,767,699,586,402,78,8,0,2896
