SA4_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
201,23453,1376,228,177,37,25275,22326,846,105,45,33,23358,8553,2229,628,27,19,11452,1006,569,110,0,3,1686,167,195,50,4,3,424,2765,385,97,36,13,3290,250,42,13,43,12,356,75,28,0,0,0,107,12818,3447,902,111,47,17320,926,193,29,12,4,1173,865,148,32,11,5,1070,60389,6016,1301,363,130,68196
202,23581,873,58,157,51,24713,22340,445,59,59,31,22934,7492,1592,172,32,10,9298,1024,543,83,0,0,1653,287,158,17,0,0,462,3004,290,40,27,17,3377,288,26,8,30,6,353,63,13,3,0,0,82,12150,2622,323,95,42,15230,890,58,8,19,4,981,811,94,15,12,5,935,59771,4094,465,341,128,64792
203,39726,2766,496,244,35,43272,41744,1889,360,28,31,44058,16802,4124,1317,49,35,22322,1622,903,114,0,0,2639,346,360,87,4,9,802,4288,782,181,28,23,5303,447,116,23,179,8,779,118,52,11,4,0,187,23619,6328,1739,267,75,32025,1590,570,36,62,9,2262,1391,246,50,15,10,1714,108078,11798,2681,609,162,123332
204,27457,960,79,275,41,28818,23182,410,55,56,35,23742,7081,1836,205,30,15,9169,1398,585,65,0,0,2046,159,120,6,0,0,288,3058,355,58,20,15,3497,809,65,18,64,18,973,82,37,0,0,0,115,12572,2993,354,112,54,16086,1266,167,12,19,19,1481,1252,302,18,76,15,1658,65727,4830,522,544,158,71790
205,47068,1754,780,745,75,50432,37523,647,263,40,48,38528,11254,1752,1385,33,22,14452,1559,689,408,4,5,2666,360,189,141,0,4,693,4925,336,198,30,26,5517,708,69,57,155,11,996,136,40,24,3,0,209,18942,3074,2208,232,73,24532,1733,272,139,57,7,2202,2018,194,108,64,19,2397,107293,5944,3495,1132,226,118088
206,24752,15881,18953,201,67,59852,19048,16418,29966,280,67,65786,8709,19650,86070,756,194,115387,277,2109,8246,3,6,10639,120,347,1693,5,11,2182,2412,4155,9862,224,59,16707,144,181,800,26,30,1185,38,60,304,0,6,418,11705,26506,106978,1026,302,146512,729,941,2484,28,11,4194,577,547,1803,25,47,2994,56817,60286,160187,1557,492,279332
207,39232,9712,4621,40,36,53641,28010,8025,5621,22,26,41710,10489,7957,12335,127,42,30942,368,423,385,0,4,1180,94,174,248,0,8,521,2536,1461,1588,44,11,5634,277,156,234,9,4,678,55,38,56,0,6,155,13817,10213,14846,174,68,39110,1227,952,880,3,8,3067,811,301,349,9,8,1467,83097,29207,26312,248,145,139003
208,37832,12353,6324,221,37,56772,34381,12632,8918,153,32,56121,9811,10472,15863,368,45,36559,421,759,826,0,0,2019,85,184,433,4,0,707,2352,2019,1940,102,18,6431,175,105,157,77,9,517,57,50,65,0,0,177,12904,13599,19287,555,75,46413,948,609,890,56,6,2511,871,448,518,25,3,1866,86938,39639,35941,1012,153,163682
209,53733,4959,1528,43,22,60282,65903,8286,2290,49,29,76562,21096,9896,4883,111,37,36014,1802,1557,428,0,3,3793,257,263,243,0,3,770,4725,1303,564,49,14,6651,865,190,86,17,5,1163,126,77,31,0,0,230,28866,13282,6228,178,68,48620,1641,711,245,15,11,2621,2062,447,139,10,17,2670,152210,27683,10439,291,141,190761
210,37159,4016,628,59,18,41877,51986,7292,828,22,25,60154,15496,8092,1594,48,37,25263,1420,621,312,0,5,2359,169,117,90,0,0,379,4140,1056,255,32,9,5499,916,204,47,107,8,1285,152,51,9,5,3,221,22298,10142,2304,184,71,34992,1346,442,69,3,5,1864,1844,376,63,5,11,2299,114632,22259,3902,269,128,141191
211,59852,5109,781,126,33,65898,72045,5962,1283,25,44,79356,19632,5409,1440,36,25,26549,1415,923,247,0,4,2588,291,300,155,0,6,750,4934,832,230,20,21,6037,411,111,23,66,5,614,106,55,16,3,3,181,26781,7617,2111,126,67,36705,1846,1408,150,8,6,3420,1595,453,68,3,10,2123,162108,20554,4387,287,164,187508
212,68680,6918,2860,143,36,78630,103545,10250,3592,18,56,117469,37773,11354,7062,48,91,56322,2539,1212,812,0,3,4568,336,257,324,0,3,918,8472,1736,884,22,29,11140,1570,380,181,266,16,2407,273,91,53,9,4,428,50959,15031,9314,342,140,75778,2603,1539,883,14,5,5047,3330,729,320,13,15,4409,229110,34469,16976,534,252,281345
213,61537,7241,1907,135,44,70866,102179,12768,3615,60,71,118690,42272,12215,7745,131,76,62445,2257,1651,806,0,4,4717,489,396,367,0,5,1258,8675,2002,926,68,19,11688,1498,358,165,152,23,2193,345,100,57,3,4,505,55534,16718,10065,361,127,82806,2490,863,351,17,6,3717,3757,696,283,21,14,4770,225490,38287,16213,603,259,280854
214,36069,4448,852,356,29,41752,40047,3839,489,19,14,44407,13203,4554,1132,42,22,18958,1239,582,190,0,3,2009,171,165,42,3,3,384,3463,789,190,24,11,4478,506,114,29,262,3,921,101,42,10,4,0,162,18677,6252,1594,344,49,26919,1380,1247,155,17,5,2800,1325,363,73,26,7,1794,97497,16148,3167,761,101,117669
215,23547,739,276,274,50,24884,17123,249,90,33,16,17516,5379,1194,928,24,18,7547,1003,436,284,0,3,1728,162,80,152,0,0,392,3324,287,166,36,20,3836,793,61,60,171,26,1110,99,26,32,18,3,181,10764,2089,1618,253,70,14798,1453,110,87,26,17,1692,1107,105,77,55,15,1363,53993,3297,2152,649,166,60251
216,18665,914,22,436,28,20060,16221,319,4,42,19,16610,5032,1737,49,21,9,6849,1053,522,15,4,0,1594,174,134,28,15,0,357,2612,300,9,47,13,2974,514,79,4,171,11,782,87,39,0,6,0,140,9475,2811,110,252,33,12683,962,135,0,106,4,1209,953,172,3,64,10,1205,46286,4356,131,910,88,51776
217,20631,794,111,139,33,21710,15193,337,81,44,20,15669,3934,1164,329,42,4,5472,875,374,102,3,0,1356,127,97,54,0,0,278,2575,277,79,18,12,2960,516,80,31,72,13,710,57,34,7,0,0,101,8088,2024,603,134,28,10875,1283,118,54,13,10,1484,789,104,18,13,5,929,45986,3380,864,343,93,50664
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
