SA4_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
201,941,2841,774,954,73,6855,1423,1061,3960,2089,2887,291,11710,76,46,308,162,310,22,932,91,42,212,338,1282,44,2012,73,23,285,225,764,249,1621,4874,3143,14321,8732,21193,1598,53867
202,994,2579,632,847,79,6217,1502,1125,3966,2103,2751,306,11752,87,60,285,146,244,28,845,92,52,289,334,1308,41,2121,85,55,269,191,714,236,1557,4631,3413,14409,8393,20223,1604,52674
203,1758,6015,1748,1654,159,14173,2725,2033,8410,3914,5207,520,22812,157,81,610,354,492,39,1736,200,100,604,791,2369,101,4161,273,85,823,544,1349,496,3563,11311,6288,34575,19097,38794,3026,113090
204,947,2484,880,1143,76,6395,906,915,3206,2360,3074,305,10766,54,39,192,176,291,19,771,59,43,207,331,1598,49,2284,66,32,231,260,943,312,1847,3347,2976,12627,10294,26150,2102,57500
205,1260,3804,1276,1742,162,9571,1471,1193,4838,3526,4994,524,16541,78,53,355,273,494,37,1286,83,58,309,514,2626,98,3681,70,51,339,399,1522,496,2883,4720,3856,17921,14247,40103,3262,84108
206,3639,12109,1943,1255,318,32766,12447,3903,19457,3876,2886,730,43304,1439,487,4360,1205,932,130,8551,1301,357,2723,1463,2353,198,8400,2123,376,4962,1354,1301,1195,11318,71344,18929,142718,34436,33270,6493,307189
207,1841,6380,1198,806,174,16005,6466,2019,11706,2687,1943,569,25381,333,131,1073,331,274,40,2183,587,200,1369,768,1259,92,4274,1067,196,2407,695,704,628,5695,33201,9043,66895,17876,16788,3395,147204
208,2497,8205,1874,1339,269,19854,5633,2215,11615,3614,2918,618,26621,395,169,1441,514,514,72,3101,505,180,1353,959,1970,138,5105,1087,229,2776,977,1118,783,6961,31036,10557,74968,24388,27917,4376,173248
209,3054,8856,2564,2341,299,22624,5812,2800,13095,5901,5992,898,34497,329,169,1221,559,675,54,3000,593,170,1286,1406,3582,198,7232,858,173,2042,1124,2212,991,7406,27714,10520,65385,32405,51283,5696,192999
210,1816,5845,1776,1764,229,14466,2964,1551,7502,3821,3817,591,20238,140,84,689,350,440,35,1736,292,89,836,987,2751,143,5096,573,109,1426,917,1797,884,5716,16140,6210,42575,24068,38994,4467,132458
211,2885,9263,2682,2393,263,22475,4204,2597,11417,6092,6452,787,31556,231,113,954,555,716,47,2614,619,219,1449,1480,4379,161,8299,764,166,2071,1193,2528,817,7532,23226,9922,62038,32635,57816,4868,190512
212,2781,9937,3423,3012,390,26245,6710,2950,18359,9631,10138,1321,49109,281,114,969,668,972,73,3080,736,206,1937,2289,5765,322,11265,1772,210,3696,2296,4280,2039,14290,40109,10843,90918,51025,78505,9559,280963
213,3262,10488,3294,2920,430,26626,6192,2972,15748,7513,7815,1099,41337,448,177,1691,856,1065,119,4364,749,219,1866,1970,4743,285,9828,1684,206,3413,1914,3481,1957,12653,42638,12531,96619,47359,71908,9369,280420
214,1475,5033,1487,1457,196,11546,1795,1286,5737,3730,4543,489,17577,112,84,510,369,584,53,1717,142,79,509,770,2529,90,4117,188,94,840,701,1639,476,3948,7156,4693,26205,19206,39073,3187,99523
215,604,2092,595,852,81,4624,652,572,2428,1876,2688,271,8488,12,27,107,97,205,13,465,34,21,116,230,1284,44,1733,28,17,150,177,693,324,1385,1892,1767,8805,7252,20136,1999,41846
216,610,1674,523,720,66,4043,703,550,2351,1767,2361,275,8018,13,12,74,70,172,12,356,45,33,136,261,1239,52,1762,31,14,136,174,686,262,1309,1980,1676,8017,6580,17620,1636,37506
217,485,1785,462,696,56,4062,689,629,2395,1543,2332,250,7844,28,16,118,88,193,13,452,44,16,112,211,1028,32,1441,34,20,139,136,610,227,1170,2165,1697,8731,6303,17903,1557,38348
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,6
299,10,25,9,9,0,76,35,13,52,24,41,8,167,3,0,16,4,12,0,32,0,0,8,5,14,0,35,4,4,21,8,23,16,68,149,53,385,164,432,59,1239
