SA4_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
201,31077,19625,20702,20511,22505,22951,21034,11207,4317,173937
202,30064,18181,19470,19900,21340,22501,20611,11184,4517,167764
203,59198,37910,43726,42274,40725,39586,36603,19915,7951,327878
204,31652,19268,19590,20571,23472,26908,24963,13515,4995,184935
205,51030,29655,32721,32526,36176,44190,43532,23088,7929,300848
206,66953,80744,165518,101098,72005,57113,40849,22859,9883,617018
207,58821,50778,48770,47868,50484,44690,35247,24535,12274,373472
208,73150,49514,52356,58144,62017,50866,40065,24201,12330,422639
209,103492,63637,79907,82221,70726,59510,45359,25301,10509,540664
210,88099,51930,66484,63605,52242,44310,31338,18511,7813,424328
211,92299,60902,63632,71380,71072,65046,52068,30085,11817,518301
212,171128,112253,135372,128149,105254,87733,65298,38777,16090,860060
213,184300,100641,143011,145115,103717,80576,57764,27656,10261,853054
214,53347,32838,33635,37531,41592,40137,37037,23071,9042,308226
215,27029,16235,19014,17096,18791,22053,19161,11254,4936,155568
216,24877,14995,15849,15095,17103,18610,16928,10196,3977,137618
217,21799,13297,13911,13918,16268,18691,17082,9292,3801,128069
297,0,0,6,16,3,14,4,0,0,38
299,1143,1131,1819,1736,1393,1074,613,152,29,9089
