SA4_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
201,15154,1371,835,159,27,12,102,17656
202,15159,1326,735,135,19,11,89,17477
203,32720,2638,1249,220,32,17,131,37007
204,15519,1506,837,139,35,13,135,18189
205,24419,2547,1484,232,43,19,224,28962
206,43914,2376,655,157,21,3,65,47193
207,45817,1889,644,222,18,3,79,48678
208,51187,2649,885,159,8,3,71,54958
209,67118,3664,1709,534,36,14,167,73257
210,53890,2632,1257,492,51,19,144,58480
211,63506,4209,1821,466,53,13,173,70230
212,106538,6350,3261,1353,113,72,338,118031
213,105035,6138,3176,1383,135,61,384,116327
214,29800,2845,1374,206,46,17,133,34416
215,12718,1120,708,142,23,11,116,14844
216,11811,1063,668,146,18,4,96,13807
217,11193,909,522,76,17,0,92,12805
297,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0
