SA4_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
201,680,703,351,187,273,96,46,2338,343,442,251,182,226,75,34,1550,413,418,244,179,193,57,21,1524,5781,6051,3777,2519,2956,917,295,22295,36,41,13,12,9,0,0,114,7253,7654,4638,3071,3653,1149,398,27820,46,83,64,40,62,24,11,328,88,154,104,83,99,35,19,584,36,80,70,47,55,18,3,312,1281,1806,1259,946,1054,246,111,6703,38,62,35,27,7,8,0,181,1490,2189,1537,1148,1281,321,148,8103,8746,9848,6177,4221,4934,1466,547,35929
202,719,761,340,218,320,149,54,2562,380,435,278,187,221,72,32,1607,347,417,225,150,153,40,21,1355,5744,6030,3520,2344,2878,933,336,21787,40,22,18,17,9,0,0,116,7232,7670,4386,2915,3578,1194,453,27425,51,70,61,43,58,26,10,318,94,169,121,66,103,32,11,592,30,61,59,52,66,23,9,304,1129,1754,1175,880,957,259,101,6255,48,47,35,20,9,0,0,167,1346,2108,1451,1062,1193,337,134,7631,8579,9773,5834,3974,4770,1536,584,35056
203,1967,1843,946,659,778,443,189,6819,1196,1262,702,428,563,259,118,4523,1308,1262,675,361,451,202,92,4348,11498,11516,6423,4232,5184,2020,851,41724,54,55,36,29,20,5,4,201,16019,15935,8776,5700,6987,2927,1258,57609,130,220,163,131,189,112,72,1020,174,325,249,176,202,89,30,1253,82,163,156,93,137,43,33,714,1515,2538,1712,1313,1713,567,242,9598,85,92,50,35,21,12,6,299,1996,3336,2333,1750,2269,829,382,12884,18014,19266,11110,7457,9257,3757,1634,70488
204,499,523,284,178,230,74,34,1821,317,372,304,186,190,61,20,1468,425,468,284,168,181,44,8,1583,6119,6232,3924,2686,3242,746,201,23155,31,48,26,21,12,0,0,141,7391,7649,4826,3236,3858,935,266,28157,29,53,43,35,57,26,13,265,74,115,101,71,85,31,14,485,36,81,41,46,71,9,11,288,1150,1779,1267,869,1060,238,72,6431,63,47,39,24,10,3,5,190,1355,2074,1502,1044,1285,305,104,7659,8745,9724,6322,4276,5141,1235,373,35813
205,794,881,462,285,348,135,49,2954,593,673,415,303,391,84,37,2495,747,686,414,278,315,82,23,2540,9737,9881,6073,4068,4767,1307,428,36267,66,92,53,31,20,3,0,267,11934,12215,7417,4959,5839,1621,537,44519,59,106,87,54,91,46,15,461,144,241,177,146,141,33,17,904,67,133,101,85,111,31,12,541,2096,2978,1980,1491,1637,376,116,10673,114,145,82,54,45,7,0,445,2485,3600,2427,1834,2021,487,168,13027,14423,15819,9847,6797,7861,2103,705,57550
206,5721,4492,2012,1146,1424,981,548,16318,2487,2031,1155,766,985,597,312,8329,3088,2406,1150,649,783,507,235,8812,9590,8346,4977,3433,4456,2940,1331,35070,61,72,33,13,8,3,0,192,20937,17341,9330,6007,7655,5026,2421,68719,693,1014,734,541,777,670,404,4831,293,408,303,244,321,194,132,1891,190,380,258,176,238,147,76,1470,596,1145,914,704,1022,653,377,5411,140,125,53,37,26,14,7,400,1913,3073,2260,1699,2387,1675,1000,14006,22852,20415,11590,7705,10044,6703,3416,82730
207,6542,8446,4325,2791,3341,2477,1612,29529,1188,1286,916,599,931,603,361,5889,1574,1673,1024,693,915,620,339,6836,4765,5898,4639,3480,5332,3752,1955,29829,54,54,31,19,14,4,4,183,14121,17361,10933,7575,10534,7462,4273,72265,408,1090,827,724,1078,837,566,5531,139,215,187,136,215,178,110,1179,94,207,158,124,199,130,76,992,300,630,667,580,900,601,347,4032,37,47,23,15,14,10,11,155,986,2187,1869,1584,2399,1758,1114,11887,15102,19544,12801,9161,12936,9223,5384,84152
208,4962,5928,3315,2069,2682,1770,1048,21776,2417,2565,1599,1055,1332,832,404,10208,2610,2723,1597,1013,1280,744,416,10384,9121,9929,6658,4651,6514,3979,2098,42938,64,68,40,25,16,10,3,229,19176,21221,13208,8812,11824,7330,3964,85530,239,633,544,446,601,490,281,3236,222,388,307,252,384,242,136,1930,148,304,246,169,251,164,107,1380,571,1158,1045,840,1245,821,441,6119,45,56,36,28,23,7,0,200,1226,2535,2177,1737,2509,1722,963,12864,20398,23754,15386,10549,14328,9050,4925,98393
209,10373,10460,4917,2883,3729,2464,1486,36316,2735,2651,1473,938,1249,663,373,10084,2636,2454,1211,743,905,499,262,8706,14292,13980,8143,5406,6978,3591,1722,54108,123,145,71,30,24,9,3,399,30157,29688,15820,9997,12886,7234,3844,109618,544,1000,716,549,794,529,375,4507,370,550,425,304,415,196,112,2378,196,346,215,177,254,151,92,1439,1661,2629,1927,1485,1990,835,436,10964,90,103,59,52,24,16,10,349,2862,4643,3343,2574,3481,1719,1023,19637,33019,34327,19159,12571,16363,8949,4869,129261
210,11244,11263,5815,3503,4537,2983,1807,41145,2489,2288,1280,859,1081,567,261,8824,2072,1831,843,544,619,349,180,6446,10061,9280,5114,3314,4288,2070,982,35110,149,122,70,43,26,5,5,434,26016,24787,13119,8266,10555,5975,3234,91951,674,1038,773,604,873,614,370,4948,393,588,380,301,346,176,97,2288,154,322,228,163,220,120,48,1252,1359,1998,1241,931,1299,567,280,7683,87,118,85,51,39,17,3,399,2669,4064,2712,2045,2788,1484,806,16573,28685,28852,15834,10318,13340,7460,4040,108519
