SA4_CODE_2021,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
201,64,96,202,189,225,189,73,31,10,1065,2463,3424,7677,7967,8501,6927,1676,166,17,38819,117,187,424,454,544,633,456,184,21,3024,15,32,163,154,138,94,18,0,0,612,285,410,974,1209,1527,1192,279,18,0,5895,4,31,159,196,205,176,36,0,0,801,458,968,1964,1656,1357,1139,269,16,0,7832,63,103,267,292,359,312,89,10,0,1488,1165,1146,1440,1091,1242,1068,295,31,0,7483,1763,932,942,671,551,483,149,17,0,5507,33,132,500,575,700,744,238,31,3,2950,32,67,224,234,239,147,47,5,0,995,7,58,244,332,380,215,60,5,0,1310,16,60,189,181,172,166,66,12,0,863,41,244,902,1038,958,648,232,29,0,4093,51,168,424,432,490,431,117,8,0,2124,25,165,913,1305,1424,1035,182,12,3,5065,159,387,1524,1872,1929,1490,384,26,0,7766,170,1075,3017,2860,3207,2888,635,33,0,13885,159,175,294,296,280,222,76,11,0,1511
202,80,89,191,214,201,199,61,32,3,1069,2405,3165,7375,7864,8316,6983,1788,186,17,38101,83,138,400,476,547,628,444,182,23,2932,16,93,361,325,263,161,32,0,0,1240,304,561,1412,1286,1341,1132,301,29,0,6368,7,41,152,215,243,203,42,0,0,896,402,819,1683,1436,1384,1079,255,30,0,7092,41,91,232,264,318,309,75,16,0,1345,1350,998,1217,1066,1181,1026,304,37,4,7184,1584,781,768,571,527,446,145,15,0,4836,32,109,363,434,631,751,230,27,0,2580,16,67,170,169,201,112,41,4,0,792,16,113,444,726,640,341,63,15,0,2350,18,60,144,145,164,139,71,12,3,757,36,213,720,995,936,632,293,40,0,3873,53,148,417,394,488,465,140,10,0,2111,19,180,796,1208,1425,1095,261,16,0,5009,108,357,1279,1675,1716,1361,370,18,0,6871,163,999,3003,2858,2988,2868,688,30,3,13606,101,152,223,243,279,191,77,10,0,1279
203,104,193,503,478,438,314,108,30,12,2178,4689,7238,17065,17023,16262,12339,2955,251,27,77847,119,192,362,388,488,488,331,135,22,2529,6,15,87,77,105,84,30,0,0,407,418,687,1843,1966,2273,1735,404,35,4,9368,11,66,453,486,463,339,49,3,0,1867,796,2122,5012,4179,3299,2173,513,50,7,18147,90,264,684,892,1034,773,198,26,0,3966,2405,2763,3250,2644,2514,1993,564,52,3,16182,3426,2117,2066,1191,989,769,252,28,0,10844,110,320,1192,1269,1328,1363,450,32,0,6067,59,113,287,416,338,202,70,9,0,1481,8,174,1074,1412,1138,583,152,17,4,4557,30,148,438,445,444,339,120,19,0,1982,63,610,2321,2485,2158,1442,680,88,7,9853,106,347,854,978,1008,849,301,26,0,4470,54,331,2076,2660,2710,1892,424,47,3,10190,249,857,3306,4063,3542,2837,677,37,0,15565,272,1952,6388,5808,5741,4980,1167,78,0,26397,274,345,601,488,428,309,108,14,0,2583
204,95,102,214,248,280,226,119,46,10,1348,2673,3023,7415,8104,9326,8411,2496,345,34,41823,193,293,656,752,1029,1344,1316,567,67,6204,10,28,63,102,91,78,17,0,0,386,320,535,1297,1497,1693,1510,375,24,4,7260,3,24,119,168,205,198,47,0,0,767,481,932,2109,1759,1724,1499,411,34,0,8942,76,108,285,342,419,355,108,24,0,1722,1334,782,1245,1173,1409,1353,394,47,3,7745,1712,757,996,806,868,739,279,23,0,6185,37,155,504,645,897,1013,401,39,4,3690,24,34,91,115,120,98,29,7,0,520,14,56,232,280,287,253,54,9,4,1194,19,56,159,155,192,143,66,18,3,807,51,163,581,757,760,635,291,44,0,3284,72,150,431,497,589,562,150,22,0,2477,272,607,1348,1557,1743,1428,322,16,0,7291,132,313,1354,1694,1702,1509,432,28,0,7163,213,756,2421,2492,2936,2998,770,44,0,12623,107,122,213,204,227,192,81,0,0,1151
205,150,156,359,364,382,389,153,49,20,2027,3944,4803,11870,12057,13620,12446,3466,431,43,62688,335,524,1392,1485,1647,1934,1599,599,90,9604,4,48,199,348,374,287,45,6,0,1310,394,575,1545,1546,1833,1699,416,36,0,8046,29,146,567,800,892,920,125,8,0,3490,731,1421,3378,2812,2649,2264,564,36,6,13863,122,150,449,513,627,600,184,21,0,2665,2016,1389,2034,1847,2160,1942,568,54,4,12016,2477,1106,1262,955,989,982,320,29,0,8121,63,173,574,675,1062,1260,408,57,3,4264,40,122,276,195,213,187,60,13,0,1106,19,110,394,420,429,338,100,12,4,1814,35,112,264,314,317,278,136,23,0,1475,77,289,993,1131,967,967,509,87,0,5028,107,225,601,714,803,795,259,25,0,3529,74,423,1748,1924,1966,1648,392,30,0,8209,199,599,2024,2464,2720,2284,615,39,3,10940,248,1369,4039,3846,4437,4589,1145,63,0,19716,206,171,341,373,359,348,123,25,0,1948
206,139,726,2565,1369,943,532,199,44,8,6521,5020,20814,69497,39943,27824,17704,5032,543,31,186423,15,106,340,205,184,136,74,40,0,1107,0,25,169,194,162,83,24,0,0,665,244,991,4427,3214,2582,1743,437,77,8,13724,13,160,1178,1191,651,278,55,5,3,3533,258,1674,7895,4356,2990,1920,507,77,5,19679,85,556,2365,1874,1591,974,298,61,3,7799,2059,6060,10031,4720,3204,2018,637,94,7,28823,3575,7673,11155,4057,1900,1053,332,53,6,29808,107,863,3457,2412,2014,1399,366,39,0,10659,146,777,3782,2692,1762,889,246,36,4,10337,55,1431,8226,6816,4224,1937,505,103,15,23311,43,509,2427,1597,1093,762,382,96,11,6912,167,4129,25324,15101,8760,4778,1840,293,13,60409,131,1222,5232,2535,1647,1104,327,44,0,12248,67,1143,7504,6162,4717,3039,721,58,0,23407,651,2747,11236,7912,6201,5037,1508,136,7,35436,301,3842,17889,9964,7138,5908,1977,240,10,47267,426,1416,4023,2366,1432,885,348,66,5,10961
207,94,279,777,781,692,460,147,35,17,3285,4486,9575,19247,19090,20103,14068,4035,552,50,91205,15,38,116,84,116,102,74,30,0,577,6,10,45,89,94,77,26,4,0,353,316,538,1474,1756,2111,1618,470,81,5,8381,5,71,304,467,389,226,58,5,0,1519,249,1211,2836,2398,2510,1665,481,98,4,11447,85,344,1002,1330,1545,1051,308,62,10,5746,2187,3896,3637,2788,2938,2086,646,131,4,18305,2962,2591,2185,1554,1474,1040,277,33,0,12119,79,434,1011,1095,1179,1072,332,37,4,5238,97,348,765,1013,953,493,116,23,4,3806,46,675,2601,3599,3129,1539,426,70,8,12096,39,274,1013,1017,978,639,245,75,13,4294,161,1931,5792,6086,5628,3703,1452,287,19,25059,98,525,1229,1000,1113,859,321,47,0,5193,30,485,1651,1863,2082,1780,487,71,3,8446,635,1532,3438,3493,4060,3607,1103,134,6,18010,365,2344,6187,5550,6245,5381,1823,246,17,28157,480,626,699,535,507,326,145,24,4,3357
208,140,285,866,989,973,529,190,49,19,4047,5478,9333,22138,24399,26030,17070,5006,545,49,110029,12,43,107,123,175,138,65,34,0,698,0,3,56,146,150,92,20,0,0,481,405,598,1839,2584,3233,2374,706,97,12,11845,14,82,390,667,596,318,74,0,0,2151,436,1552,4248,4003,3671,2389,730,89,9,17122,103,382,1162,1626,2021,1370,444,77,13,7209,2647,3750,3755,3259,3606,2536,936,133,4,20619,3788,2420,2146,1468,1237,844,232,33,9,12166,89,372,1140,1380,1536,1258,421,45,4,6238,118,275,911,1250,1271,684,145,16,0,4684,25,563,2627,4343,3943,1842,500,90,21,13958,45,242,921,1148,1186,755,366,87,11,4759,152,1601,6130,7733,7166,4257,1671,288,20,29015,118,429,1314,1325,1654,1115,384,60,0,6394,70,469,2183,2699,3106,2210,541,56,6,11346,678,1528,4121,4726,5472,4327,1289,122,9,22258,356,2132,6496,6115,6897,5749,1974,223,11,29953,569,678,918,872,865,527,182,35,3,4642
209,146,409,1158,1116,879,563,159,48,9,4486,6133,11675,30120,30935,26794,17693,3943,327,17,127634,35,97,308,289,297,244,122,41,11,1444,0,17,85,111,122,88,23,0,0,440,590,1064,3301,4311,4622,3464,855,86,0,18291,14,93,570,870,590,395,90,7,0,2631,1115,3149,7831,6840,5511,3420,790,86,4,28749,135,449,1334,1747,1915,1294,332,31,3,7234,3027,4512,5221,4201,3941,2737,738,72,5,24462,4145,2771,2873,2064,1410,985,219,18,0,14489,128,840,3004,3515,2944,2367,604,47,0,13452,99,292,986,1360,931,481,73,8,0,4233,30,533,2582,3610,2361,1109,209,11,0,10458,46,267,864,798,748,493,157,34,5,3409,116,1134,5383,6385,4298,2391,743,101,0,20547,155,776,1931,1851,1818,1331,381,40,0,8277,127,910,3777,4708,4193,2771,639,73,5,17199,429,1428,5803,6489,5760,3966,968,71,3,24908,394,3016,10089,9959,8385,6436,1592,106,11,39981,461,659,1033,919,683,382,153,20,5,4315
210,153,390,968,808,646,428,116,25,3,3541,4344,8577,22288,21106,17742,11698,2369,184,9,88314,40,59,185,184,210,171,98,60,7,1014,0,10,50,74,78,57,12,4,0,270,354,881,2889,3402,3302,2570,508,42,0,13948,12,103,491,608,423,296,56,6,0,1989,861,2476,6464,5106,3904,2288,497,33,0,21627,92,323,1025,1303,1282,962,196,26,0,5211,2307,3069,3841,2921,2702,1989,432,44,0,17306,3055,2074,2135,1531,1075,745,156,14,0,10792,170,1138,3692,4011,3364,2640,548,44,0,15607,85,175,679,863,520,261,32,7,0,2616,24,430,2109,2544,1443,754,163,13,0,7471,40,206,686,614,513,312,99,15,0,2489,65,776,3708,3896,2277,1330,387,52,0,12486,118,680,1707,1527,1330,937,242,35,0,6581,96,786,2985,3368,2880,1942,417,23,0,12495,281,952,4188,4157,3531,2515,546,46,0,16220,222,2037,6541,5918,4680,3379,791,58,0,23629,277,404,643,581,370,256,85,9,0,2631
