SA4_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
201,374,667,683,600,1651,2324,924,2868,113,10196,859,1744,1987,1811,3230,3618,1093,1876,115,16335,418,930,867,683,2625,3344,847,1520,178,11414,1010,2409,1945,1394,1589,1195,261,477,137,10425,442,1387,1505,986,2542,1549,376,423,66,9283,492,2449,1177,546,1010,731,212,266,85,6974,243,413,364,241,853,1036,388,926,76,4541,586,2326,1193,662,1370,1228,340,506,169,8379,123,132,82,59,188,189,46,135,358,1300,4543,12450,9811,6976,15066,15210,4492,8995,1294,78847
202,370,637,704,617,1680,2297,893,2753,133,10079,957,1887,2140,2128,3407,3381,1073,1893,102,16968,454,896,820,654,2248,3111,733,1370,151,10452,910,2229,1857,1250,1539,1118,262,468,141,9777,412,1330,1428,928,2303,1428,307,449,59,8631,451,2348,1048,467,914,646,163,312,94,6435,248,413,318,246,809,904,326,1036,87,4391,513,2375,1151,747,1506,1315,334,528,160,8630,86,148,88,61,195,185,39,118,336,1258,4404,12264,9558,7106,14602,14384,4139,8924,1255,76625
203,761,1229,1367,1154,3555,4933,1779,4768,163,19701,1974,4030,4461,3828,7474,7855,2274,4088,253,36238,941,1962,1758,1345,5075,7003,1730,2846,303,22959,2088,5262,3937,2347,2779,2587,644,899,272,20819,831,2715,2767,1847,4639,3218,684,914,143,17750,1056,5053,2195,972,1853,1457,359,607,148,13697,408,922,814,548,1768,2181,739,1489,162,9030,936,4542,2057,1033,2140,2265,491,980,248,14689,177,275,184,144,444,455,80,242,661,2675,9178,25995,19535,13215,29739,31950,8780,16836,2344,157566
204,470,932,976,781,1911,3001,1090,3895,194,13250,787,1447,1814,1759,2790,2906,941,1720,126,14298,602,992,917,787,2780,3944,969,1811,234,13044,1046,2309,1938,1336,1729,1549,399,631,206,11155,430,1361,1398,1043,2285,1602,358,479,106,9056,479,2197,1143,605,1063,737,176,365,125,6876,342,435,456,311,1206,1416,475,1277,126,6046,708,2757,1262,809,1760,1687,397,798,237,10412,117,158,93,89,230,236,44,155,489,1610,4993,12585,10013,7529,15737,17089,4854,11134,1828,85750
205,722,1331,1373,1051,2472,3822,1318,5459,314,17870,1240,2511,2704,2500,4138,4135,1333,2533,163,21254,937,1636,1493,1146,4366,5867,1401,2763,383,19990,1631,3879,3286,2050,2375,1687,479,713,276,16378,744,2422,2434,1649,3561,2324,464,646,128,14383,760,3829,1885,948,1636,1148,270,492,166,11133,471,642,644,429,1450,1773,856,1890,181,8333,1006,4058,2050,1316,2453,2242,717,1245,431,15515,247,266,168,107,359,341,79,232,773,2576,7754,20578,16045,11190,22811,23333,6918,15978,2819,127425
206,2081,2964,3745,3439,11687,16834,6062,15079,338,62231,4935,12377,11818,10956,31881,43358,11385,22146,911,149768,1586,3261,3599,1900,5620,6962,1617,2833,358,27740,4275,10332,6479,2941,4146,3258,837,1185,468,33922,1476,4879,4939,3211,12346,9919,2076,2898,253,42002,2132,7157,3758,1523,4035,3592,901,1601,267,24960,408,1315,1434,605,1366,1333,325,646,117,7553,1170,4941,4138,1129,1887,1702,461,790,261,16482,318,607,520,292,1077,1146,225,653,1401,6239,18404,47831,40436,25986,74042,88109,23890,47832,4381,370901
207,863,1973,2382,1931,5365,8524,2833,8182,216,32272,2143,7137,6445,5282,13202,18049,4508,9781,380,66923,641,1632,1694,1042,3072,3870,773,1382,206,14307,1763,5465,3043,1400,1851,1348,334,542,182,15930,814,4130,3502,1938,5532,4690,930,1368,167,23071,1262,5808,2535,1011,2113,2033,504,883,154,16303,214,789,659,319,783,808,218,341,58,4180,629,3362,1656,685,1042,893,198,340,116,8916,153,415,341,198,524,544,108,269,797,3360,8491,30705,22257,13799,33470,40760,10410,23092,2282,185265
208,1196,1999,2527,2350,6617,11452,4114,11417,248,41917,2737,7433,7324,6007,13703,19495,5389,11163,456,73704,895,1886,1923,1256,4001,5783,1377,2289,243,19651,2207,6399,3458,1956,2404,2111,548,823,229,20134,1015,4580,4331,2576,6777,5822,1294,1811,194,28401,1357,6183,2629,1182,2560,2607,678,1310,181,18682,259,844,757,396,1096,1062,296,480,76,5259,657,3504,1567,757,1326,1144,286,512,124,9887,213,420,287,195,595,751,125,372,807,3766,10539,33257,24804,16669,39071,50210,14112,30174,2562,221398
209,1249,1544,2111,1801,7142,9152,3124,7401,270,33801,2729,6229,6883,6126,14899,16831,4189,7421,462,65775,1420,2852,3045,2232,8546,11173,2481,3743,635,36124,2910,7056,5589,3417,4968,3555,878,1202,418,29996,1377,4738,5106,3352,10244,7442,1389,1929,308,35885,1710,7718,3542,1498,3430,2552,607,956,245,22251,637,1523,1646,1058,3768,3755,1130,1926,313,15756,1196,5505,3307,1597,4036,3207,793,1285,378,21290,258,497,410,234,976,814,159,379,1305,5034,13489,37664,31634,21318,58014,58476,14754,26238,4331,265919
210,751,1047,1355,1151,4966,6029,1920,4814,259,22279,1752,3390,3774,3383,9886,10627,2395,4117,410,39724,1101,2276,2451,1633,6683,7918,1881,3001,572,27517,1953,4627,4019,2579,3859,2676,614,1031,426,21781,1135,3131,3496,2260,8069,5539,1040,1485,303,26461,1229,5418,2684,1118,2538,1827,418,643,208,16070,589,1547,1754,1031,3427,3571,1123,1886,372,15287,920,4218,2962,1300,3295,2702,680,1105,386,17563,220,384,334,197,811,738,124,284,1152,4250,9652,26027,22827,14653,43532,41617,10185,18368,4076,190944
